,country,total_works,topic_1,topic_2,topic_3,topic_4
0,JP,237,0.21859211679626378,0.5724512849497544,0.1828599557591712,0.026096642494810474
1,US,197,0.20262844364574978,0.5807548956365494,0.18189619526377904,0.03472046545392169
2,CA,48,0.1946471741471614,0.586921757707415,0.18092598237611734,0.0375050857693058
3,GB,35,0.21524695316772427,0.5570753015218658,0.18779512351613614,0.039882621794273806
4,CN,17,0.21855175981768224,0.5515770411896778,0.19713526384700622,0.032735935145633666
5,SG,14,0.22627608910250843,0.5385336131421653,0.20222628659293237,0.03296401116239385
6,DE,10,0.20111233092852893,0.5608851609343277,0.20429642042953816,0.033706087707605095
7,SE,9,0.1787003613116216,0.5858613440089068,0.19261269862952565,0.04282559604994574
8,FR,7,0.22778870893273037,0.55401298064433,0.18675536593752354,0.03144294448541589
9,FI,6,0.24324337746174526,0.5208090805122286,0.20147578019127543,0.03447176183475063
