,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113
0,US,4450,0.00612437948617379,0.005538209829786804,0.0077416198663219785,0.01738029232860469,0.008052613691083677,0.01092547767715935,0.008848031228652362,0.011302334613848056,0.0018453708283081283,0.006382782841859192,0.0007321656987415052,0.0019709276051106334,0.002492637394093917,0.006993380579554524,0.007508260785327353,0.012302390674356404,0.017843526223494867,0.009596738312815212,0.008131423981650633,0.015277231862223054,0.0316947802941961,0.012458515173898484,0.007486753862982819,0.003504744674307207,0.006348372385441174,0.012707706342350623,0.01052998271532107,0.016934505861761096,0.007902710246937209,0.007980461070062773,0.01098719877128524,0.0069383619431497585,0.0021458446511440944,0.03197365001073938,0.017517330151408075,0.0037792003338642643,0.0040444041856712515,0.009049486482657333,0.00411241571430159,0.0025450494894425205,0.017676003934320374,0.008717484506533505,0.000629404737016077,0.004697723513747984,0.002576962538303516,0.006645510229805904,0.003038408808291837,0.0006867092645064438,0.020573244902226034,0.0035488720352769877,0.0078046455236751204,0.006482419254881822,0.014708858062782664,0.005578120064477292,0.013817788750848796,0.0010879634850691543,0.003088499079804132,0.008704189540116768,0.0031728500416037067,0.0059315784391296466,0.006423347133641548,0.001812873055057188,0.0018736872209819794,0.015445037889857925,0.007372590407498219,0.011926335216774001,0.010503307895053387,0.010536909668898201,0.008799568130922385,0.006871506857889744,0.016758571745403548,0.0172897787659915,0.015237080709091412,0.00591139710147708,0.009631062624067287,0.001179501298587307,0.0038832776336337337,0.00393119521789902,0.0020431967036734383,0.01768410291342224,0.016037522356858326,0.002190311802890894,0.012639041605474596,0.010522209963460972,0.01861866272771928,0.009734996173588665,0.0038493170676945367,0.011262463634984489,0.009237179247792725,0.010364265014349991,0.011046184713221267,0.009714952537941435,0.0033811515907347426,0.012145577312487797,0.007323976357267957,0.0016129593711862993,0.0034853129668207397,0.002515861120888602,0.012485198664557393,0.003399767472294709,0.013634126135718058,0.008587253402266935,0.019998392787402272,0.0005537092375604354,0.008908062070269337,0.005624873345657235,0.009484757735216186,0.003963615721618213,0.007848219528743965,0.010785294442546866,0.017841998902352912,0.027956939614544946,0.001333010601559469
1,JP,1955,0.004087634152260725,0.03077059601623802,0.010283355267638686,0.006725926199170375,0.015575271956786634,0.016665712683381916,0.012881648533874104,0.012065740274637311,0.018036442811138764,0.013284697213408731,0.033386410520648155,0.004875306690329226,0.011112362021887737,0.005761693135314766,0.0159789359995792,0.0036317179233246806,0.012754670110355639,0.0019862942309475068,0.006823770674485706,0.020765255619310845,0.01416313264694702,0.017292281507199088,0.006971242033264854,0.01711537226954663,0.023517449410071826,0.011918385328428737,0.006464573212217765,0.010367589944032472,0.012826202713005146,0.008502415378847225,0.017398205452186122,0.013788835385595175,0.016256692252480193,0.024577356213980446,0.01688379884403406,0.015132621632273961,0.004902965477851949,0.010891552538487377,0.003113038898259052,0.011712110737409659,0.017436432303468252,0.003595925171136263,0.06748753952704369,0.0033740550931913005,0.007431971803533763,0.0017122753309513968,0.0014395837723665118,0.008683233590021471,0.02178015879688806,0.005781251690769273,0.009811624759255322,0.014519448197018616,0.00977793263190614,0.009351332371475828,0.008094433143063157,0.0064437302171075255,0.004373126641738796,0.009870599227088741,0.008134637572013402,0.006633115964453463,0.008222583313193615,0.01062425504157526,0.011129075605360245,0.006457060742896293,0.004822917563490105,0.008383781489776513,0.005972091798072303,0.0031535569067998905,0.0048389684000356625,0.0020230311007873297,0.006404298581719957,0.0078108959637272915,0.016091323013832527,0.008446685268475916,0.0023985981912877535,0.010382771727089119,0.0028522610643657623,0.007540155425950807,0.0023775992374664586,0.006792126292187758,0.0036553932216777615,0.008950484804219852,0.002738657642797457,0.0026905217601479884,0.00891365304085067,0.0033860682936937996,0.0012755318016741271,0.006964214806220698,0.0057547287037751586,0.005485171100005344,0.001569661005361789,0.0035197586627146783,0.0019055151416616097,0.000706535831571014,0.0019494860555283047,0.002603323803483593,0.014413004581185126,0.0038383834572877197,0.0023558923854229553,0.0033241212810585763,0.0033521788310925953,0.0045240859437361315,0.003570427830154308,0.007141831948628462,0.002058016184477372,0.0010956962425929249,0.001746363166494326,0.0018490332401882228,0.0010298052061886054,0.0008497163062958996,0.0005281556021328453,0.0019063559947850631,0.0006425176794737761
2,GB,1445,0.006677067357623634,0.0060787987019371836,0.006840688535492594,0.012590499688242343,0.0074102980750709105,0.008723258058633672,0.006514380337282776,0.00828717488782592,0.0015788161030549836,0.0032800348558931687,0.0004413289944978989,0.0015882511906300616,0.0013950142277131701,0.0065961019773068666,0.008258021066592717,0.016438389964678304,0.01546197022493404,0.00900620934732067,0.005300298958697479,0.012402642633973547,0.03832819672291164,0.010326896877367885,0.0067402113473325805,0.0022634739416744726,0.004154506736059952,0.011155016032322078,0.010313067759471127,0.014375564786799293,0.0074949281400731645,0.008815151562805903,0.009936385902966038,0.006921962372692256,0.0007587491696506001,0.03298665979718981,0.020479997797026424,0.0038835136800160863,0.004636360833723379,0.009445564112236652,0.0019467018068892836,0.0010725699076989995,0.01792293111452194,0.008962258337994789,7.12279646733378e-05,0.004561020025142348,0.002062693673826955,0.014301067965360374,0.0025614193306145055,0.00027347656592767444,0.020920764685829905,0.0035154901804346074,0.005616671157851385,0.005555741651639696,0.013863736206483306,0.00412904328028393,0.010125727453051124,0.0007142674692962983,0.003218747808742664,0.007682210877000437,0.0014228524070929536,0.0076858922853081805,0.005795896166621708,0.001535926260107101,0.001491809960057743,0.018606677923258656,0.007196327958233027,0.012479777415600973,0.01342711840780932,0.006243064573814665,0.006579535039279209,0.009227700368875567,0.017254517041289517,0.016092182784777514,0.015854412490068314,0.0029542609090473424,0.013069754173315485,0.000607876367720518,0.0023958741252652176,0.0025683200272047964,0.001413325843795082,0.0197267039928197,0.016443234360670293,0.001214371548144938,0.009265719337674519,0.012823285533385142,0.019032063060669152,0.009563876466809144,0.005851055148024244,0.012390623607471639,0.008492869494313606,0.009936332161455475,0.015273714704477942,0.009147954507316005,0.002792754043010584,0.010920510989946284,0.007496281822739121,0.0027897986817989775,0.002437007498845878,0.002145845929808052,0.012273208617716198,0.003027829445714374,0.011796124902767035,0.01072962093430326,0.018187466091332816,0.000306992273843909,0.006806996650922956,0.007589762946551155,0.00639377569365769,0.0058562192596032835,0.004935694135295003,0.01129331524349138,0.01388027214318447,0.06438216465856297,0.003930231362143851
3,CA,947,0.004154134803972139,0.004160012894684152,0.009354093247608605,0.022328211482306307,0.012080057878050261,0.009231721820061784,0.0134438927178049,0.014066513586458051,0.002804086580517321,0.00884384947750711,0.0008280043123611127,0.0019218114063001333,0.0028215303603837502,0.00810513790086586,0.006161149678360195,0.009400648876137861,0.019417078405954143,0.005109687951122166,0.01369614321250992,0.019172102060858093,0.029082268448586822,0.012847436412014687,0.00875274931886695,0.003969195129523442,0.007156090219608976,0.014086559175587774,0.009516551619687882,0.014411596628433731,0.012185088939547173,0.0062024610308035605,0.010764802067732355,0.0066780433561936855,0.002791530844458137,0.027122922343137016,0.01674250771787182,0.003590628085205596,0.0038285268143444223,0.00596958133616255,0.003482308433401711,0.0025843204205703036,0.015362404844542987,0.006102179532523618,0.00023439089788993803,0.007328229819676573,0.003957531523316481,0.0035107212765852235,0.001294882023370769,0.0006240039434708722,0.016299479260970477,0.005707359775578182,0.012384047713569688,0.008658128435423072,0.012058537858277325,0.005234170797791725,0.016370128083545026,0.0013588255789621405,0.002613349638452725,0.00792262138207335,0.00436417595119802,0.005063849519360462,0.008372055580559864,0.0031678542357124937,0.0022991394427546896,0.013289036196995962,0.005999149984872308,0.01772416936239389,0.0076143032133357425,0.009943653827373562,0.008686220838216992,0.004459834132446008,0.015372014126374406,0.014445916486090393,0.015634508736388015,0.007498972674113098,0.0072979079189900995,0.0015864157018628182,0.0026324162028349613,0.0037912657514159506,0.0024585171025673044,0.016218350754235313,0.011241100841047751,0.0024148870670056863,0.007964728010213305,0.006369360297695211,0.017048761148971275,0.0064330024396392505,0.0025991834031073033,0.008610664700036531,0.016945064846421207,0.017629533298630786,0.006703137190646415,0.005389158062617892,0.002350257878653379,0.004620863232566662,0.003930239422318506,0.00229479596305005,0.0034052544428510028,0.0029703989573026533,0.00596809269788689,0.005327601005579574,0.013283458062904638,0.01658853565807699,0.04074776824886675,0.0009701675279623544,0.013604631946060168,0.010248909634874553,0.02881983521177105,0.005074748452492295,0.007312357856098736,0.006799671452362055,0.006233202582218146,0.014268386033043834,0.0020264853053501156
4,FR,380,0.003195297225686009,0.003732690123549282,0.012221919246862736,0.02352022015401028,0.012667574556138437,0.008513866755190587,0.011526396526430413,0.01035329066111581,0.0037304648964377398,0.009353078928153898,0.0009251660235526473,0.0012076757406871412,0.0030319863586632904,0.008084022439824479,0.006660638264354691,0.00931903733853882,0.020551392617178196,0.0032318717416286074,0.016487048020752564,0.023928541597490787,0.029814165654154696,0.013051748355784255,0.015547141238589265,0.005688041394126941,0.00783100011869602,0.016982458412332493,0.006338997841858267,0.015597450427380852,0.012227290849022451,0.005269181101779801,0.010000636416222907,0.007654466461037543,0.0048436848790100765,0.0275250281582272,0.018085278220807393,0.003181919049826124,0.004430809957385185,0.005097009430921452,0.004524670436620694,0.004553634420912775,0.014771405992532962,0.007365069631542801,0.0010557684789436425,0.0060343218318846285,0.005392231959881838,0.002472064185939802,0.0008925271731723129,0.0009076281302674972,0.01664851640808748,0.0029131402166662815,0.017192992470092358,0.010640430862217961,0.010242745172344307,0.006785445929925818,0.01748476142708015,0.002164984625522669,0.0019374717044886999,0.008303862449735955,0.005515248012459222,0.005918709304983303,0.0057783656457961125,0.004074498008824922,0.0023916944007980096,0.009886788522777652,0.00625571412543829,0.01887925676574896,0.00806815672807254,0.007259014232976655,0.008924325847963353,0.007018023734286374,0.011259390251149427,0.011771700114260555,0.015124758008057846,0.009333171228895064,0.00634788777940432,0.0021184199263179866,0.004191024779909013,0.0042749130843464525,0.002291921088144063,0.011892900664577745,0.008338192352172457,0.0038189737066620755,0.0052776867965236215,0.004517015592771169,0.01658096042365743,0.004483953041332219,0.0038443506065210737,0.007619959646915143,0.01199736067543753,0.018459516915147564,0.003932125427323438,0.00418681057661201,0.0019226933002193852,0.0010970707005813107,0.0020153564520997706,0.003914096671787813,0.006250960080139077,0.0032449994085190746,0.004777351774311898,0.008555012321013506,0.011959924999309677,0.013033073121416624,0.06031008138630813,0.001615406675175869,0.015115990044387842,0.006251521595630219,0.02438556657149357,0.006492649789068379,0.004084141415924272,0.0036505404498057385,0.0005497105873692079,0.0074475808077322635,0.008001323140171015
5,KR,288,0.005826717943013321,0.017189641318827678,0.008735541437978887,0.008971056735512368,0.016321556030449283,0.01180392908897101,0.007461558040605883,0.009279784207061166,0.0052776370030633455,0.006363588487019928,0.0053581501146439045,0.0031554286688522453,0.0037804154240133623,0.004121677237251941,0.03697968254401731,0.010955503915562345,0.013564155930266476,0.003942082142780162,0.006114205970206278,0.021084255423002313,0.023127860809509133,0.012979449557306379,0.004313586745019153,0.006666292293612496,0.011171574035477673,0.011659486156972789,0.008376786682622471,0.010363963567728411,0.012158031892778642,0.006757704823614276,0.0161368905513654,0.010872457492491841,0.007557865408238402,0.03132314191507846,0.025893399507901992,0.009258970197505169,0.0035509007366085316,0.012102051423769779,0.002312910911591302,0.0076151774530076755,0.030161424477782545,0.011428983095415807,0.0013476153934977233,0.00599104166901332,0.00268926806106087,0.003531980991475291,0.0005172001330749409,0.0020317930050736135,0.033325939547310134,0.006967615622347141,0.006943715432252012,0.0063778601546639726,0.011662791403272558,0.0068326718909253355,0.007891270036119079,0.00273789123688955,0.0023571233840388285,0.012518637539856128,0.005052273431008337,0.011923501389036818,0.00274377154945563,0.006464208352062987,0.0013900063175368426,0.008768480827537856,0.006866061641109885,0.010116952320381144,0.01781115530957416,0.005225308369817128,0.005861910302175196,0.008234871940156936,0.007644936268014869,0.010969930098901666,0.037025012312477415,0.006128084295287423,0.007627521400219171,0.002409226344249759,0.002048673276826312,0.0033623029520479563,0.004005746475126861,0.010455185435357332,0.006439500657585681,0.005485350553622478,0.0034485608278555734,0.003738735390510856,0.01808780662674915,0.004022555644128644,0.0037294223157888625,0.018518589828489238,0.008983856059393176,0.007873328225398397,0.003358685006867884,0.003738586281834954,0.0020265097782213633,0.0035188746195928423,0.003651699921252767,0.0062555927554363575,0.006064285676597397,0.004700276937868001,0.008929099912060662,0.0024507012296236686,0.005550238169145655,0.005552647627849085,0.01318780661452509,0.0035885007736472063,0.004079240512692846,0.004076147467663436,0.006273401925771625,0.0016637296612700633,0.0021143902703514637,0.03744399564414316,0.0007108004026538386,0.00371939593189208,0.009082673241785032
6,AU,286,0.004661727520319436,0.004038340950576078,0.0068303637409577594,0.012223562962296564,0.010340170645369141,0.008985358765610834,0.007270249994942739,0.009279199981424385,0.0015009990190722028,0.003898202046326784,0.0004517696065010972,0.0007432573351726548,0.0014366243102178604,0.008072866367520857,0.006319261328140099,0.012723837799746635,0.017837994053647027,0.008020864532706331,0.0062887887688055115,0.014413446869850294,0.038076793583329056,0.009526194770489169,0.0046393001909268575,0.0016756395695519592,0.004255902275444736,0.010999704453794498,0.008061833830289312,0.012608989877525937,0.008816393150621611,0.0072248576285595025,0.009781272878572656,0.006502031848017507,0.0015451007080376253,0.030594597724710626,0.015607463163325225,0.0027627805846801357,0.004109720350039716,0.008100918610113472,0.002611704740098667,0.000956527226764266,0.015414601008568778,0.007496761202835254,0.00011891744245366049,0.00919697092743852,0.0027954431140713347,0.010371696867281328,0.0016508477521243045,0.0002595590647629954,0.016824917539197386,0.0029247852132532172,0.008672694343438425,0.006574777148973822,0.010934643829299453,0.0033287545306707467,0.013619362466619718,0.0011696898498594459,0.002410736042766283,0.0077101353616654215,0.003102474570888141,0.005613947528902128,0.0062268653492593045,0.003100713923691013,0.0015769885063461695,0.018261952364894567,0.006484786491144394,0.012495335791588754,0.010910420091370044,0.009141365012424726,0.00752923639592549,0.01136746532007029,0.015307203573424126,0.015219582143543207,0.015297049910071078,0.004089545928957213,0.010565569808319316,0.0008341363215719188,0.002783250643677761,0.0017665693742039456,0.0013341255098932017,0.018794832092585805,0.013086025375134997,0.001212655184890023,0.009444165625454259,0.012434637612289808,0.01944095122333408,0.010868959193345677,0.009252409522986373,0.011483817124934301,0.008548002495260939,0.008843563286128803,0.020379398788288004,0.007213893586270634,0.002401450379901402,0.00760665807898163,0.007708150732779056,0.0016099980184219817,0.003008958809912905,0.003918378458534573,0.010981307114504726,0.005261738735885371,0.01422591334955293,0.0086091415911919,0.026336608115727557,0.0005098155552641308,0.006133414073476334,0.006442168563279732,0.0105661085812211,0.0034915836301234707,0.007497732681795429,0.008038470887400529,0.008807207627551985,0.0848056465804735,0.0027577452935711746
7,DE,159,0.007300733274736185,0.003698607765542536,0.009799188750204291,0.009899321108700631,0.005309808037558526,0.010121768399138704,0.00729347715423554,0.011528080742968929,0.003372518892065343,0.006780341578916929,0.0021133169696877312,0.0026956078800048832,0.0035161067626415968,0.0048653936276113864,0.006765832698994676,0.013205021452767422,0.014577543158786628,0.0030156892352154628,0.010216395363413362,0.02116846654304512,0.027876346899351666,0.012236743453119035,0.013515439917040564,0.0030856278796597973,0.007521756868445725,0.010850682161295607,0.013034436265829,0.01194985005025516,0.008585482136329007,0.00527076501683003,0.009627555061445152,0.008031655221257077,0.002970814283569689,0.02598922283083052,0.022306249597664803,0.004507484571188344,0.004756398307805872,0.006524079540971591,0.002767152785303808,0.0036120132181484818,0.022611358121457665,0.009250948202351216,0.0005933901852023309,0.006559624672376361,0.004067182724826987,0.004048412010647307,0.0006498678913095347,0.0006272719675587995,0.02397493452474999,0.003172918734552006,0.010373233489689512,0.006886556539647232,0.010374451025081177,0.005083623508067395,0.011071352995249733,0.001638657711243636,0.0022111250860623022,0.008204538440297806,0.004717791648835771,0.008440378291706754,0.007254597316163673,0.0012643087911444774,0.002291646578766552,0.010370859844023151,0.008790660287013622,0.013717965374341345,0.013171824063747967,0.008848465511902822,0.008522869652391856,0.014332201606223302,0.014800317716996152,0.012163586585789423,0.015116588708684056,0.0040944634168337875,0.015790439438373292,0.0004686070828454535,0.0012472923758257866,0.0024915987770831524,0.0017605329606048908,0.013362420226825844,0.01083614067803255,0.002596015762588115,0.006811888767582919,0.007310541765556573,0.020472839474504255,0.007426706815275265,0.006554753954371789,0.009337991170493347,0.00959481750449288,0.011701167457108308,0.00915603053048968,0.00675760816776875,0.001686006856063311,0.001325330497513837,0.0035221441065191234,0.003082029631364831,0.003390987959309627,0.0021194203897854785,0.007914360701867195,0.005056120676766748,0.009030932188165829,0.008094854133359405,0.03075191326440094,0.002114918519066858,0.006893958497690586,0.006062564992889406,0.013217433231082036,0.0050081761633737655,0.005148260973712262,0.013523453035450834,0.005728106850518017,0.07154297190065767,0.009547713833105593
8,CN,145,0.006806917418695349,0.007703190310778335,0.005613053883783705,0.010194764703246614,0.015028301399679214,0.009556163945249134,0.00545212826777288,0.004246846043435013,0.0026642452897312516,0.007793942777515676,0.002547716242467937,0.0038988387469876765,0.0030702373557755774,0.0044711322743419355,0.021904281505744104,0.009477994219802298,0.012506948219972018,0.0014157312333191146,0.005671087162824544,0.026129625962945553,0.016820950069972515,0.010115530874893256,0.014587675807759968,0.005472329223655087,0.01525295672124387,0.00893685609774218,0.00534365328301351,0.012825784105693265,0.009400151930254862,0.0025657044166915214,0.007668596198255446,0.014357440422893704,0.004463361499947151,0.023200742232423285,0.027730552946765893,0.007993561316345167,0.003564383233754634,0.006114118767711194,0.00320406329265839,0.0025601322933640723,0.023096875104198097,0.00533915726830026,0.004369951578897927,0.0060316522211182584,0.005104447985483686,0.0028019768183547918,9.61482264203807e-05,0.0014877301662450455,0.028749241355570065,0.0010443999171156867,0.012613856244084704,0.006361699803820859,0.006800651310597962,0.00627015698726728,0.0067917152310005315,0.00209112563815862,0.0027742982746467412,0.008503514137385483,0.004635003038405416,0.021171077267267288,0.0025219157060075953,0.004453072178262631,0.0010126140975384441,0.00612578707541177,0.004455743215186049,0.009104523088185611,0.019958667581763623,0.003540240483014132,0.0029189761851428743,0.004144120037947819,0.005115156232636694,0.006834729409385771,0.03409585021455392,0.004382032808421382,0.004271376729998044,0.0023297483035107916,0.0015483546663250746,0.002546014776496351,0.002345743423742913,0.007652001021611485,0.0025922274568919526,0.0019987177684905773,0.004458069281545322,0.0018045316063599593,0.013251204558489707,0.0020028021501687864,0.007219560044150509,0.010905756116007439,0.006210411864983105,0.012295825798597965,0.001584281389389724,0.003678076992568126,0.0016501258115902476,0.0012935781192303316,0.0016758382140841719,0.04058797169159134,0.0031727394332220836,0.000776590089664273,0.004549719272081314,0.0028224057745802355,0.0038983154563635145,0.00643104687825621,0.013932208923020713,0.0020842069360653198,0.008585454522259887,0.005844600242306776,0.0075697973563452975,0.00572642307895261,0.0014567141807788635,0.029444238644850157,0.00012451360722627174,0.00428892889289883,0.1322600803383984
9,ES,118,0.007042114259642131,0.004732051346981618,0.009218713475697022,0.01605829254752217,0.013121490099935202,0.008313853722958682,0.007358431887074178,0.008255444671545088,0.004278601882304107,0.00826698617174873,0.0015524886530132768,0.0023391130485790963,0.0028421444970148668,0.00395585447954716,0.012388995464442746,0.01433024577253422,0.015097325908148785,0.004333058258610739,0.0088533787475934,0.022287671715355433,0.028334133430920835,0.014163662411586446,0.0076896519100207875,0.006390144719955893,0.007875266008402805,0.014863241346237644,0.007705556833986938,0.017142610356197168,0.00853216418776814,0.0052771666646721236,0.009294212462539314,0.009453595293443858,0.004558133812672689,0.03666084240544204,0.022140076418074958,0.005001042935527016,0.005316990124292977,0.007897980096824037,0.0028074751368643565,0.00544041180697213,0.020537516835469026,0.008794427617429166,0.0019916158275894856,0.006453687662120222,0.0042785714855086265,0.0044702431812313845,0.0009508493385339254,0.0025097979281797976,0.021384342226651944,0.001513367557659189,0.010776931994667241,0.009254766526016032,0.011557899803437886,0.006213482594267939,0.01116352538767454,0.0033370019887112297,0.0016479355903688119,0.012484702721515665,0.0030379479509574335,0.009692392033290963,0.004320972906104034,0.005523365798904723,0.0026838904904821683,0.009192371222083799,0.00762044445631495,0.013460687449076084,0.015089944600612429,0.005354211532808484,0.008089906485144335,0.006549962347163887,0.011431312533152833,0.01036716516787782,0.022689859008768902,0.0063900789870546685,0.00796662238134075,0.0005026738125506016,0.004146010258664206,0.00405270557052532,0.003925116375378262,0.01677984033351743,0.008846329057056491,0.0035499453630451405,0.006455416422313367,0.0033992479997686505,0.01804207158387449,0.003450515379810785,0.005141656473744859,0.012084400885416027,0.016272921528740495,0.01498667446191355,0.004298177903999205,0.0036312688090573073,0.0020434551972453702,0.010549209191411753,0.008087917515999578,0.0042180944771778835,0.003008072917688583,0.003224618661740564,0.010269168774274631,0.002784905153674839,0.007862069173052927,0.011276934976227346,0.03854540922142181,0.0026680782464760166,0.008194362013472567,0.0048369314375465685,0.029903753610295954,0.001998161513890866,0.005321106154539603,0.007121698896881374,0.0037008323266020573,0.011045541294887946,0.003822290435292908
