,country,total_works,topic_1,topic_2
0,US,2046,0.9972210585113808,0.0027789414886189084
1,JP,1627,0.9959595516141302,0.004040448385869407
2,GB,536,0.9959843638948116,0.004015636105188342
3,CA,352,0.9971320346320346,0.002867965367965367
4,FR,198,0.9981481481481481,0.0018518518518518515
5,DE,190,0.993934837092732,0.006065162907268168
6,CN,172,0.991846622369878,0.008153377630121812
7,SE,148,0.9962194337194338,0.00378056628056628
8,SG,128,0.9857886904761903,0.014211309523809518
