,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30
0,JP,237,0.06913504108180182,0.01805160790435858,0.018262216466941837,0.019137932787852915,0.1828599557591712,0.025397817072802194,0.06461937215049517,0.04582907445402271,0.08483770356396667,0.022299514018286903,0.021502689308127706,0.03715367397859438,0.045077162534379885,0.025361340931109665,0.017576459928204325,0.04103950932317897,0.015279275628004178,0.032314716247715335,0.009997116856521698,0.02303698946637185,0.030198169632459623,0.022527406096885284,0.011503649235881182,0.026458781184640436,0.023507109581453908,0.026549605788817952,0.025893115759023,0.00241041688564808,0.006302238709090707,0.00588033766419039
1,US,197,0.0683513823531881,0.013270409910819583,0.028743428536264905,0.027950657281727728,0.18189619526377904,0.031870881160463015,0.06775149539796604,0.04183094051389394,0.06652556589459549,0.025732586936236475,0.02939697881044504,0.0324273141544546,0.03053693582968349,0.02190862410773024,0.017932733566034614,0.038258767598282985,0.02272744819328876,0.03434860160988849,0.01736409279384473,0.03332172122074817,0.03140164109646518,0.028396731196982737,0.006651491472385015,0.01715026537671916,0.015558578240200995,0.01974789454239833,0.020877662959975098,0.0040684322772018035,0.012028707168163937,0.011971834536170822
2,CA,48,0.06815132647553247,0.013536354482255175,0.038636774853934824,0.03388961511310092,0.18092598237611734,0.02986124771127835,0.07773584674185914,0.039652786581175305,0.048760000929769724,0.025963454443523996,0.03465255855292421,0.0317835209234489,0.023280270483346004,0.024773345765706365,0.018975178225846902,0.034641568949891864,0.02876422893097415,0.03403240269460747,0.0185411027560882,0.03566934691941008,0.028840631968318885,0.0281894181656802,0.004543195285724755,0.012582556395616111,0.013883377391573519,0.013077179580371447,0.023694836818341433,0.004957185485188754,0.013966969530099613,0.014037735468292567
3,GB,35,0.07668390370812131,0.008250599782419626,0.03560292194221031,0.03455842798472436,0.18779512351613614,0.024711283812188393,0.0738175626293934,0.0326888141467239,0.06474548683020943,0.026822515956055122,0.029066144722352475,0.031287997971336315,0.028523852693761006,0.01890849622533699,0.019924309237654526,0.0432655081026029,0.022312491509428017,0.025071770043899506,0.03035202076546761,0.024257171365293217,0.028249992750507675,0.030444535338639327,0.008927575401031953,0.012719497439920027,0.013643309890049539,0.016345479004435594,0.02006816083685832,0.0031060061501538166,0.014282046338539169,0.013566993904548727
4,CN,17,0.07312799611968912,0.010951727067375665,0.02182305567006307,0.03151520529283844,0.19713526384700622,0.02671327352660734,0.07179409205289985,0.04061559131384299,0.07362967164509315,0.029608408358643756,0.029277342136630385,0.03002754961801875,0.036829323609275474,0.018036125121320554,0.013544206459642745,0.03924461235792398,0.020139591466362784,0.027028842237129706,0.015592471738297687,0.02897335931980154,0.030392829300989764,0.029337564105869327,0.005050441334035616,0.017662464358469684,0.013741159415248618,0.020658225919773666,0.019864112795550865,0.003436257787896177,0.012390189586525659,0.011859046437176073
5,SG,14,0.07467914351593011,0.01014660808336912,0.019453771828350914,0.03455623876791146,0.20222628659293237,0.024104190618659423,0.07669532483006615,0.04072007867923758,0.07490162075651205,0.03204477320319588,0.02882979533577345,0.028849844442298433,0.03706152675077077,0.01585928267656355,0.010543457817133261,0.03796272277890243,0.02147631915732635,0.02643511024041231,0.014954820295265273,0.028806389245009677,0.031033826594373398,0.029725710805709404,0.004398940447954229,0.014533126777173753,0.011990552371665533,0.019469281173607824,0.01997618549945442,0.0032188036543851863,0.012815946645868215,0.012530320414186086
6,DE,10,0.08355232462750076,0.011187627618667791,0.03378294352939678,0.0461220777332054,0.20429642042953816,0.026495671582725255,0.07661091035494835,0.03911789870550635,0.040949095946079705,0.0298648272223286,0.04000494694304893,0.03102392137889117,0.021961497315858454,0.02431716006450496,0.01810232069704936,0.03716187033091725,0.02804442908087317,0.02716217834379021,0.02066444173140402,0.014720153704408248,0.026478291938937887,0.031383232478396764,0.00203949539845443,0.012823357393055328,0.01464757305819642,0.009856731137032379,0.015962008946131912,0.00450705453799059,0.012462762926745311,0.014696774844414628
7,SE,9,0.06879096564269513,0.011859227078315642,0.0362812429259233,0.03721841850379379,0.19261269862952565,0.0333499403701842,0.06091855644859602,0.033533862118868586,0.04899083922033033,0.025655432179450474,0.0384530032915775,0.03674201052880825,0.014502181831860214,0.024264352005372566,0.018432609430525788,0.04052291883188677,0.028673415597666643,0.028316248755758413,0.03251706481746126,0.04031063461579845,0.028071155361092306,0.026043271971042586,0.00653681334541071,0.012888564518437678,0.015349522260860844,0.00956523908621781,0.013311027928002712,0.0072339322172945775,0.01740816422527278,0.011646686261967555
8,FR,7,0.07976369946489727,0.01241156551327983,0.040532807704591674,0.03634883917022754,0.18675536593752354,0.020778278392629114,0.09149089046681917,0.03360718736564684,0.05653411900101387,0.027199022220304188,0.03204534960757908,0.02745133793776863,0.027779572911072442,0.016191875390979875,0.0216675384045093,0.03598224496347207,0.0234676093597136,0.022808174671377086,0.028540210559550427,0.020202833783616942,0.023733196826429288,0.03227089680723384,0.004078859309632086,0.01216279589735687,0.015164485684547013,0.014635291672187786,0.0290318658002556,0.0014753945041755287,0.016035492876622086,0.009853197794986071
9,FI,6,0.09798763411712415,0.004857552190993733,0.04557759246243998,0.0480282157740215,0.20147578019127543,0.025902883841241033,0.0876733453768267,0.02777872944660995,0.057582397967794303,0.027087179750896796,0.03152542872543357,0.026934870782142097,0.0217234269591965,0.01169859599006215,0.012363064652508568,0.033171331678778164,0.0199521685390033,0.03330568228884118,0.0339707979636393,0.015216887380480602,0.02802783596023482,0.031269015686195466,0.0025003707227682,0.009582677789030233,0.006576426141691467,0.010598804024438552,0.015659912484348518,0.0013970525598432334,0.0112684969539871,0.01930584159815198
