,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17
0,US,2046,0.12047399665555306,0.1821882737717228,0.05455358457966295,0.11600461060388251,0.053762961192729886,0.05861224508433681,0.07333353371135808,0.06873276809940602,0.05387904912637895,0.010351630431540882,0.011932092647504089,0.026341764400480094,0.05111246664626978,0.03235594795277015,0.008643717157544068,0.04829438488953335,0.02942697304932656
1,JP,1627,0.17671123041158437,0.19016871655855194,0.07867789629439173,0.11070602880898986,0.04044909545874517,0.05115378357718806,0.0677333161159353,0.04205491911060017,0.04854027794695333,0.006563151239261006,0.020492618302481704,0.014008589535997425,0.03208622799492172,0.04687470033537986,0.0051808672724635175,0.052439490208344625,0.0161590908282097
2,GB,536,0.11234173260532145,0.19112229609008882,0.04134155013292734,0.12105927545832343,0.05566021998696891,0.0572030826394528,0.07769476956363743,0.07347687838327707,0.05797751786660992,0.007657151128955437,0.008725514489162046,0.0365974722311614,0.06124610135014301,0.02291900948950517,0.008104197188910926,0.038660666898272814,0.028212564497281666
3,CA,352,0.09005608902371245,0.16586290727494735,0.042503272625115156,0.1365297198355633,0.05788705116763159,0.05401345385883861,0.08909878556927434,0.0846732600337135,0.03209429233572181,0.014703832019408865,0.009295340518386964,0.0338743896290159,0.06476033116731215,0.03059921146146721,0.010958796271324567,0.049949872947287095,0.03313939426127835
4,FR,198,0.08590674907204482,0.19016700614822707,0.04208491597292979,0.10782469340126159,0.05174884069778844,0.06270013810875695,0.07638342472193656,0.06457785050299013,0.08552902212749361,0.011241404471504858,0.009781579594919916,0.027727646603831434,0.05109033111912791,0.030585604203491726,0.015178934273065846,0.04645415063549548,0.0410177083451332
5,DE,190,0.07557264841034123,0.1636571334378639,0.04515867979277966,0.13459051774918018,0.05739145305600475,0.06616109132132157,0.094866594133732,0.08723237795428614,0.03369276677772652,0.012334303198869821,0.007955229707566455,0.041416730260048634,0.06860972994091995,0.028863027378930557,0.008640670365105624,0.04116800027848432,0.032689046236838035
6,CN,172,0.17254015079616783,0.20349847253829367,0.061264070686252475,0.10464755936206414,0.0407799491577309,0.05257362752985618,0.06712416075212133,0.05127326220378471,0.06196416394393716,0.005602600777227626,0.011192236099481672,0.027137523592040823,0.03614661274220627,0.034535240806976675,0.004734649107956935,0.049704533694897336,0.015281186209003596
7,SE,148,0.08018533003728265,0.16973579294320354,0.04037945438731934,0.12519078497373917,0.05429231286349403,0.05080707182513325,0.09564778403008467,0.0992510978532102,0.032208118339896584,0.01151378292314482,0.007602038109310115,0.045683106535392405,0.0712538139968429,0.028178832400141206,0.008328349576604024,0.04739358454903246,0.032348744656168084
8,SG,128,0.17304357626462227,0.1987254006757084,0.06348314404859329,0.10799806744640483,0.03866103487119286,0.04957811400540848,0.06855852795108312,0.05008262146530802,0.06766011859044632,0.00577219549810612,0.011721446632025536,0.03211411394518682,0.038039026982633686,0.035037156419027375,0.004024978981137699,0.04391366800273736,0.011586808220377182
