,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95
0,US,2046,0.016867187386060828,0.010094826381599737,0.011050472157122118,0.014258906643630578,0.0438780424344321,0.030700347320550155,0.0027444200762705368,0.0038133573471861963,0.01060605257760282,0.006521787030037697,0.019476110409137538,0.010862591073557226,0.009231122735419251,0.009978856008211311,0.01294544406170716,0.022647027709939874,0.009722680092405785,0.003931026459088728,0.005644779776673335,0.007913408436151298,0.010100529134994849,0.0061730908891888215,0.013289636349068329,0.02026668804630378,0.007501759433482676,0.004413357734913802,0.013208190275630534,0.012785976703795275,0.003935162338318127,0.014291719902218572,0.0108520158077716,0.012197365388617935,0.01067006980019202,0.009003125748187681,0.02561835885455873,0.010598935394834037,0.0115857727588047,0.009209972968924247,0.015101014619104859,0.012149448854608428,0.01768827833570314,0.008168452481828993,0.018622358261075354,0.005490026262203251,0.03086219083691838,0.018605293269041694,0.01270674703959728,0.021758727334406116,0.010413587562556368,0.003693565922078393,0.01075146861601752,0.017251073375523895,0.022635589611113397,0.006623236300216817,0.002703139109674001,0.006831388367884123,0.008568281610441205,0.016085065883153504,0.01081988269948478,0.014476096844577936,0.0068745840457817625,0.007569496158661795,0.010444785657741682,0.007619174735408861,0.007116039365598805,0.008512557498913578,0.007722138140200079,0.015181029965122833,0.007598108300172454,0.01383407926744465,0.004762238842682792,0.009920633656392832,0.004793235301513543,0.005386336680019089,0.009015075301042603,0.004811499911038809,0.003105275352356093,0.0062680421304864165,0.005761022518896388,0.0037169529228464502,0.012842012925705441,0.0021646438713388027,0.0027513061905204673,0.004568432700096364,0.004865335568652834,0.008085926105577835,0.0047159699854410694,0.007690599669699044,0.005804010183923226,0.0020554828970546887,0.008508248867054985,0.005738986201560525,0.00287658629344118,0.012145409469684485,0.0045796564741256976
1,JP,1627,0.019602273057725206,0.011964890583541003,0.014414294888090892,0.018774546222351498,0.03870910094004435,0.032680435885557586,0.002097023232121591,0.0018600696640751868,0.00901288338732633,0.006566927885133616,0.020084109844452008,0.01702609223380401,0.006379385161561195,0.009570331707067071,0.012721799964547129,0.01991423353398676,0.021167691990244934,0.006540217972214888,0.007166601826792055,0.009825797082678545,0.014145677741697588,0.007176821214341497,0.01268646681780452,0.01656170874299901,0.007068466474886814,0.005183414929195817,0.015462446335178393,0.01053261312271975,0.002422668359282864,0.02009243154583474,0.012408105829621948,0.009920496934942942,0.013247849085659586,0.0085281950498706,0.027209408370862782,0.011310787191675763,0.011360668486192653,0.009277538626674398,0.014583862600398536,0.009604494610868326,0.019149406308610447,0.00786645542802777,0.02371731673924142,0.0026242905739580955,0.020791744906015208,0.01718414137093396,0.012696508723740606,0.022082348561891067,0.0062261794637729125,0.0028075399381913024,0.009274059497833472,0.016919792109150112,0.029332011355348228,0.005971713746825207,0.003988523584534082,0.005901152634759651,0.007057539437571759,0.019850082491736133,0.010081501940274136,0.014477055451967235,0.006001112324364998,0.005831100486997526,0.007581851189551077,0.009377266747919957,0.0065849298688223454,0.006292045571384552,0.00777597427131036,0.015873788995584965,0.008464386058058288,0.012207572443219369,0.0035650582101245175,0.0061149060545514335,0.005134093991449039,0.004507113314667597,0.006248867363243774,0.003407969196338597,0.004325491278858225,0.007641983732735257,0.006448058406124324,0.006000175871914434,0.014005411494870995,0.0011299374238275422,0.001963480055235584,0.005602948610899607,0.003890129038306651,0.006377503512867577,0.0027687527889911764,0.005655219320921464,0.005375188038410701,0.0010774160246962408,0.01134503958788961,0.0031374390766696993,0.0015835207543026127,0.010578476135418296,0.0032635993610616878
2,GB,536,0.01614504942734756,0.010626948701599822,0.010407240825485073,0.01228390533679227,0.0456912219159006,0.03353260096515807,0.0035422054996453686,0.0038665464486631594,0.011290281555212707,0.00566615041757646,0.019371858672566168,0.00822702266690403,0.018879324499955073,0.010309559566600674,0.012585235511808767,0.023705620508766612,0.008084200291059211,0.0023117367110504924,0.003545552952746936,0.009151919123185661,0.008495311709167447,0.006021589856882002,0.011720150907408973,0.020679172379939235,0.007237975875138208,0.004229925977573481,0.012381815412931223,0.012348565396495053,0.005259279152644393,0.01416279098387113,0.01160552435263453,0.012205986143327206,0.007407325755804736,0.009275374036373822,0.024960901039835847,0.011186492304538326,0.011995419868606451,0.009777534558458404,0.01751114313367311,0.01307709235718514,0.014117044877343108,0.007272366800810077,0.015796451798464253,0.0077566011007341035,0.03302082954590454,0.018791020866245168,0.0151514054248628,0.022953906040482516,0.008443335933901138,0.0030798774331439573,0.011268356789506767,0.01656780264606162,0.019816259076516955,0.005753355934979835,0.0032234642692484535,0.007904567839700552,0.010084603982863326,0.018137874152586164,0.010288200698026871,0.014287225352346037,0.007168048534130917,0.004053966760556846,0.012676510938020457,0.006560849901850208,0.0064154117869254425,0.009035479326737763,0.007977254545792584,0.01418007508046471,0.0072544409355242995,0.01339044800456732,0.005585687556889688,0.010243324892713035,0.003747768821471031,0.00563178803948841,0.007375621627777264,0.004259591233444428,0.0027735611456796145,0.006301692496767401,0.0037686486546573495,0.00307081257825158,0.010963727509601975,0.002356026026747586,0.0037157344829934044,0.003932058374263368,0.005041416748641843,0.010104102135721743,0.005568099491399432,0.008934413473679546,0.006406594571507933,0.0025728466457318982,0.00637694385203219,0.008209153821710783,0.002630175367607627,0.013347886680245483,0.00389173459216101
3,CA,352,0.01700675423420987,0.010720903750453674,0.008763844193641278,0.013166451388341154,0.039316750355182443,0.03220670422715313,0.003053877482187951,0.0029593645990928716,0.009393732150270602,0.007740114464026077,0.022116743054392804,0.008291417026493164,0.008353264728171854,0.006565759263853454,0.015393451548052613,0.025813374638249464,0.005453064762546225,0.002699383005640702,0.005284929026601286,0.006729744036980418,0.009222836158312096,0.005584043029759897,0.014847257271130765,0.024258085195116727,0.008435324043717007,0.004520036982172458,0.014165492471903345,0.014938007135646194,0.004602423906253116,0.01148108931095884,0.008734635973776604,0.011068958569168673,0.009308668143351182,0.009274236741830626,0.02931618860920513,0.012572752020416854,0.01203378228613644,0.008232468332535136,0.013999944733066377,0.013864146229660635,0.019895031760675665,0.006936350621648343,0.018309173352448204,0.010228147549653895,0.02680277796018342,0.02126407033564791,0.012343951265566118,0.018333486888801005,0.011443956342027141,0.0036773771872789175,0.010860471451070495,0.015543917775765666,0.019286703151078773,0.005559158581019173,0.0021480877671615976,0.007350407472394078,0.009122445853770504,0.011354242925195608,0.01165248842772717,0.016001055426605626,0.007567647614805722,0.007799952485662026,0.014539489732802025,0.005823154460837773,0.007004046600939562,0.00936321490629362,0.005666689926683363,0.016673889949712358,0.00760138265649605,0.01707862117665793,0.0028493292285775846,0.011021379698162796,0.004726939233400338,0.006542589198863121,0.009068956720125169,0.0064101500846555646,0.0024716770518414923,0.005158186770412439,0.005471436525595978,0.003202680634242883,0.01193811551225066,0.0029883031376451608,0.0027302728246298247,0.004957151645446102,0.00528921526367901,0.010261847911597313,0.004582837827298392,0.010278882660275998,0.006172428584393565,0.002675349601416738,0.006687045886855623,0.007188275667573377,0.002313668504279772,0.012238694620138461,0.004053188520371625
4,FR,198,0.010881745110751425,0.01029590303364355,0.009045706156823902,0.009343674891506063,0.04947141915206065,0.027927240410552067,0.0038075695444140184,0.007490483487611259,0.011311287043292791,0.006924718242183047,0.018031685623322774,0.009665865963709785,0.011012238494023902,0.010960139584496653,0.013299298683724056,0.020057828369820212,0.0052800839947372115,0.0014713892160180331,0.004245427515633046,0.007093264294411,0.01080876974692435,0.00601282777366006,0.013134585658174321,0.021172931196112344,0.007799775310466055,0.004921742972052268,0.009319427011356803,0.013542437841891455,0.005404695501554007,0.011857594051454602,0.009201087992164052,0.007552877918770844,0.011363675101699592,0.010331091658854222,0.023245398455961103,0.008411860059322195,0.009350512245273668,0.00797856089498856,0.016097961923057333,0.012692410887049971,0.016682788041850784,0.006904152873432208,0.01691456726065869,0.0073276468994839155,0.05748299724596855,0.019317178186137512,0.01407410606086412,0.025442192201412174,0.009858375423324161,0.003485676511218335,0.00990890652962158,0.01617591218095302,0.019829708613300776,0.0056099751777702106,0.004538503700444831,0.008947495940640756,0.007930720767330353,0.016982739002155373,0.011163846958445153,0.015005658770112167,0.005791122773781522,0.015275944156245605,0.010828849220876425,0.005645808201907431,0.007594233932433675,0.009011140753452851,0.007613622110071498,0.017163363763293804,0.006361034397017157,0.01354676189341443,0.00474445028668041,0.008693230510308543,0.005690268577541745,0.004348202632299805,0.008781597597211404,0.005698341838433876,0.0024773647530568887,0.00503992743369798,0.005194757190788056,0.0027344663711646755,0.007886429427245779,0.001705727414944468,0.001576350210575009,0.004736769710569909,0.005427123492586468,0.01063956591559734,0.005625695206944638,0.008291853575615989,0.005806574556939624,0.0035557710309067256,0.005974398242953821,0.005792092742900264,0.004650139248823451,0.010571957635224569,0.004124721835844636
5,DE,190,0.014559074220794914,0.008146146737227654,0.008732160410062386,0.010026215458958213,0.04218334570385279,0.029686999302587856,0.004757233099704197,0.00500743010964898,0.009552127549851686,0.006296278728576944,0.020157198010312342,0.0073643728905935435,0.010561931543249256,0.009373791360732506,0.01808955234911215,0.02393458253331526,0.005004787264932858,0.0025685835764677,0.004609627935916567,0.007064620925627985,0.009304990331553378,0.006170557470958893,0.014018629007359968,0.02631041412955411,0.007988056639154945,0.00523533114195949,0.013374034566057796,0.016440185670985277,0.004374891585948168,0.00970346488403799,0.0093839613806733,0.010010955049700988,0.010463189026968968,0.013564377871889122,0.030442968486980117,0.009067732320821814,0.01276747132588877,0.008591344397829319,0.014399615767815814,0.01313487800013521,0.017131883973902123,0.007291239163270186,0.014413103833625516,0.01312507198165524,0.03816533655123331,0.020315412874735855,0.014739814553283782,0.023059287827587198,0.007865970165704748,0.0030278911476920183,0.010734239803101116,0.011136399625742142,0.018486362318941213,0.004578594261453479,0.004751637658464551,0.007254305687022795,0.008909769849735183,0.012092661874825444,0.010236423832294188,0.016469254859989433,0.007310457669194382,0.00465517820686853,0.011884977307160371,0.006057632609696696,0.00641291190604869,0.008726483980474355,0.00672530453317403,0.01554123239663961,0.0062549750869346716,0.015311504564644765,0.003595833326105923,0.010303251531891874,0.00558562225630255,0.005936829904139983,0.009486696449725792,0.006339080519703403,0.003042928242632526,0.0036752008634075924,0.005353584614479978,0.0024312893441484286,0.007862089016250268,0.00240034332426971,0.0030753188714100653,0.0048661054931153705,0.00291779309277122,0.013177108444840293,0.009598625143558533,0.010876551753634243,0.005845369722454655,0.0034082206396808612,0.0053279677625079295,0.009754684396555734,0.003809810749526678,0.01279532432309514,0.0034459413408946017
6,CN,172,0.018770967824035374,0.01535882245311474,0.011769775527475684,0.01696367798243767,0.04021178445774209,0.03435033155611776,0.002129874132922012,0.001415303861454655,0.011484622317348103,0.006107248999728917,0.015882275916051868,0.011795233283737976,0.007299146253593279,0.009562762956543396,0.011334363601378716,0.01944227250912306,0.016650781929317595,0.00501640966480854,0.006048210781555607,0.011119436576224606,0.009892434740484035,0.007600486522624406,0.013257708193054978,0.01757107940273661,0.007194284681149113,0.003371402315066093,0.017300845965997257,0.008783657620042379,0.0021368371569313485,0.019091840700164283,0.011203056046273302,0.008747493098048698,0.009168948027897434,0.00832246470046133,0.023988673178933627,0.010457458442878768,0.009242794638647543,0.009696955856040215,0.01666771821182446,0.011817615817539729,0.017529613190628842,0.01024118114761287,0.022501333719309922,0.003844744674466614,0.023469936080688595,0.01721417627053124,0.01446695806983359,0.023182028304225385,0.005798742433675039,0.003391437198987744,0.007950685017351708,0.0204278994179915,0.0287038679085758,0.006868258685409121,0.0034588789255884512,0.005831161580667533,0.007879654014608835,0.021128513206621766,0.00918406201502865,0.01610315076343253,0.007336539608815,0.003975839837870218,0.009506014027129,0.008119345495930392,0.007074864744338313,0.008877194673177765,0.007335247781899946,0.01600383561978457,0.008036847042748043,0.013653686825221051,0.00550141278520908,0.009513478340215278,0.003175260964741933,0.004265382627673043,0.00607826510119158,0.002884851830416968,0.0039037710227193085,0.006013803170636851,0.005792929109386949,0.004731634760077965,0.013908571006199005,0.002481006789754146,0.003138219987732058,0.004883350043291274,0.005822865581553435,0.007772814084896387,0.0029899653495249396,0.007147520197783087,0.0044618858412179534,0.0023556531946628753,0.010989193558960164,0.005446440645782809,0.0029543058272510692,0.01348720304876943,0.0029774589466931675
7,SE,148,0.011311498291612945,0.009271530805940828,0.006311289769640198,0.012432871052353687,0.036860139813914124,0.03247763071169387,0.005139217276006719,0.00461184635850362,0.010777347230120712,0.007097692146238813,0.01930522754937696,0.007904969189556932,0.018217120290192873,0.008250221673324145,0.014367239925126011,0.02677602372087784,0.002914947186899092,0.0022785919432803986,0.005148623821419967,0.006625729954495111,0.007290515125927887,0.005435570326343027,0.013560246605203802,0.02651076930228943,0.008855012737400301,0.0052388120637104525,0.011386716219919496,0.0168759635277524,0.006367484723537577,0.009421771072417743,0.011304939479508114,0.009930419907743588,0.007911297848857976,0.006184460103281718,0.03034107677092052,0.010380985057401041,0.009079476280779522,0.0080160439064061,0.0134017146599552,0.016862569400779726,0.019513190411484638,0.00764550333758581,0.017632543920754976,0.008187879880632746,0.02445498971931988,0.022263265884487626,0.013528494497938545,0.0188102071043278,0.00909606350863031,0.004077168603909425,0.012183025760606573,0.01624787427039428,0.02006873981104747,0.005682520873712015,0.002011958037141369,0.008714033258333235,0.009557601609448145,0.012450467435070356,0.010109102362202587,0.01755225076925913,0.007705661117237004,0.0032267676034966773,0.013167418914313122,0.0055416343309069695,0.006425792418579231,0.011028862598940493,0.006280823365835217,0.01686107887583058,0.006310532043029245,0.015236726589074951,0.002546651803539282,0.013262674050921401,0.005609158535324422,0.00648066523861165,0.008664531370410972,0.005462643571669248,0.002128243012688301,0.006991534233587234,0.004967026562734403,0.0022128525007084803,0.010307416132141405,0.0026269749416953634,0.003007459081561288,0.005309982621694038,0.004846922429776942,0.014694577259560648,0.00745349787559766,0.01226988381579972,0.0067842094708481775,0.0026869819250770755,0.0038079147604714067,0.009801192018953913,0.003777080011190065,0.015146963716750247,0.005145180314443755
8,SG,128,0.02115458431706746,0.01499444618978425,0.0123965718883734,0.01849643519152689,0.041286775940905955,0.0336803164757048,0.0020257271672895565,0.0012868650490495753,0.009425727445160027,0.005605352985165647,0.016562246435057226,0.010922846358260557,0.008354487841711493,0.011467893134426517,0.012522638383227265,0.020065093171003395,0.017365530902310775,0.004478864881491747,0.005106200607684211,0.011843550885833602,0.009700502472171697,0.007265237776858134,0.013987527280698775,0.01881084385466304,0.00845642047144494,0.0030700917753220818,0.01604222974415806,0.009067062236817105,0.002529684494680028,0.019483021775063995,0.01019791490853845,0.009531402269414955,0.01069069923518039,0.007862267264445168,0.024698008210525892,0.010256038520496091,0.009619661682022265,0.0086372526163479,0.016679016850944032,0.011898212162914356,0.01701025106164909,0.009651909854714152,0.02090235606051281,0.003862268591478104,0.02152715850396704,0.017824597951915048,0.015265830156310207,0.027385682627934973,0.0050417908321181626,0.0037486690062606635,0.010631726568531582,0.019461007337520837,0.02634351499615075,0.005253344147899273,0.003156871679772133,0.005917599316883303,0.007828247615993546,0.019976404808466713,0.010869005511686847,0.01605671614656544,0.007204664502105873,0.005382754278952562,0.008944873014899758,0.007722652180995744,0.0065223505434358064,0.008423921968008015,0.008130545772139399,0.01266801017647314,0.007537717141596627,0.012973972378116773,0.005800537823673786,0.009966587639067775,0.003343824273571119,0.004386989123147762,0.00472654168424706,0.0028343415577722275,0.0032226241111820353,0.005575299622934341,0.00471296718112852,0.006145058462413267,0.012899157380460158,0.001981986492110205,0.003279118626567729,0.005972971473422821,0.004601229041436113,0.009276167426778847,0.0026848575417476594,0.006829033377622072,0.004898942643574809,0.0021299482729595183,0.009413008621014214,0.006166517533622666,0.003007486033803822,0.013359376399182065,0.0020337620697612243
