,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38
0,US,323,0.06230165155690819,0.002226582803657174,0.03864378952514615,0.1399354248215706,0.037726310784079765,0.022281410270076064,0.02388283740927156,0.012884756369047068,0.049475640599365815,0.018608725680752978,0.06334835009674056,0.01581900575937637,0.011119279783384431,0.013024652587181888,0.029745954934942784,0.004457207458029842,0.031902698546979975,0.010154669494563468,0.03652251234552049,0.014233166315778095,0.0044332169968122875,0.05717500606980782,0.013836934407871716,0.010965915596808618,0.048927474152704445,0.0114747793692068,0.019152996591961912,0.033873961750449384,0.021499602523061618,0.010848177270156604,0.003491588159456898,0.02974208165791012,0.011448284809142634,0.003790689748684147,0.011384532590425387,0.012539018652260052,0.005187068947192381,0.05193404356371223
1,JP,138,0.07329535045934318,0.002878498412715576,0.05541423858702879,0.07648202447138885,0.02905753866973051,0.0041492133953107335,0.0187244948647577,0.019702654914625906,0.11640847897820486,0.01652255896071047,0.027698215314580537,0.005001819322715494,0.009214867517068584,0.00890662398011808,0.027985960227971375,0.0058050973450270195,0.007909910243315792,0.007229478375898187,0.032048732957799156,0.005255338797094432,0.006645796759012224,0.04171354117195626,0.016317212750081855,0.02707582451155748,0.008579752705845475,0.03849903719117509,0.042105549596918423,0.006317064236345901,0.002706985114690597,0.007771708614431047,0.014115458665860095,0.04365380954934399,0.016779962589123003,0.050470554303259405,0.028233252714852764,0.005110062945603962,0.038305694103695914,0.05590763668083944
2,CA,50,0.06836964244046168,0.002814706252298836,0.03874882327854533,0.12782558057559906,0.031790002598327996,0.01776122940177613,0.024123532894801323,0.02031949860301631,0.06499996903755444,0.0291959497496696,0.051453509324235924,0.015756738760560485,0.02106317712504747,0.011309206859793365,0.03319031807453021,0.005313486606389694,0.03014442764117728,0.01599732805869404,0.045698705187696476,0.01306159550973684,0.004823492510917223,0.05004374947406992,0.012972270116198758,0.010127380494649299,0.03273400162435011,0.014153161950770656,0.020228937758450586,0.016062356929703973,0.01611847310528379,0.008118785768374106,0.004712852269571366,0.03754184100444021,0.013770860524512325,0.00499298459489827,0.013312250226444817,0.012531434245264365,0.008050781424771778,0.050766957997414305
3,GB,33,0.07875218076151756,0.004485260670077564,0.037107536805002755,0.16696837040872692,0.03849088984622029,0.0199404758454587,0.023682977293020355,0.014702240651549625,0.04524689912042575,0.017549100073204264,0.06289135106708987,0.013049796359425445,0.014234335208043514,0.0065061403341342165,0.027029186226244648,0.004972530438499929,0.03453521035759431,0.012180451750806894,0.02579485170459792,0.011504620711039778,0.006897438247232121,0.06605105728112771,0.008239652722792727,0.009641711078690579,0.04095149443799537,0.004664038872390585,0.01239856593120164,0.03044674127278732,0.01943332184488773,0.012659000259676922,0.0016619488437236637,0.03181421927044767,0.010267648815194551,0.002107664546818891,0.007884849765299067,0.012812579165061823,0.002203171472300379,0.060240490539689384
4,FR,14,0.04405302455051757,0.0014222486446906287,0.04230423276831681,0.14105927431026025,0.04120005999505587,0.010305258453710707,0.02420854946280217,0.015571453259854071,0.06691831480000138,0.020755154197951597,0.04518409270737914,0.020351370766614557,0.004445298486297193,0.013406865122837336,0.03633728346041264,0.0028917829734113076,0.010656030234578064,0.007407301069968522,0.058227259966081094,0.016930011867386473,0.007034911252119342,0.05145362194674413,0.018395845679347055,0.013298183222193628,0.03568165033574797,0.029029157603011616,0.030310327184164577,0.0075459543032197285,0.021485373142391163,0.0043293394205796785,0.005019918136489463,0.03995452747516058,0.016488923746980015,0.009936705122942435,0.02005517818765488,0.01190715762335955,0.006984002930908721,0.04745435558885663
5,KR,13,0.03632296937686384,0.0009229291429858077,0.038470655851075966,0.10679598527838029,0.039470414285203696,0.008926655500039023,0.02452523569650448,0.016511641192448332,0.08338810433884795,0.023767271773851465,0.039960256734256155,0.011552135385219129,0.004080137900253223,0.016001353086011336,0.04103626754068446,0.0018808986526493003,0.008841110011217715,0.006852988185124222,0.05207675040802605,0.012569799196341387,0.0023850794126841694,0.06289143382676453,0.013334698693724794,0.008113605850121584,0.029375917781870965,0.05921125830552525,0.024823813991931235,0.014137999730943223,0.014293552214057655,0.0050398766733723305,0.012304217225362754,0.047942276714091916,0.016116803717389907,0.017956167582820152,0.016079180985210953,0.007360788150331138,0.015289069613496976,0.05939069999431501
6,DE,7,0.045702430330674663,0.0005975937821171572,0.03893605944094428,0.13454686459918627,0.04540531941696456,0.009344966097545315,0.02258853458290614,0.017764598431355756,0.05709970154726186,0.026253311681009243,0.04679993958581437,0.017193585315878675,0.016486735318877056,0.0037893556598394573,0.024328198164564486,0.0041670393858066574,0.009192069707015244,0.014629748601514428,0.028436362407115584,0.014603964845955929,0.006021611710448329,0.061939664088296424,0.02837510131900998,0.021368718578947614,0.03370410956556773,0.0092266027726173,0.0366384805882856,0.014915072442215741,0.02585251616843767,0.008033642544697586,0.002953914085675757,0.03592025806551656,0.011595993822689114,0.045892773897008396,0.006948812561620715,0.0087747699700857,0.005212356705240871,0.058759222211290485
7,ES,6,0.0249823255166936,0.00178805857567975,0.04648511817832703,0.1387653447204855,0.03568047462016249,0.006525637051634666,0.021026261761897966,0.020190777934566216,0.06333135648139053,0.02111628333097185,0.02601811847439803,0.026559588890165464,0.0018444885595136167,0.009280430092045884,0.03505215350302688,0.0011730840881418,0.0043360319898713496,0.0023064400782476335,0.05363439738094369,0.0207634526660044,0.0064204345222485006,0.047035232509015895,0.019930784512232347,0.011536654497878584,0.03151921889346973,0.06697439305557472,0.04661995717109183,0.004775562674225434,0.0343866456396391,0.003161688081908084,0.00507553837399295,0.036424635743032285,0.011243917165073133,0.02373247315779953,0.03604801931100162,0.0028321297511795167,0.014220494704070117,0.03720239634239702
8,MX,6,0.027823724940187117,0.002087280598420617,0.047753384029432216,0.1395625980074918,0.04120600043632885,0.010040890922567533,0.02019916692545385,0.01869305476413548,0.061232769680388495,0.0173723786690766,0.031699304264658716,0.015177054100564517,0.0016198704103671665,0.006360394153142033,0.031905886358250195,0.0009484659389953501,0.0052328915297307835,0.0020818219291011838,0.040977144513332085,0.018737856681870432,0.005596565799257117,0.05681963134696983,0.0221745464186073,0.012283499762185983,0.03659954105315912,0.06555127375873841,0.042575217429729355,0.01016155908356115,0.035804119237933134,0.0038347360009842505,0.00462630207570005,0.033650581437864535,0.01124311063670995,0.023357840733101046,0.035823401161855166,0.0014844208563008167,0.014220494704070117,0.04348121964977627
