,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
0,US,4450,0.03380024239309343,0.02980635264953492,0.12008223450345114,0.06052350355460246,0.09330019728195851,0.08376110006349874,0.03590524383653161,0.05048345141220523,0.003781490236411773,0.020579001633943772,0.02367737536248031,0.06458357540534929,0.08147606674745836,0.03301058126086677,0.06275683485856885,0.08424167520716135,0.02170731439318655,0.042510742758348694,0.04189471139724177,0.012118305044106338
1,JP,1955,0.011734281301538259,0.08031386161252947,0.09201862548264488,0.022372458934531873,0.07948471227745937,0.06409874765911053,0.0707325811835537,0.09025121989932985,0.12708178731343114,0.026555845906630817,0.0893299159422484,0.031058473190292115,0.014411249296754507,0.042620002520036504,0.06965090359766864,0.060520647657815584,0.009954519087619046,0.004420638372564704,0.011897294778471408,0.0014922339857696763
2,GB,1445,0.04232185887057823,0.030234217587987552,0.12200885107787723,0.04868643512594693,0.0858518019984474,0.07778184896590074,0.027239746235930836,0.04703143199613601,0.0017009021666633411,0.02033978194466939,0.015061144387711375,0.07397024526398936,0.11989904808873734,0.02177435464607781,0.057471283224647673,0.09223562120593139,0.02594362805560585,0.033755978157402944,0.04146827439412465,0.01522354660563525
3,CA,947,0.022441299680834078,0.023672637745828506,0.12124572320879146,0.0689333906586451,0.0954644748487548,0.07386420919788904,0.05000097693502807,0.07591986859077267,0.0042429823835471,0.019278454966358664,0.03075781806679476,0.04510999641793463,0.045804457545338954,0.03946784428457772,0.06537088841103508,0.07250467005269452,0.02112170790966321,0.04096878304992667,0.07500365928787348,0.008826156757712176
4,FR,380,0.022420915797997563,0.02294716995299802,0.11883274326396885,0.05922047310306643,0.09346389721035822,0.06008745371713072,0.04671613206809896,0.08284051181257744,0.006622389234257653,0.022593742425224255,0.03691749966872037,0.04499097772458392,0.028593090942591135,0.05633401578490571,0.07229375647178184,0.07398771022046943,0.015835526842267782,0.026924875032616417,0.09672525513640814,0.011651863589976752
5,KR,288,0.029070233520431074,0.07889264843616804,0.12457346484587678,0.03275301497799698,0.08149072637490033,0.07703135521292463,0.03989852400533775,0.05163448971019313,0.014735285631112224,0.026660655692932377,0.04728160998285156,0.08159334322836048,0.021946045581741548,0.0269817468755279,0.07833765233024213,0.08777694227189782,0.016337689868708087,0.011020277081093247,0.025457625485775116,0.046526668885928185
6,AU,286,0.04355532290447446,0.02298787084771374,0.11606923673538197,0.055007803012880864,0.09020747964287974,0.07004660110457162,0.030467612816595192,0.049461131292335314,0.002174197990553806,0.016276516725449507,0.018054414194221314,0.06161154124219452,0.14229860672548253,0.023421549082378916,0.054786476561255654,0.08549630884723716,0.030984778935049837,0.028630822039879034,0.04766551311849247,0.010796216180971707
7,DE,159,0.04750027238022372,0.02398760335378033,0.11353454827638725,0.04480024312853744,0.07116929454695116,0.08029537079321633,0.0374356550540909,0.05185478589634782,0.005917504724361178,0.024408319614256616,0.030343680385777776,0.06300653073899726,0.10459473036727107,0.03523173181772696,0.07243886768651862,0.07784050425493222,0.017875718046521417,0.020920738470423427,0.05377273359512146,0.02307116686855644
8,CN,145,0.02411781244487591,0.04626116667707517,0.10340052288429531,0.025846534657776168,0.06503905059290355,0.05167049524217349,0.040421095402794885,0.05753750596539743,0.01281935322718703,0.058777093874786995,0.028325783018022185,0.0730524975368125,0.017229619396081086,0.032565953171211456,0.07539820010713306,0.06877093365796591,0.01106693330991619,0.009084037309222286,0.03691109254112023,0.1617043189832485
9,ES,118,0.034788272977891214,0.03407277541430079,0.11990975171577266,0.04899801016193489,0.08787617121268465,0.0640258662888941,0.03635382116109792,0.06809121042990493,0.009224654467809188,0.025708124700632877,0.03516653132840179,0.07230403488080289,0.033162710688637256,0.032894667957886016,0.07916601975167695,0.0863793180630148,0.019469655659631793,0.04510464446684369,0.05635976934000665,0.010943989332174282
