,country,total_works,topic_1,topic_2
0,US,323,0.6395865999569391,0.3604134000430614
1,JP,138,0.6404955715298638,0.35950442847013614
2,CA,50,0.6447815696461282,0.3552184303538718
3,GB,33,0.676468576255313,0.3235314237446869
4,FR,14,0.6686649242157533,0.33133507578424654
5,KR,13,0.6570948640369461,0.34290513596305383
6,DE,7,0.6371010350288218,0.36289896497117813
7,ES,6,0.6122577724028634,0.3877422275971367
8,MX,6,0.6188866290198639,0.38111337098013603
