,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26
0,US,323,0.010961453596840622,0.19978511033025798,0.0643634419984506,0.17860084794034242,0.03409019435368926,0.10150486876942312,0.02605575809718116,0.039851362847825055,0.02051125233084937,0.00903605883986825,0.05854238770609751,0.035387217745436426,0.048281350202155564,0.016311909300625226,0.027733742934935524,0.010018644533551778,0.011835345302590646,0.001910928596843714,0.005949312800971854,0.03614292149296052,0.0294338977073811,0.009352410658234772,0.003929049073525066,0.016799620243313756,0.002074523229270691,0.0015363893673769162
1,JP,138,0.005459805783151124,0.15274882045280525,0.03650522252353703,0.17059679176335912,0.037352376931489205,0.11945807195396413,0.013474229544610139,0.03022502105501698,0.005868297002605482,0.013762090309382153,0.08960810436166036,0.04279932231548787,0.0520412056876862,0.015493950086966943,0.03290912894059202,0.024308307011456993,0.0106962829506659,0.005795030345531401,0.0024975907260839925,0.06724799040458587,0.042741208561461755,0.005766329075784171,0.012193811713916317,0.00525615647263927,0.002976003851767393,0.00221885017379176
2,CA,50,0.011572708295501572,0.18817347657392183,0.05637107973835597,0.1686695211587993,0.03241410942652322,0.1102772806427465,0.025278716164266288,0.033311067331144695,0.01617464133762884,0.010252109725051549,0.05454057917530685,0.03791700449368682,0.05219792129669214,0.017572426277998886,0.03964357018733722,0.012967782709108356,0.01387987692563284,0.001967135351392918,0.004897495905911284,0.04484610298230002,0.034735713061091654,0.010081420337330893,0.004307339243466533,0.012881262394018997,0.0031277121439467342,0.001941947120837198
3,GB,33,0.013082705219687678,0.20799222158556982,0.061090857333482435,0.18244020911442918,0.036352243758778796,0.09974300439239853,0.028959735458713352,0.042283626756179804,0.02038290916720436,0.007167948105896405,0.05146291546596862,0.03682889053502074,0.04625333536975018,0.018344307552446846,0.028902086605621165,0.007900039223347227,0.009480668411966348,0.0016220694884992906,0.006229064792773552,0.02979156132292023,0.029586219339748112,0.008075138167689995,0.00332287031115109,0.01815564336142323,0.0030001345500531235,0.001549594609278879
4,FR,14,0.009512869147155907,0.18165693154146823,0.06045807798203622,0.17974075307158413,0.026898664341587202,0.10794354315420333,0.018491851479112194,0.02584900051894475,0.014760415926384728,0.015226289689066466,0.06401011612874195,0.04216956759468731,0.06003911103968978,0.01390283457788367,0.027289251620635255,0.01598374136368588,0.015417207049049194,0.0025851770554982285,0.0018869787843732858,0.04950205355424041,0.036270614779007226,0.012419030210349678,0.0046929117114313645,0.009699332413401358,0.001886256759021007,0.0017074185067601428
5,KR,13,0.00803026315117183,0.16908409421310494,0.05388027255099724,0.1939406617593183,0.025802320920427342,0.11173283825609011,0.018638912564328123,0.02411584306527615,0.01504622947070884,0.014489457713221413,0.06396532217587479,0.04518694264526001,0.054145099986416007,0.009929906006549593,0.025530893141041424,0.02229028229055376,0.015234733365006699,0.0025842500068187996,0.002794587907462423,0.06184308413948489,0.03710879743917375,0.008494245821199446,0.005265916905500446,0.007744073620322192,0.002005123090109408,0.0011158477945809155
6,DE,7,0.009521862370630426,0.19174592160297296,0.059622059801179565,0.1890255684917179,0.030950119878254377,0.09458147333897006,0.013354821143782915,0.03146569076050863,0.01684379214434364,0.012536652270173813,0.0789709078600236,0.036878936381492304,0.05673096690388062,0.015117374318467828,0.03386736778306747,0.011200980796289601,0.011285831820059627,0.0039539809381808,0.0033126280086855854,0.03617692017965079,0.027495582972396175,0.0104337798939983,0.00903427234668093,0.011883276774829128,0.002388020256407771,0.001621210963354357
7,ES,6,0.010546756954563233,0.1667972246355398,0.06131266161439417,0.17209707039590738,0.024636500941616065,0.09644849924405609,0.011316913034945968,0.0234806979854017,0.015273870913959152,0.01770911379431137,0.0755964320150646,0.041285172024204585,0.06623672917367894,0.008854985234672917,0.03099218309383007,0.01843263334504468,0.013326685288413784,0.0036309721431227004,0.0022299548769039164,0.070599620823255,0.03549369873354405,0.016230610827726134,0.008732379471906,0.0059573436249351006,0.002003711983656217,0.0007775778253454833
8,MX,6,0.008135665935877284,0.1752715004218037,0.06336440733702599,0.18328791479598483,0.025620438820565115,0.09600528398326824,0.01139396430335985,0.027856937283457815,0.016860581547579686,0.015750784211261002,0.07862120570253374,0.039029547281610365,0.06240121249378398,0.008856348973936884,0.02745123409495107,0.017604161742187385,0.010087122666870516,0.0036309721431227004,0.0033611765963609164,0.06442188195750422,0.0306728804354361,0.012463962980661316,0.00933651596584145,0.0060343948933489835,0.002003711983656217,0.00047619144800974995
