,country,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0,JP,237,0.12487915616748152,0.06329245030923648,0.2916651832527857,0.05112578121786838,0.22818657456877725,0.2231565002474902,0.017694354236360083
1,US,197,0.1493267082160426,0.030454650837412157,0.2506892038622342,0.11985150506141647,0.17600858999026375,0.2430150497105347,0.030654292322095756
2,CA,48,0.16959431740615846,0.025495550715212745,0.2355801753491641,0.15326735710267655,0.13571576250473902,0.24873202664779456,0.03161481027425431
3,GB,35,0.15992366889947784,0.02625093279793792,0.2143612578976938,0.1278458376971943,0.14202790558903633,0.2717695921848888,0.05782080493377079
4,CN,17,0.13401421520993032,0.028103779538447067,0.25532148315911724,0.10084706015334974,0.17008053593720995,0.26423042704292893,0.04740249895901636
5,SG,14,0.1292933840524517,0.026261383648468944,0.26020472020590935,0.10141394911523978,0.15767252185572941,0.2716650856257452,0.05348895549645535
6,DE,10,0.15320531121232472,0.0202419206538311,0.19976878499947853,0.1525102306652682,0.11163800665664743,0.3261807442179063,0.036455001594543436
7,SE,9,0.17387498979953678,0.020892794324021333,0.2004206582720957,0.16643129127796535,0.13149672785746305,0.26916613365930575,0.03771740480961186
8,FR,7,0.18234070766188262,0.0263693045108995,0.20804019111338065,0.12175795329830606,0.12990440164621012,0.28965657682370866,0.04193086494561214
9,FI,6,0.07193368413812949,0.022580535932591985,0.14422709235006556,0.16805563964136203,0.08120246558442307,0.3774265027986928,0.1345740795547349
