"","order","value","sd"
"1",1,2068.33333333333,1746.05677170016
"2",2,823.861111111111,492.707166161912
"3",3,564.440476190476,313.030286505396
"4",4,446.079365079365,276.182363033546
"5",5,365.380952380952,251.850776679933
"6",6,300.333333333333,230.277691626966
"7",7,242.055555555556,203.20305740732
"8",8,186.111111111111,160.484769093865
"9",9,131,NA
