"","order","value","sd"
"1",1,2665.625,2212.75948841518
"2",2,1013.5,1027.29971464208
"3",3,500.535714285714,657.88053528076
"4",4,255.114285714286,446.499477996259
"5",5,123.571428571429,244.173325707402
"6",6,59.9642857142857,58.6486602056291
"7",7,36.125,17.6346857884438
"8",8,27,NA
