"","order","value","sd"
"1",1,1761.83333333333,1979.47633647555
"2",2,355.866666666667,605.854398664359
"3",3,77.35,125.232951355716
"4",4,21.2,27.3082928273237
"5",5,8,5.17687164221791
"6",6,4,NA
