"","order","value","sd"
"1",1,13734.6666666667,6018.55798759138
"2",2,8973.63888888889,3447.25675742137
"3",3,6788.78571428571,2097.83400673015
"4",4,5560.31746031746,1420.97689580538
"5",5,4771.33333333333,1011.6287856719
"6",6,4221.57142857143,725.019971236593
"7",7,3816.27777777778,511.35185600027
"8",8,3503.33333333333,338.972712766087
"9",9,3252,NA
