"","order","value","sd"
"1",1,2807.42857142857,2804.72344787282
"2",2,721.904761904762,757.030574333818
"3",3,269.4,309.971649557523
"4",4,116.828571428571,162.059082493044
"5",5,54.9523809523809,63.373871737867
"6",6,29.5714285714286,28.9531641498078
"7",7,16,NA
