"","order","value","sd"
"1",1,15089.3,8107.11091230683
"2",2,9065.28888888889,5482.02533335587
"3",3,6066.93333333333,3527.62647542793
"4",4,4409.0238095238,2250.1587024104
"5",5,3415.8253968254,1460.83953420322
"6",6,2778.3619047619,972.194032495222
"7",7,2344.55833333333,653.174302033948
"8",8,2034.8,431.59875094604
"9",9,1804.7,263.939408029781
"10",10,1628,NA
