,series,HH_index,works_in_series
225,pokernight,1.0,2
226,policequest,1.0,3
227,portal,1.0,3
228,powerprokunpocket,1.0,14
229,princeofpersia,1.0,3
230,princessmaker,1.0,4
231,professorlayton,1.0,8
232,prototype,1.0,2
233,psychonauts,1.0,3
234,puyopuyo,1.0,14
235,quakei,1.0,4
236,questforglory,1.0,6
237,rage,1.0,2
238,raidoukuzunohavs,1.0,2
239,rainbowsix,1.0,2
240,ratchetandclank,1.0,12
241,ravenloftst,1.0,2
242,rayman,1.0,4
243,rebelgalaxy,1.0,2
244,reddeadredemption,1.0,3
245,redorchestra,1.0,2
246,residentevil,1.0,20
247,risingstorm,1.0,2
248,rivercitygirls,1.0,2
249,rivercityransom,1.0,2
250,robotunicornattack,1.0,2
251,roguelegacy,1.0,2
252,romancingsaga,1.0,3
253,runaway,1.0,3
254,runefactory,1.0,8
255,snkvscapcom,1.0,4
256,sagafrontier,1.0,2
257,saintseiya,1.0,3
258,saintsrow,1.0,6
259,sakurawars,1.0,7
260,samandmax,1.0,4
261,samuraijack,1.0,3
262,scoobydoo,1.0,5
263,serioussam,1.0,7
264,shadowwarrior,1.0,3
265,shellshock,1.0,2
266,shenmue,1.0,3
267,sherlockholmes,1.0,4
268,shinmegamitensei,1.0,12
269,shiningforce,1.0,4
270,shivers,1.0,2
271,shrek,1.0,2
272,silenthill,1.0,11
273,sly,1.0,2
274,sniperelite,1.0,4
275,sniperghostwarrior,1.0,4
276,s,1.0,53
277,soulcalibur,1.0,3
278,southpark,1.0,5
279,spacequest,1.0,9
280,sparktheelectricjester,1.0,2
281,,1.0,15
282,splatoon,1.0,3
283,splintercell,1.0,7
284,spyro,1.0,11
285,starcraft,1.0,6
286,starfox,1.0,8
287,starocean,1.0,3
288,starruler,1.0,2
289,startrek,1.0,14
290,starwars,1.0,5
291,stateofdecay,1.0,2
292,steamworld,1.0,3
293,storyofseasons,1.0,5
294,streetfighter,1.0,12
295,suikoden,1.0,8
296,summonnight,1.0,7
297,summoner,1.0,2
298,supermario,1.0,26
299,superrobotwars,1.0,33
300,supersmashbros,1.0,6
301,sydneyhunterandthe,1.0,4
302,talesofdestiny,1.0,2
303,talesofsymphonia,1.0,2
304,talesofxillia,1.0,2
305,teenagemutantninjaturtles,1.0,9
306,tekken,1.0,4
307,tengaimakyou,1.0,3
308,theadventuresofjimmyneutronboygenius,1.0,2
309,thebannersaga,1.0,3
310,thecluefinders,1.0,6
311,thecrew2,1.0,2
312,thedivision,1.0,2
313,theelderscrolls,1.0,9
314,theescapists,1.0,2
315,theevilwithin,1.0,2
316,thefairlyoddparents,1.0,2
317,theflintstonesthe,1.0,2
318,thegetaway,1.0,2
319,theidolmaster,1.0,4
320,thekingoffighters,1.0,7
321,thelastofus,1.0,2
322,thelegendofheroes,1.0,5
323,thelegendofzelda,1.0,18
324,thelordoftherings,1.0,5
325,theperfecttower,1.0,2
326,thescorpionking,1.0,2
327,thesimpsons,1.0,12
328,thesims,1.0,6
329,thesmurfs,1.0,2
330,thesurge,1.0,2
331,thewalkingdead,1.0,5
332,thewitchandthehundredknight,1.0,2
333,thewitcher,1.0,3
334,thief,1.0,3
335,thisisthepolice,1.0,2
336,tinytoonadventures,1.0,6
337,titanfall,1.0,2
338,tombraider,1.0,9
339,torchlight,1.0,3
340,totalannihilation,1.0,2
341,totalwar,1.0,6
342,totalwarwarhammer,1.0,2
343,touhou,1.0,30
344,toystory,1.0,2
345,transformers,1.0,11
346,ultima,1.0,13
347,uncharted,1.0,6
348,unrealchampionship,1.0,2
349,unreali,1.0,2
350,unrealtournament,1.0,4
351,utawarerumono,1.0,4
352,valkyriachronicles,1.0,4
353,valkyrieprofile,1.0,3
354,valthirianarc,1.0,2
355,wwf,1.0,3
356,warhammer,1.0,8
357,warioland,1.0,6
358,wasteland,1.0,2
359,watchdogs,1.0,3
360,waynesworld,1.0,2
361,welcometothegame,1.0,2
362,wherein,1.0,5
363,wiisports,1.0,2
364,wildarms,1.0,8
365,winniethepoohs,1.0,2
366,wolfenstein,1.0,8
367,wonderboy,1.0,6
368,xc,1.0,8
369,xmenmutantacademy,1.0,2
370,xenobladechronicles,1.0,3
371,yakuza,1.0,11
372,yonoid,1.0,2
373,yokaiwatch,1.0,8
374,yoshis,1.0,3
375,ys,1.0,14
376,yugioh,1.0,15
