,year,total_works,topic_1,topic_2,topic_3
0,1930.0,1,1.0,0.0,0.0
1,1931.0,1,1.0,0.0,0.0
2,1933.0,1,1.0,0.0,0.0
3,1934.0,1,1.0,0.0,0.0
4,1939.0,1,1.0,0.0,0.0
5,1943.0,1,1.0,0.0,0.0
6,1947.0,2,1.0,0.0,0.0
7,1948.0,1,1.0,0.0,0.0
8,1949.0,2,1.0,0.0,0.0
9,1950.0,9,1.0,0.0,0.0
10,1951.0,8,1.0,0.0,0.0
11,1952.0,10,1.0,0.0,0.0
12,1953.0,4,1.0,0.0,0.0
13,1954.0,8,1.0,0.0,0.0
14,1955.0,12,1.0,0.0,0.0
15,1956.0,10,1.0,0.0,0.0
16,1957.0,18,1.0,0.0,0.0
17,1958.0,20,1.0,0.0,0.0
18,1959.0,20,0.9916666666666666,0.0,0.00833333333333333
19,1960.0,15,0.9777777777777779,0.0,0.022222222222222213
20,1961.0,27,0.9907407407407407,0.0,0.009259259259259259
21,1962.0,18,1.0,0.0,0.0
22,1963.0,17,1.0,0.0,0.0
23,1964.0,31,0.989247311827957,0.005376344086021503,0.005376344086021503
24,1965.0,40,1.0,0.0,0.0
25,1966.0,42,0.9853174603174603,0.0,0.014682539682539682
26,1967.0,34,0.9877450980392157,0.0,0.012254901960784312
27,1968.0,29,1.0,0.0,0.0
28,1969.0,35,0.9904761904761906,0.00476190476190476,0.00476190476190476
29,1970.0,29,0.9942528735632185,0.005747126436781607,0.0
30,1971.0,41,0.9959349593495935,0.0,0.004065040650406503
31,1972.0,59,1.0,0.0,0.0
32,1973.0,51,1.0,0.0,0.0
33,1974.0,46,0.996376811594203,0.0,0.0036231884057971
34,1975.0,50,0.99,0.0066666666666666645,0.0033333333333333322
35,1976.0,58,1.0,0.0,0.0
36,1977.0,50,0.9866666666666667,0.0033333333333333322,0.009999999999999998
37,1978.0,51,0.9934640522875818,0.003267973856209149,0.003267973856209149
38,1979.0,62,1.0,0.0,0.0
39,1980.0,44,0.984090909090909,0.0037878787878787862,0.012121212121212121
40,1981.0,61,1.0,0.0,0.0
41,1982.0,56,0.9970238095238095,0.0,0.002976190476190475
42,1983.0,84,1.0,0.0,0.0
43,1984.0,76,1.0,0.0,0.0
44,1985.0,83,0.997991967871486,0.0020080321285140556,0.0
45,1986.0,76,0.9978070175438596,0.0,0.00219298245614035
46,1987.0,98,0.9962585034013606,0.0,0.003741496598639455
47,1988.0,75,0.9914285714285714,0.0,0.008571428571428568
48,1989.0,90,0.9944444444444445,0.001851851851851851,0.003703703703703702
49,1990.0,93,0.9982078853046594,0.0,0.0017921146953405011
50,1991.0,101,0.9969354078264969,0.0016501650165016495,0.0014144271570014138
51,1992.0,98,0.9965986394557822,0.0017006802721088428,0.0017006802721088428
52,1993.0,123,0.9959349593495935,0.0,0.004065040650406502
53,1994.0,127,0.9988751406074241,0.0,0.0011248593925759275
54,1995.0,134,0.9975124378109452,0.0,0.0024875621890547255
55,1996.0,154,0.9969078540507114,0.0,0.0030921459492888057
56,1997.0,158,0.9981916817359856,0.0,0.0018083182640144658
57,1998.0,172,0.9990310077519381,0.0,0.0009689922480620152
58,1999.0,205,0.9983739837398375,0.0,0.001626016260162601
59,2000.0,173,0.9954582989265071,0.0,0.0045417010734929795
60,2001.0,197,0.9975827894609621,0.0007251631617113848,0.0016920473773265644
61,2002.0,204,0.9973856209150327,0.0,0.0026143790849673196
62,2003.0,215,0.9967441860465117,0.0,0.0032558139534883714
63,2004.0,224,0.9963860544217686,0.0007440476190476188,0.0028698979591836728
64,2005.0,271,0.9981549815498155,0.0006150061500615004,0.0012300123001230008
65,2006.0,276,0.9977570738440302,0.0,0.0022429261559696336
66,2007.0,286,0.9988344988344987,0.0,0.001165501165501165
67,2008.0,275,0.9953333333333331,0.0012121212121212117,0.003454545454545454
68,2009.0,307,0.9979060027919964,0.0,0.0020939972080037217
69,2010.0,295,0.9972558514931397,0.0,0.00274414850686037
70,2011.0,363,0.9986881805063621,0.0,0.001311819493637675
71,2012.0,320,0.9984375000000002,0.0010416666666666667,0.0005208333333333331
72,2013.0,343,0.9956962376787449,0.0,0.004303762321255031
73,2014.0,327,0.9978593272171252,0.0006116207951070337,0.0015290519877675835
74,2015.0,354,0.9981167608286252,0.00047080979284369097,0.0014124293785310728
75,2016.0,321,0.996884735202492,0.0,0.003115264797507787
76,2017.0,355,0.9988732394366198,0.0,0.0011267605633802818
77,2018.0,328,0.9988821138211382,0.0005081300813008128,0.0006097560975609756
78,2019.0,317,0.9969205347754243,0.000525762355415352,0.0025537028691602816
79,2020.0,317,0.9964698813279256,0.003004356316659155,0.000525762355415352
80,2021.0,274,0.9992700729927008,0.0,0.0007299270072992701
