,year,total_works,topic_1,topic_2
0,1951.0,1,0.5968028419182948,0.4031971580817051
1,1952.0,1,0.6245919477693145,0.3754080522306855
2,1959.0,2,0.6786212285130424,0.3213787714869576
3,1960.0,1,0.6096807415036045,0.3903192584963955
4,1964.0,1,0.7087912087912088,0.2912087912087912
5,1965.0,2,0.7008788773494656,0.29912112265053437
6,1966.0,3,0.6618593118406784,0.3381406881593217
7,1969.0,2,0.6472718795487628,0.35272812045123725
8,1970.0,1,0.7455516014234875,0.2544483985765124
9,1972.0,3,0.6281224780977449,0.37187752190225504
10,1973.0,1,0.6575757575757576,0.3424242424242424
11,1974.0,2,0.5913592867081239,0.408640713291876
12,1975.0,2,0.6336818809526233,0.36631811904737666
13,1976.0,1,0.6672811059907834,0.3327188940092166
14,1978.0,1,0.6208026208026208,0.3791973791973791
15,1979.0,1,0.5662650602409639,0.4337349397590361
16,1981.0,3,0.6467733193460967,0.3532266806539033
17,1982.0,3,0.5900093310155249,0.40999066898447506
18,1983.0,3,0.7039493644864109,0.29605063551358907
19,1984.0,5,0.6595599683341091,0.3404400316658909
20,1985.0,6,0.6194815664466682,0.3805184335533318
21,1986.0,2,0.6622758656698998,0.3377241343301002
22,1987.0,5,0.6211502709805238,0.3788497290194761
23,1988.0,5,0.6230176839597434,0.37698231604025645
24,1989.0,9,0.6126540348822233,0.38734596511777675
25,1990.0,6,0.6967182496662835,0.30328175033371635
26,1991.0,5,0.6309469843500735,0.3690530156499266
27,1992.0,6,0.6695504425983408,0.33044955740165904
28,1993.0,13,0.6134791516090415,0.38652084839095835
29,1994.0,11,0.6420441777430285,0.3579558222569715
30,1995.0,14,0.6304700607500815,0.3695299392499182
31,1996.0,12,0.6108873627399741,0.38911263726002576
32,1997.0,10,0.6151135785202924,0.3848864214797076
33,1998.0,7,0.6534058142096484,0.34659418579035156
34,1999.0,14,0.6335399507847118,0.3664600492152882
35,2000.0,12,0.6314409106238762,0.36855908937612364
36,2001.0,18,0.6478655302892142,0.35213446971078594
37,2002.0,15,0.6251680394496674,0.3748319605503326
38,2003.0,17,0.6657637230194592,0.33423627698054076
39,2004.0,23,0.6439828604594617,0.3560171395405381
40,2005.0,28,0.6262474646773029,0.37375253532269725
41,2006.0,20,0.6525529566545378,0.3474470433454623
42,2007.0,21,0.6293855215426569,0.370614478457343
43,2008.0,23,0.6356289987977047,0.3643710012022952
44,2009.0,27,0.6338655631401778,0.3661344368598222
45,2010.0,19,0.6755202947538684,0.3244797052461316
46,2011.0,17,0.6494903207215014,0.35050967927849863
47,2012.0,20,0.6680298447710522,0.33197015522894774
48,2013.0,14,0.6703605972335739,0.3296394027664262
49,2014.0,12,0.6745153679393389,0.3254846320606611
50,2015.0,15,0.63927814323516,0.36072185676483987
51,2016.0,10,0.6328965920952844,0.3671034079047156
52,2017.0,9,0.6313482631639474,0.36865173683605257
53,2018.0,4,0.6874066000427905,0.3125933999572095
54,2019.0,7,0.6619785438935616,0.3380214561064383
55,2020.0,4,0.6444352969575313,0.3555647030424686
56,2021.0,2,0.6567517702204049,0.3432482297795951
