,year,total_works,topic_1,topic_2
0,1930.0,1,0.695067264573991,0.3049327354260089
1,1931.0,1,0.5,0.5
2,1933.0,1,0.5555555555555556,0.4444444444444444
3,1934.0,1,0.7352941176470589,0.2647058823529412
4,1939.0,1,0.5211267605633803,0.4788732394366197
5,1943.0,1,0.5,0.5
6,1947.0,2,0.4952330508474576,0.5047669491525424
7,1948.0,1,0.7333333333333333,0.2666666666666666
8,1949.0,2,0.5875,0.4125
9,1950.0,9,0.5836242389935565,0.4163757610064434
10,1951.0,8,0.6459789433173269,0.35402105668267314
11,1952.0,10,0.599307379073736,0.4006926209262639
12,1953.0,4,0.4497474747474747,0.5502525252525252
13,1954.0,8,0.5117425604157381,0.488257439584262
14,1955.0,12,0.7526993032333529,0.2473006967666471
15,1956.0,10,0.5611664450057453,0.4388335549942547
16,1957.0,18,0.7054719498703963,0.29452805012960354
17,1958.0,20,0.6360875213817737,0.3639124786182264
18,1959.0,20,0.5962418982901585,0.40375810170984155
19,1960.0,15,0.616867755708754,0.38313224429124587
20,1961.0,27,0.550294403605656,0.449705596394344
21,1962.0,18,0.657289251802042,0.3427107481979581
22,1963.0,17,0.5973364527352082,0.4026635472647918
23,1964.0,31,0.623128115109848,0.376871884890152
24,1965.0,40,0.6289126207729957,0.3710873792270044
25,1966.0,42,0.6166292120962066,0.3833707879037936
26,1967.0,34,0.6280034968003695,0.37199650319963035
27,1968.0,29,0.6679327415790557,0.33206725842094437
28,1969.0,35,0.6423611546928267,0.35763884530717355
29,1970.0,29,0.5881738856078291,0.4118261143921709
30,1971.0,41,0.6250164856297816,0.3749835143702184
31,1972.0,59,0.6140629875108274,0.3859370124891724
32,1973.0,51,0.5738639721109726,0.4261360278890274
33,1974.0,46,0.6127288995089734,0.3872711004910266
34,1975.0,50,0.6081968840384109,0.39180311596158895
35,1976.0,58,0.6158323956016574,0.38416760439834263
36,1977.0,50,0.580239303157125,0.41976069684287504
37,1978.0,51,0.6476166802752138,0.3523833197247862
38,1979.0,62,0.6086411539594481,0.3913588460405518
39,1980.0,44,0.6211469502862189,0.37885304971378103
40,1981.0,61,0.6170442362697396,0.38295576373026036
41,1982.0,56,0.6355784464426716,0.36442155355732836
42,1983.0,84,0.5905149243108768,0.40948507568912307
43,1984.0,76,0.6088008570421701,0.3911991429578299
44,1985.0,83,0.6051498048184598,0.3948501951815403
45,1986.0,76,0.625999717727126,0.3740002822728739
46,1987.0,98,0.6402808425290659,0.3597191574709339
47,1988.0,75,0.6413103513778243,0.35868964862217556
48,1989.0,90,0.6681733861265078,0.3318266138734917
49,1990.0,93,0.6409572303868774,0.35904276961312276
50,1991.0,101,0.657434761456337,0.34256523854366266
51,1992.0,98,0.6726759135125765,0.32732408648742345
52,1993.0,123,0.6486364231393288,0.3513635768606712
53,1994.0,127,0.6370952240702985,0.3629047759297017
54,1995.0,134,0.6662618617418102,0.33373813825818965
55,1996.0,154,0.6427189725768834,0.3572810274231164
56,1997.0,158,0.6570079150060713,0.34299208499392897
57,1998.0,172,0.6282277865517577,0.37177221344824257
58,1999.0,205,0.6296574077375305,0.37034259226246946
59,2000.0,173,0.6595729129216875,0.3404270870783126
60,2001.0,197,0.6655514824594976,0.3344485175405022
61,2002.0,204,0.6558566060434472,0.34414339395655286
62,2003.0,215,0.6558085578550333,0.344191442144967
63,2004.0,224,0.6648404514345649,0.335159548565435
64,2005.0,271,0.669149800649835,0.33085019935016546
65,2006.0,276,0.643351798686834,0.3566482013131658
66,2007.0,286,0.6576476577957053,0.34235234220429483
67,2008.0,275,0.6639117419085202,0.3360882580914804
68,2009.0,307,0.678324712838796,0.3216752871612037
69,2010.0,295,0.6968095572508435,0.3031904427491564
70,2011.0,363,0.6875186926844848,0.31248130731551493
71,2012.0,320,0.6815310302150204,0.3184689697849802
72,2013.0,343,0.6830085729177873,0.31699142708221234
73,2014.0,327,0.6804545351590813,0.319545464840919
74,2015.0,354,0.6858502977923038,0.31414970220769567
75,2016.0,321,0.6739164334284765,0.3260835665715234
76,2017.0,355,0.6675375568218308,0.3324624431781684
77,2018.0,328,0.6675553763348197,0.33244462366518046
78,2019.0,317,0.6820299025034079,0.31797009749659205
79,2020.0,317,0.6659277142378321,0.334072285762167
80,2021.0,274,0.6297933580415913,0.3702066419584088
