,year,total_works,topic_1,topic_2
0,1971.0,1,0.8888888888888888,0.1111111111111111
1,1974.0,1,0.8461538461538461,0.1538461538461538
2,1975.0,2,0.95,0.05
3,1976.0,3,0.8302083333333333,0.16979166666666667
4,1977.0,6,0.7070494864612512,0.29295051353874874
5,1978.0,3,0.7434343434343434,0.2565656565656565
6,1979.0,3,0.8167064914376742,0.18329350856232574
7,1980.0,7,0.8529358302252704,0.14706416977472964
8,1981.0,19,0.785616897163994,0.21438310283600578
9,1982.0,38,0.7900317315922196,0.20996826840778046
10,1983.0,28,0.830561866774542,0.16943813322545806
11,1984.0,25,0.8469695435715607,0.15303045642843915
12,1985.0,26,0.8581875703559848,0.14181242964401514
13,1986.0,30,0.8806924331705329,0.11930756682946692
14,1987.0,57,0.874907006258998,0.1250929937410017
15,1988.0,37,0.8717934694635668,0.12820653053643336
16,1989.0,63,0.8774077685774597,0.12259223142254015
17,1990.0,82,0.8729834766708466,0.12701652332915334
18,1991.0,81,0.8896096474598076,0.1103903525401925
19,1992.0,104,0.8831852134419205,0.11681478655807902
20,1993.0,137,0.8903210612857886,0.10967893871421126
21,1994.0,109,0.8886901017538816,0.11130989824611816
22,1995.0,123,0.8899542681307183,0.1100457318692813
23,1996.0,117,0.8819211333025438,0.11807886669745608
24,1997.0,113,0.8918567678245618,0.1081432321754376
25,1998.0,108,0.8775863101241635,0.12241368987583619
26,1999.0,131,0.8910641308169309,0.10893586918306877
27,2000.0,118,0.8914270725010819,0.10857292749891789
28,2001.0,127,0.9035544875596199,0.09644551244038045
29,2002.0,115,0.8997711953307619,0.10022880466923843
30,2003.0,145,0.8906386495639379,0.10936135043606152
31,2004.0,146,0.8886126699959003,0.11138733000409996
32,2005.0,145,0.88983065413722,0.1101693458627798
33,2006.0,144,0.893261400617411,0.10673859938258867
34,2007.0,159,0.8868502212965731,0.11314977870342646
35,2008.0,172,0.8947662593941654,0.10523374060583462
36,2009.0,241,0.8882794875723801,0.11172051242761949
37,2010.0,227,0.8913588857853216,0.10864111421467831
38,2011.0,229,0.8885279417409826,0.11147205825901736
39,2012.0,257,0.8997348183012917,0.10026518169870852
40,2013.0,270,0.893523323864328,0.10647667613567205
41,2014.0,317,0.8851029933177174,0.11489700668228238
42,2015.0,392,0.8874286030571824,0.1125713969428184
43,2016.0,435,0.8903841319668233,0.10961586803317742
44,2017.0,447,0.8888854819602006,0.11111451803979952
45,2018.0,404,0.8869127771114468,0.11308722288855312
46,2019.0,362,0.8845715222562214,0.11542847774377853
47,2020.0,283,0.8933005191144303,0.10669948088556944
48,2021.0,254,0.8980629526182182,0.10193704738178178
