,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17
0,1971.0,1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1,1974.0,1,0.0,0.1851851851851851,0.0,0.0,0.0,0.074074074074074,0.0,0.074074074074074,0.1111111111111111,0.037037037037037,0.0,0.0,0.0,0.3333333333333333,0.037037037037037,0.1481481481481481,0.0
2,1975.0,2,0.0,0.05,0.0,0.0,0.05,0.1,0.05,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1976.0,3,0.0140845070422535,0.15633802816901407,0.0140845070422535,0.023474178403755864,0.0328638497652582,0.09436619718309858,0.0,0.004694835680751167,0.4995305164319248,0.004694835680751167,0.0,0.0,0.0708920187793427,0.009389671361502334,0.06619718309859153,0.009389671361502334,0.0
4,1977.0,6,0.09309732664995819,0.11048454469507096,0.0,0.011904761904761899,0.0,0.05987190197716511,0.0,0.023809523809523798,0.5756404901141743,0.0,0.0,0.0087719298245614,0.0,0.0,0.05125661375661375,0.0087719298245614,0.05639097744360902
5,1978.0,3,0.027777777777777766,0.22539682539682537,0.013888888888888867,0.0,0.013888888888888867,0.10833333333333334,0.03333333333333333,0.013888888888888867,0.33214285714285713,0.0,0.0,0.013888888888888867,0.027777777777777766,0.08095238095238093,0.061111111111111095,0.0,0.047619047619047596
6,1979.0,3,0.10058097312999272,0.18155410312273054,0.012345679012345666,0.034495279593318766,0.012345679012345666,0.07625272331154682,0.031953522149600566,0.04684095860566447,0.32135076252723316,0.012345679012345666,0.0,0.012345679012345666,0.022149600580973098,0.061728395061728364,0.031953522149600566,0.009803921568627433,0.031953522149600566
7,1980.0,7,0.12550099278268892,0.1757083547165054,0.007981848385397672,0.05367690428120055,0.029675769013611526,0.08141253088561207,0.020845567900746053,0.03558753030594729,0.2683424559895423,0.0,0.0016496205872649286,0.02982739435768281,0.07641542634369812,0.023546163329802555,0.0265389268615636,0.009828265814652098,0.033462248444083784
8,1981.0,19,0.10455467312799964,0.18007794006361919,0.014527367930397033,0.028951305271455258,0.026077385775564503,0.0774857999166404,0.020581757276199732,0.04046538154233683,0.34983442700741113,0.005151475982265663,0.002402396365244658,0.010611716900870791,0.044035669999941955,0.02707750569910628,0.029376048563977797,0.015554275329408621,0.023234873247560104
9,1982.0,38,0.11008478222851031,0.19268171453820263,0.010368202191559116,0.03562604130886805,0.020625053813103544,0.07568452579898796,0.009013745752443519,0.04059424678056957,0.35597631163439136,0.0016186785696767527,0.0038672271741102444,0.013547078284987956,0.026976108657330466,0.01624556131234718,0.017806193076294333,0.022620852714256033,0.046663676164360686
10,1983.0,28,0.11509510798569382,0.20140176302118487,0.026780603510427027,0.0710614917376082,0.035365228202788555,0.0685124265472548,0.021566241226716836,0.0432776718362227,0.26297318541864584,0.005524610002143738,0.0030536820581682747,0.005085385797306322,0.03277599795181607,0.018225085573882766,0.03674734956870613,0.015554484472029211,0.036999685089404634
11,1984.0,25,0.1091793209799634,0.17081452138849174,0.041127961494337686,0.06785969713472596,0.05168702470443907,0.06252867890894435,0.01906992092648384,0.0422295973894147,0.24529885739864887,0.003614409513509492,0.0033430234549189876,0.023962225857144658,0.02345735480598985,0.025787213088621277,0.028177663041477244,0.018158549803997344,0.06370398010889111
12,1985.0,26,0.1361455833156753,0.19684742413693032,0.02846593314889989,0.06876275955978374,0.053021379592917764,0.07655204781828438,0.04128001768046007,0.0317543699074055,0.18750963836543194,0.009998237213508704,0.013039735679247221,0.013023608252557788,0.04021856869224239,0.011756275829236577,0.030336680836595274,0.034388385866417376,0.02689935410440549
