,year,total_works,topic_1,topic_2,topic_3
0,1971.0,1,0.1,0.8,0.1
1,1974.0,1,0.1851851851851851,0.7407407407407407,0.074074074074074
2,1975.0,2,0.05,0.95,0.0
3,1976.0,3,0.19389671361502345,0.7352112676056338,0.0708920187793427
4,1977.0,6,0.21548663324979112,0.6680938457254246,0.11641952102478416
5,1978.0,3,0.25317460317460316,0.6242063492063491,0.12261904761904759
6,1979.0,3,0.3166303558460421,0.5947712418300654,0.0885984023238925
7,1980.0,7,0.3548862517803949,0.5536355579690098,0.09147819025059514
8,1981.0,19,0.31358391846307415,0.6156395704770068,0.07077651105991908
9,1982.0,38,0.3383925380755812,0.5781046086549889,0.08350285326943002
10,1983.0,28,0.38755836274448685,0.5250309247397839,0.08741071251572914
11,1984.0,25,0.3478535395031812,0.5293451585208773,0.12280130197594154
12,1985.0,26,0.40175576701238935,0.5049466169012959,0.09329761608631454
13,1986.0,30,0.42849868296325566,0.4747147567112692,0.09678656032547509
14,1987.0,57,0.4274468133343234,0.49187826306784327,0.0806749235978332
15,1988.0,37,0.4361793487402688,0.49156578820066793,0.07225486305906319
16,1989.0,63,0.4131506629068877,0.4967077496075191,0.09014158748559319
17,1990.0,82,0.4836211913341217,0.4378440090144555,0.0785347996514226
18,1991.0,81,0.4983049354485149,0.43164993159726367,0.07004513295422138
19,1992.0,104,0.4810253244739624,0.44302927826721095,0.07594539725882646
20,1993.0,137,0.47567342878599705,0.43680883083586747,0.08751774037813546
21,1994.0,109,0.470247918216604,0.43163124350701615,0.09812083827637941
22,1995.0,123,0.4685394062866034,0.44808793229729244,0.08337266141610426
23,1996.0,117,0.4140935515738997,0.47022171269573937,0.1156847357303605
24,1997.0,113,0.44595294064216406,0.45412256759670566,0.0999244917611302
25,1998.0,108,0.4315266814765908,0.4742150044676907,0.09425831405571837
26,1999.0,131,0.44164497900598126,0.46767540125713264,0.09067961973688603
27,2000.0,118,0.42547681514129687,0.47786950090140334,0.09665368395729997
28,2001.0,127,0.48867344686514574,0.4360066407170416,0.0753199124178124
29,2002.0,115,0.4471831317136766,0.463877600809121,0.0889392674772025
30,2003.0,145,0.4480090432209851,0.46025226425589294,0.09173869252312183
31,2004.0,146,0.44458119039892197,0.45459367243454074,0.10082513716653735
32,2005.0,145,0.4346096714084219,0.47870965219707484,0.08668067639450265
33,2006.0,144,0.43933120779616286,0.45694754074296207,0.10372125146087524
34,2007.0,159,0.45540448245281906,0.4610987074320119,0.08349681011516916
35,2008.0,172,0.44860759559910585,0.47165793601724904,0.07973446838364519
36,2009.0,241,0.4188637315245436,0.4888680799121377,0.09226818856331902
37,2010.0,227,0.40387719019048285,0.5147993812965267,0.08132342851299024
38,2011.0,229,0.39407015260229133,0.5181478671922684,0.08778198020544019
39,2012.0,257,0.41117832089819195,0.5142422872594881,0.07457939184231994
40,2013.0,270,0.4058534623407352,0.507253845945262,0.08689269171400311
41,2014.0,317,0.38084401619948155,0.5307886831222975,0.08836730067822102
42,2015.0,392,0.3595846410465235,0.54796039808863,0.09245496086484614
43,2016.0,435,0.3757932142970782,0.5436570851429439,0.08054970055997825
44,2017.0,447,0.35784102549244984,0.5557239757142176,0.08643499879333326
45,2018.0,404,0.3578922619280929,0.5635030283441929,0.07860470972771379
46,2019.0,362,0.3700148186844891,0.5558220144501927,0.07416316686531751
47,2020.0,283,0.36987554816083473,0.5596360516796414,0.07048840015952385
48,2021.0,254,0.3636745619466866,0.5695139529456293,0.06681148510768388
