,year,total_works,topic_1,topic_2,topic_3,topic_4
0,1985.0,2,0.20033280368336098,0.561803270484317,0.2042770277878564,0.0335868980444655
1,1986.0,1,0.1887201735357917,0.5813449023861171,0.2039045553145336,0.0260303687635574
2,1987.0,3,0.17835525127226973,0.6275573094475103,0.168426735282142,0.025660703998077867
3,1988.0,3,0.20499010360801626,0.5733144048047678,0.19878528130898063,0.0229102102782352
4,1990.0,4,0.1920917924804644,0.5820313293107986,0.18103160223349288,0.044845275975244
5,1991.0,5,0.2156765933068519,0.5813008751854817,0.16594802062048833,0.03707451088717798
6,1992.0,5,0.19510935520143338,0.6074413971802223,0.16957156230763976,0.027877685310704458
7,1993.0,1,0.2692307692307692,0.5635451505016722,0.1521739130434782,0.0150501672240802
8,1994.0,7,0.19152826630994887,0.5904049618496998,0.18643420106147413,0.03163257077887717
9,1995.0,6,0.18288457610091313,0.6184711261633461,0.17180372064824925,0.02684057708749145
10,1996.0,8,0.1951022140971852,0.5883210488558381,0.19016530517256336,0.026411431874413114
11,1997.0,8,0.21153007118637512,0.5849673983100234,0.17711781580654815,0.0263847146970531
12,1998.0,12,0.2193926318822552,0.570800647736944,0.17123425775314696,0.0385724626276537
13,1999.0,10,0.19660330977881108,0.5929706131445979,0.17915364232319225,0.031272434753398665
14,2000.0,13,0.18077796213649755,0.6250667519942131,0.15953397671068004,0.03462130915860916
15,2001.0,15,0.22137079308800042,0.5729918543956801,0.17217385192475226,0.0334635005915669
16,2002.0,14,0.19852037173412268,0.5887082400394528,0.18252572356156277,0.030245664664861623
17,2003.0,16,0.20806148323974583,0.569360071161316,0.19433616844833237,0.028242277150605503
18,2004.0,15,0.1988708658175664,0.5944011627300301,0.17306185290321546,0.033666118549187864
19,2005.0,11,0.23212902419788153,0.5704603020784142,0.1741738556849177,0.02323681803878642
20,2006.0,17,0.19851447787154655,0.6051672948023494,0.1728572169249247,0.023461010401179188
21,2007.0,19,0.2149772853380588,0.5693790279652718,0.18314499826546,0.03249868843120923
22,2008.0,22,0.20778992610546138,0.5841132655180284,0.17424216894062197,0.033854639435888095
23,2009.0,24,0.19680420556136524,0.5926826260068472,0.17764123751343597,0.03287193091835158
24,2010.0,30,0.21774959071973948,0.5606453018569422,0.19109773685825662,0.03050737056506165
25,2011.0,24,0.20995900891890243,0.5874593164921106,0.173602989510484,0.028978685078502955
26,2012.0,28,0.20591470376482932,0.5838740197286585,0.1783000460728545,0.0319112304336575
27,2013.0,22,0.21312242804360293,0.5626306470622544,0.1924873448912468,0.03175958000289584
28,2014.0,24,0.212712759487011,0.5756735997373291,0.18393354837804302,0.027680092397616804
29,2015.0,18,0.22538047189467322,0.5581213872218282,0.18587827069821167,0.03061987018528674
30,2016.0,23,0.19456018022564614,0.6001151165938036,0.17381773212035134,0.03150697106019881
31,2017.0,21,0.21100457161582017,0.5604405370687472,0.19594624471459476,0.03260864660083786
32,2018.0,10,0.21499968953138282,0.5603732343967656,0.1937831032544322,0.03084397281741923
33,2019.0,15,0.21632460615322824,0.5562120411882462,0.1975013484265397,0.0299620042319857
34,2020.0,10,0.21335332104571605,0.5618370742440542,0.19789801456236203,0.02691159014786772
35,2021.0,4,0.2391473027825293,0.5116926089882434,0.22551944295727816,0.02364064527194895
