,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,1971.0,1,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.4
1,1974.0,1,0.0,0.3043478260869565,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.217391304347826,0.1304347826086956,0.1304347826086956
2,1975.0,2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.6
3,1976.0,3,0.005847953216374266,0.3508771929824561,0.0779727095516569,0.06432748538011694,0.0175438596491228,0.0604288499025341,0.005847953216374266,0.41715399610136455
4,1977.0,6,0.0,0.4288183222006752,0.11496265172735759,0.021708683473389348,0.011904761904761899,0.009803921568627449,0.023809523809523798,0.38899213531566473
5,1978.0,3,0.0144927536231884,0.40662525879917183,0.08695652173913043,0.07681159420289853,0.0144927536231884,0.0,0.08095238095238093,0.31966873706004134
6,1979.0,3,0.012345679012345666,0.4096563356525406,0.08730995385011826,0.10851078782767587,0.012345679012345666,0.03544404619673433,0.08323377140581435,0.25115374704242505
7,1980.0,7,0.0197311460469355,0.39654287038038766,0.09528756924795743,0.17296888612621722,0.03195797375211425,0.06083861691847169,0.04398069331053963,0.17869224421737637
8,1981.0,19,0.017040812531397564,0.349903815280768,0.09390864411580559,0.16696836727458228,0.047138668417072795,0.053291260666505844,0.024273626147562635,0.24747480556630522
9,1982.0,38,0.015790777759166215,0.4146745173363506,0.11058981136479874,0.10884149107932674,0.03304030232496909,0.05426542911937377,0.03704225840061254,0.22575541261540225
10,1983.0,28,0.024418797810055966,0.37767269522835134,0.10957470761721187,0.16287646990001278,0.03381876224706188,0.05691799649977457,0.03350965658239875,0.20121091411513287
11,1984.0,25,0.031112144318769946,0.3934770507899732,0.09974074181217552,0.18392165343477118,0.04066552469896727,0.06297069445003342,0.050138516520115035,0.13797367397519417
12,1985.0,26,0.038858454094568895,0.3620390215324421,0.1123902943329396,0.20600936913717297,0.05028101180436161,0.06487370951815964,0.025573358557428368,0.13997478102292654
13,1986.0,30,0.04390797348936409,0.36756519006059263,0.09214839284150307,0.23421532172993256,0.04112268287684059,0.06603292405135673,0.03915004427146254,0.11585747067894756
14,1987.0,57,0.047503517610226115,0.36269423672704987,0.09826305496807959,0.2256763761218496,0.045968345419828756,0.06860971602765133,0.029966331125535924,0.12131842199977849
15,1988.0,37,0.0470481390357783,0.3523584896112583,0.09902631576983666,0.21996166164870498,0.050140406297517745,0.07627604504901533,0.048361403983151544,0.10682753860473666
