,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0,1951.0,1,0.0124333925399644,0.0017761989342806,0.2184724689165186,0.1616341030195381,0.0497335701598579,0.0550621669626998,0.0088809946714031,0.0781527531083481,0.0053285968028419,0.1492007104795737,0.0284191829484902,0.2309058614564831
1,1952.0,1,0.030467899891186,0.0097932535364526,0.1838955386289445,0.2252448313384113,0.0478781284004352,0.0511425462459194,0.0043525571273122,0.0859630032644178,0.0054406964091403,0.1338411316648531,0.0848748639825897,0.1371055495103373
2,1959.0,2,0.0729925471811515,0.012225027046519999,0.12525243418680126,0.29514965741074645,0.0400228392835677,0.11672376487558594,0.1079065993508835,0.06872220218776295,0.0253035220579396,0.06850282485875706,0.014160355811996551,0.053038225748287
3,1960.0,1,0.0267765190525231,0.0061791967044284,0.1235839340885684,0.2523171987641606,0.0288362512873326,0.121524201853759,0.0278063851699279,0.1493305870236869,0.0123583934088568,0.0854788877445932,0.0319258496395468,0.1338825952626158
4,1964.0,1,0.0439560439560439,0.0054945054945054,0.1391941391941392,0.3131868131868132,0.0567765567765567,0.1007326007326007,0.0347985347985348,0.0494505494505494,0.0164835164835164,0.1117216117216117,0.0274725274725274,0.1007326007326007
5,1965.0,2,0.0811395811395811,0.022082051493816153,0.1646638999580176,0.2028265851795263,0.12480471304000715,0.10045148280442395,0.0284654402301461,0.022178404531345702,0.01113909937439345,0.15179732826791645,0.01445639680933795,0.07599501717148775
6,1966.0,3,0.12203051655444784,0.0168945201268913,0.11079943281660487,0.1929837384229053,0.11477934362150653,0.11688633714355302,0.10045327116353785,0.019921064077804966,0.03405469434150466,0.11915928690316703,0.0211344421826701,0.03090335264540597
7,1969.0,2,0.032921670305676845,0.0051130936135371004,0.1313156727620087,0.3359787231622998,0.04582878457059675,0.08443214383187769,0.02100817640101885,0.14831240902474524,0.00936476528384275,0.06262366948689954,0.0174843067685589,0.10561658478893735
8,1970.0,1,0.0427046263345195,0.0017793594306049,0.1423487544483986,0.3274021352313167,0.0320284697508896,0.092526690391459,0.0266903914590747,0.094306049822064,0.0071174377224199,0.1405693950177935,0.0124555160142348,0.0800711743772242
9,1972.0,3,0.12525123751417858,0.03741449117175337,0.14826689607880542,0.1660000601430687,0.05834733390633834,0.09862131482563712,0.041020612068236505,0.04587860378711323,0.05037360717229953,0.08998296953605482,0.04414879892985957,0.09469407486665427
10,1973.0,1,0.0787878787878787,0.0075757575757575,0.0636363636363636,0.1636363636363636,0.0242424242424242,0.2227272727272727,0.1075757575757575,0.0287878787878787,0.1287878787878787,0.1287878787878787,0.0196969696969696,0.0257575757575757
11,1974.0,2,0.1046213476446034,0.048693812647301,0.1052304284862424,0.11700315188687274,0.04001192605843765,0.10409035409035405,0.046129710083198446,0.0340531561461794,0.0853011329755515,0.16041400460005112,0.05976658999914809,0.0946843853820598
12,1975.0,2,0.10210731771867139,0.0099542621376682,0.1169716988494281,0.16904220233914555,0.0703847341401926,0.09933098197290335,0.0486507669913783,0.03823463048353875,0.054919789090094706,0.1462296800724748,0.034125687509966945,0.11004824869453686
13,1976.0,1,0.0304147465437788,0.0,0.1382488479262673,0.2442396313364055,0.0202764976958525,0.1105990783410138,0.0221198156682027,0.1640552995391705,0.0092165898617511,0.1437788018433179,0.0193548387096774,0.0976958525345622
14,1978.0,1,0.180999180999181,0.0352170352170352,0.081081081081081,0.1392301392301392,0.0876330876330876,0.0941850941850941,0.2047502047502047,0.0049140049140049,0.0106470106470106,0.1253071253071253,0.0212940212940212,0.0147420147420147
15,1979.0,1,0.206672845227062,0.180722891566265,0.1149212233549582,0.0370713623725671,0.0213160333642261,0.118628359592215,0.1047265987025023,0.0018535681186283,0.0797034291010194,0.0889712696941612,0.0426320667284522,0.0027803521779425
16,1981.0,3,0.0495225606633946,0.011706692642963234,0.1205928340389394,0.193166110923782,0.01740576723739583,0.16866004770646778,0.062110674009965866,0.08095820064191421,0.04251822711775504,0.11483176601351264,0.08149186367439702,0.057035255329511765
17,1982.0,3,0.09856987817037934,0.04947350763055913,0.1431336468139928,0.13487347308608835,0.06167698780983527,0.06894539842581367,0.08924852200725636,0.03312065591967543,0.0146573307345594,0.14448693451925052,0.04467943985346826,0.11713422502912092
18,1983.0,3,0.1057674507234252,0.028835543520334638,0.11265344047044486,0.16038934470357682,0.07840172182316944,0.17525434749130606,0.0491055108004827,0.04469765941133217,0.038351571651336375,0.1498847810976577,0.019047908587816534,0.037610719719117
19,1984.0,5,0.11809028317592529,0.012988671021898018,0.10988617084162514,0.14700290969926733,0.03921601557708796,0.1520527432827324,0.05798782575979376,0.0427048036969368,0.0927889967230594,0.13252786133455868,0.036524864637459784,0.058228854249654835
20,1985.0,6,0.12776644864886247,0.05093688534487905,0.12881881790537641,0.13136042535210135,0.07184171090912891,0.10058864101981015,0.07903062132244659,0.026642410185946413,0.03688247197776747,0.13094723352051751,0.04202981003917414,0.07315452377398894
21,1986.0,2,0.10339050204861386,0.0327924112216127,0.11926879534132301,0.1078816349597341,0.05446871179964735,0.13986703973758086,0.0717498602519764,0.03428203301124735,0.05710549593655745,0.19186789358264789,0.0549578298821202,0.03236779222693845
22,1987.0,5,0.06045126396484542,0.01105938762098362,0.15113163424353768,0.15685098341072995,0.05000546685571712,0.11162684183469587,0.06665996555734569,0.06940560163468029,0.031911691648198404,0.14108954752671482,0.03238468755347606,0.11742292814907465
