,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113
0,1930.0,1,0.0,0.0154440154440154,0.0154440154440154,0.1583011583011583,0.0115830115830115,0.0077220077220077,0.0,0.027027027027027,0.0077220077220077,0.0038610038610038,0.0,0.0,0.0038610038610038,0.0077220077220077,0.0038610038610038,0.0,0.0617760617760617,0.0077220077220077,0.0193050193050193,0.0038610038610038,0.0154440154440154,0.0038610038610038,0.0038610038610038,0.0038610038610038,0.0038610038610038,0.0038610038610038,0.0038610038610038,0.0038610038610038,0.0,0.0,0.0193050193050193,0.0038610038610038,0.0,0.027027027027027,0.0,0.0038610038610038,0.0,0.0154440154440154,0.0,0.0,0.0038610038610038,0.0077220077220077,0.0,0.0,0.0,0.0038610038610038,0.0,0.0,0.0038610038610038,0.0,0.0193050193050193,0.0231660231660231,0.0115830115830115,0.0,0.0424710424710424,0.0,0.0115830115830115,0.0077220077220077,0.0,0.0,0.0,0.0038610038610038,0.0,0.0077220077220077,0.0,0.0115830115830115,0.0038610038610038,0.0,0.0038610038610038,0.0,0.0231660231660231,0.027027027027027,0.0077220077220077,0.0038610038610038,0.0,0.0,0.0077220077220077,0.0193050193050193,0.0,0.0115830115830115,0.0115830115830115,0.0,0.0115830115830115,0.0077220077220077,0.0115830115830115,0.0308880308880308,0.0,0.0154440154440154,0.0231660231660231,0.0193050193050193,0.0154440154440154,0.0154440154440154,0.0038610038610038,0.0038610038610038,0.0,0.0,0.0,0.0,0.0038610038610038,0.0115830115830115,0.0193050193050193,0.0115830115830115,0.0038610038610038,0.0,0.0386100386100386,0.0,0.0,0.0038610038610038,0.0038610038610038,0.0,0.0,0.0,0.0
1,1931.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0833333333333333,0.0
2,1933.0,1,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0357142857142857,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0714285714285714,0.0,0.1071428571428571,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1934.0,1,0.0,0.0,0.0,0.0526315789473684,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0131578947368421,0.0394736842105263,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0131578947368421,0.0394736842105263,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0131578947368421,0.0,0.0,0.0,0.0263157894736842,0.0,0.0526315789473684,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0131578947368421,0.0,0.0263157894736842,0.0131578947368421,0.0131578947368421,0.0,0.0263157894736842,0.0,0.0131578947368421,0.0,0.0,0.0,0.0,0.0131578947368421,0.0131578947368421,0.0263157894736842,0.0,0.0394736842105263,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0263157894736842,0.0,0.0263157894736842,0.0,0.0,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0263157894736842,0.0394736842105263,0.0,0.0,0.0,0.0263157894736842,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0,0.0921052631578947,0.0131578947368421,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0,0.0
4,1939.0,1,0.0,0.0128205128205128,0.0128205128205128,0.2051282051282051,0.0,0.0128205128205128,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0,0.0256410256410256,0.0128205128205128,0.0,0.0,0.0256410256410256,0.0128205128205128,0.0,0.0,0.0,0.0128205128205128,0.0,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0384615384615384,0.0128205128205128,0.0128205128205128,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0256410256410256,0.0,0.0384615384615384,0.0,0.0,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.0384615384615384,0.0128205128205128,0.0128205128205128,0.0,0.0897435897435897,0.0128205128205128,0.0,0.0128205128205128,0.0,0.0,0.0,0.0,0.0
5,1943.0,1,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.032258064516129,0.064516129032258,0.0,0.0967741935483871,0.0,0.2258064516129032,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0
6,1947.0,2,0.0,0.0,0.0,0.04838709677419355,0.0161290322580645,0.0,0.00806451612903225,0.00806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02419354838709675,0.0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0,0.00806451612903225,0.0,0.0,0.0161290322580645,0.0,0.05050933786078095,0.0,0.0,0.0,0.0,0.0,0.0,0.00806451612903225,0.0,0.0,0.00806451612903225,0.0,0.0,0.00806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00806451612903225,0.0,0.0,0.00806451612903225,0.00806451612903225,0.0,0.032258064516129,0.0,0.0,0.00806451612903225,0.00806451612903225,0.0,0.0,0.00806451612903225,0.0,0.00806451612903225,0.0,0.0161290322580645,0.0,0.00806451612903225,0.0,0.0,0.00806451612903225,0.02419354838709675,0.0,0.0,0.0,0.0,0.0,0.00806451612903225,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.00806451612903225,0.0,0.0,0.0,0.08701188455008485,0.034380305602716446,0.0263157894736842,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,0.02419354838709675,0.0,0.00806451612903225,0.0,0.032258064516129,0.00806451612903225,0.0,0.0,0.00806451612903225,0.0526315789473684,0.0,0.18421052631578946,0.0
7,1948.0,1,0.0,0.0,0.0392156862745098,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0588235294117647,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0,0.0,0.0196078431372549,0.0392156862745098,0.0980392156862745,0.0392156862745098,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0
8,1949.0,2,0.0,0.0,0.0,0.04551282051282045,0.0,0.0096153846153846,0.05,0.03589743589743585,0.0,0.0096153846153846,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.0551282051282051,0.0,0.0,0.01666666666666665,0.0,0.0096153846153846,0.0,0.0096153846153846,0.0,0.0,0.0096153846153846,0.03589743589743585,0.0,0.0,0.0,0.0,0.0096153846153846,0.0333333333333333,0.0096153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666666665,0.0,0.0,0.0096153846153846,0.01666666666666665,0.0096153846153846,0.0,0.01666666666666665,0.0621794871794871,0.0,0.0,0.0192307692307692,0.0,0.0,0.05,0.0,0.0,0.01666666666666665,0.0288461538461538,0.0,0.0,0.0,0.03846153846153845,0.0,0.0525641025641025,0.04551282051282045,0.0,0.02628205128205125,0.0,0.0,0.0333333333333333,0.0,0.0,0.0096153846153846,0.03589743589743585,0.0,0.0,0.0,0.0,0.0096153846153846,0.0192307692307692,0.0,0.0192307692307692,0.01666666666666665,0.01666666666666665,0.02628205128205125,0.0,0.0,0.0,0.0,0.01666666666666665,0.0,0.0,0.0,0.0096153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288461538461538,0.0
9,1950.0,9,0.0,0.0,0.009308510638297867,0.015425647219125467,0.0,0.005291005291005289,0.05233494363929145,0.006944444444444444,0.0037037037037037,0.0037037037037037,0.0,0.0,0.0,0.0028490028490028444,0.0,0.005291005291005289,0.0228247197777725,0.0,0.004273504273504267,0.004830917874396133,0.026302401302401288,0.03032245040223762,0.0,0.0,0.011383624427102676,0.019752570296048544,0.004830917874396133,0.025043575587053835,0.004830917874396133,0.00917022792022791,0.0,0.004830917874396133,0.0,0.014044977874765089,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504267,0.0,0.0,0.0,0.0,0.0,0.005836288416075645,0.0,0.008303140096618356,0.0,0.005291005291005289,0.01202590194264569,0.026537894900522087,0.0037037037037037,0.010416666666666666,0.0,0.005836288416075645,0.004273504273504267,0.004273504273504267,0.0,0.05378421900161029,0.002364066193853422,0.0,0.005698005698005689,0.008547008547008544,0.021339871883350136,0.0,0.0,0.017651430694908946,0.004273504273504267,0.023438352427714113,0.00979344729344729,0.0,0.008534621578099833,0.005291005291005289,0.0,0.014044977874765089,0.0,0.0,0.006637570467357689,0.01282051282051281,0.0,0.017933455433455422,0.002364066193853422,0.013888888888888888,0.010594729344729333,0.0,0.0,0.0,0.026728203358638132,0.035823295276348005,0.0643687992207881,0.005836288416075645,0.01611467236467236,0.0,0.004830917874396133,0.004830917874396133,0.0037037037037037,0.0,0.0,0.01903869591196139,0.012970926014404268,0.030365769496204262,0.0,0.0351966873706004,0.004830917874396133,0.012485989359254844,0.0,0.0,0.0,0.06435639813299386,0.04145299145299143,0.0
10,1951.0,8,0.000222024866785075,0.003315283933159725,0.008795741433720175,0.003552397868561275,0.0006660746003552375,0.00044404973357015,0.0018796668333649375,0.03094784554630385,0.0,0.0,0.0,0.0,0.0,0.010503484082524925,0.000222024866785075,0.026110124333925375,0.021654681635022714,0.00932504440497335,0.00044404973357015,0.0,0.00917630930003965,0.0066940497335701505,0.000222024866785075,0.011051001715179387,0.0,0.004528876166169438,0.00044404973357015,0.022083642299976426,0.0,0.00266429840142095,0.0027677663005052497,0.0,0.0,0.025911435015747875,0.000222024866785075,0.009837409482169688,0.008333333333333325,0.00266429840142095,0.009837409482169688,0.0,0.0022202486678507874,0.002545741433720175,0.0,0.0085553582001184,0.0,0.00044404973357015,0.0012135922330097,0.0,0.026898026581964465,0.0,0.001435617099794775,0.0008880994671403125,0.02929347011435854,0.0,0.001332149200710475,0.0,0.003315283933159725,0.00044404973357015,0.0,0.0,0.00044404973357015,0.000222024866785075,0.0,0.009683840900860488,0.0,0.0008880994671403125,0.000222024866785075,0.00599467140319715,0.0012135922330097,0.0,0.03855488894666581,0.021811663219947538,0.016735124333925388,0.000222024866785075,0.0,0.000222024866785075,0.0008880994671403125,0.0019982238010657124,0.0,0.007874338236562087,0.016995572436151674,0.0,0.028999716900331665,0.029099915501215726,0.0021016917001500123,0.005876114435496375,0.000222024866785075,0.024846432800473637,0.003655865767645575,0.008777383066903474,0.05210837952909722,0.10633992780903181,0.0006660746003552375,0.0089391953646381,0.0,0.000222024866785075,0.008333333333333325,0.00728155339805825,0.04902679100059205,0.0,0.020411054970195484,0.000222024866785075,0.0012135922330097,0.0,0.0,0.009615384615384612,0.018170742815503012,0.0,0.0011101243339253874,0.0,0.10081948565842062,0.07486479254907316,0.0
11,1952.0,10,0.00575397521850538,0.00130576713819368,0.00386242193343179,0.01156868489423055,0.00440649157434582,0.00562077967485213,0.00327359817689417,0.0048254791997991,0.00021762785636560998,0.00172171715398925,0.00076169749727965,0.0,0.0,0.01238693266024762,0.01039836090221893,0.0033102387643252603,0.020807758946194195,0.01333670518232979,0.0001088139281828,0.00465260545905706,0.025331553945033208,0.0037971890705040404,0.00032644178454842,0.006441112243403301,0.0038461538461538403,0.00495162801847733,0.0072000799228851995,0.01110891898652085,0.00102407946926883,0.01712680649696585,0.01208647507843481,0.01288300287052126,0.0,0.01573222971156743,0.00703414665996713,0.00113289339745164,0.011538461538461529,0.005857713228153411,0.00021762785636560998,0.0,0.00614751442527074,0.0045588865677836906,0.0,0.00054406964091403,0.0,0.0028760498548115105,0.0086075732333937,0.0,0.0053449656805337805,0.0,0.011089206085045529,0.0032024916393599305,0.02243454312764859,0.00102407946926883,0.00551067870020695,0.0,0.00268477442035657,0.00156814911018287,0.0,0.00102407946926883,0.0042814095588850605,0.0,0.00769230769230769,0.00952549562707662,0.0001088139281828,0.00837762118880939,0.00394381663648644,0.013023695420110528,0.00145933518200006,0.0,0.03999482832667155,0.03426169937675923,0.01290358307603352,0.00065288356909684,0.00145933518200006,0.0,0.00739840208231516,0.0020034048229141,0.0001088139281828,0.011326359881591709,0.019776154411152817,0.0040637817025194495,0.020654170615559207,0.01462353096829146,0.01318644379532687,0.01273006432002782,0.00032644178454842,0.004443132161776909,0.010585034884465199,0.012330913410679979,0.03717754440881836,0.03716315183042276,0.00183053108217206,0.03901118606584904,0.0033333333333333296,0.00145933518200006,0.00427719889885884,0.0,0.01113675453683877,0.0001088139281828,0.021889333718316188,0.0221784121700911,0.006666666666666659,0.0,0.00032644178454842,0.01677548059484945,0.009919786096256671,0.00043525571273121997,0.00119695321001088,0.00206959824190829,0.02219780337011341,0.15703171392508658,0.0
12,1953.0,4,0.0,0.0,0.0,0.008333333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03106060606060605,0.04545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.008333333333333325,0.0,0.008333333333333325,0.0,0.0,0.0,0.008333333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333325,0.0,0.0,0.0,0.0,0.01666666666666665,0.022727272727272724,0.0,0.008333333333333325,0.0,0.0,0.0,0.0,0.0,0.03106060606060605,0.03106060606060605,0.0,0.008333333333333325,0.022727272727272724,0.022727272727272724,0.03106060606060605,0.0,0.0,0.008333333333333325,0.0,0.07785547785547782,0.05029137529137528,0.0,0.0586247086247086,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454545,0.008333333333333325,0.0,0.0,0.0,0.025,0.03106060606060605,0.0,0.0,0.03846153846153845,0.0,0.2755244755244755,0.0
