,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,ENI,KL
1,1931.0,1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,1e-09,1e-09,0.1666666666666666,1e-09,0.1666666666666666,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1666666666666666,1e-09,1e-09,1e-09,1e-09,0.0833333333333333,1e-09,4.4025306851264085,8.742666474702958
2,1933.0,1,1e-09,1e-09,1e-09,0.0714285714285714,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,0.0714285714285714,1e-09,0.0714285714285714,1e-09,0.0357142857142857,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,0.0714285714285714,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0714285714285714,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,1e-09,1e-09,0.0714285714285714,1e-09,0.1071428571428571,0.0357142857142857,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,7.555006377823497,17.80583105248723
3,1934.0,1,1e-09,1e-09,1e-09,0.0526315789473684,1e-09,0.0131578947368421,0.0131578947368421,1e-09,1e-09,0.0131578947368421,1e-09,1e-09,1e-09,1e-09,1e-09,0.0131578947368421,0.0394736842105263,1e-09,0.0131578947368421,1e-09,0.0131578947368421,0.0131578947368421,0.0394736842105263,1e-09,0.0131578947368421,0.0131578947368421,1e-09,0.0131578947368421,1e-09,1e-09,1e-09,0.0263157894736842,1e-09,0.0526315789473684,0.0131578947368421,1e-09,1e-09,1e-09,1e-09,1e-09,0.0131578947368421,0.0131578947368421,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0131578947368421,1e-09,0.0263157894736842,0.0131578947368421,0.0131578947368421,1e-09,0.0263157894736842,1e-09,0.0131578947368421,1e-09,1e-09,1e-09,1e-09,0.0131578947368421,0.0131578947368421,0.0263157894736842,1e-09,0.0394736842105263,1e-09,1e-09,0.0263157894736842,1e-09,0.0263157894736842,0.0263157894736842,1e-09,0.0263157894736842,1e-09,1e-09,1e-09,0.0131578947368421,1e-09,0.0131578947368421,0.0131578947368421,1e-09,1e-09,0.0263157894736842,0.0394736842105263,1e-09,1e-09,1e-09,0.0263157894736842,0.0263157894736842,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0131578947368421,1e-09,0.0131578947368421,1e-09,0.0921052631578947,0.0131578947368421,1e-09,0.0131578947368421,0.0131578947368421,1e-09,1e-09,1e-09,1e-09,12.393107588261145,9.55861463635855
4,1939.0,1,1e-09,0.0128205128205128,0.0128205128205128,0.2051282051282051,1e-09,0.0128205128205128,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0256410256410256,1e-09,1e-09,0.0256410256410256,0.0128205128205128,1e-09,1e-09,0.0256410256410256,0.0128205128205128,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0256410256410256,1e-09,0.0384615384615384,0.0128205128205128,0.0128205128205128,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,0.0256410256410256,1e-09,0.0384615384615384,1e-09,1e-09,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,0.0256410256410256,1e-09,1e-09,1e-09,1e-09,0.0769230769230769,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,0.0384615384615384,0.0128205128205128,0.0128205128205128,1e-09,0.0897435897435897,0.0128205128205128,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,8.92345524453839,2.7458850727855006
5,1943.0,1,1e-09,1e-09,1e-09,0.064516129032258,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,0.064516129032258,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.064516129032258,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,1e-09,1e-09,0.032258064516129,1e-09,0.032258064516129,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.064516129032258,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,1e-09,0.032258064516129,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.032258064516129,1e-09,1e-09,0.032258064516129,0.064516129032258,1e-09,0.0967741935483871,1e-09,0.2258064516129032,1e-09,0.032258064516129,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,6.340844316886382,4.547516725164269
6,1947.0,2,1e-09,1e-09,1e-09,0.0483870967741935,0.0161290322580645,1e-09,0.0080645161290322,0.0080645161290322,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0241935483870967,1e-09,0.0161290322580645,0.0161290322580645,0.0161290322580645,1e-09,0.0080645161290322,1e-09,1e-09,0.0161290322580645,1e-09,0.0505093378607809,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0080645161290322,1e-09,1e-09,0.0080645161290322,1e-09,1e-09,0.0080645161290322,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0080645161290322,1e-09,1e-09,0.0080645161290322,0.0080645161290322,1e-09,0.032258064516129,1e-09,1e-09,0.0080645161290322,0.0080645161290322,1e-09,1e-09,0.0080645161290322,1e-09,0.0080645161290322,1e-09,0.0161290322580645,1e-09,0.0080645161290322,1e-09,1e-09,0.0080645161290322,0.0241935483870967,1e-09,1e-09,1e-09,1e-09,1e-09,0.0080645161290322,1e-09,1e-09,1e-09,1e-09,1e-09,0.0263157894736842,1e-09,0.0263157894736842,0.0080645161290322,1e-09,1e-09,1e-09,0.0870118845500848,0.0343803056027164,0.0263157894736842,0.0526315789473684,1e-09,1e-09,1e-09,1e-09,1e-09,0.0161290322580645,0.0241935483870967,1e-09,0.0080645161290322,1e-09,0.032258064516129,0.0080645161290322,1e-09,1e-09,0.0080645161290322,0.0526315789473684,1e-09,0.1842105263157894,1e-09,9.643215716164006,12.363299998205276
7,1948.0,1,1e-09,1e-09,0.0392156862745098,0.0588235294117647,1e-09,1e-09,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,0.0392156862745098,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0392156862745098,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,0.0196078431372549,0.0392156862745098,0.0196078431372549,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0392156862745098,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0392156862745098,0.0588235294117647,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,0.0392156862745098,0.0392156862745098,1e-09,0.0392156862745098,1e-09,1e-09,0.0196078431372549,0.0392156862745098,0.0980392156862745,0.0392156862745098,1e-09,0.0392156862745098,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,1e-09,0.0196078431372549,1e-09,1e-09,1e-09,1e-09,1e-09,0.0784313725490196,1e-09,9.25269233191198,4.6501139749496065
8,1949.0,2,1e-09,1e-09,1e-09,0.0455128205128204,1e-09,0.0096153846153846,0.05,0.0358974358974358,1e-09,0.0096153846153846,1e-09,1e-09,1e-09,1e-09,1e-09,0.0096153846153846,0.0551282051282051,1e-09,1e-09,0.0166666666666666,1e-09,0.0096153846153846,1e-09,0.0096153846153846,1e-09,1e-09,0.0096153846153846,0.0358974358974358,1e-09,1e-09,1e-09,1e-09,0.0096153846153846,0.0333333333333333,0.0096153846153846,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0166666666666666,1e-09,1e-09,0.0096153846153846,0.0166666666666666,0.0096153846153846,1e-09,0.0166666666666666,0.0621794871794871,1e-09,1e-09,0.0192307692307692,1e-09,1e-09,0.05,1e-09,1e-09,0.0166666666666666,0.0288461538461538,1e-09,1e-09,1e-09,0.0384615384615384,1e-09,0.0525641025641025,0.0455128205128204,1e-09,0.0262820512820512,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,0.0096153846153846,0.0358974358974358,1e-09,1e-09,1e-09,1e-09,0.0096153846153846,0.0192307692307692,1e-09,0.0192307692307692,0.0166666666666666,0.0166666666666666,0.0262820512820512,1e-09,1e-09,1e-09,1e-09,0.0166666666666666,1e-09,1e-09,1e-09,0.0096153846153846,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0288461538461538,1e-09,11.541510957385666,9.355572742701272
9,1950.0,9,1e-09,1e-09,0.0093085106382978,0.0154256472191254,1e-09,0.0052910052910052,0.0523349436392914,0.0069444444444444,0.0037037037037037,0.0037037037037037,1e-09,1e-09,1e-09,0.0028490028490028,1e-09,0.0052910052910052,0.0228247197777725,1e-09,0.0042735042735042,0.0048309178743961,0.0263024013024012,0.0303224504022376,1e-09,1e-09,0.0113836244271026,0.0197525702960485,0.0048309178743961,0.0250435755870538,0.0048309178743961,0.0091702279202279,1e-09,0.0048309178743961,1e-09,0.014044977874765,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0042735042735042,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058362884160756,1e-09,0.0083031400966183,1e-09,0.0052910052910052,0.0120259019426456,0.026537894900522,0.0037037037037037,0.0104166666666666,1e-09,0.0058362884160756,0.0042735042735042,0.0042735042735042,1e-09,0.0537842190016102,0.0023640661938534,1e-09,0.0056980056980056,0.0085470085470085,0.0213398718833501,1e-09,1e-09,0.0176514306949089,0.0042735042735042,0.0234383524277141,0.0097934472934472,1e-09,0.0085346215780998,0.0052910052910052,1e-09,0.014044977874765,1e-09,1e-09,0.0066375704673576,0.0128205128205128,1e-09,0.0179334554334554,0.0023640661938534,0.0138888888888888,0.0105947293447293,1e-09,1e-09,1e-09,0.0267282033586381,0.035823295276348,0.0643687992207881,0.0058362884160756,0.0161146723646723,1e-09,0.0048309178743961,0.0048309178743961,0.0037037037037037,1e-09,1e-09,0.0190386959119613,0.0129709260144042,0.0303657694962042,1e-09,0.0351966873706004,0.0048309178743961,0.0124859893592548,1e-09,1e-09,1e-09,0.0643563981329938,0.0414529914529914,1e-09,14.249938900584231,6.689877254994882
10,1951.0,8,0.000222024866785,0.0033152839331597,0.0087957414337201,0.0035523978685612,0.0006660746003552,0.0004440497335701,0.0018796668333649,0.0309478455463038,1e-09,1e-09,1e-09,1e-09,1e-09,0.0105034840825249,0.000222024866785,0.0261101243339253,0.0216546816350227,0.0093250444049733,0.0004440497335701,1e-09,0.0091763093000396,0.0066940497335701,0.000222024866785,0.0110510017151793,1e-09,0.0045288761661694,0.0004440497335701,0.0220836422999764,1e-09,0.0026642984014209,0.0027677663005052,1e-09,1e-09,0.0259114350157478,0.000222024866785,0.0098374094821696,0.0083333333333333,0.0026642984014209,0.0098374094821696,1e-09,0.0022202486678507,0.0025457414337201,1e-09,0.0085553582001184,1e-09,0.0004440497335701,0.0012135922330097,1e-09,0.0268980265819644,1e-09,0.0014356170997947,0.0008880994671403,0.0292934701143585,1e-09,0.0013321492007104,1e-09,0.0033152839331597,0.0004440497335701,1e-09,1e-09,0.0004440497335701,0.000222024866785,1e-09,0.0096838409008604,1e-09,0.0008880994671403,0.000222024866785,0.0059946714031971,0.0012135922330097,1e-09,0.0385548889466658,0.0218116632199475,0.0167351243339253,0.000222024866785,1e-09,0.000222024866785,0.0008880994671403,0.0019982238010657,1e-09,0.007874338236562,0.0169955724361516,1e-09,0.0289997169003316,0.0290999155012157,0.00210169170015,0.0058761144354963,0.000222024866785,0.0248464328004736,0.0036558657676455,0.0087773830669034,0.0521083795290972,0.1063399278090318,0.0006660746003552,0.0089391953646381,1e-09,0.000222024866785,0.0083333333333333,0.0072815533980582,0.049026791000592,1e-09,0.0204110549701954,0.000222024866785,0.0012135922330097,1e-09,1e-09,0.0096153846153846,0.018170742815503,1e-09,0.0011101243339253,1e-09,0.1008194856584206,0.0748647925490731,1e-09,11.65267140604315,3.249834645917892
