,year,kl_mean,kl_std
0,1986,0.440866648681354,0.21901474964261153
1,1987,1.2072724007930138,0.6830582101560351
2,1988,1.1549168592705965,0.42259310960213803
3,1990,1.053013730894369,0.5368897752207941
4,1991,1.3538071740910422,1.1744321785779905
5,1992,1.5746692534557243,0.7253328641927095
6,1993,1.0572746004710727,0.5975324433615652
7,1994,1.3027315513427082,0.7544229626347566
8,1995,1.1467660369720782,0.9661578893271173
9,1996,1.257233424582991,0.8347316495301244
10,1997,1.4896619358590841,1.2557755101720425
11,1998,1.0743110939980804,0.8231881106603747
12,1999,1.2364560941973648,0.7263922589155476
13,2000,1.3778553901588788,0.9682970428624535
14,2001,1.3170957143192357,1.0545833303365835
15,2002,1.4131989526800524,1.0590741463245743
16,2003,1.572310457323539,1.458672420211995
17,2004,1.0864145636794413,0.8245859481315603
18,2005,0.8718039577864234,0.6035366332114412
19,2006,1.0171345991866159,0.7643488076282067
20,2007,1.1574717077688188,0.7784213741349252
21,2008,1.195433372297456,0.8110225070649593
22,2009,1.2155848379122267,0.8819836105216557
23,2010,1.4656655386780177,1.1563366411185632
24,2011,1.4487792332896592,1.1220540151519875
25,2012,1.205478629080516,1.0503273197010905
26,2013,1.3647222720045176,1.0271004040192169
27,2014,1.111641591482294,0.8830952260547026
28,2015,1.1489458597090536,0.8274088608934769
29,2016,0.9442369079430617,0.666716746967874
30,2017,1.268196975986434,1.1655903708737891
31,2018,0.9987693731081039,0.7165252861623643
32,2019,1.161382771811192,0.8333458617584968
33,2020,0.9801726040379342,0.7246063471238503
34,2021,0.9394894856776856,0.5068331504438881
