,year,kl_mean,kl_std
0,1931,15.045870888153868,1.7763568394002505e-15
1,1933,13.997023846462573,3.552713678800501e-15
2,1934,5.176749408836257,0.0
3,1939,8.349047853941618,1.7763568394002505e-15
4,1943,10.707933712342088,1.7763568394002505e-15
5,1947,12.03642775749431,1.2347000248343893
6,1948,8.79207395393639,0.3007577944995201
7,1949,10.451454157175409,0.13827672480619038
8,1950,13.986049517842522,0.886249812423658
9,1951,12.614919263259244,4.2085942291125855
10,1952,10.721534625745628,4.938632698415534
11,1953,14.53546197329087,3.1505660163485723
12,1954,11.123356019788178,3.0840725129518
13,1955,9.35130491898837,3.529041710623001
14,1956,12.1209589580623,3.8372390309857463
15,1957,12.333843600361554,3.3370195867818566
16,1958,13.294929926349264,3.0903281800513
17,1959,10.980677985961869,4.349466111074719
18,1960,11.340948285087311,4.804916367615717
19,1961,12.72505966022584,4.322674478510069
20,1962,11.062841280680198,4.556418678280681
21,1963,10.915766973429172,4.013108011583969
22,1964,10.800040382910408,4.5371749914770065
23,1965,11.11878869277471,4.565763101814061
24,1966,11.63411158986871,4.449489615591579
25,1967,12.178261654100213,3.754796936659668
26,1968,10.986776228542311,4.565383847499502
27,1969,10.805235318299738,4.592718856397676
28,1970,11.430476192860299,4.617833057046366
29,1971,12.819215257738465,4.479809324396205
30,1972,11.468383761421826,4.443649261579453
31,1973,11.706265181903603,4.464897212860517
32,1974,11.623071285823563,4.145791831724018
33,1975,11.329588240245306,4.391924667690148
34,1976,12.14589613923378,3.980723633057478
35,1977,12.02972066650774,3.8488367715228007
36,1978,11.032479709969046,4.284246108040396
37,1979,12.141284945895036,3.918005900771699
38,1980,12.22670742033164,4.0192112677705865
39,1981,12.061485153579545,4.049918833954886
40,1982,11.046982340208643,4.608718329125163
41,1983,12.078647248381023,4.0688402738367335
42,1984,11.129134798823962,4.713989725312201
43,1985,10.942032815427407,4.7475471342176965
44,1986,11.085539561561838,4.3509297694997695
45,1987,10.61320373064212,4.429758803868687
46,1988,10.792826812619506,4.474842418416545
47,1989,10.607501746170104,4.657199579566701
48,1990,10.839983526483346,4.665624126810323
49,1991,11.150305372899561,4.44315343214204
50,1992,10.28863535752777,4.435514206151703
51,1993,10.070907089703798,4.879121442135361
52,1994,9.89277044922791,4.529864298408404
53,1995,10.60686559634245,4.713515132720519
54,1996,10.16715172937903,4.4937164015069175
55,1997,10.199571471421969,4.490452669118046
56,1998,11.06003036804703,4.250459060385276
57,1999,10.425851745039756,4.6894089614443715
58,2000,10.226656352385623,4.722477681075705
59,2001,10.163455925317317,4.603048978936619
60,2002,10.227356794443764,4.671942542734265
61,2003,10.31554808260697,4.619996497170535
62,2004,9.838566658793457,4.728379207065038
63,2005,10.041835669469718,4.7070326920220475
64,2006,10.412642340584055,4.575798923318995
65,2007,10.725852942312494,4.4595883053027645
66,2008,10.292202277656878,4.646977254197729
67,2009,10.777090150899255,4.514115161428069
68,2010,10.202851208852247,4.671576298875966
69,2011,10.156152610889455,4.546261621194852
70,2012,10.737029189986018,4.57099564818457
71,2013,10.800007390373795,4.486572209903328
72,2014,10.722307287599081,4.590558969329373
73,2015,10.664920766098474,4.5006011503441865
74,2016,10.926859711293394,4.220479999398999
75,2017,11.435072994335483,4.167972014520645
76,2018,11.796513584055624,4.113366153220802
77,2019,11.641438098864102,4.0542894600279755
78,2020,12.246437201983476,3.851642406955089
79,2021,12.599405225825729,3.881486334988574
