,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,ENI,KL
1,1974.0,1,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1304347826086956,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,1e-09,1e-09,1e-09,1e-09,1e-09,0.0869565217391304,1e-09,1e-09,1e-09,0.0869565217391304,1e-09,0.0869565217391304,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0434782608695652,0.1304347826086956,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,6.355821915508105,13.990415958950223
2,1975.0,2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,0.05,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,2.7047093430334104,8.319239691708317
3,1976.0,3,1e-09,0.0058479532163742,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,0.0175438596491228,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0799220272904483,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,0.0058479532163742,0.0116959064327485,1e-09,0.0058479532163742,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,0.0058479532163742,1e-09,1e-09,0.0058479532163742,0.0058479532163742,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,0.0428849902534113,0.0058479532163742,0.0487329434697855,1e-09,1e-09,1e-09,1e-09,0.0116959064327485,0.0058479532163742,1e-09,0.0058479532163742,0.0058479532163742,0.0116959064327485,1e-09,0.074074074074074,0.0116959064327485,0.0175438596491228,1e-09,1e-09,0.0058479532163742,0.0058479532163742,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,0.0175438596491228,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,0.0116959064327485,0.0058479532163742,1e-09,1e-09,0.0058479532163742,0.0058479532163742,0.0058479532163742,0.0058479532163742,0.3820662768031189,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,0.0058479532163742,1e-09,0.0058479532163742,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,1e-09,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,0.0058479532163742,1e-09,1e-09,1e-09,6.606540772922199,8.72260890165714
4,1977.0,6,1e-09,0.0119047619047618,0.0238095238095237,1e-09,0.0128205128205128,0.0128205128205128,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0791720534367593,1e-09,1e-09,1e-09,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0751274868921927,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0277777777777777,1e-09,0.117512389571213,1e-09,1e-09,0.0208333333333333,1e-09,1e-09,0.0544467787114845,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0238095238095237,1e-09,0.0256410256410256,1e-09,1e-09,1e-09,1e-09,1e-09,0.0703197945845004,0.0098039215686274,1e-09,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,0.2643018745959922,1e-09,1e-09,1e-09,1e-09,0.0098039215686274,1e-09,1e-09,0.0098039215686274,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0119047619047618,0.0119047619047618,0.0315126050420168,1e-09,1e-09,0.0238095238095237,1e-09,1e-09,1e-09,1e-09,0.0098039215686274,1e-09,6.566216972122015,3.7229844112390102
5,1978.0,3,1e-09,0.0144927536231884,0.0144927536231884,1e-09,0.0144927536231884,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,1e-09,0.0478260869565217,0.0144927536231884,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,0.0144927536231884,0.0333333333333333,1e-09,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,0.0289855072463768,1e-09,1e-09,1e-09,0.2051759834368529,0.0476190476190475,1e-09,0.0144927536231884,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,0.0144927536231884,0.224223602484472,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0144927536231884,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0476190476190475,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,6.712704139985212,6.752709827960565
6,1979.0,3,1e-09,0.010752688172043,0.0411132194813409,1e-09,0.0123456790123456,1e-09,1e-09,0.0123456790123456,0.010752688172043,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.010752688172043,0.1356853374563684,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,0.0196078431372548,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,0.0230983671843886,1e-09,1e-09,1e-09,0.0319535221496005,0.0623140534588984,1e-09,1e-09,1e-09,0.0392156862745097,1e-09,0.010752688172043,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.021505376344086,1e-09,0.0822264389626818,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,0.0123456790123456,0.0123456790123456,1e-09,1e-09,0.0230983671843886,1e-09,1e-09,1e-09,1e-09,1e-09,0.010752688172043,0.0354440461967343,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,0.010752688172043,1e-09,1e-09,0.0123456790123456,1e-09,0.0123456790123456,0.0123456790123456,1e-09,1e-09,1e-09,0.010752688172043,1e-09,0.0230983671843886,0.0123456790123456,1e-09,0.105020263780542,1e-09,1e-09,1e-09,1e-09,0.010752688172043,0.0123456790123456,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0246913580246913,0.0123456790123456,1e-09,1e-09,1e-09,0.010752688172043,0.0303605313092979,1e-09,0.0196078431372548,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,9.989932645969672,10.29193547089083
7,1980.0,7,0.000453514739229,0.0170868541577923,0.0135824220819317,0.001814058956916,0.000453514739229,0.0022675736961451,1e-09,0.0270651625331427,0.0084787538203687,0.0179156654137208,0.0035044320758606,0.000453514739229,0.0063730755460078,0.0061343835779925,0.0043203246210764,0.000453514739229,1e-09,0.001360544217687,0.013440527726242,0.0057720057720057,0.0363605197368766,0.0030509173366316,0.010657596371882,0.000453514739229,0.0077010708589655,0.0191539454697349,1e-09,0.0038668098818474,0.0034132951426184,0.0085169634041814,0.0394725691543447,0.0039579468150896,0.001814058956916,0.0039579468150896,0.000907029478458,0.000907029478458,0.0031746031746031,0.00646421247925,0.0029597804033894,0.001814058956916,0.000907029478458,0.0155487500529265,0.0227019143489479,0.000453514739229,1e-09,0.0115908032378368,0.0188865727276972,0.0022675736961451,0.000453514739229,0.000907029478458,0.0074623788909502,0.0131638620360424,0.000453514739229,1e-09,1e-09,0.0093857832988267,0.0030509173366316,0.0465371405694476,0.001360544217687,0.0058331378528422,0.0029597804033894,0.0027210884353741,0.0029597804033894,0.0168538228688604,0.0054660460675498,0.013440527726242,0.0185734900020614,0.0038668098818474,1e-09,0.0425489530403238,0.0115646258503401,0.0059195608067788,0.0083394035170026,0.0030509173366316,1e-09,0.0087929182562317,0.0025974025974025,0.000453514739229,0.000907029478458,0.0137085137085136,0.0029597804033894,0.000453514739229,0.0074323740385446,0.0038668098818474,0.0081007115489873,0.0070088641517212,1e-09,0.0252707337702433,0.000453514739229,0.0119302585467998,0.0048649762935477,0.0038668098818474,1e-09,0.0240149560346604,0.0030509173366316,0.000453514739229,0.0129870129870129,0.0201806950575423,0.0195931198219527,0.000453514739229,0.0035044320758606,0.0907072275143878,1e-09,0.0034132951426184,0.000453514739229,0.0056483199340342,0.0131638620360424,0.0081545855981946,1e-09,0.0029597804033894,0.013440527726242,0.000453514739229,0.0039579468150896,0.000453514739229,0.0025974025974025,0.000453514739229,1e-09,1e-09,0.009170960527613,0.0168687764961056,0.0029597804033894,0.0149286259126076,0.013440527726242,1e-09,0.0097156122000842,0.000453514739229,1e-09,0.0051036682615629,0.000453514739229,0.000453514739229,0.0049261083743842,17.574010532844902,6.4211576032525866
8,1981.0,19,0.0016917574583067,0.0210137274130166,0.0071761626506769,0.0010615334924648,0.0312825710564732,0.0034243362416737,0.0015963622291021,0.0074888015082074,0.0083308066186407,0.0041987883944256,0.0051864567734394,1e-09,0.0033115740452285,0.0097245375883146,0.0016766320831265,0.0018294399099352,0.0034875376791572,0.001031991744066,0.0061689715290263,0.0091912407974256,0.0221597278470904,0.0021975479990747,0.0153676111867004,0.0004017677782241,0.0039933282199252,0.0114975449528216,0.0004017677782241,0.0006597657142406,0.0061462090954209,0.0030294127494308,0.0153818372650203,0.0006026516673362,0.0052447381670079,0.0010615334924648,0.0036277414742514,0.0019641717675418,0.0028187339803155,0.0159875497053935,0.0063777089783281,0.0037087203302373,0.0007017543859649,0.0221157713240524,0.0131175659119789,0.0063666800589259,0.0002579979360165,0.0025712399262637,0.0088463920394119,0.0007168797611451,0.0019160957052385,0.008895442467867,0.0089243254785611,0.0007168797611451,0.001103522164189,0.000200883889112,0.0029625038225231,0.0027974628983775,0.0050426869312318,0.0670758429703966,0.0094736842105263,0.0010554461018857,0.000200883889112,0.0079290388404165,0.0021018542191704,0.0149554544373217,0.001103522164189,0.0047654627570965,0.0158000833380297,0.0012328756331781,0.000200883889112,0.0423617624412445,0.0180517980248559,0.0036115606529693,0.004770730966699,0.0002579979360165,0.0098346477414376,0.0094111392563404,0.0025932283867197,1e-09,0.005023460693113,0.0198426503580947,0.004353779497116,0.0002579979360165,0.001782120743034,0.0018778145229383,0.0020401186790505,0.0109833972993344,0.001031991744066,0.0088731886432208,0.001658097769222,0.0109922402572415,0.0081434870598957,0.0041207018162829,0.0063047109392942,0.0363522131000949,0.0092122839907947,0.0051278580298769,0.0052631578947368,0.0020598655474461,0.0085629629848457,0.0082205513784461,0.0046011532740493,0.1660229279870849,0.0022312076881594,0.0044886896283039,0.0010044194455604,0.0030286558540286,0.02192495004995,0.0071108985390648,0.0009983320549813,0.006822230700235,0.0009983320549813,0.0023984318881868,0.0157682336360283,0.0010615334924648,0.0010044194455604,0.0014821341352933,0.0022312076881594,0.000200883889112,0.0037304102399935,0.0018294399099352,0.0051746820208049,0.0079252945197217,0.00450746482108,0.0016009837223175,0.001934630019143,0.000200883889112,0.0024589548738155,0.0007974481658692,0.0040485829959514,0.0047826508064053,1e-09,15.997566836248982,0.9384075345739735
9,1982.0,38,0.0042339789101236,0.0117818358063949,0.0054977382480591,0.0021512113617376,0.0100454705717863,0.0019796524931313,0.00046992481203,0.0144915610289571,0.0087220070540454,0.0186663750988697,0.0004616805170821,0.0008771929824561,0.0026002506265664,0.0021929824561403,0.0029657477025898,0.0006265664160401,0.0026777469990766,0.0016387121650279,0.0029858299595141,0.0062834033913094,0.0219485080107076,0.0019424122609718,0.0019062641985079,0.0038451391636987,0.0056140573799853,0.0214095002348578,0.0039404065719855,0.0004616805170821,1e-09,0.002430870644167,0.0210120035258539,0.0053628389154704,0.0010964912280701,0.0022160664819944,0.0020885547201336,1e-09,1e-09,0.0055357369171121,0.0017543859649122,0.0047395702174095,0.0007518796992481,0.0069732234898439,0.018755458868905,0.0028579150057428,0.0040542532802594,0.0109005418156826,0.011078031662392,1e-09,0.0032707866156619,0.0037714951027644,0.0045334440928736,0.0053202860091404,0.0093477505873627,0.0020733652312599,0.0061248769697523,0.0043950174714391,0.0034670934542564,0.0650902241441135,1e-09,0.0014619883040935,0.0013850415512465,0.0034366806405261,0.0020098322729901,0.0152788428006318,1e-09,0.0143812892651901,0.0106301485338374,0.007951256553994,0.0006925207756232,0.0650011898854882,0.0084296491093329,0.0050713406322824,0.026386460884577,0.0011961722488038,0.0020733652312599,0.0104095382429616,0.0021732258574363,0.0006418485237483,0.0066684442601014,0.0054246756116562,0.0152476605326074,1e-09,0.0084920762898602,1e-09,0.0106364395838079,0.0164299044433832,0.0025633188662713,0.0192251807075626,1e-09,0.0046695686584883,0.002770083102493,0.0114199928545242,0.0030317020621729,0.024720687491784,0.0081831114949902,0.0080837385892787,0.0157101170605325,0.0046422875370243,0.0018796992481203,0.0032163742690058,0.0123101637522364,0.1354002901466903,0.0004616805170821,0.0164935364727608,0.0027221393564883,0.0033649406918104,0.0308978774923047,0.0024121538664474,0.0009677533915761,0.0011035290408305,0.0074892993053331,1e-09,0.0073383440360333,0.0017543859649122,0.0011624455876533,0.0009233610341643,0.0022257059653181,0.0015037593984962,0.0014294339086582,0.0055555555555555,0.0047515183595515,0.0125349401665191,0.0032647407993668,0.0004616805170821,0.0045470331827672,0.0046874151322578,1e-09,1e-09,0.0006418485237483,0.0105490148021058,1e-09,16.39764936101643,0.36812553046771
10,1983.0,28,0.0032702633509085,0.0056407572139624,0.0123908014047765,0.0107432640086254,0.0080967018681397,0.0032516961348388,0.0005515719801434,0.0168543329411922,0.007975662461386,0.0117651552819385,0.0019955990105243,0.002993612440617,0.0069931767861293,0.0039314491954243,0.0037304801146999,0.0013757284546197,0.0031849835516984,0.0007650227806783,0.0073009322563292,0.0094873286592638,0.0262277516421742,0.0040583390439194,0.0098054902440312,0.0036809768952626,0.0050913029181547,0.0145649017287901,0.0053216646728743,0.0043069642925446,0.001799350086192,0.0050243841828969,0.0315151889567413,0.0069697174626522,0.00129807182119,0.0071092798090376,0.0014728986645718,0.0007047864190721,0.0010918802503929,0.0061284286140089,0.0052418122317488,0.0026885342787037,0.0025510204081632,0.0098314970635897,0.0325434413808533,0.0015501492499071,0.0046653796653796,0.0112341882559539,0.0127080972230225,1e-09,0.0068928829927676,0.0004136789851075,0.0040790457715923,1e-09,0.0039656391024126,0.0001378929950358,0.0026942479241892,0.0181432628927101,0.004811407981342,0.0450897806288619,0.0012201440772869,0.001827082184225,0.0050601342186469,0.004270982327883,0.0107360426285984,0.0093081391507541,0.0006709420355475,0.0128278973435529,0.0174524985663,0.0148452621030484,0.0001378929950358,0.0405045119543728,0.0071354316828909,0.0028263805263897,0.0353544639258925,0.0020671181385467,0.0046810628809289,0.0145891169998546,0.0045877914541508,0.0015714878728577,0.0055535543549242,0.0026473586981758,0.0109010340687633,0.0019841269841269,0.0051888623317194,0.002853108210251,0.0051329248483382,0.0187890504882087,0.0009109779898692,0.018842533749366,0.0041963345534774,0.0135947933271374,0.0088793184454357,0.0024999489285203,0.0006709420355475,0.0025224233899105,0.0068065625294386,0.0036937304549828,0.0072534937308812,0.0050775731367335,0.0111060138778492,0.003120241725759,0.0142879915804257,0.1210231808689554,0.0011601788261542,0.0051877153874732,0.0015714878728577,0.003530762094408,0.0127733889254626,0.0015838004577266,0.0006271297856425,0.0053999440520177,0.0014340591640004,0.0007650227806783,0.0110027238219006,0.0015136214496555,0.0004892367906066,0.0023888494037747,0.0064416177429876,0.0035430839002267,0.0004892367906066,0.003495842781557,0.0029796417126683,0.0068852479566765,0.0035980553837696,0.0006782012652854,0.0058607904104798,0.0016107916596077,1e-09,0.0032915568629854,0.0013580370723227,0.01053977776328,0.0028778778778778,18.575256489290343,0.4959090546962046
