,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,ENI,KL
1,1974.0,1,1e-09,1e-09,1e-09,1e-09,0.0384615384615384,0.0384615384615384,1e-09,0.0384615384615384,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0769230769230769,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1153846153846153,1e-09,0.0384615384615384,1e-09,0.0769230769230769,0.0384615384615384,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,0.1153846153846153,0.0769230769230769,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0384615384615384,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,0.0769230769230769,1e-09,1e-09,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0384615384615384,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0384615384615384,1e-09,1e-09,6.922506818897095,11.49245041231711
2,1975.0,2,1e-09,1e-09,0.05,1e-09,0.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,0.55,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,0.05,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,3.0473921331209377,5.580651406925998
3,1976.0,3,0.0333333333333333,1e-09,1e-09,1e-09,0.0541666666666666,0.0104166666666666,1e-09,0.015625,1e-09,0.0052083333333333,0.015625,1e-09,0.0052083333333333,0.015625,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0104166666666666,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.015625,0.0052083333333333,0.0104166666666666,1e-09,0.0333333333333333,1e-09,1e-09,0.0052083333333333,0.0104166666666666,0.015625,1e-09,0.015625,0.0104166666666666,1e-09,1e-09,0.3770833333333334,1e-09,0.015625,0.071875,1e-09,1e-09,0.015625,0.0052083333333333,0.0052083333333333,0.015625,1e-09,0.0052083333333333,1e-09,0.0052083333333333,0.0104166666666666,0.0052083333333333,1e-09,0.0489583333333333,1e-09,0.0052083333333333,1e-09,1e-09,0.0333333333333333,0.0052083333333333,0.0052083333333333,1e-09,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,0.0052083333333333,1e-09,1e-09,1e-09,0.0052083333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0052083333333333,1e-09,6.544815010600971,8.096597281956317
4,1977.0,6,1e-09,0.0138888888888888,1e-09,1e-09,0.1067927170868347,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0138888888888888,0.0818938686585745,1e-09,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0138888888888888,1e-09,0.0423280423280423,0.0422113289760348,1e-09,0.1789993775287892,1e-09,1e-09,0.0997510115157173,1e-09,1e-09,1e-09,0.0283224400871459,1e-09,1e-09,1e-09,0.0257936507936507,1e-09,0.0277777777777777,1e-09,1e-09,1e-09,0.1717242452536569,1e-09,1e-09,0.0098039215686274,0.0138888888888888,1e-09,1e-09,1e-09,0.0098039215686274,0.0119047619047618,0.0196078431372548,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0660208527855586,0.0098039215686274,1e-09,5.988391799984477,3.9796387541189158
5,1978.0,3,0.0151515151515151,1e-09,1e-09,1e-09,0.0454545454545454,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,0.0151515151515151,1e-09,1e-09,0.0151515151515151,1e-09,0.0151515151515151,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,1e-09,0.0151515151515151,0.0333333333333333,1e-09,1e-09,1e-09,0.0333333333333333,1e-09,0.2080808080808081,0.0333333333333333,1e-09,0.104040404040404,1e-09,1e-09,1e-09,0.0888888888888888,1e-09,0.0454545454545454,1e-09,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,0.1777777777777777,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0151515151515151,1e-09,1e-09,6.250750320204523,5.3674582583948185
6,1979.0,3,0.010752688172043,0.021505376344086,1e-09,1e-09,0.113226802070888,0.0423387096774193,1e-09,0.0123456790123456,0.0208333333333333,1e-09,0.0123456790123456,1e-09,0.0208333333333333,0.0315860215053763,1e-09,1e-09,0.010752688172043,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.021505376344086,1e-09,1e-09,0.0246913580246913,0.0208333333333333,1e-09,0.010752688172043,1e-09,1e-09,1e-09,0.010752688172043,0.0123456790123456,0.0230983671843886,1e-09,0.0208333333333333,0.087863401035444,0.0123456790123456,0.010752688172043,0.0862704101951413,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,0.010752688172043,1e-09,1e-09,1e-09,0.074074074074074,0.0123456790123456,1e-09,0.073252688172043,0.033179012345679,1e-09,0.010752688172043,1e-09,0.021505376344086,1e-09,1e-09,0.0230983671843886,0.0208333333333333,0.010752688172043,1e-09,1e-09,1e-09,1e-09,1e-09,0.0230983671843886,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.010752688172043,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,9.768235235298228,7.9629054055591055
7,1980.0,7,0.0055905340859748,0.001302648719062,0.0160383689259069,0.0107932341215015,0.1195325362939834,0.0138327477993131,0.0004342162396873,0.0071593153390388,0.015667661586379,0.0004342162396873,0.0026052974381241,0.0052027000355267,0.0261631838109924,0.0626866906992409,0.0034737299174989,0.0068931828050369,0.0177554967828523,0.0017368649587494,0.0017368649587494,0.0307846261983922,0.001302648719062,0.0008684324793747,0.0077458256029684,0.0107813918604192,0.0004342162396873,0.0051020408163265,0.0085678758931038,0.0017368649587494,0.0004342162396873,0.0102531060468113,0.0069395649942762,0.0166630481980025,0.0051948051948051,0.0008684324793747,0.0084619640581009,0.0030316188370899,0.0034194528875379,0.0038536691272253,0.01452125431192,0.0072135923689997,0.0108238266292977,0.0429150489671128,0.0026052974381241,0.0025974025974025,0.0505006857051174,0.0111057488447428,0.0280523427939841,0.0427456600659855,0.0050425111705629,0.0034658350767773,0.001302648719062,0.0162156845017909,0.0155923104251371,0.014289661706075,0.0008684324793747,0.0067793761293123,0.0076399137679655,0.036004421110804,0.001302648719062,0.0085678758931038,0.0064974539138672,0.0540629142403825,0.0138554454663877,0.0004342162396873,0.0046082949308755,0.0110725141120277,0.0114935828951908,0.0038536691272253,1e-09,0.0176124027947735,0.0073619389728812,0.0155380333951762,0.0025974025974025,0.0004342162396873,0.0025510204081632,0.010204081632653,1e-09,0.0051563178462874,0.0030316188370899,1e-09,0.0105787682265768,1e-09,0.0008684324793747,1e-09,0.0034658350767773,0.0004342162396873,0.0008684324793747,0.0034194528875379,0.0042878853669127,0.0004342162396873,0.0025974025974025,0.0051020408163265,0.0064935064935064,0.0089557099435518,0.0064935064935064,14.198163146826223,5.427369075119081
8,1981.0,19,0.0062767469888212,0.016527660801131,0.0111659392925374,0.0102579562489306,0.0998679163790327,0.0102028522268195,1e-09,0.0100308449056196,0.0194498791081979,0.0057166571548993,0.0052835115069464,0.0013697344966694,0.002123548706293,0.0177869057324038,0.0006520311473871,0.0059924036245072,0.0016768115515862,0.0002392344497607,0.0006848672483347,0.0158609783871336,0.0016746411483253,1e-09,0.0138685725500105,0.0062118698499031,0.0018417376002515,0.0009919443032515,0.0010976639459611,0.0120477075302567,0.0011240342509692,0.0148509482876436,0.009260502139759,0.0071943808669084,0.0065438607645842,0.0034637218614086,0.0048818178525678,0.0105810909667016,0.0055702349496536,0.0092692871488064,0.0135030187378899,0.007834400867595,0.0092808496226936,0.043429417957398,0.0200412740426759,0.0011568703519167,0.0834353010141034,0.0216609394844845,0.0163736075834486,0.0424286353354803,0.0071691065962767,0.0004127966976264,0.0061516366813875,0.0190101421557548,0.0135206174563029,0.0067083418153146,0.000956937799043,0.010743024186289,0.0016032982134677,0.0242033851940972,0.0058954519787512,0.0128441267643323,0.0105230612315014,0.1131277669284552,0.0082062296792285,0.003156335513336,0.0052716419238996,0.007344925007726,0.0224009969406599,0.0061090600251068,0.0041327032616714,0.001470413202773,0.0092503987240829,0.0064882054703305,0.0020239360473175,0.0055264017672025,0.0081066056789381,0.0011240342509692,0.0004127966976264,0.0030083485075014,0.0032551148003298,0.000917635902156,0.0034139338652609,1e-09,0.0047846889952153,0.0006191950464396,0.016048804005985,0.0014224751066856,0.0020915076683223,0.0014375771018255,0.0066856330014224,1e-09,0.0002392344497607,0.0011897064528643,0.0098014522046299,0.0089087205226869,0.0014967835077811,13.829924710527125,0.39500850031962464
9,1982.0,38,0.0054714593187133,0.0114945712468932,0.0136417424637846,0.0080710326432992,0.1196317250890041,0.0268207542812769,1e-09,0.0034270167397102,0.0132236837311544,0.0056704017230332,0.006022557880143,0.002422723475355,0.0129997682629261,0.0234082737873718,0.0027233115468409,0.0093826403756903,0.0006265664160401,1e-09,0.0029342361752334,0.0079616166645134,0.0015842281288505,0.0008488964346349,0.0023966165413533,0.002803726487937,0.0087451527660505,1e-09,0.0052825283416818,0.0028821504794044,0.0006925207756232,0.0122727666820346,0.0124705675768898,0.0160692614059487,0.0078652456361434,0.0061969334415154,0.0029348818822502,0.0024187306501547,0.0040986842036781,0.0062254380752832,0.0230497923496738,0.0109310690139022,0.0028708133971291,0.0153086730452459,0.0125041854897647,0.0037332915622389,0.0683480533633743,0.0068726108199792,0.0100962304423319,0.0362708151574158,0.0231264644156688,1e-09,0.003802489170641,0.0438770492792083,0.0132802984949799,0.015888581308371,0.0015969410706252,0.0148285192551002,0.0115713508634476,0.0172885401287348,0.0088133850085418,0.0061417499090629,0.001252462707571,0.09569185547335,0.0077022443861856,0.0108134803543272,0.0057733803863834,0.0051841419855107,0.0361665250072534,0.0049485094549865,0.0047143259217562,0.0059711545552506,0.0156404689047307,0.0104392683340051,0.0026061530638189,1e-09,0.0034471787466806,0.0004784688995215,0.0004784688995215,0.0026568825910931,0.0011709896751447,0.0011961722488038,0.0031952811731205,0.0004784688995215,0.0020242914979757,1e-09,0.0149552564775275,0.0031100478468899,0.0024475524475524,0.0048973909828154,0.0023391812865497,0.0007739938080495,1e-09,1e-09,0.0097124717674253,0.0145211436566085,0.0032894736842105,13.856483146856784,0.22333043126252392
10,1983.0,28,0.0095253643274686,0.0073782122584835,0.0065350684437099,0.0016515473466274,0.102860783547321,0.0300363995406164,0.0005175983436853,0.0091984877146102,0.004280932780851,0.0038374564955259,0.0019701816653434,0.0007311563069163,0.0099465633153858,0.0267484057621918,0.0031882890455953,0.0076833959781818,0.0089823390350523,1e-09,0.0004626278428991,0.0095469357564813,0.0064115028951689,0.0004027926960257,0.0078200369916247,0.005690497483088,0.0006567272217811,1e-09,0.0087454985808205,0.0065005911871717,0.0032258723597211,0.0151906307693075,0.0261423275806356,0.0136931715094776,0.0035132474042248,0.0080966555094986,0.0058396467024101,0.0103837045974294,0.0085731638092334,0.0101225413194193,0.0281556500661233,0.0157772060571923,0.0089550641793317,0.0106646930416248,0.014720623569178,0.0069524460501904,0.0668693070284132,0.0169117993690381,0.0215135010852124,0.0462703647262999,0.0138081001023067,0.001420602196736,0.0151844052422898,0.0191626860364008,0.0203549492416776,0.0029232564169043,0.00326047744526,0.0131799735202216,0.007685070595744,0.0251433287151259,0.0129827220172736,0.0117735125169559,0.0034226676940799,0.062343498518675,0.0077500707056229,0.0061778377281105,0.0075344611528822,0.0110897003651284,0.01890861660736,0.0086994656482234,0.0042966175791445,0.0026074503027755,0.0227029891866552,0.0099368931684863,0.0001940993788819,0.0055043470477435,0.0057821153910562,0.0004626278428991,0.0002685284640171,0.0132616050015831,0.0021441372247823,1e-09,0.0034102790620443,1e-09,0.0016696720764041,0.0018763555028787,0.005354402734674,0.0018811586419464,0.0001342642320085,0.0009802261865844,0.0010546552717196,1e-09,0.0063104189044038,0.0003283636108905,0.0105732081538533,0.0026086763765856,0.0009704968944099,15.167021805637093,0.41419410274240415
