,year,total_works,topic_1,topic_2,ENI,KL
1,1974.0,1,0.8461538461538461,0.1538461538461538,1.3466015419543516,0.008374097061126608
2,1975.0,2,0.95,0.05,1.1475167745883503,0.053776245929214955
3,1976.0,3,0.8302083333333333,0.1697916666666666,1.3713109265550683,0.09567877589591181
4,1977.0,6,0.7070494864612512,0.2929505135387487,1.5207388508739192,0.046249250244531595
5,1978.0,3,0.7434343434343434,0.2565656565656565,1.4839412356648138,0.0032798783313065585
6,1979.0,3,0.8167064914376742,0.1832935085623257,1.391220424617657,0.01512900957144641
7,1980.0,7,0.8529358302252704,0.1470641697747296,1.3356875908609795,0.004634855133700148
8,1981.0,19,0.785616897163994,0.2143831028360057,1.4336634029158288,0.016210513715079533
9,1982.0,38,0.7900317315922196,0.2099682684077804,1.4279194771482817,5.815466006432041e-05
10,1983.0,28,0.830561866774542,0.169438133225458,1.3707772770690199,0.005213284739576614
11,1984.0,25,0.8469695435715607,0.1530304564284391,1.345301842973511,0.0009823962134512827
12,1985.0,26,0.8581875703559848,0.1418124296440151,1.3270658662468564,0.000495570874457384
13,1986.0,30,0.8806924331705329,0.1193075668294669,1.2883665349026416,0.0021809885679388054
14,1987.0,57,0.874907006258998,0.1250929937410017,1.2985945675282276,0.00015710317212900508
15,1988.0,37,0.8717934694635668,0.1282065305364333,1.3040173989094463,4.3976752500786333e-05
16,1989.0,63,0.8774077685774597,0.1225922314225401,1.294197872269976,0.00014280197038145283
17,1990.0,82,0.8729834766708466,0.1270165233291533,1.3019514312219604,9.006524261216762e-05
18,1991.0,81,0.8896096474598076,0.1103903525401925,1.27220458016457,0.001296347145267513
19,1992.0,104,0.8831852134419205,0.116814786558079,1.2838977105086888,0.00020667169698213722
20,1993.0,137,0.8903210612857886,0.1096789387142112,1.2708938659587363,0.0002512823390525545
21,1994.0,109,0.8886901017538816,0.1113098982461181,1.2738940224044777,1.356154224671979e-05
22,1995.0,123,0.8899542681307183,0.1100457318692813,1.2715700485466157,8.104729109962823e-06
23,1996.0,117,0.8819211333025438,0.118078866697456,1.2861685441233457,0.0003226820685654202
24,1997.0,113,0.8918567678245618,0.1081432321754376,1.2680535051368331,0.0004860142908162529
25,1998.0,108,0.8775863101241635,0.1224136898758361,1.2938825572424477,0.0010174582246306255
26,1999.0,131,0.8910641308169309,0.1089358691830687,1.2695214007091473,0.0008737632652937328
27,2000.0,118,0.8914270725010819,0.1085729274989178,1.2688497618636594,6.791843969716077e-07
28,2001.0,127,0.90355448755962,0.0964455124403804,1.2459118697057396,0.0007861565518184829
29,2002.0,115,0.8997711953307619,0.1002288046692384,1.2531728489824736,8.118402488568486e-05
30,2003.0,145,0.8906386495639379,0.1093613504360615,1.2703077031349663,0.0004504787669832363
31,2004.0,146,0.8886126699959003,0.1113873300040999,1.2740360415049141,2.0957420460187767e-05
32,2005.0,145,0.88983065413722,0.1101693458627798,1.2717977387777886,7.5178739399851206e-06
33,2006.0,144,0.893261400617411,0.1067385993825886,1.2654423557544119,6.058629433913949e-05
34,2007.0,159,0.8868502212965731,0.1131497787034264,1.2772584293199924,0.00021186093286479444
35,2008.0,172,0.8947662593941654,0.1052337406058346,1.2626307553674132,0.00031882382387511763
36,2009.0,241,0.8882794875723801,0.1117205124276194,1.2746467083716757,0.00021951207938459682
37,2010.0,227,0.8913588857853216,0.1086411142146783,1.2689760083564743,4.816626253585556e-05
38,2011.0,229,0.8885279417409826,0.1114720582590173,1.2741914000962398,4.106805523155675e-05
39,2012.0,257,0.8997348183012917,0.1002651816987085,1.253242192832459,0.0006536124189092541
40,2013.0,270,0.893523323864328,0.106476676135672,1.264954046489396,0.000210039250396238
41,2014.0,317,0.8851029933177174,0.1148970066822823,1.280433912380409,0.00036430148934185266
42,2015.0,392,0.8874286030571824,0.1125713969428184,1.2762030796202861,2.6749148396915806e-05
43,2016.0,435,0.8903841319668233,0.1096158680331774,1.2707775093153886,4.4058498765735775e-05
44,2017.0,447,0.8888854819602006,0.1111145180397995,1.273535504212647,1.1460210833279466e-05
45,2018.0,404,0.8869127771114468,0.1130872228885531,1.2771443867554462,1.9599415825704083e-05
46,2019.0,362,0.8845715222562214,0.1154284777437785,1.2813960894991598,2.716298537782302e-05
47,2020.0,283,0.8933005191144303,0.1066994808855694,1.2653694544301182,0.0003816321333677906
48,2021.0,254,0.8980629526182182,0.1019370473817817,1.2564196178870195,0.0001205734067240647
