,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,ENI,KL
1,1931.0,1,0.1666666666666666,1e-09,0.0833333333333333,0.1666666666666666,1e-09,1e-09,1e-09,0.25,1e-09,0.0833333333333333,0.1666666666666666,1e-09,0.0833333333333333,3.6393479416464802,1.9739739390483466
2,1933.0,1,0.1111111111111111,0.074074074074074,0.1481481481481481,0.2222222222222222,0.1111111111111111,1e-09,1e-09,0.037037037037037,0.074074074074074,1e-09,0.074074074074074,0.1481481481481481,1e-09,4.253780054377769,7.5035211379451185
3,1934.0,1,0.0684931506849315,0.0684931506849315,0.2876712328767123,0.1780821917808219,0.0547945205479452,1e-09,0.0410958904109589,0.1232876712328767,0.0136986301369863,0.0547945205479452,0.0410958904109589,0.0684931506849315,1e-09,4.329046876775576,1.819179785233432
4,1939.0,1,0.0735294117647058,0.0294117647058823,0.1911764705882352,0.1176470588235294,0.1323529411764706,0.0147058823529411,1e-09,0.2058823529411764,1e-09,0.0147058823529411,0.0588235294117647,0.1617647058823529,1e-09,4.118719381485577,0.4592341662912278
5,1943.0,1,0.0344827586206896,0.0344827586206896,0.0689655172413793,0.2758620689655172,0.1724137931034483,1e-09,1e-09,0.1379310344827586,1e-09,1e-09,0.0689655172413793,0.2068965517241379,1e-09,3.626653995336451,0.19637446582675822
6,1947.0,2,0.0517241379310344,0.10727969348659,0.1293103448275862,0.1206896551724138,0.0258620689655172,1e-09,0.0086206896551724,0.2183908045977011,0.0086206896551724,0.239463601532567,1e-09,0.0258620689655172,0.0641762452107279,4.0959268806705635,6.170996651060216
7,1948.0,1,0.0222222222222222,0.0666666666666666,0.3333333333333333,0.1333333333333333,0.0222222222222222,1e-09,0.0222222222222222,0.1333333333333333,1e-09,0.1333333333333333,0.0444444444444444,0.0666666666666666,0.0222222222222222,4.027786246260504,0.9744610601402185
8,1949.0,2,0.1930284857571214,0.0281109445277361,0.1060719640179909,0.2140179910044977,0.0888305847076461,0.0344827586206896,0.0344827586206896,0.1604197901049474,0.0281109445277361,0.0562218890554722,0.0453523238380809,1e-09,0.0108695652173913,4.5264356757676145,1.5659542566501812
9,1950.0,9,0.0946774122962989,0.0650220975778784,0.0831016242499226,0.192072633874527,0.0751157620833077,0.0122924648786717,0.0499651689306861,0.1822487498394642,0.01556234314855,0.0786647246191983,0.0452619880724455,0.0644374782305816,0.0415775521984672,5.0870383137681205,1.1940990670953069
10,1951.0,8,0.0984542451276321,0.0592120133450778,0.1841440929142541,0.1008054445554445,0.0385995053333762,0.0109570648885164,0.0005760368663594,0.1956298629685726,0.0002880184331797,0.161543149950408,0.0505386750346427,0.0110358391608391,0.0882160514216965,4.434148138376119,0.2317191748247303
