,year,kl_mean,kl_std
0,1974,9.626793537338056,1.7763568394002505e-15
1,1975,16.325376864924554,0.06993964841917341
2,1976,6.787182297162365,5.330992593816191
3,1977,9.269319221438645,5.866542333763849
4,1978,9.894081359606188,2.8595811232314405
5,1979,9.781559234764067,3.182015676704769
6,1980,8.147410199603218,3.863930736511287
7,1981,11.243904881673265,3.6757685585508044
8,1982,11.120335448860118,2.8420139812836176
9,1983,11.321023517637407,3.3093912310454265
10,1984,11.065664518850086,3.1173296986254844
11,1985,10.556740124018832,3.9885929748331996
12,1986,9.23769608878323,4.158118207186714
13,1987,10.243031717327549,4.228338500632444
14,1988,9.883289170468132,4.346543418544081
15,1989,10.62317711932722,3.740502285994342
16,1990,11.154220837439594,4.044744246106353
17,1991,9.983770726193193,4.215361693872586
18,1992,10.664547066338345,3.8607418630873855
19,1993,10.49498918767132,3.7056231940437283
20,1994,10.278071968156814,4.03204792799901
21,1995,9.894605011307657,4.078101870808532
22,1996,10.417968719204994,4.042697319903361
23,1997,9.468818603203436,4.2011464088513035
24,1998,9.100912231024012,4.320499439507091
25,1999,9.096443298188507,3.923790806001752
26,2000,8.78694317026323,4.50875027787004
27,2001,8.898562368159043,4.374756770117402
28,2002,9.04454581327492,4.162370129274812
29,2003,8.778124611066275,3.9918678445178184
30,2004,8.376238785020407,4.3437469479713435
31,2005,8.813027309358873,4.128480974111949
32,2006,8.60264365951353,4.444000072483298
33,2007,8.997978282312799,4.232806524386118
34,2008,9.38173466948697,4.514106305148554
35,2009,9.885651280202989,4.337822892822263
36,2010,9.232543661527721,4.528240116005148
37,2011,8.892650938687495,4.335145794355072
38,2012,9.106528915834106,4.2372180190007045
39,2013,9.399029396494765,4.1577446901549555
40,2014,9.520028066160252,4.255336541150439
41,2015,10.416569728599564,4.082295325902524
42,2016,10.731930099147927,4.102123297515549
43,2017,10.944779441131601,3.9932500483445525
44,2018,11.619962665306558,3.954664452999193
45,2019,11.4038908992378,3.902730564310096
46,2020,11.356749658273499,4.361419378883149
47,2021,11.987908083873318,4.158954660574336
