,year,kl_mean,kl_std
0,1952,0.22930672875188596,8.326672684688674e-17
1,1959,1.8265948858713765,1.0171066541410938
2,1960,0.48143871339452005,0.27512296293617977
3,1964,0.28504061953913756,5.551115123125783e-17
4,1965,0.36097921462788185,0.04928344759086893
5,1966,0.41127836460031286,0.17558820432392794
6,1969,0.785075186880359,0.31288351047499535
7,1970,0.30053379461122265,0.06472748915673585
8,1972,1.6393714763266138,1.1241713523928896
9,1973,0.8776474535104101,0.15996910760055036
10,1974,2.035593490404907,0.7543064608553431
11,1975,1.191691376790851,0.753059917740873
12,1976,0.7138013281312973,0.4302730686530719
13,1978,1.0577676082341454,2.220446049250313e-16
14,1979,0.7080172637374333,2.220446049250313e-16
15,1981,1.9755285547358723,0.08607251734445288
16,1982,1.626352062565224,0.7285078238409672
17,1983,1.2281900358508433,0.7488054233061705
18,1984,0.8886974933982466,0.6116667804671555
19,1985,1.7643084619646539,1.2376537764185391
20,1986,1.1765642224144337,0.8873578829619977
21,1987,1.32978197474922,1.0743770269806858
22,1988,0.9218072362818857,0.8494898475548119
23,1989,1.1581076068798393,0.7091021273464316
24,1990,1.1296533537414193,0.830302669730347
25,1991,0.7555354341488828,0.5705091018339103
26,1992,1.1909277945558485,0.7540751319934595
27,1993,1.6717172077940476,1.221222629719135
28,1994,1.3844662922545998,1.1521704991682622
29,1995,1.2066146449071224,1.0768345943184514
30,1996,1.6258680452409138,1.1557387843560636
31,1997,1.398128719679205,0.9504613355575418
32,1998,1.250280530713436,0.8837818782977465
33,1999,1.7426261730037858,1.2258135305872255
34,2000,1.2248984276776116,0.8560730325513568
35,2001,1.3186953864999382,1.0119156954208641
36,2002,1.75678296406102,1.5321782217750535
37,2003,1.2334119079325052,1.062152987400165
38,2004,1.1519764468460683,0.841731979103518
39,2005,1.395600534374771,0.9924202027308416
40,2006,1.4043895995741729,1.027504893325858
41,2007,1.4172043975465023,0.9326194830349869
42,2008,1.4487694628944494,1.0815857436983727
43,2009,1.68739918683875,1.1207780798638163
44,2010,1.5403630874820486,1.1537029275691963
45,2011,1.2171141728793864,0.9464295076307351
46,2012,1.3231705661194229,0.9523737666571416
47,2013,1.3034172877557877,0.930884833672645
48,2014,1.1606790201026058,0.9765409213170261
49,2015,1.4515066889823371,1.131721925515874
50,2016,1.2864726052549926,1.0331818813483833
51,2017,1.117605959371172,0.8814048930641383
52,2018,1.6165628167373547,1.4342901308294183
53,2019,1.116273703353416,0.7906027355610288
54,2020,0.7247657871108716,0.39807746814501954
55,2021,0.9203637084885018,0.5730668797208724
