,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,ENI,KL
1,1931.0,1,0.0833333333333333,1e-09,0.0833333333333333,0.0833333333333333,0.0833333333333333,1e-09,1e-09,0.1666666666666666,1e-09,1e-09,1e-09,0.0833333333333333,0.25,1e-09,1e-09,1e-09,1e-09,0.1666666666666666,1e-09,1e-09,3.9427562359591835,2.511279315246243
2,1933.0,1,1e-09,1e-09,0.2142857142857142,0.0714285714285714,0.0714285714285714,1e-09,1e-09,0.2142857142857142,1e-09,1e-09,1e-09,1e-09,1e-09,0.0357142857142857,0.0714285714285714,0.0714285714285714,1e-09,1e-09,0.25,1e-09,3.680209781385232,8.27302658277502
3,1934.0,1,1e-09,0.0131578947368421,0.1842105263157894,0.0921052631578947,0.0921052631578947,0.0657894736842105,0.0394736842105263,0.0921052631578947,1e-09,1e-09,0.0131578947368421,0.0263157894736842,0.0263157894736842,0.0789473684210526,0.0526315789473684,0.0789473684210526,0.0131578947368421,1e-09,0.131578947368421,1e-09,5.511059676563362,3.332300240808076
4,1939.0,1,1e-09,0.0128205128205128,0.1282051282051282,0.282051282051282,0.0769230769230769,0.0512820512820512,0.0128205128205128,0.1666666666666666,1e-09,1e-09,1e-09,1e-09,0.0128205128205128,0.0256410256410256,0.0128205128205128,0.0897435897435897,1e-09,1e-09,0.1282051282051282,1e-09,4.18623328199775,0.2786654341969418
5,1943.0,1,0.032258064516129,0.032258064516129,0.0967741935483871,0.1290322580645161,0.1290322580645161,1e-09,1e-09,0.0967741935483871,1e-09,1e-09,1e-09,1e-09,1e-09,0.0967741935483871,1e-09,1e-09,1e-09,0.032258064516129,0.3548387096774194,1e-09,3.7487660702155687,1.5209840625325413
6,1947.0,2,0.0080645161290322,0.0161290322580645,0.0564516129032258,0.1069609507640067,0.1230899830220712,0.0403225806451612,0.0080645161290322,0.0161290322580645,1e-09,1e-09,0.0080645161290322,0.0263157894736842,0.331918505942275,0.0241935483870967,0.032258064516129,0.0241935483870967,0.0080645161290322,0.0526315789473684,0.064516129032258,0.0526315789473684,4.981957817650328,9.732355414659295
7,1948.0,1,1e-09,1e-09,0.1372549019607843,0.1372549019607843,0.0980392156862745,0.0588235294117647,0.0196078431372549,0.1176470588235294,1e-09,1e-09,1e-09,1e-09,0.2941176470588235,0.0196078431372549,1e-09,0.0588235294117647,1e-09,0.0392156862745098,0.0196078431372549,1e-09,4.21681829594621,0.38495951071265605
8,1949.0,2,0.0192307692307692,1e-09,0.0692307692307692,0.0839743589743589,0.1628205128205128,0.1365384615384615,0.1096153846153846,0.0525641025641025,1e-09,0.0455128205128204,0.0192307692307692,0.0096153846153846,0.0717948717948717,0.0762820512820512,0.0935897435897435,0.0333333333333333,1e-09,0.0166666666666666,1e-09,1e-09,5.592280584638494,3.5444470609795946
9,1950.0,9,0.0095645095645095,1e-09,0.1247950126072235,0.0450590724758162,0.0740927604190786,0.0439538319973102,0.1260374086461043,0.071769097769329,1e-09,0.0170816301251083,0.0042735042735042,0.0111272937070809,0.1619426075774364,0.0316840216007653,0.0570783032450469,0.0486505192737847,0.0037037037037037,0.0987933482729967,0.0703933747412008,1e-09,5.727561372817908,1.5469221025881326
10,1951.0,8,0.0004440497335701,0.0180372404846011,0.1105817330629902,0.0394901044450958,0.0590429506745532,0.0728634293373942,0.002323716566935,0.0364149190982728,0.000222024866785,0.0085553582001184,1e-09,0.1034171890358516,0.300737776693723,0.0199469417497836,0.008573716566935,0.061985770897752,0.0173910856656722,0.1291430160715714,0.0108289768483943,1e-09,4.7676146635240215,0.715141418043512
11,1952.0,10,0.0108730855183871,0.0206981394889317,0.128119567963997,0.0697968132371503,0.0823734896642602,0.0778317070107193,0.0141469582051911,0.0705314704855497,0.0007616974972796,0.0141306901179132,0.0118649033230099,0.030247439218652,0.2799868169305083,0.0129813681193676,0.0185114254817112,0.0464087493371344,0.0046170727057364,0.0797363487656128,0.0243126586869785,0.0020695982419082,5.325846093156424,0.3455041879955261
12,1953.0,4,1e-09,1e-09,0.056060606060606,0.0931818181818181,0.062121212121212,0.0765151515151515,0.0454545454545454,0.025,1e-09,1e-09,1e-09,0.0227272727272727,0.4347319347319347,0.0083333333333333,1e-09,1e-09,1e-09,0.1124125874125874,0.025,0.0384615384615384,3.826256023432016,0.3216689562895846
13,1954.0,8,0.0392023341242091,0.0130422962454212,0.0787925692567236,0.0741377188987482,0.1195235906862745,0.0598815247252747,0.0830137616672543,0.0607243170432508,1e-09,0.0125597059190808,0.0101001939237233,0.0405947070698908,0.2429314328441166,0.0305651379870129,0.0463630272913361,0.0321722548285048,0.0228567005910755,0.0128692921661671,0.0206694347319347,1e-09,5.788564936457877,3.0965263684685436
14,1955.0,12,0.0622157672073057,0.0137824967980834,0.1354681385312517,0.0816179800074436,0.1484595666039327,0.1018843008753516,0.0132252140299154,0.0510755117567633,1e-09,0.0093632207983134,0.0052121191307713,0.0391197752408512,0.1418462699425508,0.0270937948913262,0.0706092935546376,0.0439887510893859,0.0167643917130271,0.0077386755196705,0.0255660168143863,0.0049687154950312,5.8795072672801645,0.19310440691308312
15,1956.0,10,0.0238616948307039,0.0152437507643419,0.0991749648948191,0.0549177137120806,0.0904506825991246,0.0455251770634992,0.0241279938865456,0.039612104516373,0.0004761904761904,0.0032943827089777,0.0117117049320386,0.0630776336430412,0.2563076146764593,0.0291787825000165,0.029904087262352,0.0576315263157074,0.0096146534465334,0.0734618781277597,0.0281089086352243,0.0443185550082101,5.90738453023775,0.2946358727195142
16,1957.0,18,0.0407604626341224,0.0248390384153616,0.1089571805531984,0.0832226386981765,0.1171047217432321,0.1125486070938781,0.0146310144324526,0.0621150309740652,0.0144993894993894,0.0330532988237429,0.0070480177922525,0.0782310368115098,0.0742338643867845,0.0292671398676517,0.0596783387416003,0.0550784437166453,0.0440040755176833,0.0081029902500198,0.0267525268659772,0.0058721831822547,6.672525400636451,0.3532621629081554
17,1958.0,20,0.0370650796126697,0.0101665652810505,0.1147492561497487,0.0607317546774111,0.0777681182526267,0.1122878800040616,0.0150954762711871,0.0405704469437591,0.0005747126436781,0.049618454199004,0.0100417604782952,0.0451103830693097,0.1635719163752211,0.0300429849198253,0.0662191016640015,0.0386250187965863,0.007756021859871,0.0718353978439386,0.0358574549727229,0.0123122159850307,6.3702815135379245,0.20842798943033358
18,1959.0,20,0.030107372805775,0.013707194820513,0.086079917921717,0.0946009247372966,0.1007938910335731,0.1023278855021198,0.0172312946761981,0.063471541899404,0.0036715389600547,0.0241755877658564,0.0232949396875681,0.0493788165408436,0.1424413242089931,0.0445235484299079,0.0692122191845344,0.0391571970871168,0.0065083591983422,0.0073092107047768,0.0798909630650175,0.0021162717703908,6.347456758012201,0.1196716588072889
19,1960.0,15,0.0241737342435832,0.0293072312395602,0.091065719281787,0.078202026193676,0.0919957071876434,0.1077214230031429,0.0110309677193449,0.0445956415862264,0.0019891673341724,0.0183691670685093,0.0049093425569367,0.0524773675024017,0.2032243781408853,0.026100210019997,0.0467399804536279,0.048982378590101,0.0123245810604148,0.01352754771562,0.0908761736937735,0.0023872554085951,5.9798186392941854,0.05205200929416788
20,1961.0,27,0.0359052115900448,0.0175042446686392,0.1113125017760127,0.0788705300064443,0.0890634057842237,0.0726946132956362,0.0076449454812131,0.0489986526870034,0.0031644886599469,0.0057314284156227,0.0080574285474123,0.0376659243227426,0.1722200427510606,0.0383823945758664,0.0282346664761232,0.03033425134434,0.0113016403255881,0.1502896566857938,0.0526239726062848,1e-09,5.902707406279393,0.27450229780266666
21,1962.0,18,0.0410908875866446,0.0228644558865387,0.1228473765813599,0.0907463983151295,0.0933677431643582,0.0752369757526564,0.0380413926134412,0.0719772801823133,0.0057955140214663,0.0265058959250552,0.0139402850788511,0.0494123800879965,0.1251930037908132,0.0285499320743787,0.0401703192707542,0.0660185944377325,0.019745658205902,0.0156949997720053,0.0523831963085751,0.0004177109440267,6.623607821239997,0.19521304759142344
22,1963.0,17,0.0379396605840514,0.0178586070245781,0.1173280800606749,0.0588688649869979,0.0977312050616148,0.0760517782926478,0.0378269914031893,0.0679244584548438,1e-09,0.0313919332514763,0.0336129354699705,0.0576405485086215,0.0933400409351572,0.0361903733057661,0.0439355071665403,0.0477160475304319,0.0141627516563372,0.0678275127273314,0.0563957007786479,0.0062570028011204,6.924724364241546,0.09188309279382446
23,1964.0,31,0.0125769037437102,0.0234404029534237,0.1094635382535397,0.0878344459760664,0.1082681350728659,0.068366080358928,0.0340657689169701,0.0660666596923669,0.0075766206692816,0.0110755433295342,0.0183488576893802,0.0634926214452393,0.1262836328863972,0.0399114137685424,0.0419790883898795,0.0597960534616381,0.0123138446791412,0.0148264310441671,0.0776856934600176,0.0166282642089093,6.622690888326185,0.19248161456661889
24,1965.0,40,0.0484613745732081,0.0154278629594962,0.1085775280425143,0.0680003170258066,0.0930572789836615,0.0905766343609853,0.0473991482059506,0.0622957203159801,0.0101717495145977,0.0224920781132204,0.0226514025609033,0.0363828471052508,0.116820167440411,0.0287152174481237,0.075721361353918,0.0491529967338685,0.0106174478199841,0.0298790122855317,0.0625300527157319,0.0010698024408548,6.770815344196999,0.08679795454991776
25,1966.0,42,0.0294169444674454,0.0153820091507685,0.119001189219809,0.0461283465354853,0.0909740003892494,0.0794987233125707,0.050605347944552,0.0524985672220734,0.0084278994880884,0.0297243535544692,0.043337722927114,0.0401369781603967,0.0892981834575795,0.0720901981746548,0.0767911699475482,0.041777363133627,0.0121526771733073,0.0412045549302304,0.0595765865351937,0.0019771842758358,6.9571335123118105,0.04880520567957256
26,1967.0,34,0.0226758120117333,0.0118685247213509,0.1024811389087709,0.0487161691952702,0.1130556318668177,0.0877529312488742,0.039813843483681,0.0629550644057112,0.0059624396475025,0.0304697702240273,0.029676250832605,0.0238506108062516,0.1294764579299661,0.0665606387533133,0.0592017023833852,0.0397543982068401,0.003736090118772,0.0497875611953467,0.0709794738637008,0.0012254901960784,6.5831759486555494,0.030800326462030743
27,1968.0,29,0.0417993556077017,0.0282156357525624,0.0941202890658645,0.0708089214304194,0.1124065009698375,0.0988592332101536,0.0333958911734822,0.057391065908869,0.0055147016863962,0.0303973545371775,0.0210437390036949,0.051910823204369,0.1100470996839313,0.0652573022286267,0.0445820223333132,0.0436784247647896,0.0248352613329333,0.0183830640839345,0.0440438897883905,0.0033094242335517,6.882934802639856,0.08433897298795326
28,1969.0,35,0.0161746545176444,0.0329342426985222,0.1019918900182265,0.1214662127010582,0.1045393950283803,0.0861880141686394,0.0184205561187722,0.0638368152210497,0.0194963116045537,0.0079041174903347,0.0146732939450071,0.0365143355562693,0.1291596048743024,0.0396239473345262,0.0396440329024667,0.0574026801658352,0.0208873226180473,0.0390603293630451,0.0490332398346517,0.0010490038386664,6.539555069834755,0.0775668344943566
29,1970.0,29,0.035967493980327,0.0247631730110882,0.0976035392133397,0.0609502482133928,0.0857825141421887,0.0663323067868295,0.0423288492432593,0.0566018454866541,0.015432058537367,0.0166965843343777,0.024586497659081,0.0536001401544972,0.0913163307228519,0.0407663336506442,0.056959130025343,0.055382737858319,0.0179010531467736,0.0197777728980967,0.1330173556659183,0.0042340352696499,6.916539488007011,0.12217027751977709
30,1971.0,41,0.0585794704922349,0.0258751620850459,0.0904592819395804,0.0584871967418936,0.1124336346885732,0.0721538309702209,0.0274848244828032,0.0604127936037221,0.0273164450640868,0.0189683269189333,0.0323175385728546,0.0412461424679295,0.107575990028472,0.047124486238982,0.0580986166576769,0.0493883894783745,0.0125390997062223,0.0313724539368349,0.0665313655101197,0.0016349504154382,7.041552377794275,0.047338255693043854
31,1972.0,59,0.0372929208618641,0.0219835517513246,0.1146737451602773,0.0587787484041188,0.0913914401865191,0.0773443307228827,0.0274394576014833,0.0517461674861002,0.0125334399491593,0.0166803694357652,0.0353135423039674,0.0414780753597614,0.1381227883462525,0.039261336452623,0.0482605445507835,0.061849298838949,0.0195480416199406,0.0561245399023375,0.0459176393771662,0.004260021688723,6.894861431669434,0.03759393245522967
