,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,ENI,KL
1,1974.0,1,1e-09,0.3043478260869565,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.217391304347826,0.1304347826086956,0.1304347826086956,3.4491504014660235,8.750779886724992
2,1975.0,2,1e-09,0.2,0.1,0.1,1e-09,1e-09,1e-09,0.6,2.1271178637476886,0.8596153395501821
3,1976.0,3,0.0058479532163742,0.3508771929824561,0.0779727095516569,0.0643274853801169,0.0175438596491228,0.0604288499025341,0.0058479532163742,0.4171539961013645,2.6542144797574014,1.5554079294863432
4,1977.0,6,1e-09,0.4288183222006752,0.1149626517273575,0.0217086834733893,0.0119047619047618,0.0098039215686274,0.0238095238095237,0.3889921353156647,2.3772341318902064,0.09086496417216425
5,1978.0,3,0.0144927536231884,0.4066252587991718,0.0869565217391304,0.0768115942028985,0.0144927536231884,1e-09,0.0809523809523809,0.3196687370600413,2.762971035971844,0.32932476990210274
6,1979.0,3,0.0123456790123456,0.4096563356525406,0.0873099538501182,0.1085107878276758,0.0123456790123456,0.0354440461967343,0.0832337714058143,0.251153747042425,3.032056919326415,0.5947975508029478
7,1980.0,7,0.0197311460469355,0.3965428703803876,0.0952875692479574,0.1729688861262172,0.0319579737521142,0.0608386169184716,0.0439806933105396,0.1786922442173763,3.242786661248022,0.05971347388981303
8,1981.0,19,0.0170408125313975,0.349903815280768,0.0939086441158055,0.1669683672745822,0.0471386684170727,0.0532912606665058,0.0242736261475626,0.2474748055663052,3.2353249577468968,0.02388017981637032
9,1982.0,38,0.0157907777591662,0.4146745173363506,0.1105898113647987,0.1088414910793267,0.033040302324969,0.0542654291193737,0.0370422584006125,0.2257554126154022,3.1259541761706577,0.024892088355384062
10,1983.0,28,0.0244187978100559,0.3776726952283513,0.1095747076172118,0.1628764699000127,0.0338187622470618,0.0569179964997745,0.0335096565823987,0.2012109141151328,3.2724233254302737,0.016976576656354322
11,1984.0,25,0.0311121443187699,0.3934770507899732,0.0997407418121755,0.1839216534347711,0.0406655246989672,0.0629706944500334,0.050138516520115,0.1379736739751941,3.349648523719735,0.01864657409103253
12,1985.0,26,0.0388584540945688,0.3620390215324421,0.1123902943329396,0.2060093691371729,0.0502810118043616,0.0648737095181596,0.0255733585574283,0.1399747810229265,3.391548973200996,0.012677760172147178
13,1986.0,30,0.043907973489364,0.3675651900605926,0.092148392841503,0.2342153217299325,0.0411226828768405,0.0660329240513567,0.0391500442714625,0.1158574706789475,3.368397354165831,0.010352431893558759
14,1987.0,57,0.0475035176102261,0.3626942367270498,0.0982630549680795,0.2256763761218496,0.0459683454198287,0.0686097160276513,0.0299663311255359,0.1213184219997784,3.393873806398564,0.0021560431297243604
15,1988.0,37,0.0470481390357783,0.3523584896112583,0.0990263157698366,0.2199616616487049,0.0501404062975177,0.0762760450490153,0.0483614039831515,0.1068275386047366,3.4947666957031456,0.0064779864469850235
16,1989.0,63,0.046648982802755,0.3619652385131538,0.0967916391725976,0.2217370218349369,0.0569448207024878,0.0850174054895614,0.0463546099067758,0.0845402815777311,3.4697122643595937,0.003637047199151592
17,1990.0,82,0.0371351583678392,0.3981089336578802,0.1088241365203916,0.2214912703211929,0.0463862654366103,0.0717107305642051,0.0473313459828232,0.0690121591490569,3.304665862875567,0.007188652476821496
