,year,total_works,topic_1,topic_2,ENI,KL
1,1974.0,1,1.0,1e-09,1.0,0.0
2,1975.0,2,1.0,1e-09,1.0,0.0
3,1976.0,3,1.0,1e-09,1.0,0.0
4,1977.0,6,1.0,1e-09,1.0,0.0
5,1978.0,3,1.0,1e-09,1.0,0.0
6,1979.0,3,1.0,1e-09,1.0,0.0
7,1980.0,7,1.0,1e-09,1.0,0.0
8,1981.0,19,1.0,1e-09,1.0,0.0
9,1982.0,38,1.0,1e-09,1.0,0.0
10,1983.0,28,1.0,1e-09,1.0,0.0
11,1984.0,25,0.99,0.01,1.0395805408036676,0.15123112501461683
12,1985.0,26,0.9945054945054944,0.0054945054945054,1.0238985848621687,0.0012254208055470913
13,1986.0,30,1.0,1e-09,1.0,0.005509639286200554
14,1987.0,57,0.9939849624060152,0.0060150375939849,1.0258037579095296,0.08789646250088162
15,1988.0,37,1.0,1e-09,1.0,0.006033184188361322
16,1989.0,63,1.0,1e-09,1.0,0.0
17,1990.0,82,0.9979674796747968,0.0020325203252032,1.0101916257509513,0.027491472686666914
18,1991.0,81,0.9958847736625516,0.0041152263374485,1.018687775766663,0.0008224204918590651
19,1992.0,104,0.9956730769230768,0.004326923076923,1.0195047887856614,5.376547003656858e-06
20,1993.0,137,0.9985401459854016,0.0014598540145985,1.007647325039644,0.0012850320709611055
21,1994.0,109,0.9961773700305812,0.0038226299694189,1.0175468314485108,0.0013196937784609336
22,1995.0,123,0.997289972899729,0.002710027100271,1.013063615137317,0.0001810287673741981
23,1996.0,117,1.0,1e-09,1.0,0.002713690056413368
24,1997.0,113,0.9957859249894648,0.0042140750105351,1.0190701243541178,0.060076067906868105
25,1998.0,108,0.9969135802469136,0.0030864197530864,1.0146087115795213,0.00016712575625121666
26,1999.0,131,0.9987277353689566,0.0012722646310432,1.0067835771513738,0.0006883069883203451
27,2000.0,118,1.0,1e-09,1.0,0.00127305958921594
28,2001.0,127,0.995538057742782,0.0044619422572178,1.0200223529351256,0.0638652485493414
29,2002.0,115,0.9956521739130436,0.0043478260869565,1.01958509170113,1.4784284503316928e-06
30,2003.0,145,0.996551724137931,0.0034482758620689,1.0160656618004347,0.00010064055411600171
31,2004.0,146,0.9977168949771688,0.002283105022831,1.0112690228765415,0.00022444080416497594
32,2005.0,145,0.9907389162561576,0.0092610837438423,1.037116420543493,0.006014634120117199
33,2006.0,144,0.9988425925925928,0.0011574074074074,1.0062457094886224,0.005729738975653553
34,2007.0,159,0.9979035639413,0.0020964360587002,1.0104682847152486,0.0003068138872956166
35,2008.0,172,0.9967054263565892,0.0032945736434108,1.0154500009029652,0.00029185438117408625
36,2009.0,241,0.9986168741355465,0.0013831258644536,1.0072961132471596,0.0007128220527703136
37,2010.0,227,0.9963289280469898,0.0036710719530102,1.0169501932999132,0.0012981484306012398
38,2011.0,229,0.9943959243085884,0.0056040756914119,1.0243021422563798,0.00043945508087942214
39,2012.0,257,0.9974059662775616,0.0025940337224383,1.0125807388884962,0.0010164606630181558
40,2013.0,270,0.995767195767196,0.0042328042328042,1.0191423989789132,0.00043517174923853215
41,2014.0,317,0.9971083070452154,0.0028916929547844,1.0138133690603055,0.00024021366208751608
42,2015.0,392,0.9970238095238094,0.0029761904761904,1.014159514593032,1.2262699866921062e-06
43,2016.0,435,0.9962616310892172,0.0037383689107827,1.0172156138914095,9.048080435163249e-05
44,2017.0,447,0.9965697240865026,0.0034302759134973,1.0159937974592272,1.3107069473281994e-05
45,2018.0,404,0.9967586044318716,0.0032413955681282,1.015235913496126,5.316193943059313e-06
46,2019.0,362,0.994909234411997,0.0050907655880031,1.0223992569102964,0.0004504417840198961
47,2020.0,283,0.9983173481406696,0.0016826518593303,1.008652328889459,0.0015511525668528727
48,2021.0,254,0.9993438320209974,0.0006561679790026,1.0037952812710385,0.0004090918066988452
