,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,ENI,KL
1,1974.0,1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,0.1481481481481481,0.074074074074074,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1111111111111111,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1111111111111111,1e-09,1e-09,1e-09,0.1111111111111111,0.037037037037037,0.037037037037037,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,0.037037037037037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.037037037037037,1e-09,1e-09,1e-09,0.037037037037037,1e-09,6.377149009315645,15.881542145392626
2,1975.0,2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.1,1e-09,1e-09,0.05,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.65,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,2.3936305160196376,5.679394707780297
3,1976.0,3,1e-09,1e-09,1e-09,1e-09,0.0140845070422535,1e-09,0.0328638497652582,1e-09,0.0046948356807511,1e-09,1e-09,1e-09,1e-09,0.0046948356807511,0.0333333333333333,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0046948356807511,1e-09,1e-09,1e-09,0.0046948356807511,1e-09,1e-09,1e-09,0.0427230046948356,0.0046948356807511,1e-09,1e-09,1e-09,1e-09,1e-09,0.0474178403755868,0.028169014084507,0.0187793427230046,1e-09,0.0380281690140845,1e-09,1e-09,0.0046948356807511,1e-09,1e-09,0.0046948356807511,0.0046948356807511,0.0046948356807511,0.0046948356807511,1e-09,0.0046948356807511,1e-09,1e-09,0.0093896713615023,1e-09,0.0046948356807511,1e-09,0.0187793427230046,1e-09,1e-09,0.0140845070422535,0.0046948356807511,0.0046948356807511,1e-09,1e-09,1e-09,0.0093896713615023,0.0046948356807511,1e-09,0.0666666666666666,1e-09,1e-09,0.0474178403755868,1e-09,1e-09,0.0046948356807511,1e-09,0.0093896713615023,0.4140845070422534,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0093896713615023,1e-09,0.0046948356807511,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0046948356807511,1e-09,1e-09,1e-09,0.0093896713615023,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0046948356807511,1e-09,0.0380281690140845,0.0093896713615023,5.876249138711579,8.255888372843454
4,1977.0,6,1e-09,1e-09,1e-09,1e-09,0.0119047619047618,0.0087719298245614,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0119047619047618,0.0087719298245614,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0510999721526037,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0119047619047618,0.048454469507101,1e-09,0.0481237816764132,0.0175438596491228,1e-09,1e-09,0.0327380952380952,1e-09,1e-09,0.0415100250626566,0.0277777777777777,0.0360623781676413,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0238095238095237,1e-09,1e-09,1e-09,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,0.0206766917293232,1e-09,0.0357142857142857,1e-09,1e-09,1e-09,0.449944305207463,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0206766917293232,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0119047619047618,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0087719298245614,1e-09,0.0087719298245614,0.0512566137566137,1e-09,4.886832321800222,4.160193225825173
5,1978.0,3,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,0.0138888888888888,0.0138888888888888,1e-09,1e-09,1e-09,1e-09,0.0333333333333333,0.0138888888888888,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0476190476190475,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0333333333333333,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,1e-09,0.0138888888888888,0.0333333333333333,0.0333333333333333,1e-09,0.0277777777777777,0.0333333333333333,1e-09,0.061111111111111,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0138888888888888,1e-09,0.0277777777777777,1e-09,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0138888888888888,1e-09,1e-09,1e-09,0.0476190476190475,1e-09,1e-09,1e-09,1e-09,0.0277777777777777,0.2706349206349205,1e-09,1e-09,1e-09,0.0333333333333333,0.0138888888888888,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0476190476190475,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0476190476190475,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0277777777777777,1e-09,7.441636600999541,8.33154543975102
6,1979.0,3,0.0196078431372548,0.0098039215686274,0.0098039215686274,1e-09,0.0344952795933187,0.0196078431372548,0.0123456790123456,0.0392156862745097,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0294117647058823,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,0.0392156862745097,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0196078431372548,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,0.0098039215686274,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,0.0098039215686274,1e-09,0.0246913580246913,1e-09,1e-09,0.0196078431372548,1e-09,0.0196078431372548,0.0123456790123456,1e-09,0.0123456790123456,1e-09,0.0098039215686274,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,0.0098039215686274,1e-09,0.0196078431372548,0.0123456790123456,0.0246913580246913,0.0980392156862745,0.0123456790123456,0.0098039215686274,1e-09,1e-09,1e-09,0.2305737109658677,0.0123456790123456,0.0098039215686274,1e-09,0.0123456790123456,1e-09,0.0246913580246913,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,0.0098039215686274,1e-09,0.0098039215686274,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,0.0123456790123456,1e-09,1e-09,1e-09,0.0098039215686274,1e-09,1e-09,0.0319535221496005,1e-09,9.53632430499122,8.199542290778368
7,1980.0,7,0.0135543824920268,0.0034960380165193,0.0049813133143311,0.0003299241174529,0.0320186150110409,0.0019795447047179,0.0296757690136115,0.0106969904931019,0.0049888525639103,0.0292381522741572,0.0006598482349059,0.0025062656641604,0.0013196964698119,0.0049888525639103,0.0241894672372771,0.0028361897816133,0.0009897723523589,0.0016496205872649,0.0003299241174529,0.0006598482349059,0.0053112374317841,0.0006598482349059,0.0023419203747072,0.0101669627202309,0.0006598482349059,0.0170751099917826,1e-09,1e-09,0.0003299241174529,0.0137001196491724,0.0003299241174529,0.0009897723523589,0.0009897723523589,0.0289069946181575,0.0030017686096132,0.0224387676548679,0.0006598482349059,0.0019795447047179,0.0063334613366794,1e-09,0.0071651941106177,0.0219419041629578,0.0025062656641604,0.0144159854450042,0.0003299241174529,0.0028361897816133,0.0427649310260299,0.0279096830162194,0.0003299241174529,0.0039915409619721,0.0230648037907802,0.0088397270008398,0.0092129487338368,0.0036616168445192,0.0013196964698119,0.0341034885466822,0.0006598482349059,0.0076519242679446,0.0028361897816133,0.0003299241174529,0.0031661138990663,0.0016496205872649,0.0003299241174529,0.0028361897816133,0.0125646101396678,0.0050125313283208,0.0003299241174529,0.0171649396517021,0.0062111801242236,0.0031661138990663,0.0165782464998725,0.0025062656641604,0.0321580479975369,0.0140300437666253,0.0118598809230398,0.0003299241174529,0.0075187969924812,0.0322781700487238,0.0009897723523589,0.0050137648668675,0.0003299241174529,0.0062111801242236,0.0003299241174529,0.1417124890057862,0.0003299241174529,0.0160731310299587,0.0030017686096132,0.0050125313283208,0.0028361897816133,0.0025062656641604,0.0030017686096132,0.0006598482349059,0.0053424554457737,0.0023419203747072,0.0003299241174529,0.0093427691958718,0.0009897723523589,0.0003299241174529,0.0003299241174529,0.0026718444921602,1e-09,1e-09,0.0108701085706809,0.0013196964698119,0.0003299241174529,0.0003299241174529,1e-09,0.0003299241174529,0.0025062656641604,1e-09,0.0119047619047619,0.006960858019049,0.0145121065640666,0.0119047619047619,0.0019795447047179,1e-09,0.0055080342737736,1e-09,0.0023419203747072,0.0003299241174529,1e-09,0.0226264418811002,0.0240326611974031,1e-09,14.975289210700158,6.364588233675347
8,1981.0,19,0.0018796638542201,0.0150267733405344,0.0061286236982831,0.0009222588556953,0.0123635749547826,0.0064284485724114,0.0260773857755645,0.0126544810301615,0.0045568466621098,0.020249440102613,0.0043066872951754,0.003329539579158,0.0013213180008845,0.0019478844169246,0.014405865350565,0.0003417634996582,0.0003643802018414,0.0012414056531703,0.0009448755578786,0.0008432710316095,0.0051339913956012,0.0010830533439873,0.0053251347919511,0.0003417634996582,0.0016181024952954,0.021735810777126,0.0009121715941582,1e-09,0.0003417634996582,0.0048646882109214,0.0003869969040247,0.004579463364293,0.0003869969040247,0.0192763921092094,0.0104520995000871,0.0001708817498291,0.0037952209684356,0.0011844450698939,0.005856391821304,0.0053575038749241,0.0065376775836367,0.0094227174662573,1e-09,0.028793042183135,0.024743509844129,0.0196974334814274,0.0284420912000891,0.0201021864465874,0.0041756779536398,0.0147337967188684,0.0118692849216323,0.0069863272262653,0.0083725356171176,0.0007739938080495,0.0007287604036829,0.0616749835495433,0.0056688022279818,0.0042164394916615,0.0030421170772047,0.002460529666412,0.0080384077615141,0.0001934984520123,0.0015720314352925,0.003464807986676,0.0042644867819063,0.0049908453546224,1e-09,0.0113488377807263,0.0019493177387914,0.0006835269993164,0.0081280723085109,0.0001934984520123,0.0304366825842929,0.0029398876956617,0.0178627582523351,0.0055047991297064,0.0098849777006436,0.0142071741658944,0.005856391821304,0.0055821371610845,0.0167782110439844,0.0006497725795971,0.0022680878752551,0.2079959516395415,0.0033948507632718,0.0109416158341287,0.0051696928565189,0.005186622125095,0.0066326186785786,0.0003643802018414,0.0138076673164392,1e-09,0.0040173256444568,0.0036496891435327,0.0005126452494873,0.0019598659949537,0.0020083804846802,0.0007739938080495,0.000956937799043,0.0031336343419367,0.0022556390977443,0.0005126452494873,0.0061254398745771,0.0001934984520123,0.003378016987408,0.001299168498183,0.0032140138891327,0.0008770254513288,0.0008770254513288,0.0008544087491455,0.0009683299156983,0.0077603210343148,0.0060716631150067,0.0006497725795971,0.0029740187763923,0.0016639253610357,0.0003643802018414,0.0015619441737553,0.0034409280281313,0.0045867018643788,0.0005126452494873,0.0025990903183885,0.0291825501119654,0.0001934984520123,13.974968371582413,0.6893146108383034
9,1982.0,38,0.0021962232328897,0.008281859125294,0.0073119210116114,1e-09,0.0155723096901024,0.0112117156889533,0.0206250538131035,0.0021206808232512,0.0034377737400461,0.0083197607365906,0.0016454252602432,0.0013611615245009,0.0006119951040391,0.0039983191106257,0.0192599394721081,0.0013157894736842,1e-09,0.0009074410163339,0.0012239902080783,0.0009074410163339,0.0012531328320802,0.0008851268929814,0.0019389518695593,0.0029596550061455,0.0058978969162035,0.0209185647235308,1e-09,1e-09,1e-09,0.0081651946859387,0.0009074410163339,0.0004537205081669,0.0017543859649122,0.0155127265466907,0.0100508210833653,0.0023688901397879,0.0039212948895878,0.0020340706839562,0.0025377809399885,0.0050908764982161,0.0037052284700998,0.0099374451115785,0.0037734273415387,0.0149303814564107,0.0259848933131394,0.0189003266075123,0.023566245993819,0.026512350069366,0.0033179407262733,0.0051699586403308,0.0098220218463412,0.0097001026407053,0.0255322140399449,0.0297597868659657,0.0053955391527599,0.0889423949773883,0.004826335302361,0.0024194190682927,0.0027913411514641,0.0024601664131214,0.0148573476179714,0.0005720823798627,0.0109219850000199,0.0020292916527068,0.0090145095603438,0.0051903594300438,0.0009398496240601,0.0147053804248082,0.0065016306792622,0.0007112375533428,0.006763422626979,1e-09,0.0302115754710364,0.002187566248579,0.0070846371155968,0.0024344164330637,0.0029979681021794,0.0184063716609115,0.0016714857498938,0.0241354243701754,0.0007739938080495,1e-09,0.0062459805578762,0.1709993015332823,0.010395892292444,1e-09,0.0055646907463617,0.0026330665555919,0.0074890520348697,0.0004314063848144,1e-09,0.0039911308203991,0.0030644729404064,0.0004537205081669,1e-09,1e-09,0.0018878718535469,1e-09,0.007486978507928,0.0027355290513185,0.0018538814915001,1e-09,0.0070642412747675,1e-09,0.0011649580615097,0.0039674066843918,0.0016186785696767,0.0004314063848144,0.0015963644463242,0.001205400192864,0.0053099092302372,0.008706425864424,0.0182906546734885,1e-09,0.003573381046796,0.0058696893062218,0.0004314063848144,1e-09,0.0136638471367737,0.0075670096979172,1e-09,0.0037560940891783,0.0123641921268226,0.0016685736079328,14.363982224755766,0.4359799628113207
10,1983.0,28,0.0054241907881148,0.0016006255244665,0.0152322353762031,0.0002365184484389,0.0319779956293998,0.0137480861179213,0.0353652282027885,0.0018774703557312,0.0131610292808927,0.0160662527564341,0.0012943137943137,0.0035389027944294,0.001043375687101,0.0032598098449412,0.0228138138610655,0.0014566908967019,0.0002805968865571,0.0027321580878039,0.0062809779294318,0.0010787921167995,0.0025642031826134,0.0025604248631773,0.0039296991150517,0.003860421604538,0.0084743485168422,0.0274748542444982,0.0004826254826254,1e-09,0.0001623376623376,0.0134216464283556,0.0001182592242194,0.0014512248428993,0.0028171636097292,0.0124246852507722,0.0137483042117775,0.0037914078674948,0.0002805968865571,0.0011184830505302,0.0084089932245088,0.0044789683570818,0.0095721183173879,0.0145919645825038,0.0073558428593186,0.0301195796767146,0.0183405051250368,0.0077593120068748,0.0247010423058476,0.0211234955244868,0.0067120795617435,0.0012703329569383,0.0156850068994204,0.0192026636012897,0.0166306428492725,0.0310835231308473,0.0069951583592527,0.0260850913341787,0.0006794529973337,0.0036853397313109,0.0027546836543219,0.0046629254590671,0.006677396812703,0.0026692796323827,0.0098557749177721,0.0050271173688895,0.0096053079070481,0.0102833237975132,0.0010835101894704,0.0110065455228138,1e-09,0.0015796681935922,0.0038607575805699,0.0012017694136899,0.0229450698634401,0.0104295730149767,0.0025257001063452,0.0078576155311422,0.0048128534114067,0.0203753502129751,0.0002365184484389,0.0132315293029578,0.0014647573643956,0.0008073008073008,0.0112172305927646,0.1400964287741146,0.0024228002867243,0.0011088944647827,0.001012677798392,0.0014744979222303,0.0051849914417726,0.0010204081632653,0.0018707482993197,0.0001182592242194,0.0009041591320072,0.0016927263364517,0.0032127089246294,0.0052253905514775,0.0029057980808217,1e-09,0.0022592341912814,0.0094225195031646,0.0071801341201451,0.0002365184484389,0.0016233766233766,1e-09,0.0103896103896103,0.0022854714836166,0.0041168680566366,0.0023214896632618,1e-09,0.0001182592242194,0.0045294477413682,0.0039661978980027,0.0103396023798028,0.0047731979851185,0.0041775151856493,0.0006008847068449,0.0003547776726584,1e-09,0.0071303696303696,0.0048072423072423,0.0006885980144425,0.0032342657342657,0.0265259947379152,0.0028655119714722,16.60914436813097,0.5026542017909347
