,year,total_works,topic_1,topic_2,topic_3,topic_4,ENI,KL
1,1952.0,1,0.2078488372093023,0.4084302325581395,0.373546511627907,0.0101744186046511,2.153608971050109,0.02029894548283216
2,1959.0,2,0.2065549284596221,0.323355067351573,0.4596731078727485,0.0104168963160563,2.13711965690073,0.018799186025157302
3,1960.0,1,0.1933621933621933,0.3607503607503607,0.4357864357864358,0.0101010101010101,2.1345347355830944,0.0031505803731001407
4,1964.0,1,0.1903669724770642,0.3853211009174312,0.4174311926605504,0.0068807339449541,2.1172557044413045,0.0018124982598390176
5,1965.0,2,0.1764190833300091,0.3713371095775659,0.443057162232239,0.0091866448601858,2.1106544862274452,0.0019010352141797479
6,1966.0,3,0.2205024343886693,0.3205915297788771,0.4504948037393137,0.0084112320931396,2.1398144208266108,0.008831759817997484
7,1969.0,2,0.2121353410674967,0.3336847227699155,0.4372191531414694,0.0169607830211181,2.1825701127975043,0.0039678091336120234
8,1970.0,1,0.2115384615384615,0.376068376068376,0.4102564102564102,0.0021367521367521,2.1067907267703867,0.01383184350951919
9,1972.0,3,0.2291740847073415,0.3428936952446126,0.4118118374999109,0.0161203825481348,2.198533613363515,0.020819127006147936
10,1973.0,1,0.2211155378486055,0.2749003984063745,0.4860557768924303,0.0179282868525896,2.1605864687991967,0.013801406033113488
11,1974.0,2,0.2190369436955417,0.3260999101316766,0.43038135427656,0.0244817918962216,2.2217449792035886,0.008898105980047583
12,1975.0,2,0.2280060672917815,0.2984234234234234,0.4643891340319911,0.0091813752528038,2.1394113494212283,0.008995671563120916
13,1976.0,1,0.1480996068152031,0.3958060288335517,0.4429882044560944,0.0131061598951507,2.095353445703156,0.03164135527375208
14,1978.0,1,0.2345971563981042,0.2843601895734597,0.476303317535545,0.0047393364928909,2.108715441155224,0.04359495388963754
15,1979.0,1,0.2524137931034483,0.2455172413793103,0.4648275862068965,0.0372413793103448,2.2515705468064167,0.04785405939095538
16,1981.0,3,0.2431898602176994,0.3127493689846958,0.424758627267549,0.0193021435300554,2.2149333828304445,0.015667449256881093
17,1982.0,3,0.2092299254224032,0.3577892590446526,0.4174198594290297,0.0155609561039143,2.180270184560754,0.006040062805883475
18,1983.0,3,0.1891641792543766,0.3430932637145292,0.456021673772258,0.0117208832588359,2.1319896579756135,0.0035512823525170696
19,1984.0,5,0.1866318062682566,0.3410447388279926,0.4543631327408201,0.0179603221629305,2.1596249971234296,0.0014520726152908257
20,1985.0,6,0.216774533385667,0.3301040839862908,0.4383919999720676,0.0147293826559744,2.1748857061163687,0.0030840094481979553
21,1986.0,2,0.2053779383150155,0.3639411418669463,0.4179414559615421,0.0127394638564959,2.163178307156854,0.0026083093709344096
22,1987.0,5,0.2062983631542538,0.3587213559848585,0.426892311666868,0.0080879691940196,2.137220786566934,0.0011117556460081223
23,1988.0,5,0.2071901814406786,0.3545143730376073,0.4280457785601667,0.0102496669615473,2.149396734073158,0.0002943636104766143
24,1989.0,9,0.2267291101441999,0.3327340149609715,0.42801768459367,0.0125191903011583,2.1744678484453095,0.0018113695926956306
25,1990.0,6,0.2011588575987586,0.3600477950176637,0.4274000709800533,0.0113932764035241,2.1505009108689,0.002643646454504582
26,1991.0,5,0.1797782008819156,0.3876381884131381,0.4211204288428783,0.0114631818620677,2.1306416197299973,0.002256474157061164
27,1992.0,6,0.2147876616150806,0.3229811627743157,0.4439649382040497,0.0182662374065537,2.187078452425037,0.011242953518065911
28,1993.0,13,0.2197126081706846,0.3453373376744007,0.4246431330946759,0.0103069210602387,2.1599492230908828,0.0033004891308645147
29,1994.0,11,0.2169235962676684,0.3321403058200274,0.4383458384871906,0.0125902594251133,2.1647401561202533,0.0007280290998224726
