,year,total_works,topic_1,topic_2,topic_3,ENI,KL
1,1931.0,1,0.0833333333333333,0.75,0.1666666666666666,1.6488540315883957,0.07126869187631896
2,1933.0,1,0.0357142857142857,0.7142857142857143,0.25,1.631182503805273,0.03625552189218949
3,1934.0,1,0.131578947368421,0.7236842105263158,0.1447368421052631,1.7179095460929257,0.10194139927611585
4,1939.0,1,0.0384615384615384,0.8333333333333334,0.1282051282051282,1.4545725265906777,0.05471035067474903
5,1943.0,1,0.1290322580645161,0.4838709677419355,0.3870967741935484,1.9763853856081495,0.3209000396055157
6,1947.0,2,0.0483870967741935,0.7737691001697793,0.1778438030560271,1.5714632836787472,0.17746906411323712
7,1948.0,1,0.0392156862745098,0.9019607843137256,0.0588235294117647,1.3074309377901598,0.06494671937751799
8,1949.0,2,0.2698717948717948,0.7134615384615384,0.0166666666666666,1.5829361720992197,0.3322630896121865
9,1950.0,9,0.1886410742099918,0.6384684990721069,0.1728904267179012,1.8719548134613408,0.2659750499942102
10,1951.0,8,0.0314920911171924,0.8111448302971694,0.157363078585638,1.484189816454738,0.12298468871474502
11,1952.0,10,0.0647587027811489,0.8245056188186147,0.1107356784002362,1.494892878027234,0.02124323835276793
12,1953.0,4,0.0537878787878787,0.7703379953379954,0.1758741258741258,1.584331524528041,0.019031219450003987
13,1954.0,8,0.1754411336212806,0.7681634388895417,0.0563954274891774,1.5911938541357538,0.14110169028603256
14,1955.0,12,0.1171101160576322,0.8278520844002526,0.0550377995421152,1.4815965181360626,0.013274042242395478
15,1956.0,10,0.0926507493344731,0.751845255447799,0.1555039952177278,1.6520523575247696,0.06740273267535171
16,1957.0,18,0.139259323049612,0.7760089011344528,0.0847317758159352,1.6026593384157064,0.029848632487227814
17,1958.0,20,0.1424384681246597,0.7298004412137771,0.1277610906615633,1.7056793371234167,0.010878442346415308
18,1959.0,20,0.1430042823253605,0.7611709129361118,0.0958248047385274,1.6364611591584397,0.005039088339623254
19,1960.0,15,0.0865725889425437,0.7943118531790525,0.1191155578784036,1.5671837930629116,0.01631840044865054
20,1961.0,27,0.0988858972701065,0.6868988331122265,0.2142152696176668,1.761538182363827,0.03907148337529372
21,1962.0,18,0.1539239072998375,0.7578345274696532,0.0882415652305093,1.6385270231336935,0.06432680988107518
22,1963.0,17,0.1769618940144539,0.6783951380221088,0.1446429679634371,1.8017091005348203,0.021040915631773245
23,1964.0,31,0.123555108117419,0.7549906584903453,0.1214542333922354,1.6547395466116328,0.01515684411364538
24,1965.0,40,0.1798909704160042,0.716012714321893,0.1040963152621027,1.7210471180297002,0.013570661879064552
25,1966.0,42,0.2336024665563241,0.6514865305291082,0.1149110029145674,1.8244625998972877,0.010864073022389549
26,1967.0,34,0.1951587549528628,0.6791126296732388,0.1257286153738981,1.7930151709374729,0.004424256955387935
27,1968.0,29,0.1974083442370796,0.7120200163241099,0.0905716394388102,1.7167101362382424,0.0062485014251181525
28,1969.0,35,0.1162928810108386,0.7736772233347506,0.1100298956544107,1.6150548001248168,0.024128105059911368
29,1970.0,29,0.1757778174050565,0.6492919656145049,0.1749302169804386,1.8544290858354298,0.03991628436114676
30,1971.0,41,0.2117910917698951,0.6761310386614896,0.1120778695686152,1.788361245184066,0.016963516783000343
31,1972.0,59,0.1685210666048626,0.7056286908069694,0.1258502425881676,1.7495191382985256,0.006204090920434016
32,1973.0,51,0.2786707658632547,0.6305567863857792,0.0907724477509658,1.8208932161063214,0.03957562811512351
33,1974.0,46,0.1945513669879453,0.6857890864668854,0.1196595465451692,1.779178526916166,0.020735822049075862
34,1975.0,50,0.1702336028007358,0.6485054122961331,0.181260984903131,1.8555301139340803,0.016293703865721765
35,1976.0,58,0.1859047378660333,0.6941559737285506,0.1199392884054157,1.7660911559866532,0.014062972808327835
36,1977.0,50,0.2428514222352039,0.6444584296326091,0.112690148132187,1.8312945587164697,0.009993660121674483
37,1978.0,51,0.2146170061992284,0.6940872145156026,0.0912957792851688,1.7438254315313213,0.005745742065673971
38,1979.0,62,0.1820284705049851,0.6910351664920059,0.1269363630030088,1.774595050787984,0.008811899915291084
39,1980.0,44,0.1839217204248882,0.7069209991656557,0.1091572804094559,1.7391592687991093,0.0014986984521326158
40,1981.0,61,0.2063027273791164,0.6752607665302677,0.1184365060906158,1.7943305804249254,0.002413120648653344
41,1982.0,56,0.1955856269445894,0.7027789065610717,0.1016354664943389,1.740380757634587,0.0020889541472299093
42,1983.0,84,0.2231783494686532,0.6713800463588201,0.1054416041725268,1.7893203857846058,0.0026432849772894135
43,1984.0,76,0.1991127283388697,0.6953550746675774,0.1055321969935527,1.7547973999634037,0.0017699489624349637
44,1985.0,83,0.2223185216922431,0.664069202522426,0.1136122757853309,1.8065532860694982,0.002318937135328247
45,1986.0,76,0.1979869786882589,0.701943740556059,0.1000692807556819,1.740399663625794,0.003284319529359892
46,1987.0,98,0.1844264579600152,0.6992084831367469,0.1163650589032377,1.7559586679033612,0.0017408773195041229
47,1988.0,75,0.1861401433416264,0.7110399790538163,0.1028198776045571,1.7282655883832347,0.0009283292775866588
48,1989.0,90,0.1911900109321058,0.7119988388877087,0.0968111501801857,1.7221680257740186,0.0002476317394000003
49,1990.0,93,0.1496372965250143,0.7369435558461284,0.1134191476288571,1.6888781531227923,0.006664970305965419
50,1991.0,101,0.160601261451097,0.7238479572362756,0.1155507813126273,1.7135699529652115,0.0005291583394233671
51,1992.0,98,0.175119826363574,0.7421672530743071,0.0827129205621189,1.661585480435905,0.006051301068096319
52,1993.0,123,0.1622557435857203,0.727068094952315,0.1106761614619648,1.7057804001005175,0.004908420741277321
53,1994.0,127,0.2301840034589631,0.6875933227155615,0.0822226738254751,1.7423978758147016,0.01767860551200743
54,1995.0,134,0.1802908055576561,0.7383024737153887,0.0814067207269551,1.666782469822951,0.00767632226550098
55,1996.0,154,0.2122255051964076,0.6956134147655009,0.0921610800380914,1.7425314992009093,0.004614317174759575
56,1997.0,158,0.1885652923215545,0.7234372772583175,0.0879974304201275,1.6966221601739364,0.0020155271369957798
57,1998.0,172,0.1996264605567121,0.6947947043729722,0.1055788350703159,1.7556849172425786,0.0025427193431860826
58,1999.0,205,0.1910239127224723,0.702864362596458,0.1061117246810695,1.7436047947072457,0.00023610169675633314
59,2000.0,173,0.1733041414884332,0.7158789734839969,0.1108168850275699,1.7252592858732232,0.001071086715730034
60,2001.0,197,0.1949086483700549,0.7273357193107305,0.0777556323192143,1.6804892937566134,0.006896910948762994
61,2002.0,204,0.2020300100680687,0.7047278054538603,0.0932421844780709,1.7302154655382813,0.0019325575011148368
62,2003.0,215,0.1667290861823457,0.7228659384782798,0.110404975339374,1.713038013362695,0.005003388247079049
63,2004.0,224,0.1995260126220999,0.7226805155042572,0.077793471873643,1.6876048734129214,0.008409042786879407
64,2005.0,271,0.1833687819400374,0.720458435381435,0.0961727826785279,1.7081733312248695,0.002693886869464205
65,2006.0,276,0.2107925900919127,0.6909909779280249,0.0982164319800625,1.7550451228428507,0.002588053844110808
66,2007.0,286,0.1856917912559447,0.7161347535039287,0.0981734552401262,1.7166711166709951,0.002009630040022352
67,2008.0,275,0.2085652593908885,0.693191103304126,0.0982436373049849,1.7518769980007352,0.0017257996607109504
68,2009.0,307,0.1776474917927971,0.7268594242513147,0.0954930839558883,1.6971754720219643,0.0032576675545221085
69,2010.0,295,0.1762076356608375,0.7236469440166615,0.1001454203225007,1.7057726022292536,0.00012449241555460844
70,2011.0,363,0.1761960664515533,0.7193804348635042,0.1044234986849421,1.715663900267892,0.00010270533112888801
71,2012.0,320,0.1876602563605916,0.7150886970448755,0.0972510465945324,1.7176334710329086,0.0006301164552737944
72,2013.0,343,0.1850927339554661,0.7148413428287083,0.1000659232158261,1.7201631443516368,5.803760922543392e-05
73,2014.0,327,0.2042083993777308,0.7011618843162174,0.0946297163060517,1.7368206742025556,0.0012369119578251988
74,2015.0,354,0.1941919581207188,0.7017723137053663,0.1040357281739143,1.7437918630925004,0.000702745197447726
75,2016.0,321,0.2210002291222527,0.6871693285972751,0.0918304422804719,1.7540651006733143,0.002669442526892123
76,2017.0,355,0.2007015264595169,0.6877565332708038,0.1115419402696794,1.770806048477579,0.002940981332392383
77,2018.0,328,0.2099771374641738,0.6904829555573979,0.0995399069784288,1.756996563859471,0.0008867182822104823
78,2019.0,317,0.1980976265824327,0.679811401293858,0.1220909721237089,1.7898533710408715,0.0028063235123342058
79,2020.0,317,0.1953833393323948,0.671621280965998,0.1329953797016076,1.8083534028792652,0.0005412902225337777
80,2021.0,274,0.2172647050875883,0.6303887397118397,0.1523465552005715,1.8780203636548018,0.0038184564549354344
