,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,ENI,KL
1,1952.0,1,0.0218023255813953,0.2165697674418604,0.0828488372093023,0.0566860465116279,0.0726744186046511,0.191860465116279,0.0610465116279069,0.0392441860465116,0.0072674418604651,0.0465116279069767,0.0072674418604651,0.0305232558139534,0.0377906976744186,0.001453488372093,0.0087209302325581,0.0232558139534883,0.002906976744186,0.0087209302325581,1e-09,0.0247093023255813,0.0363372093023255,0.0087209302325581,1e-09,0.0116279069767441,1e-09,0.001453488372093,5.83449153261723,0.3592072910789259
2,1959.0,2,0.0263150642650851,0.1700530765669436,0.0488588262527833,0.0706640358032584,0.055000110231707,0.1533019907846292,0.0323006459578033,0.0636298749972441,0.0077740911395753,0.0924720011464097,0.0387147534116712,0.0467602901298529,0.0435732158998213,0.0068412553186798,0.0402690204810511,0.0144596441720496,0.0236722590886042,0.0078126722370422,0.0048198813906831,0.0153924799929451,0.0113111510394849,0.0053641504442337,1e-09,0.018035285169426,0.0009328358208955,0.0016713882581184,6.671487743208903,0.255224084002217
3,1960.0,1,0.0057720057720057,0.202020202020202,0.0779220779220779,0.0894660894660894,0.0909090909090909,0.1587301587301587,0.0389610389610389,0.0375180375180375,0.0057720057720057,0.0634920634920634,0.0187590187590187,0.0274170274170274,0.0303030303030303,0.0028860028860028,0.0274170274170274,0.0173160173160173,0.0158730158730158,0.0101010101010101,0.0028860028860028,0.0173160173160173,0.0202020202020202,0.0115440115440115,1e-09,0.0274170274170274,1e-09,1e-09,6.170231808871939,0.07633620785648111
4,1964.0,1,0.0206422018348623,0.2201834862385321,0.0642201834862385,0.0688073394495412,0.0619266055045871,0.1651376146788991,0.0389908256880734,0.0389908256880734,0.0022935779816513,0.0711009174311926,0.0252293577981651,0.0412844036697247,0.0458715596330275,0.0045871559633027,0.0458715596330275,0.0160550458715596,0.0137614678899082,0.0045871559633027,0.0045871559633027,0.0137614678899082,0.0114678899082568,0.0045871559633027,1e-09,0.0137614678899082,1e-09,0.0022935779816513,6.116823852221665,0.07966956426602409
5,1965.0,2,0.0336790458334995,0.2431189915832302,0.0686944034464876,0.0429235310542901,0.0394351589612668,0.1282181179943356,0.0446387969204994,0.0836950017950456,0.0259025090749531,0.0581714468068131,0.0224719773425345,0.054130599545255,0.0735350432805456,0.0008576329331046,0.008881487095616,0.0143902828194183,0.0045933224300929,0.0054509553631975,0.0017152658662092,0.0167158642147672,0.0129801747177789,0.008634169691651,1e-09,0.0034305317324185,0.0037356894969882,1e-09,6.016102157444248,0.18126640545544273
6,1966.0,3,0.0386453442994326,0.1919609856863252,0.0418291243947168,0.055837810557165,0.0280933428821269,0.1286305440925517,0.0354440464022041,0.083757922577237,0.0258930823187342,0.0922392655654382,0.0339999890082758,0.0607537132388539,0.0539836355154995,0.0045760025885898,0.0305654696114376,0.0126693932773581,0.0152078027324282,0.0031783636077901,0.0072210906371493,0.0182192275663683,0.0142338081487785,0.0106140127990879,0.0004326195111399,0.0072131540070996,0.0021630975556997,0.0026371514185097,6.66951876937317,0.10814549108697799
7,1969.0,2,0.0183331795130568,0.1661888249768969,0.0660614138440645,0.0812938163050291,0.1068072064599721,0.1674958977930186,0.0459327321957025,0.0418275287154488,0.0078664088878554,0.0614282272592702,0.0104272168398442,0.0357032842826441,0.0336704594351959,0.0038540968732133,0.0312163268437158,0.0198775750413217,0.0071011030711716,0.0125391492580069,0.0049496168676518,0.0202077892190763,0.0255271740498401,0.0087641599555078,0.0011350737797956,0.0185051785493828,0.0011350737797956,0.0021514862035197,6.489226258877548,0.1628444610627551
8,1970.0,1,0.0149572649572649,0.1901709401709401,0.0683760683760683,0.0747863247863247,0.0961538461538461,0.1858974358974359,0.0384615384615384,0.0341880341880341,0.0042735042735042,0.0641025641025641,0.0128205128205128,0.0277777777777777,0.032051282051282,0.0042735042735042,0.0512820512820512,0.0128205128205128,0.0106837606837606,0.0021367521367521,0.0042735042735042,0.0192307692307692,0.0213675213675213,0.0085470085470085,1e-09,0.0213675213675213,1e-09,1e-09,6.050819520632228,0.02681370018043004
9,1972.0,3,0.0175494357833807,0.2108814637197664,0.0661473592666252,0.0557965639100959,0.0527162726417313,0.1320122315248461,0.0342290450375312,0.0656399474633419,0.0173525124213197,0.052010311299302,0.0263981558706329,0.0617784674550729,0.0313247595931082,0.0122110973888496,0.0254630372176243,0.0190305935145384,0.0122110973888496,0.0043342074592074,0.0160675206546766,0.0333544513590384,0.020598651475945,0.0153139323724185,0.001223241590214,0.0057927100931687,0.0087280711133922,0.0018348623853211,6.8301136795035955,0.2797671323569086
10,1973.0,1,0.0119521912350597,0.1872509960159362,0.049800796812749,0.0756972111553784,0.0219123505976095,0.0876494023904382,0.0039840637450199,0.0756972111553784,0.0119521912350597,0.0717131474103585,0.0577689243027888,0.1055776892430278,0.0278884462151394,0.0139442231075697,0.0537848605577689,1e-09,0.0418326693227091,0.0099601593625498,0.0258964143426294,0.0079681274900398,0.0099601593625498,0.0059760956175298,1e-09,0.0338645418326693,0.0059760956175298,0.0019920318725099,6.645520232275301,0.19401304868388605
11,1974.0,2,0.0132091782909388,0.2139159145078732,0.0616770210604461,0.0497694682139647,0.0461381041691086,0.1121839956238033,0.0197368421052631,0.0753135623021919,0.013345934435197,0.045383503301684,0.0477645254561794,0.0778313406009455,0.0265038291720391,0.010022271714922,0.0278225491345289,0.0230775993435704,0.0222375258859844,0.0010964912280701,0.0278225491345289,0.0298274918923142,0.0176293322392841,0.0098855155706638,0.0022271714922048,0.0044201539483452,0.0178173719376391,0.0033407572383073,6.8707001311471885,0.5162044447886344
12,1975.0,2,0.0248437212722926,0.1806283324140466,0.0531577495863209,0.0662460930318073,0.0532496782496782,0.1177950910093766,0.0359670895385181,0.0688315866887295,0.0101581173009744,0.0608452840595697,0.0376103143960286,0.0772890237175951,0.0471594043022614,0.0062051847766133,0.0254182754182754,0.0227638352638352,0.0162139179996321,0.0038265306122448,0.0139386835815407,0.0245909174480602,0.017386008457437,0.0182363485934914,1e-09,0.0122839676411104,0.0038035484464055,0.0015512961941533,7.009976345974039,0.053782027992800595
