,year,kl_mean,kl_std
0,1974,0.029960678211555167,3.469446951953614e-18
1,1975,2.962048786700321,1.6665128428043097
2,1976,0.5302314962135555,0.5517923500621486
3,1977,0.9706675868080771,1.63633351516855
4,1978,0.14415508886074022,0.12977238253197712
5,1979,0.14578963435813172,0.14630570076418703
6,1980,0.15438508590159913,0.14297582639563866
7,1981,0.959529253061488,1.8845914721793158
8,1982,0.5371206918263409,1.2984819818498607
9,1983,0.44911993867892047,0.8257083458307654
10,1984,0.43689060261453877,0.8398493648549686
11,1985,0.4694171686863125,1.1123157059836126
12,1986,0.6954108751782289,2.0436367638340553
13,1987,1.0125785784858075,2.9470573522393924
14,1988,0.5782406563316705,1.8577633977178256
15,1989,0.31987852792888954,0.6048478263308403
16,1990,0.49351276412743367,1.216397483011299
17,1991,0.4338194492348071,1.1408289835402554
18,1992,0.4980737980555469,1.336724363599957
19,1993,0.4461364860083308,1.1209626437668505
20,1994,0.4585688859927801,1.1730344708906417
21,1995,0.5277390619515745,1.327778066618744
22,1996,0.4178809694401765,1.452778299767347
23,1997,0.4355288815255576,1.0147791809612536
24,1998,0.5599619281443269,2.161673033274924
25,1999,0.22754457423354452,0.5071882631797628
26,2000,0.29027004587167493,0.8305223668582633
27,2001,0.49570758516670194,1.3098033148792712
28,2002,0.2836666289469813,0.877293116137362
29,2003,0.2142122373444169,0.5519736517716101
30,2004,0.2871099355609266,0.8601649402424555
31,2005,0.28824979936244316,0.6392837334814763
32,2006,0.31673900082754364,0.8322648821542263
33,2007,0.3666278890264431,1.1593450568459074
34,2008,0.4168788842712222,1.3127473923605477
35,2009,0.4478304411820345,1.2550807696419939
36,2010,0.3908566561240994,0.9073334321303821
37,2011,0.3115712316318989,0.8648638040204282
38,2012,0.31593663606553307,0.8223815532978487
39,2013,0.3651970719979922,1.129221329369682
40,2014,0.41721190858249885,1.3655354003736933
41,2015,0.6030210257634222,1.450514126852018
42,2016,0.5532106036377965,1.3809394584029688
43,2017,0.5250825774703569,1.4011267533054772
44,2018,0.5642787264217916,1.5123371125209297
45,2019,0.4714192734079261,1.2534528197462949
46,2020,0.8051902686502458,1.9776773262699123
47,2021,0.7747622316219884,1.916189594286461
