,year,kl_mean,kl_std
0,1931,5.759214197035055,8.881784197001252e-16
1,1933,10.934321165181924,0.0
2,1934,0.3238234814359078,5.551115123125783e-17
3,1939,1.0431173784756997,4.440892098500626e-16
4,1943,3.314352370260273,8.881784197001252e-16
5,1947,7.602210932412442,6.302137958196395
6,1948,3.1166106633107082,0.27018535864665627
7,1949,1.8056375873457533,0.8581637710274541
8,1950,6.118787580908464,2.201256283578919
9,1951,7.894105238157547,5.126771318598372
10,1952,4.183090290948262,3.752637352538836
11,1953,7.449094039052367,4.902340078558883
12,1954,4.167411051561306,3.3101990924007323
13,1955,2.9054425235629946,2.458779025331534
14,1956,6.042433094261112,4.459435364875083
15,1957,5.48531530780192,4.813186232468176
16,1958,6.828490119656898,4.908969813318332
17,1959,4.774165640064621,4.329949695346069
18,1960,4.839639163972055,5.05464148940991
19,1961,6.580469939668691,5.624359839209937
20,1962,4.564021888216539,4.16662220625879
21,1963,5.612680151601121,4.698255584071165
22,1964,5.379749417764379,4.613800451543964
23,1965,5.270950011930428,4.657608080114147
24,1966,4.743287845757259,4.3559703065926225
25,1967,6.265155132173698,5.08491281348361
26,1968,4.602116705553193,4.487610271810121
27,1969,5.164117823408861,4.710481350429038
28,1970,6.300518542776975,5.4347564308586005
29,1971,6.220757496878358,5.374705984912008
30,1972,6.602375202736301,5.220193809349086
31,1973,5.890968919497106,4.75048346774513
32,1974,5.57609350535669,4.60544183793161
33,1975,5.71585863155248,4.776233873343341
34,1976,6.173706040656232,4.958107241987015
35,1977,6.4908149769583785,5.441467377682195
36,1978,5.525341424324567,4.781199443076912
37,1979,6.471538312364693,4.936283956711126
38,1980,5.79139452878547,4.87417218151452
39,1981,5.754841103251969,4.534281343619597
40,1982,5.5644132219313285,4.299892310792721
41,1983,6.504404533909413,5.198013523281015
42,1984,6.227345002176975,5.307430066936569
43,1985,5.303927411710804,4.868683556547441
44,1986,4.971584481432944,4.714681997459516
45,1987,4.422387423647324,4.3485042965531076
46,1988,5.568524931424176,4.8328527754397355
47,1989,5.425778770743612,5.024226275929036
48,1990,5.620924470113804,4.968678068344801
49,1991,5.4482909103232275,4.42464514364742
50,1992,4.891151081033808,4.33712118835842
51,1993,5.019988902978759,4.772294523550561
52,1994,4.841359734023756,4.706998737166709
53,1995,4.83915189132436,4.555476291468068
54,1996,4.63756409071778,4.451915909314967
55,1997,4.894733011483731,4.307383016439567
56,1998,5.743522242173903,4.913487007354857
57,1999,5.462668136447656,4.986256006224949
58,2000,4.966268593125655,4.726107868566188
59,2001,4.740726922250554,4.476712472112055
60,2002,5.081298855690237,4.683460288644668
61,2003,5.278173233873624,4.697008382998005
62,2004,5.164295292736259,4.824631433149489
63,2005,4.9500187978948835,4.3271922089297155
64,2006,5.238774113826654,4.76679407641707
65,2007,5.505539413582749,4.880979101443573
66,2008,5.480572033237927,4.943640209960642
67,2009,5.582573544455236,4.804112020850104
68,2010,5.162576556521466,4.449862327393888
69,2011,5.3292378292147,4.957374880854642
70,2012,5.554153055996965,4.935571742235815
71,2013,5.709793795062689,5.020259367123461
72,2014,5.547883446516503,4.942290903949458
73,2015,5.4386875869232645,4.825327106660483
74,2016,5.2634196979354915,4.573890929455823
75,2017,6.190553094138569,5.247049199988085
76,2018,5.94486423931209,5.127293456092307
77,2019,5.940279992233948,5.007081610704234
78,2020,6.43997989831803,5.241723103607165
79,2021,6.956564549793936,5.681197745676665
