,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,ENI,KL
1,1974.0,1,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.5384615384615384,0.0384615384615384,0.0769230769230769,2.7835031728146933,1.3456177402102776
2,1975.0,2,0.15,0.1,0.1,1e-09,0.6,1e-09,0.05,2.2995746057949207,0.09466994961264369
3,1976.0,3,0.1322916666666666,0.1270833333333333,0.0802083333333333,0.0208333333333333,0.490625,0.0333333333333333,0.1156249999999999,2.8777973416613127,0.9228304677196953
4,1977.0,6,0.0514705882352941,0.1777933395580454,0.1186974789915966,1e-09,0.3590880796763149,0.0779256146903205,0.2150248988484282,3.052246798674549,0.1451347601740239
5,1978.0,3,0.0969696969696969,0.1363636363636363,0.0757575757575757,0.0484848484848484,0.4343434343434342,0.0303030303030303,0.1777777777777777,3.0639533122716696,0.869452642410889
6,1979.0,3,0.1701762246117084,0.2674482277976902,0.167911190760653,0.0123456790123456,0.2111708482676224,0.054684388689765,0.116263440860215,3.352983882424831,0.22323630418179913
7,1980.0,7,0.2462000030560673,0.2847679871848907,0.1621071202549778,0.0192009211496415,0.1598607197293342,0.0186239292622271,0.1092393193628608,3.2104603668352674,0.040202931879250815
8,1981.0,19,0.2152295766203165,0.2223682221647628,0.132440371439777,0.0189139762022253,0.2155787269391376,0.036057592733741,0.1594115339000394,3.365981702639518,0.03754440346207359
9,1982.0,38,0.1885804611339533,0.2310923662594337,0.1675962859963018,0.008296939061156,0.2027626182025305,0.0426791320283584,0.1589921973182658,3.346804798803875,0.010935304223027313
10,1983.0,28,0.2650589914008377,0.2120073211336764,0.154080904916961,0.0163007611551742,0.1994146493230665,0.0418910775204426,0.1112462945498411,3.328355858388774,0.026184333432105217
11,1984.0,25,0.258848369244805,0.269900821688373,0.1438732482908373,0.0196185823971793,0.1743471043475453,0.0406390256736779,0.0927728483575818,3.282227051399081,0.011297233988944815
12,1985.0,26,0.2789007927405255,0.2229715695184318,0.1507954207322268,0.0250313294669131,0.2055197873648006,0.0169417624309606,0.0998393377461413,3.2324834733888577,0.017717639329227822
13,1986.0,30,0.2922272206644427,0.2838427760287804,0.1289413398320485,0.0511265240348913,0.1756810966452614,0.0274521777965431,0.0407288649980322,3.1770602165588744,0.047650362005717706
14,1987.0,57,0.3024498763586,0.2329348973086002,0.1329529623613554,0.0347235453099981,0.2065692702304423,0.0424444446473249,0.0479250037836787,3.229943205003354,0.014746189111876848
15,1988.0,37,0.2805555827214515,0.2588663013956262,0.1397354174914402,0.0279191652412622,0.1926361678550484,0.0232666651704362,0.0770207001247348,3.212175009316832,0.016207205267596912
16,1989.0,63,0.2894323576962235,0.2600214798828044,0.134476555662021,0.0354932815386141,0.1934773753364106,0.0235328711249086,0.0635660787590173,3.2011724619213844,0.0024407575662232905
