,year,total_works,topic_1,topic_2,topic_3,topic_4,ENI,KL
1,1952.0,1,0.1150442477876106,0.4690265486725664,0.4129793510324483,0.0029498525073746,1.981072240175244,0.0494175162643718
2,1959.0,2,0.1246593583550105,0.4690480614393657,0.4009197324414715,0.0053728477641521,2.012758053369408,0.001367454373779655
3,1960.0,1,0.1388499298737728,0.4824684431977559,0.3772791023842917,0.0014025245441795,2.0038248016219438,0.0037665922785416047
4,1964.0,1,0.1176470588235294,0.5158371040723982,0.3642533936651583,0.002262443438914,1.9654790267380842,0.003285830930072231
5,1965.0,2,0.1122774539152355,0.5352765085867338,0.349576571608634,0.0028694658893965,1.9510790842540466,0.0008609517589666554
6,1966.0,3,0.1163609871912093,0.4711261944525174,0.4048365667942916,0.0076762515619815,2.0116026573623667,0.01098175234183836
7,1969.0,2,0.1326146883453614,0.4578840339595443,0.4067411286774686,0.0027601490176256,2.010777255026705,0.003370975680498764
8,1970.0,1,0.1362683438155136,0.5010482180293501,0.3584905660377358,0.0041928721174004,2.0119064041798964,0.005325950597244392
9,1972.0,3,0.115097179816402,0.4729596864141166,0.4077813228987976,0.0041618108706835,1.9883446419299982,0.0057828475713835896
10,1973.0,1,0.1352941176470588,0.4647058823529412,0.396078431372549,0.0039215686274509,2.021341024714442,0.0019257109160284145
11,1974.0,2,0.1263977989031759,0.4643788232884237,0.4038416774517928,0.0053817003566074,2.0166064157596924,0.0006180691259089859
12,1975.0,2,0.1330360129936003,0.4421403467118492,0.4203260631045783,0.004497577189972,2.0248394545629576,0.0011214494749759371
13,1976.0,1,0.127129750982962,0.4836173001310616,0.3866317169069462,0.0026212319790301,1.9951963120286489,0.003869698151344193
14,1978.0,1,0.1180637544273908,0.4557260920897285,0.4179456906729634,0.0082644628099173,2.0203948494107293,0.006233620749025495
15,1979.0,1,0.1358695652173913,0.4347826086956521,0.4184782608695652,0.0108695652173913,2.0662820255904912,0.0021421730385528743
16,1981.0,3,0.1179360231640195,0.4319403062411961,0.4431043487316961,0.0070193218630879,2.014156527949896,0.0027401164474977484
17,1982.0,3,0.1141804893349501,0.4789444545396435,0.4021954270327282,0.0046796290926779,1.9886428262510463,0.004921658255001429
18,1983.0,3,0.1194745735599444,0.4866568140902937,0.3906217157649572,0.0032468965848043,1.9863579491815462,0.0005967178805845374
19,1984.0,5,0.1145625189189026,0.4833563190650199,0.3973233397878785,0.0047578222281987,1.988653293038563,0.00047776113139343167
20,1985.0,6,0.1192134645446398,0.4719501494094596,0.4033540218687115,0.0054823641771889,2.0037335007626482,0.0003269089793302653
21,1986.0,2,0.1213023640570268,0.4733154962710199,0.403046518541497,0.0023356211304561,1.9866292273851585,0.0011741398711919769
22,1987.0,5,0.1215827207264211,0.4796118295919924,0.395864269495454,0.0029411801861323,1.9897506147579245,0.00017887534474722436
23,1988.0,5,0.1241975655163483,0.4716846292912988,0.3985306512706695,0.005587153921683,2.012690142106582,0.0010418288435839825
24,1989.0,9,0.1194318683010656,0.4538260531237985,0.4196384479723036,0.0071036306028321,2.0165313755098078,0.00117377292752601
25,1990.0,6,0.1096036766326465,0.4956575844645507,0.3907695488939073,0.0039691900088953,1.9715581614877458,0.004128027540821316
26,1991.0,5,0.1206946656895106,0.490756869826064,0.38580723815219,0.0027412263322352,1.983643429343769,0.0008123634740267217
27,1992.0,6,0.1039688415186986,0.4669288948255903,0.4186778340200234,0.0104244296356875,2.0042323074862725,0.009407893883287059
28,1993.0,13,0.1178074430805082,0.4686069428531887,0.4093267651955997,0.004258848870703,1.9945049708871965,0.003344123713789482
29,1994.0,11,0.1144979800355119,0.4624190413159903,0.4164069287409324,0.0066760499075651,2.0042311125596055,0.0007327133412575312
30,1995.0,14,0.1103124496742687,0.4528196002558658,0.4263716268272552,0.01049632324261,2.018404541290022,0.0012253730869490878
31,1996.0,12,0.117531351622836,0.4584642985691543,0.4176441055056104,0.0063602443023991,2.0083466249205806,0.0013060522372729784
32,1997.0,10,0.1219149349794232,0.4524347856387687,0.418717734988778,0.0069325443930299,2.020029658474448,0.00014696096680871535
33,1998.0,7,0.1103468692962241,0.4693918228195213,0.4138853354066648,0.0063759724775896,1.993875468214144,0.0009318899263765972
34,1999.0,14,0.1218367641445372,0.4678723605540583,0.4040358273322186,0.0062550479691857,2.0135633799088626,0.0007002040561773308
35,2000.0,12,0.1048313186021227,0.4784597906515496,0.410051289729445,0.0066576010168825,1.9835253689916061,0.0014223387159329243
36,2001.0,18,0.1170529673780959,0.4634215379540049,0.4136039763740113,0.0059215182938876,2.0042198959235233,0.0009827194254308318
37,2002.0,15,0.1195176673988603,0.4523367935625714,0.4209868577931587,0.0071586812454094,2.017152275719715,0.00034598669998568937
38,2003.0,17,0.1109557375451257,0.4794840673620889,0.4042447193861183,0.0053154757066667,1.9866923745910834,0.0017112611984010338
39,2004.0,23,0.1079010773111002,0.4668669045306125,0.4176826345950604,0.0075493835632265,1.9964032425256315,0.0008455799398506057
