,year,kl_mean,kl_std
0,1974,0.1829359642915374,2.7755575615628914e-17
1,1975,4.880915452239477,3.2389966829849524
2,1976,3.2180640241944425,5.489613534539215
3,1977,2.64144999466752,2.8950505296427123
4,1978,6.289314892002677,2.144362685911028
5,1979,2.3309783403178854,2.111621167070633
6,1980,1.0539813179258923,1.1153465708291284
7,1981,1.8289345161758883,2.8942267673891733
8,1982,1.5992706849366483,2.0197496470546716
9,1983,2.3782452376313366,2.7082970309019045
10,1984,1.032441073175245,1.3062587983421694
11,1985,1.5250701894279484,2.9531420355598574
12,1986,1.1864107282383527,2.0106887424432554
13,1987,1.6355871660426695,3.385362516143636
14,1988,1.1892016755909345,2.5316320886951553
15,1989,1.0436389022958887,1.4663287614346898
16,1990,1.275372099715758,2.2546737156379955
17,1991,1.0681021180443946,2.12168091864009
18,1992,1.1022162891926166,1.8721318987251276
19,1993,0.9275323784286441,1.612251556192313
20,1994,0.7627775026902542,1.0774329505344713
21,1995,1.1193026464374067,2.4691914362536767
22,1996,0.7235629948962313,0.9460121209557674
23,1997,1.0448925262800957,2.556062634006777
24,1998,0.8130057385847019,1.9910305136568915
25,1999,0.5707177805221817,0.8713204220907653
26,2000,0.5890015940590919,0.8973215736552284
27,2001,0.871634820360463,1.7745444215983148
28,2002,0.6393767341403316,0.9941144423044057
29,2003,0.5456721613840806,0.9371120972870833
30,2004,0.516193257002501,0.8164283919075479
31,2005,0.7031600043177861,1.3766426195496637
32,2006,0.7728879377071798,1.7481305618282943
33,2007,0.5609490655298398,0.8114649559182852
34,2008,0.8617206720193036,1.8239288189217806
35,2009,0.7673015597827489,1.2173889506791864
36,2010,0.7388044451665398,1.3475895286090822
37,2011,0.6749463207997836,1.4333588015650924
38,2012,0.6991749822182485,1.1499196159014882
39,2013,0.7741961995843811,1.629124891709695
40,2014,0.8294660910723525,1.4335917418692008
41,2015,0.9644078965492898,1.6354640250513983
42,2016,1.2778818978237734,2.221396367218262
43,2017,1.1618887791390489,1.970415782301977
44,2018,1.4017041288067937,2.361431164103498
45,2019,1.2704530385629025,2.035799081854851
46,2020,1.876019238686358,3.51558056857714
47,2021,1.7832076147107438,2.9116522047418907
