,year,total_works,topic_1,topic_2,topic_3,topic_4,ENI,KL
1,1986.0,1,0.2913043478260869,0.3652173913043478,0.2673913043478261,0.0760869565217391,2.421417480537649,0.00275973604457015
2,1987.0,3,0.2409419012791191,0.478549639783997,0.2284582496993373,0.0520502092375463,2.276362337008922,0.027890498715069007
3,1988.0,3,0.2481166469062722,0.427507392118343,0.2596826797979535,0.0646932811774309,2.356087507405792,0.006397278816457186
4,1990.0,4,0.2681432334484535,0.4267389838216003,0.2410443267280922,0.0640734560018538,2.3543857838828517,0.0014764522987077014
5,1991.0,5,0.264457818695705,0.4745804943222161,0.2075077786049586,0.0534539083771199,2.278922024477148,0.005994769148991261
6,1992.0,5,0.2447207044953973,0.4683017732446341,0.2246266022898099,0.0623509199701584,2.3105118261707274,0.0021871972975612674
7,1993.0,1,0.2512234910277324,0.5497553017944535,0.1729200652528548,0.0261011419249592,2.106098260168731,0.02678090907413085
8,1994.0,7,0.2540559682911728,0.4500742216114425,0.2437600688656755,0.0521097412317089,2.306106228258865,0.03252968442332064
9,1995.0,6,0.2452062916781734,0.5052950498533663,0.2052395649853629,0.0442590934830972,2.2231348512161344,0.0072544235580349935
10,1996.0,8,0.2496504404693955,0.464894653498834,0.2430659912676355,0.0423889147641348,2.2662476644543026,0.0050294716524543655
11,1997.0,8,0.2421805165844859,0.496912401595363,0.225360651096701,0.0355464307234498,2.2120065699107645,0.002436694112042245
12,1998.0,12,0.2504429600346191,0.4835927956161842,0.2202043053487306,0.0457599390004659,2.253914595433255,0.0017229899764822417
13,1999.0,10,0.2535662246280067,0.4829122132663972,0.2146608178581324,0.0488607442474634,2.2614454279911165,0.0001930067506126531
14,2000.0,13,0.2417600471238313,0.4990120825808285,0.209031878613067,0.050195991682273,2.2462171191240494,0.000637199512413904
15,2001.0,15,0.2362573026550665,0.4984176491938779,0.2212330859729619,0.0440919621780933,2.2335016967537396,0.0007999872523000969
16,2002.0,14,0.2428597223816641,0.4669037818590613,0.2459051277580551,0.0443313680012191,2.2695694805118727,0.0024372745275091055
17,2003.0,16,0.2340674980420908,0.4926033919480231,0.2334210677374801,0.0399080422724057,2.229694779841385,0.0014065671513445637
18,2004.0,15,0.2317632227253793,0.5122869792542457,0.2150152230040841,0.0409345750162906,2.208101841008492,0.0011581328552889248
19,2005.0,11,0.2193625064476398,0.5300321242407878,0.2180824040270543,0.0325229652845178,2.162626418148233,0.0015938569397477486
20,2006.0,17,0.2301708336323208,0.5141695765061861,0.2193059774779114,0.0363536123835815,2.193713619951697,0.0007224190059947188
21,2007.0,19,0.2274630620895827,0.5014419045992803,0.2312976146709615,0.0397974186401754,2.2189624378708785,0.0006550666988562582
22,2008.0,22,0.2424925745406446,0.4933969206658914,0.2259186819105841,0.0381918228828796,2.2235875013831747,0.0006466971378189341
23,2009.0,24,0.2394120201646596,0.4878979800798148,0.2314995721645149,0.0411904275910103,2.2384488533661187,0.00023353144553088902
24,2010.0,30,0.2227925712736543,0.4874456926272297,0.2484523507621861,0.0413093853369297,2.238299816414059,0.0011971629692031566
25,2011.0,24,0.2337667659731417,0.5087665913285407,0.2203382822571436,0.0371283604411737,2.2024823056894336,0.002598983184028669
26,2012.0,28,0.2369820957775672,0.5004312280187045,0.2232372894285388,0.0393493867751892,2.2186711029795716,0.0001748017820059236
27,2013.0,22,0.2300021110218945,0.4914436919876021,0.2416586578714356,0.0368955391190674,2.2223799715022476,0.0010031387549372531
28,2014.0,24,0.2329985512309078,0.5020656079574515,0.226383164936763,0.0385526758748776,2.214782594549217,0.0006633718843561912
29,2015.0,18,0.2252950695057283,0.5118806814677965,0.2314651788582532,0.0313590701682216,2.182281362140106,0.0009979841022870767
30,2016.0,23,0.24493427022248,0.5003447825871047,0.2180442482759491,0.0366766989144661,2.210489068607294,0.0017872939613300613
31,2017.0,21,0.2302953692027643,0.4878626998180793,0.2393932933405052,0.0424486376386511,2.24182903652814,0.002048140399825648
32,2018.0,10,0.2325444884290562,0.5015226630739393,0.2355015124200033,0.0304313360770011,2.1918202948171643,0.0021213154988278457
33,2019.0,15,0.2351502630880447,0.4879657595373936,0.2416211523051609,0.0352628250694006,2.221684484227849,0.0006429966900177971
34,2020.0,10,0.2258613997022442,0.4894393942850441,0.2523084466902566,0.0323907593224549,2.2103843067665845,0.0005413719685223731
35,2021.0,4,0.2195000149965507,0.5021408825970026,0.2542479604690921,0.0241111419373543,2.1685897945587054,0.0014233036333328323
