Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
2443/0.0024895073647926208,1101/0.0022061682293691627,2047/0.002338173763229141,109/0.0016423631744953732,739/0.0023959021810971578,1625/0.00038041767236855913,1184/0.0013245033112582781,
2346/0.0024895073647926208,191/0.00220164739283357,729/0.002307408318976126,2258/0.0016390980389595971,1859/0.0023821326283322316,2661/0.0003672998215972295,408/0.0012990320937340805,
1192/0.0024895073647926208,305/0.002170001537084422,329/0.002276642874723111,681/0.001635832903423821,2497/0.0022995153117426744,2761/0.0003672998215972295,1767/0.0011462047885888945,
1058/0.0024735489842490784,335/0.0021564390274776443,2953/0.002276642874723111,2618/0.0016293026323522689,1715/0.002271976206212822,685/0.00034106412005457026,1206/0.0009933774834437086,
895/0.002457590603705536,1068/0.002142876517870867,1066/0.002245877430470096,1799/0.0016260374968164928,973/0.002258206653447896,1060/0.00027547486619792214,2602/0.000891492613346918,
2232/0.002457590603705536,2660/0.002133834844799682,1045/0.002215111986217081,2041/0.0016195072257449406,1664/0.00224443710068297,2456/0.0002492391646552629,1211/0.0008660213958227203,
258/0.0024416322231619937,1356/0.0021247931717284967,2221/0.002184346541964066,1848/0.0016162420902091645,3015/0.00224443710068297,107/0.000209885612341274,2254/0.0008405501782985227,
1681/0.0024416322231619937,1117/0.002120272335192904,1315/0.0021689638198375584,529/0.0016129769546733884,885/0.002230667547918044,1904/0.00018364991079861475,2068/0.0007641365257259297,
1560/0.002393757081531366,2716/0.002111230662121719,1611/0.0021381983755845435,1983/0.0016031815480660602,988/0.0022168979951531173,,1448/0.0007641365257259297,
445/0.0023777987009878238,2328/0.0021067098255861264,1658/0.0021381983755845435,990/0.001599916412530284,174/0.0022168979951531173,,732/0.0007131940906775344,
2165/0.0023618403204442814,1978/0.002070543133301386,2677/0.0021381983755845435,1114/0.001596651276994508,537/0.002203128442388191,,2742/0.0006877228731533367,
2020/0.002345881939900739,1949/0.002052459787159016,1086/0.0021381983755845435,672/0.001596651276994508,1272/0.002203128442388191,,546/0.0004839531329597555,
150/0.002345881939900739,2670/0.0020479389506234233,157/0.002122815653458036,627/0.001593386141458732,945/0.002189358889623265,,2448/0.0004075394803871625,
2810/0.002313965178813654,1/0.002029855604481053,1613/0.002030519320698991,1358/0.0015901210059229558,2128/0.002120511125798634,,2007/0.0004075394803871625,
2530/0.002313965178813654,1758/0.0020253347679454604,2028/0.001999753876445976,2227/0.0015901210059229558,1296/0.002120511125798634,,1942/0.00033112582781456954,
1967/0.002282048417726569,1636/0.0020162930948742757,1106/0.001984371154319468,2037/0.0015868558703871797,2355/0.0020929720202687817,,1239/0.0003056546102903719,
429/0.0022660900371830267,882/0.0019258763641624246,1402/0.0017074821560423333,1987/0.0015835907348514036,728/0.0020929720202687817,,2854/0.00020376974019358125,
697/0.0022660900371830267,821/0.001921355527626832,1977/0.0016920994339158257,319/0.0015770604637798515,2462/0.0020929720202687817,,1588/0.0001782985226693836,
2719/0.0022501316566394844,282/0.0019168346910912394,1621/0.0016459512675363033,1790/0.0015705301927082993,2319/0.0020929720202687817,,545/0.00015282730514518594,
314/0.0022501316566394844,196/0.001912313854555647,976/0.0015382722126507508,73/0.0015705301927082993,351/0.0020929720202687817,,436/0.00012735608762098828,
645/0.002218214895552399,2811/0.0018942305084132768,1139/0.0015228894905242431,1327/0.0015672650571725232,2311/0.0020516633619740033,,,
311/0.002218214895552399,1074/0.0018761471622709067,2547/0.0014459758798917057,242/0.0015672650571725232,1633/0.0020516633619740033,,,
303/0.002218214895552399,96/0.0018761471622709067,2552/0.0014305931577651982,36/0.0015639999216367471,565/0.0020378938092090767,,,
1255/0.002170339753921772,1534/0.0018580638161285364,1953/0.0013998277135121831,596/0.001560734786100971,2923/0.0019965851509142984,,,
937/0.0021543813733782297,642/0.0018173762873082036,879/0.001369062269259168,2036/0.0015542045150294189,1476/0.0019828155981493722,,,
709/0.0021543813733782297,2762/0.0018173762873082036,1649/0.0013382968250061531,2219/0.0015509393794936428,2308/0.0019828155981493722,,,
64/0.0021543813733782297,428/0.0017812095950234632,761/0.001307531380753138,877/0.0015509393794936428,2449/0.0019552764926195195,,,
963/0.002138422992834687,280/0.0017676470854166855,2250/0.0012613832143736155,2190/0.0015509393794936428,1201/0.0019552764926195195,,,
2991/0.0021224646122911446,1340/0.0017586054123455005,1471/0.0012306177701206006,220/0.0015509393794936428,3020/0.0019415069398545934,,,
2331/0.002058631090116975,33/0.0017586054123455005,688/0.0012152350479940931,2277/0.0015444091084220906,2769/0.0019277373870896673,,,
2062/0.0020426727095734323,766/0.001754084575809908,1567/0.001184469603741078,2758/0.0015378788373505384,1133/0.0019139678343247412,,,
563/0.00202671432902989,2472/0.001754084575809908,2607/0.0011075559931085406,135/0.0015313485662789862,2568/0.001900198281559815,,,
908/0.0020107559484863475,301/0.0017450429027387228,2163/0.0011075559931085406,641/0.0015313485662789862,835/0.0018864287287948887,,,
622/0.001994797567942805,1979/0.0017405220662031302,2673/0.001061407826729018,1097/0.0015280834307432102,2631/0.0018864287287948887,,,
120/0.001994797567942805,1525/0.0017088762104539824,1792/0.001061407826729018,2181/0.001524818295207434,1316/0.0018726591760299626,,,
2692/0.001978839187399263,2442/0.0017088762104539824,1910/0.001061407826729018,114/0.001521553159671658,122/0.0018726591760299626,,,
256/0.0019628808068557204,1527/0.0017088762104539824,336/0.000999876938222988,1189/0.0015084926175285536,791/0.00184512007050011,,,
2316/0.0019628808068557204,2764/0.0016953137008472049,3001/0.0009229633275904504,702/0.0014921669398496732,2916/0.001831350517735184,,,
2771/0.0019469224263121779,26/0.0016862720277760197,1997/0.0008460497169579128,2222/0.0014889018043138971,686/0.0018175809649702578,,,
1553/0.0019309640457686355,488/0.001672709518169242,2429/0.0008306669948314054,1042/0.001482371533242345,346/0.0018175809649702578,,,
1375/0.001915005665225093,860/0.0016681886816336494,2050/0.0008152842727048978,2796/0.001482371533242345,1996/0.0018038114122053315,,,
2226/0.0018990472846815505,1961/0.0016455844989556867,190/0.0007845188284518828,898/0.001482371533242345,1730/0.001762502753910553,,,
457/0.0018990472846815505,1858/0.0016410636624200942,1815/0.0007845188284518828,2765/0.0014791063977065688,2379/0.0017487332011456268,,,
341/0.0018830889041380082,1607/0.0016365428258845016,2753/0.0007537533841988678,339/0.0014758412621707928,2868/0.0017487332011456268,,,
2087/0.0018671305235944656,652/0.0016184594797421315,2233/0.0007229879399458528,1924/0.0014725761266350167,1174/0.0017211940956157743,,,
2464/0.0018671305235944656,1178/0.001613938643206539,2538/0.0007229879399458528,1019/0.0014725761266350167,777/0.0017211940956157743,,,
1747/0.0018671305235944656,1035/0.0016094178066709463,2879/0.0006306916071868077,2167/0.0014660458555634645,2247/0.0017211940956157743,,,
808/0.0018511721430509232,332/0.0016048969701353537,482/0.0005999261629337927,512/0.0014660458555634645,1549/0.0017074245428508482,,,
1641/0.0018192553819638383,121/0.0015777719509217985,1575/0.0005537779965542703,250/0.0014627807200276884,358/0.0017074245428508482,,,
646/0.0018192553819638383,2587/0.001564209441315021,2924/0.0005230125523012552,616/0.0014627807200276884,2332/0.001693654990085922,,,
1273/0.0018032970014202959,1632/0.0015596886047794284,2381/0.0004307162195422102,1503/0.001449720177884584,796/0.001693654990085922,,,
1566/0.001771380240333211,18/0.0015551677682438358,2081/0.0004153334974157027,556/0.001446455042348808,2600/0.001693654990085922,,,
2321/0.001771380240333211,647/0.0015506469317082433,173/0.0003999507752891952,1175/0.001446455042348808,1092/0.0016798854373209957,,,
830/0.0017554218597896686,1085/0.0015461260951726507,2567/0.00036918533103618014,2599/0.0014431899068130319,664/0.0016661158845560696,,,
417/0.0017554218597896686,381/0.0015370844221014657,2253/0.00033841988678316514,1047/0.0014301293646699275,1304/0.0016661158845560696,,,
1005/0.0017394634792461262,1401/0.0015325635855658732,2134/0.0002153581097711051,2281/0.001407273415919495,193/0.0016661158845560696,,,
2760/0.0017394634792461262,554/0.001523521912494688,2720/0.00016920994339158257,2016/0.0014007431448479425,1433/0.0016523463317911435,,,
2548/0.0017394634792461262,426/0.001523521912494688,1483/0.00012306177701206005,184/0.0013974780093121664,1528/0.0016385767790262173,,,
1781/0.0017394634792461262,725/0.0015099594028879105,684/9.229633275904504e-05,2579/0.0013974780093121664,2393/0.0016385767790262173,,,
2457/0.0017235050987025836,1601/0.0014963968932811328,2641/6.153088850603002e-05,842/0.0013942128737763904,2675/0.0016110376734963649,,,
1256/0.0017235050987025836,353/0.0014963968932811328,,1157/0.0013942128737763904,295/0.0016110376734963649,,,
2215/0.0017235050987025836,1444/0.001482834383674355,,1197/0.0013876826027048382,768/0.0016110376734963649,,,
547/0.0017235050987025836,2930/0.00147379271060317,,1798/0.0013876826027048382,1804/0.0015697290152015863,,,
2597/0.0017075467181590412,2635/0.0014692718740675775,,2593/0.001384417467169062,2606/0.0015697290152015863,,,
870/0.0016915883376154989,770/0.0014602302009963924,,2522/0.00137788719609751,1695/0.0015559594624366601,,,
2276/0.001659671576528414,3007/0.0014511885279252072,,240/0.0013713569250259577,846/0.0015559594624366601,,,
1495/0.001627754815441329,584/0.0014285843452472445,,560/0.0013680917894901817,2018/0.0015559594624366601,,,
2175/0.001627754815441329,1460/0.0014195426721760594,,271/0.0013615615184186295,712/0.0015559594624366601,,,
1714/0.001627754815441329,506/0.0014195426721760594,,1079/0.0013615615184186295,270/0.0015421899096717338,,,
110/0.0015798796738107016,142/0.001415021835640467,,1825/0.0013550312473470773,2143/0.0015284203569068077,,,
1198/0.0015639212932671593,1134/0.001415021835640467,,1796/0.0013550312473470773,1586/0.0015284203569068077,,,
1875/0.001547962912723617,1328/0.0013698134702845415,,226/0.0013517661118113012,2887/0.0015284203569068077,,,
1382/0.001516046151636532,1675/0.0013698134702845415,,1555/0.0013517661118113012,841/0.0015008812513769552,,,
481/0.001516046151636532,1559/0.001315563431857431,,2437/0.0013485009762755251,2805/0.0015008812513769552,,,
484/0.0015000877710929896,1363/0.0012974800857150606,,1915/0.001341970705203973,1833/0.0015008812513769552,,,
1734/0.0015000877710929896,1776/0.0012884384126438757,,214/0.0013387055696681969,2898/0.0015008812513769552,,,
465/0.0015000877710929896,2439/0.0012703550665015054,,2433/0.0013387055696681969,2877/0.001487111698612029,,,
2803/0.001484129390549447,1475/0.0012658342299659128,,2408/0.0013289101630608686,144/0.0014595725930821766,,,
2921/0.001484129390549447,1565/0.0012567925568947279,,2858/0.0013256450275250925,2801/0.0013769552764926196,,,
2614/0.0014522126294623623,1677/0.001234188374216765,,140/0.0013256450275250925,1259/0.0013494161709627671,,,
2499/0.0014362542489188197,861/0.00122514670114558,,1989/0.0013158496209177643,838/0.001335646618197841,,,
1561/0.0014362542489188197,2689/0.00122514670114558,,507/0.0013125844853819882,708/0.001335646618197841,,,
2825/0.0014202958683752773,2785/0.00122514670114558,,203/0.001309319349846212,2400/0.001335646618197841,,,
1674/0.0013883791072881924,1317/0.0012206258646099875,,486/0.0012995239432388838,2022/0.0013218770654329147,,,
1991/0.0013883791072881924,1583/0.0012206258646099875,,1602/0.0012962588077031077,2230/0.0013081075126679885,,,
1655/0.0013883791072881924,2189/0.0012025425184676172,,586/0.0012897285366315556,1864/0.001280568407138136,,,
1642/0.0013883791072881924,1686/0.0011980216819320248,,1240/0.0012897285366315556,763/0.001280568407138136,,,
2932/0.00137242072674465,2671/0.001184459172325247,,77/0.0012864634010957795,807/0.00126679885437321,,,
735/0.00137242072674465,1246/0.001184459172325247,,718/0.0012831982655600034,2700/0.00126679885437321,,,
3014/0.00137242072674465,2937/0.0011799383357896545,,809/0.0012831982655600034,1447/0.00126679885437321,,,
1458/0.0013564623462011076,717/0.0011708966627184693,,2476/0.0012831982655600034,2166/0.0012530293016082838,,,
2581/0.001340503965657565,1393/0.001166375826182877,,1011/0.0012799331300242273,1209/0.0012392597488433575,,,
1744/0.0013245455851140227,530/0.0011528133165760992,,1513/0.0012799331300242273,2595/0.0012254901960784314,,,
824/0.0013245455851140227,2624/0.0011528133165760992,,1270/0.0012766679944884512,2884/0.0012117206433135052,,,
1683/0.0013085872045704803,330/0.0011347299704337292,,3004/0.0012734028589526751,1609/0.0012117206433135052,,,
2103/0.0013085872045704803,2981/0.001125688297362544,,2394/0.0012734028589526751,2192/0.0011979510905485789,,,
2745/0.0013085872045704803,1381/0.0011166466242913588,,1078/0.0012734028589526751,2601/0.0011841815377836528,,,
1919/0.0013085872045704803,1777/0.0011166466242913588,,23/0.0012636074523453469,2373/0.0011704119850187266,,,
275/0.0013085872045704803,639/0.0011121257877557663,,1429/0.0012603423168095708,1379/0.0011704119850187266,,,
2010/0.0013085872045704803,2006/0.0010940424416133962,,2540/0.0012603423168095708,1183/0.0011566424322538005,,,
3009/0.0012926288240269377,1514/0.0010804799320066184,,719/0.0012570771812737947,2999/0.0011428728794888742,,,
401/0.0012926288240269377,1329/0.0010623965858642483,,1121/0.0012538120457380186,1413/0.001115333773959022,,,
1785/0.001260712062939853,2141/0.0010578757493286558,,1726/0.0012538120457380186,1484/0.0010740251156642433,,,
361/0.001228795301852768,2440/0.0010533549127930632,,2405/0.0012472817746664664,570/0.001060255562899317,,,
2073/0.001228795301852768,2357/0.0010533549127930632,,2545/0.0012440166391306903,1648/0.0010464860101343908,,,
2642/0.0012128369213092256,1850/0.0010488340762574706,,1334/0.0012407515035949143,525/0.0010327164573694647,,,
1417/0.001196878540765683,1242/0.0010488340762574706,,536/0.0012407515035949143,1173/0.0010327164573694647,,,
1930/0.001196878540765683,746/0.001035271566650693,,253/0.0012374863680591382,103/0.0010189469046045384,,,
162/0.001196878540765683,2469/0.001035271566650693,,208/0.001234221232523362,478/0.0010189469046045384,,,
873/0.0011809201602221407,1024/0.0010307507301151005,,264/0.001234221232523362,615/0.0010189469046045384,,,
386/0.0011809201602221407,2404/0.0010307507301151005,,1866/0.001230956096987586,2249/0.0010189469046045384,,,
2658/0.001164961779678598,2119/0.0010307507301151005,,1235/0.001230956096987586,2014/0.0010051773518396122,,,
2838/0.001164961779678598,847/0.0010126673839727302,,635/0.00122769096145181,878/0.0009638686935448336,,,
1289/0.001164961779678598,2130/0.0010036257109015453,,1111/0.00122769096145181,2465/0.0009500991407799075,,,
858/0.0011490033991350557,856/0.0009945840378303601,,287/0.0012244258259160338,2774/0.0009363295880149813,,,
1046/0.0011490033991350557,312/0.0009900632012947675,,1838/0.0012244258259160338,2259/0.000922560035250055,,,
2416/0.0011330450185915134,2455/0.0009765006916879899,,1033/0.0012211606903802577,30/0.000922560035250055,,,
597/0.0011170866380479708,391/0.0009674590186168049,,2990/0.0012211606903802577,2500/0.000922560035250055,,,
1703/0.0011170866380479708,1191/0.0009674590186168049,,268/0.0012211606903802577,2301/0.000922560035250055,,,
1863/0.001085169876960886,394/0.0009629381820812123,,61/0.0012178955548444816,1931/0.000922560035250055,,,
382/0.001085169876960886,2369/0.0009448548359388421,,974/0.0012081001482371534,2655/0.0008812513769552765,,,
871/0.0010692114964173435,2976/0.000935813162867657,,535/0.001195039606094049,34/0.0008812513769552765,,,
2421/0.0010692114964173435,1040/0.000935813162867657,,2681/0.001191774470558273,1177/0.0008812513769552765,,,
917/0.001053253115873801,1753/0.0009312923263320645,,2203/0.001191774470558273,2617/0.0008812513769552765,,,
1980/0.0010213363547867161,1809/0.0009086881436541018,,423/0.001191774470558273,839/0.0008812513769552765,,,
2566/0.0009894195936996314,611/0.0009086881436541018,,1572/0.0011852441994867208,47/0.0008812513769552765,,,
1083/0.0009734612131560889,2786/0.0009041673071185092,,819/0.0011852441994867208,783/0.0008537122714254241,,,
443/0.0009734612131560889,2454/0.0008815631244405464,,439/0.0011819790639509447,2387/0.0008537122714254241,,,
1779/0.0009575028326125464,2977/0.0008725214513693614,,1339/0.0011819790639509447,2927/0.0008399427186604979,,,
2097/0.0009575028326125464,1706/0.0008725214513693614,,1027/0.0011787139284151686,901/0.0008261731658955717,,,
881/0.0009575028326125464,2696/0.0008680006148337688,,459/0.0011754487928793925,1290/0.0008261731658955717,,,
2065/0.0009415444520690041,1389/0.0008680006148337688,,1905/0.0011721836573436164,2122/0.0008261731658955717,,,
1654/0.0009255860715254616,1876/0.0008634797782981763,,1434/0.0011689185218078403,1749/0.0008124036131306455,,,
1395/0.0009255860715254616,1354/0.0008634797782981763,,755/0.0011656533862720642,2896/0.0008124036131306455,,,
2783/0.0009096276909819191,1830/0.0008634797782981763,,1269/0.0011656533862720642,1489/0.0008124036131306455,,,
158/0.0009096276909819191,139/0.0008544381052269912,,427/0.0011656533862720642,2873/0.0008124036131306455,,,
511/0.0009096276909819191,521/0.0008544381052269912,,1512/0.0011656533862720642,7/0.0007986340603657194,,,
2710/0.0008936693104383768,198/0.0008408755956202136,,2061/0.0011623882507362882,2396/0.0007848645076007931,,,
2706/0.0008936693104383768,288/0.0008408755956202136,,308/0.0011623882507362882,3008/0.0007848645076007931,,,
2051/0.0008936693104383768,365/0.0008182714129422508,,1425/0.001159123115200512,1319/0.0007848645076007931,,,
2225/0.0008936693104383768,561/0.0008182714129422508,,1685/0.001155857979664736,2419/0.0007848645076007931,,,
2649/0.0008617525493512918,1505/0.0008182714129422508,,269/0.001155857979664736,2273/0.0007710949548358669,,,
2114/0.0008617525493512918,1410/0.0008137505764066583,,1968/0.0011493277085931836,2275/0.0007710949548358669,,,
223/0.0008457941688077494,2451/0.0008137505764066583,,342/0.0011493277085931836,523/0.0007435558493060145,,,
940/0.0008457941688077494,2989/0.0008137505764066583,,1645/0.0011460625730574075,2239/0.0007435558493060145,,,
2541/0.000829835788264207,1213/0.0008092297398710657,,544/0.0011460625730574075,2182/0.0007297862965410883,,,
2748/0.000829835788264207,1644/0.0008092297398710657,,1843/0.0011362671664500792,2594/0.0007297862965410883,,,
1842/0.0008138774077206645,2922/0.0007956672302642881,,1322/0.0011330020309143032,2883/0.0007160167437761622,,,
505/0.0008138774077206645,2656/0.0007956672302642881,,911/0.0011330020309143032,2841/0.0007022471910112359,,,
500/0.0008138774077206645,1095/0.0007911463937286955,,2088/0.001129736895378527,209/0.0006884776382463098,,,
2136/0.0007979190271771221,348/0.0007911463937286955,,1396/0.001126471759842751,610/0.0006747080854813836,,,
2604/0.0007819606466335796,2682/0.0007775838841219179,,290/0.0011199414887711988,2092/0.0006747080854813836,,,
571/0.0007819606466335796,309/0.0007730630475863253,,2200/0.0011134112176996466,1932/0.0006609385327164573,,,
2099/0.0007500438855464948,2766/0.0007595005379795477,,304/0.0011068809466280945,2049/0.0006609385327164573,,,
1298/0.0007500438855464948,2657/0.0007504588649083627,,2966/0.0011068809466280945,2891/0.0006609385327164573,,,
461/0.0007340855050029523,1478/0.0007459380283727701,,1397/0.0011068809466280945,236/0.0006609385327164573,,,
1647/0.0007181271244594098,1939/0.0007414171918371775,,469/0.0011036158110923184,2343/0.000633399427186605,,,
2266/0.0007021687439158675,1716/0.0007233338456948074,,263/0.0011003506755565423,2430/0.000633399427186605,,,
1963/0.0007021687439158675,1820/0.0007188130091592148,,1643/0.0011003506755565423,933/0.000633399427186605,,,
2802/0.0007021687439158675,2270/0.0007097713360880297,,2847/0.0010938204044849901,2413/0.000633399427186605,,,
2736/0.000686210363372325,2754/0.0007052504995524372,,1934/0.0010840249978776619,1350/0.000633399427186605,,,
734/0.000686210363372325,1962/0.0006962088264812521,,1301/0.0010840249978776619,1778/0.000633399427186605,,,
2751/0.000686210363372325,1911/0.0006962088264812521,,1281/0.0010840249978776619,2712/0.000633399427186605,,,
776/0.000686210363372325,470/0.0006826463168744744,,3022/0.0010840249978776619,834/0.0006196298744216787,,,
1297/0.000686210363372325,3026/0.0006645629707321042,,896/0.0010807598623418858,2659/0.0006058603216567526,,,
1702/0.0006702519828287825,2125/0.0006555212976609192,,1673/0.0010774947268061097,2984/0.0006058603216567526,,,
1318/0.0006383352217416977,2148/0.000646479624589734,,2630/0.0010774947268061097,2269/0.0005920907688918264,,,
1414/0.0006383352217416977,1916/0.0006283962784473639,,2090/0.0010774947268061097,2354/0.0005920907688918264,,,
2180/0.0006383352217416977,180/0.0006148337688405863,,349/0.0010774947268061097,2951/0.0005920907688918264,,,
3018/0.0006223768411981552,1733/0.0006103129323049937,,2691/0.0010774947268061097,1415/0.0005783212161269003,,,
1691/0.0005904600801110703,515/0.0005967504226982161,,1137/0.0010742295912703336,2945/0.0005783212161269003,,,
827/0.0005585433190239854,82/0.0005967504226982161,,1052/0.0010676993201987814,2107/0.000564551663361974,,,
1238/0.0005585433190239854,2296/0.0005967504226982161,,2066/0.0010644341846630053,1740/0.000564551663361974,,,
1687/0.0005585433190239854,2300/0.0005967504226982161,,779/0.0010644341846630053,2848/0.0005507821105970478,,,
2341/0.0005585433190239854,1690/0.000587708749627031,,1449/0.0010644341846630053,2438/0.0005370125578321217,,,
942/0.0005585433190239854,884/0.0005786670765558459,,154/0.0010579039135914532,2629/0.0005370125578321217,,,
1824/0.0005266265579369005,1299/0.0005696254034846608,,2946/0.0010579039135914532,1372/0.0005370125578321217,,,
989/0.0005266265579369005,1574/0.0005605837304134757,,2800/0.001054638778055677,1954/0.0005232430050671954,,,
2392/0.0005266265579369005,2584/0.0005470212208066981,,1345/0.001051373642519901,2501/0.0005094734523022692,,,
1421/0.0004947097968498157,2377/0.0005425003842711055,,927/0.0010481085069841249,1535/0.0004819343467724168,,,
1537/0.0004947097968498157,1860/0.0005198962015931428,,613/0.0010481085069841249,2808/0.0004819343467724168,,,
2625/0.0004947097968498157,2985/0.0005153753650575503,,943/0.0010481085069841249,262/0.00046816479400749064,,,
2001/0.0004947097968498157,1868/0.0005153753650575503,,1488/0.0010481085069841249,2000/0.00045439524124256446,,,
2511/0.0004627930357627308,2804/0.0005108545285219577,,2572/0.0010481085069841249,929/0.0004406256884776382,,,
1661/0.0004627930357627308,1435/0.00048372950930840243,,37/0.0010448433714483488,2843/0.0003993170301828597,,,
859/0.0004627930357627308,1787/0.00047920867277280986,,2217/0.0010448433714483488,1347/0.0003993170301828597,,,
2463/0.0004468346552191884,743/0.00047920867277280986,,503/0.0010415782359125727,456/0.00038554747741793345,,,
591/0.0004308762746756459,2353/0.00047468783623721733,,1705/0.0010415782359125727,1806/0.00037177792465300727,,,
2514/0.0004308762746756459,2993/0.00047468783623721733,,260/0.0010415782359125727,2032/0.00037177792465300727,,,
2906/0.0004308762746756459,1803/0.00045660449009484713,,631/0.0010317828293052445,1795/0.00037177792465300727,,,
2458/0.0004149178941321035,2478/0.00045660449009484713,,1634/0.0010285176937694684,737/0.00037177792465300727,,,
1982/0.00039895951358856106,294/0.0004520836535592546,,784/0.0010285176937694684,2486/0.0003580083718880811,,,
1247/0.00039895951358856106,1169/0.0004430419804880695,,2304/0.0010285176937694684,1951/0.0003580083718880811,,,
345/0.00039895951358856106,1077/0.000438521143952477,,1073/0.0010252525582336923,1233/0.0003580083718880811,,,
2651/0.0003830011330450186,955/0.000438521143952477,,754/0.0010252525582336923,1376/0.0003580083718880811,,,
1823/0.0003830011330450186,2043/0.0004340003074168844,,1053/0.00101872228716214,2197/0.0003442388191231549,,,
1944/0.0003830011330450186,1151/0.0004204377978101068,,939/0.001015457151626364,1959/0.00033046926635822867,,,
2909/0.0003830011330450186,2955/0.00040687528820332916,,181/0.001012192016090588,2246/0.00033046926635822867,,,
1306/0.00036704275250147616,1131/0.0004023544516677366,,1398/0.001012192016090588,950/0.00033046926635822867,,,
803/0.00036704275250147616,1628/0.0004023544516677366,,1893/0.0010089268805548118,450/0.0002891606080634501,,,
2121/0.00035108437195793373,2881/0.0004023544516677366,,279/0.0010089268805548118,2797/0.0002753910552985239,,,
1017/0.00035108437195793373,448/0.00039783361513214406,,2342/0.0010089268805548118,2904/0.0002616215025335977,,,
2688/0.00033512599141439126,1044/0.00039783361513214406,,2933/0.0010056617450190358,2739/0.00023408239700374532,,,
1124/0.00033512599141439126,1181/0.00037975026898977386,,441/0.0010056617450190358,2360/0.00023408239700374532,,,
778/0.00031916761087084883,2337/0.00037522943245418133,,2903/0.0010023966094832597,2775/0.00023408239700374532,,,
2936/0.00031916761087084883,1710/0.00037522943245418133,,1002/0.0010023966094832597,1993/0.00019277373870896672,,,
2004/0.0003032092303273064,661/0.00037070859591858876,,2569/0.0010023966094832597,2278/0.00019277373870896672,,,
2310/0.0003032092303273064,1152/0.00036618775938299623,,527/0.0009991314739474836,2106/0.00019277373870896672,,,
2388/0.00028725084978376393,2482/0.0003616669228474037,,1885/0.0009958663384117075,1542/0.00015146508041418815,,,
321/0.0002712924692402215,2154/0.00035714608631181113,,1443/0.0009958663384117075,2150/0.00012392597488433576,,,
1156/0.0002712924692402215,2170/0.0003526252497762186,,668/0.0009926012028759314,2636/0.00012392597488433576,,,
2973/0.00025533408869667904,233/0.00034810441324062603,,1650/0.0009926012028759314,2919/0.00012392597488433576,,,
2701/0.00025533408869667904,2626/0.00033906274016944093,,812/0.0009926012028759314,2899/9.638686935448336e-05,,,
2177/0.00025533408869667904,528/0.0003345419036338484,,3/0.0009893360673401553,1496/8.261731658955717e-05,,,
2298/0.00020745894706605174,2867/0.0003209793940270708,,2787/0.0009893360673401553,246/6.884776382463097e-05,,,
2886/0.00020745894706605174,767/0.0003164585574914782,,626/0.0009893360673401553,2523/6.884776382463097e-05,,,
2839/0.00020745894706605174,820/0.0003119377209558857,,2676/0.0009860709318043792,969/6.884776382463097e-05,,,
2234/0.0001915005665225093,1067/0.00030741688442029316,,179/0.0009860709318043792,2324/5.507821105970478e-05,,,
1741/0.0001915005665225093,1998/0.0002848127017423304,,1844/0.000979540660732827,2135/5.507821105970478e-05,,,
2778/0.00017554218597896687,1348/0.00026220851906436765,,1407/0.0009730103896612749,2959/5.507821105970478e-05,,,
998/0.00017554218597896687,2218/0.00026220851906436765,,650/0.0009730103896612749,2152/5.507821105970478e-05,,,
2391/0.00015958380543542442,813/0.00026220851906436765,,1771/0.0009697452541254988,1109/5.507821105970478e-05,,,
2627/0.00012766704434833952,2818/0.00024864600945759003,,2590/0.0009697452541254988,1818/5.507821105970478e-05,,,
1451/0.00012766704434833952,2493/0.0002350834998508124,,1314/0.0009664801185897227,980/2.753910552985239e-05,,,
378/0.0001117086638047971,863/0.00023056266331521985,,1108/0.0009632149830539466,605/2.753910552985239e-05,,,
2564/0.0001117086638047971,2003/0.00021247931717284965,,462/0.0009599498475181705,1204/2.753910552985239e-05,,,
1492/9.575028326125464e-05,1754/0.00021247931717284965,,1394/0.0009566847119823943,2563/2.753910552985239e-05,,,
2637/9.575028326125464e-05,1224/0.00020795848063725713,,2315/0.0009468893053750661,2633/2.753910552985239e-05,,,
555/4.787514163062732e-05,2303/0.00020795848063725713,,1630/0.0009468893053750661,1682/2.753910552985239e-05,,,
2488/4.787514163062732e-05,1312/0.00019891680756607203,,1008/0.0009468893053750661,2849/2.753910552985239e-05,,,
1028/4.787514163062732e-05,2956/0.00018535429795929438,,2352/0.0009468893053750661,575/2.753910552985239e-05,,,
2882/3.191676108708488e-05,1883/0.00017179178835251675,,90/0.0009468893053750661,2184/2.753910552985239e-05,,,
1766/3.191676108708488e-05,1179/0.00017179178835251675,,612/0.0009468893053750661,2149/2.753910552985239e-05,,,
1135/3.191676108708488e-05,1751/0.00017179178835251675,,400/0.00094362416983929,1819/1.3769552764926195e-05,,,
2336/3.191676108708488e-05,411/0.0001672709518169242,,2958/0.0009403590343035139,2169/1.3769552764926195e-05,,,
1604/1.595838054354244e-05,2100/0.00014918760567455403,,133/0.0009403590343035139,1994/1.3769552764926195e-05,,,
,2318/0.00013110425953218383,,912/0.0009403590343035139,278/1.3769552764926195e-05,,,
,2820/0.00013110425953218383,,1723/0.0009403590343035139,2709/1.3769552764926195e-05,,,
,625/0.00012658342299659128,,2685/0.0009305636276961856,2256/1.3769552764926195e-05,,,
