Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
134/0.006159934889807382,241/0.006098608486514345,2126/0.008337435392567068,1668/0.0030561668614864203,2333/0.006141220533157083,1943/0.008946374226046805,2075/0.009246051961283749,553/0.007349563619660083
298/0.006128018128720297,621/0.006035316775016049,326/0.00832205267044056,522/0.003043106319343316,1511/0.0060999118748623045,55/0.00876272431524819,531/0.009220580743759551,1529/0.006890215893431328
1274/0.005904600801110703,1670/0.006026275101944864,1366/0.008045163672163427,2507/0.0029222963045196005,1161/0.006017294558272747,1498/0.00873648861370553,804/0.009093224656138564,703/0.006890215893431328
1186/0.0058886424205671604,98/0.005976545900053346,2286/0.007845188284518828,1440/0.0028896449491618396,848/0.006003525005507821,1453/0.008303599538251653,620/0.008940397350993378,1445/0.0065015370481608424
438/0.005824808898392991,1672/0.005890650005877088,60/0.007629830174747723,1217/0.0028896449491618396,2260/0.005796981714033928,1163/0.008159303179767027,354/0.00891492613346918,2292/0.006077523762411222
1760/0.005808850517849449,1203/0.005845441640521162,829/0.0076144474526212156,43/0.0028733192714829594,178/0.005769442608504076,1268/0.008080596075139048,1336/0.00858380030565461,2023/0.005688844917140737
1132/0.005665225092957566,1212/0.005804754111700829,92/0.007568299286241693,318/0.0028439330516609744,100/0.0057419035029742235,534/0.00806747822436772,12/0.00858380030565461,54/0.005476838274265927
2059/0.0056492667124140245,499/0.005791191602094051,155/0.0074760029534826486,1547/0.0028406679161251986,333/0.005659286186384666,166/0.00805436037359639,1701/0.007947019867549669,2096/0.005052824988516307
2725/0.005633308331870482,300/0.005705295707917793,995/0.007460620231356141,2299/0.00283087250951787,682/0.005659286186384666,1303/0.007962535418197083,192/0.007641365257259297,1023/0.004876152786120632
1170/0.00561734995132694,194/0.005614878977205942,2829/0.007414472064976618,2123/0.0028080165607674372,458/0.00564551663361974,2528/0.007949417567425753,138/0.007335710646968925,1307/0.004310801738454472
102/0.00561734995132694,2588/0.005560628938778831,2940/0.007352941176470588,960/0.002785160612017005,2453/0.005466512447675699,410/0.0077395319550844785,1515/0.007335710646968925,2757/0.004204798417017067
2957/0.0055375580486092275,2162/0.005465691371531388,1010/0.006891459512675363,1384/0.002759039527730796,1408/0.005342586472791364,1881/0.007726414104313149,2664/0.00728476821192053,750/0.004169463976537931
1788/0.0054258493848044305,578/0.0054611705349957955,1757/0.006891459512675363,1582/0.0027492441211234677,1062/0.005218660497907028,580/0.007673942701227831,975/0.0072338257768721345,274/0.003922122893183986
1241/0.005298182340456091,891/0.005447608025389018,751/0.006876076790548856,74/0.002729653307908811,1564/0.005108504075787618,1049/0.007621471298142513,1155/0.007004584819154356,934/0.0036394473693509063
2191/0.005266265579369006,1261/0.0053978788234975,2912/0.006860694068422348,678/0.0027263881723730353,997/0.005053425864727914,2305/0.007542764193514535,239/0.006851757514009169,836/0.0032861029645595563
331/0.005138598535020666,2525/0.00537979547735513,1199/0.006829928624169333,984/0.002723123036837259,494/0.005025886759198061,1554/0.007503410641200546,965/0.0068008150789607745,3006/0.0030740963216847462
6/0.005122640154477123,1540/0.005036211900650097,2262/0.006753015013536795,71/0.002674146003800618,1442/0.004984578100903283,1119/0.007490292790429216,334/0.006749872643912379,1504/0.002968093000247341
592/0.0049630563490417,1897/0.005013607717972134,1165/0.006737632291410288,2435/0.002674146003800618,255/0.004874421678783873,2079/0.007385349984258579,2622/0.006698930208863984,2870/0.002968093000247341
1667/0.0048673060657804445,850/0.004981961862222986,2972/0.006399212404627123,552/0.0026708808682648416,1089/0.004750495703899537,2791/0.007372232133487249,1446/0.006469689251146205,2835/0.002614748595455991
1258/0.004819430924149817,200/0.0046926283239450625,2929/0.006383829682500616,832/0.0026708808682648416,2807/0.004722956598369685,296/0.00735911428271592,91/0.006444218033622007,1070/0.002261404190664641
520/0.004803472543606275,169/0.0046700241412671,1617/0.0063530642382476,753/0.002602313022013544,966/0.0046816479400749065,2536/0.007109875118060657,1855/0.006291390728476821,1839/0.0020847319882689656
185/0.004787514163062732,2077/0.004660982468195915,99/0.006199237016982525,414/0.0025598662600484546,517/0.0046816479400749065,1463/0.007070521565746668,1418/0.006214977075904228,2345/0.0007773576905409703
1995/0.004787514163062732,698/0.004656461631660323,1520/0.0060607925178439576,1917/0.0025566011245126783,2768/0.004585261070720423,1902/0.006873753804176723,2962/0.006138563423331635,2852/0.0005300166071870252
574/0.004723680640888563,286/0.00465194079512473,2793/0.006030027073590943,2516/0.0025272149046906937,502/0.00448887420136594,1871/0.006847518102634065,1722/0.0059857361181864495,245/0.00017667220239567507
2025/0.004659847118714392,1361/0.004570565737484064,1145/0.006014644351464435,1267/0.0025141543625475894,532/0.00448887420136594,350/0.006716339594920768,2467/0.005934793683138054,2452/0.00014133776191654006
2845/0.004596013596540223,654/0.004561524064412879,2872/0.00598387890721142,1756/0.0025141543625475894,10/0.004461335095836088,921/0.00665075034106412,633/0.005883851248089659,25/3.5334440479135016e-05
1877/0.004596013596540223,1332/0.004534399045199324,1941/0.00586081713019936,722/0.0024847681427256044,1616/0.004337409120951752,2376/0.0064671004302655054,1970/0.005832908813041263,790/3.5334440479135016e-05
68/0.004548138454909595,124/0.004534399045199324,471/0.00586081713019936,756/0.0024815030071898285,691/0.004337409120951752,3019/0.006453982579494175,1096/0.00565461029037188,
845/0.004484304932735426,1704/0.004425898968345102,2196/0.005814668963819838,854/0.0024815030071898285,907/0.004309870015421899,1853/0.006414629027180187,1793/0.005578196637799287,
1063/0.004452388171648341,644/0.004412336458738325,2017/0.00579928624169333,435/0.0024455865162962913,1021/0.004309870015421899,1619/0.00629656837023822,2562/0.005501782985226694,
167/0.004452388171648341,175/0.004376169766453585,480/0.005522397243416195,1816/0.002439056245224739,2237/0.0041997135933024895,540/0.006217861265610242,676/0.005399898115129903,
1745/0.004372596268930629,1610/0.004371648929917992,780/0.005460866354910165,113/0.0024357911096889633,2313/0.004185944040537563,416/0.0061129184594396055,1188/0.005374426897605706,
2695/0.004340679507843544,727/0.004362607256846807,197/0.0053531873000246125,564/0.0024096700254027546,2824/0.004130865829477859,316/0.0061129184594396055,1738/0.005348955680081508,
1568/0.004340679507843544,1059/0.004312878054955289,557/0.005322421855771598,1524/0.0024064048898669783,2302/0.004103326723948007,452/0.006099800608668276,2537/0.00532348446255731,
1353/0.0043087627467564595,2639/0.004312878054955289,1462/0.005153211912380015,1764/0.002399874618795426,67/0.00408955717118308,1750/0.006086682757896946,2208/0.005298013245033113,
2722/0.0043087627467564595,2063/0.004276711362670549,2747/0.005153211912380015,1030/0.0023802838055807696,2826/0.004062018065653227,477/0.006060447056354287,306/0.005298013245033113,
84/0.004292804366212917,359/0.004272190526134956,222/0.0051070637460004925,232/0.0023770186700449937,442/0.004048248512888301,1573/0.0060473292055829575,1724/0.005272542027508915,
2485/0.004228970844038747,721/0.004263148853063771,1076/0.005045532857494462,147/0.0023737535345092174,2306/0.004006939854593523,2549/0.005889914996327001,1614/0.005196128374936322,
2290/0.0041970540829516624,2350/0.004249586343456993,2268/0.004968619246861925,4/0.002350897585758785,1886/0.0039656311962987445,234/0.005784972190156365,1879/0.005094243504839531,
41/0.0041970540829516624,1105/0.004141086266602772,65/0.004968619246861925,1243/0.0023476324502230087,670/0.003951861643533818,2115/0.005653793682443069,2210/0.0050433010697911364,
935/0.004133220560777492,1713/0.0040868362281756615,1656/0.00493785380260891,2612/0.002344367314687233,1662/0.003924322538003965,211/0.0056144401301290794,1219/0.004814060112073357,
3000/0.00411726218023395,384/0.0040868362281756615,2142/0.004907088358355895,2425/0.002318246230401024,2781/0.0038967834324741134,1597/0.00558820442858642,2897/0.0047885888945491594,
