Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
73/0.00602841042498239,1026/0.010421947395102629,514/0.006747834410964056,678/0.008924218335983041,113/0.005058440568295577,663/0.012139133141389775,1435/0.010027569717227413,2593/0.007252851535299881,818/0.018418898374459126,2693/0.011654963227656127,1328/0.02026882867505867,2157/0.014931663555903425,1532/0.005932461210830545
1048/0.005852312749471707,117/0.010009313731269379,854/0.006709373036867364,2796/0.008606253312135666,31/0.005031921875932298,1302/0.012009441547998859,1593/0.010027569717227413,70/0.007098797764371677,252/0.017249444509414104,1036/0.010927826484397723,1685/0.02026882867505867,674/0.012884580649045699,273/0.0013690295101916642
2219/0.005764263911716365,166/0.009738154466464673,2435/0.006683732120802903,870/0.00854266030736619,538/0.005025292202841478,286/0.011827873317251577,2737/0.009637202039671115,2304/0.007067987010186036,934/0.01648929949713484,1382/0.010886275813354386,2061/0.020002133560913165,1716/0.009332289722439642,2452/0.0013690295101916642
473/0.005717304531580183,552/0.009313731269379046,109/0.0065897154285665446,2216/0.00819643172584349,1358/0.004740216259936223,994/0.011724120042538843,2630/0.009466416180740235,1490/0.006821500976700908,381/0.0146181733130628,1702/0.009972161050400963,1460/0.018561979944527417,2154/0.008850623156120176,969/0.0007605719501064801
67/0.005441418173280112,592/0.009290152202874288,588/0.00657262148452357,41/0.007970323264440912,1105/0.0047070678944821235,1540/0.011698181723860659,1501/0.00919803840242028,195/0.006796852373352395,2300/0.012922465208747515,2409/0.009805958366227614,2447/0.018508640921698315,1575/0.006622915286892649,436/0.0007605719501064801
2041/0.005429678328246067,1322/0.009231204536612395,1771/0.006555527540480596,1199/0.00783607136548313,133/0.004600993125029005,1277/0.01162036676782611,44/0.009124844462878473,1568/0.006772203770003882,2993/0.012922465208747515,2076/0.009473552997880916,2002/0.018295284830381908,1224/0.006502498645312782,575/0.000608457560085184
446/0.0053122798779056115,2255/0.009231204536612395,952/0.0065127926803731605,2165/0.007723017134781841,753/0.0045744744326657255,1430/0.011594428449147926,2141/0.009100446483031205,1983/0.00674755516665537,2276/0.012805519822243013,119/0.009058046287447542,315/0.01776189460209089,2318/0.00511770726714432,2523/0.000608457560085184
1816/0.005259450575252407,2260/0.009231204536612395,598/0.0064871517643087,214/0.007553435788729907,1326/0.004554585413393266,282/0.011283168625009728,1078/0.009076048503183937,3/0.006636636451587062,1348/0.011051339024675477,1395/0.009016495616404205,912/0.016748453168337955,1444/0.005057498946354386,2151/0.000608457560085184
1033/0.0052242310401502704,1114/0.009160467337098124,1718/0.006482878278297956,799/0.007539304009892245,2089/0.004521437047939166,149/0.011231291987653361,253/0.008978456583794862,2918/0.006556528490704395,2554/0.010817448251666471,1542/0.008974944945360868,2035/0.016161723917217836,2924/0.00493708230477452,1496/0.00045634317006388805
1838/0.00515966189246302,1202/0.008995413871564824,2024/0.006307665351857471,2059/0.007532238120473414,583/0.0044816590093942465,364/0.011127538712940628,608/0.008880864664405788,342/0.006377826116427678,1333/0.009940357852882704,11/0.00876719159014418,175/0.014721570300832088,2896/0.00493708230477452,2959/0.000304228780042592
2476/0.005106832589809814,2191/0.008948255738555311,1493/0.006209375173610369,551/0.007433315668609786,2618/0.004435251297758507,877/0.011127538712940628,172/0.008880864664405788,1643/0.00630388030638214,2470/0.009531049000116946,570/0.008642539577014169,840/0.01354811179859185,482/0.004876873983984587,
819/0.005077482977224701,71/0.008641727873993468,695/0.006183734257545908,2925/0.007348524995583819,843/0.004375584239941129,755/0.011049723756906077,480/0.008710078805474907,1640/0.006285393853870755,2881/0.007893813589053911,209/0.008580213570449163,2096/0.012694687433326222,2948/0.004816665663194653,
2178/0.005071613054707678,1459/0.008641727873993468,2227/0.0060341622471698836,2281/0.007306129659070836,1038/0.004322546855214569,359/0.010868155526158794,1662/0.00849049698684949,681/0.006155988686291063,223/0.0066658870307566365,1687/0.0082893588731458,2798/0.012374653296351611,752/0.004334999096875188,
339/0.005030523597088519,102/0.008594569740983955,1500/0.005965786470997987,281/0.0072778661013955135,97/0.004315917182123749,785/0.010868155526158794,1756/0.008344109107765877,1880/0.006137502233779678,1618/0.005087124312945854,2607/0.008102380853450783,2782/0.011841263068060593,2956/0.004154374134505388,
1848/0.004989434139469359,225/0.00839414767569352,1189/0.005901684180836834,2640/0.00712241653418124,1030/0.004163434701034892,919/0.01084221720748061,1554/0.008319711127918608,946/0.006001934915362858,2820/0.003508361595135072,2275/0.007915402833755766,2132/0.011307872839769575,2252/0.004154374134505388,
2258/0.004954214604367222,2694/0.008346989542684004,590/0.005803394002589732,224/0.007037625861155273,2263/0.004163434701034892,84/0.010660648976733328,2021/0.008319711127918608,257/0.005964962010340089,2377/0.003508361595135072,1022/0.007769975485104085,276/0.011041177725624067,1868/0.0030104160394966582,
1671/0.004883775534162949,18/0.008311620942926869,1295/0.005799120516578989,68/0.006952835188129306,910/0.004103767643217513,655/0.010505019064664228,1439/0.00812452728914046,106/0.005884854049457423,1440/0.002982107355864811,1255/0.0076453234719740725,1447/0.009494346063580116,2567/0.0022879161900174606,
1968/0.004825076308992721,39/0.008240883743412598,2213/0.0057948470305682455,689/0.006903373962197492,960/0.004070619277763413,1163/0.010245635877882396,12/0.008026935369751385,1111/0.005872529747783167,1663/0.0015787627178107824,1863/0.007312918103627374,1939/0.008214209515681673,2134/0.0022879161900174606,
101/0.0047194177036863115,1210/0.00815835701064595,2349/0.005688009880299657,99/0.0068751104045221695,2339/0.004030841239218494,682/0.009778746141675097,1465/0.00792934345036231,536/0.0057924217869004995,607/0.0012863992515495264,1741/0.007146715419454024,2270/0.0077874973330488585,1910/0.0019266662652778614,
147/0.004713547781169288,1569/0.008134777944141192,721/0.005564078785988094,772/0.00664900194311959,837/0.003865099411947997,167/0.009649054548284181,1516/0.007831751530973236,2599/0.005712313826017833,717/0.0011694538650450239,1390/0.007084389412889018,1151/0.006827394922125027,211/0.0019266662652778614,
1339/0.004684198168584175,1434/0.008111198877636434,1097/0.005478609065773223,660/0.006535947712418301,260/0.003838580719584717,1090/0.00957123959224963,2376/0.007782955571278698,58/0.005693827373506449,1731/0.0004677815460180096,394/0.00706361407736735,2489/0.005707275442713889,1819/0.0015654163405382623,
271/0.0046078891758628785,627/0.008040461678122163,1905/0.005470062093751736,2108/0.006521815933580639,691/0.0038253213734030776,1134/0.009285918086789614,2168/0.007709761631736892,305/0.00568766522266932,2456/0.0004093088527657584,1557/0.006855860722150663,2841/0.004107104757840836,2721/0.0015052080197483291,
1301/0.00456679971824372,92/0.007957934945355514,1676/0.005427327233644301,1972/0.006493552375905317,1062/0.003798802681039798,1021/0.009234041449433248,2639/0.007685363651889624,1279/0.005644530166809423,2274/0.00029236346626125597,859/0.006648107366933976,1847/0.004000426712182633,2861/0.001083749774218797,
90/0.004513970415590514,1274/0.00781646054632697,1047/0.005423053747633557,463/0.006479420597067656,1168/0.0037855433348581583,317/0.009026534900007781,1879/0.007612169712347817,1436/0.005515124999229731,2968/0.0001754180797567536,1749/0.00658578136036897,7/0.003680392575208022,2538/0.0005418748871093985,
