Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
1256/0.0029995304061986383,1010/0.004055599438818217,2095/0.003205114508057658,1145/0.0037095919448860626,2989/0.002638609890146317,1412/0.003346043109485643,2378/0.0036596969770902967,907/0.0031180483235868648,,2775/0.0031786263348153074,,,
189/0.0029701807936135245,1703/0.003914125039789675,949/0.0032008410220469145,430/0.0037025260554672318,1602/0.002618720870873857,708/0.003346043109485643,2732/0.003586503037548491,1227/0.0031057240219126083,,266/0.00313707566377197,,,
2424/0.002917351490960319,1282/0.003878756440032539,2982/0.003166653133960966,1762/0.003617735382441265,529/0.0025922021785105775,2892/0.0032941664721292765,138/0.003586503037548491,56/0.0030810754185640957,,2808/0.0031163003282503013,,,
1732/0.002899741723409251,438/0.003878756440032539,1394/0.0031495591899179916,766/0.00356120826709062,135/0.002578942832328938,1337/0.003216351516094727,906/0.0034645131383121476,256/0.0030810754185640957,,1050/0.002991648315120289,,,
2287/0.002893871800892228,876/0.0038669669067801604,51/0.0030683629557138646,165/0.003504681151739975,2779/0.002559053813056478,2687/0.0030866599227038103,1039/0.0034645131383121476,1009/0.003025616061029942,,924/0.002991648315120289,,,
672/0.002870392110824137,1291/0.003855177373527782,1296/0.0030299015816171726,1948/0.0033209680268503797,1627/0.002552424139965658,1936/0.002982906647991077,2075/0.003440115158464879,2550/0.0030071296085185575,,2909/0.002991648315120289,,,
595/0.002870392110824137,275/0.0037608611075087535,1509/0.0029957136935312243,873/0.003264440911499735,2403/0.0025457944668748384,1772/0.002801338417243794,1000/0.003440115158464879,1311/0.002994805306844301,,1491/0.002929322308555283,,,
2851/0.002823432730687955,2536/0.003737282041003997,2972/0.0029828932354989935,697/0.003264440911499735,2401/0.002525905447602379,2500/0.002671646823852878,748/0.0033425232390758043,1100/0.0029824810051700444,,1437/0.0029085469730336143,,,
2755/0.002817562808170932,1174/0.0037137029744992397,290/0.002961525805445276,895/0.0032361773538244127,1976/0.002506016428329919,1624/0.002593831867818328,925/0.0032693292995339984,1849/0.0029516702509844034,,1683/0.0028462209664686083,,,
1309/0.002747123737966659,855/0.0036429657749849683,779/0.002944431861402302,539/0.003179650238473768,2670/0.0024993867552390993,24/0.002516016911783778,1701/0.0032693292995339984,327/0.002933183798473019,,1380/0.00282544563094694,,,
649/0.0027353838929326134,1438/0.0035368599757135614,815/0.002884603057251892,1842/0.0031725843490549373,19/0.0024927570821482795,1998/0.0024382019557492285,374/0.0032205333398394615,520/0.002877724440938865,,2198/0.002804670295425271,,,
1051/0.0027295139704155906,2104/0.003525070442461183,510/0.002876056085230405,465/0.0030877936760289704,163/0.0024794977359666394,2230/0.0024382019557492285,2967/0.0032205333398394615,2054/0.002871562290101737,,1067/0.0027838949599036026,,,
2821/0.002688424512796431,355/0.0034661227761992905,268/0.002867509113208918,197/0.0030453983395159864,1666/0.0024728680628758196,1770/0.0024122636370710452,767/0.003196135359992193,261/0.002865400139264609,,852/0.002680018282295259,,,
376/0.002670814745245363,1553/0.0033364379104231265,1404/0.0028546886551766874,1985/0.002988871224165342,469/0.00245960871669418,1356/0.002386325318392862,1597/0.0031473394002976556,1614/0.0028592379884274806,,2975/0.002555366269165247,,,
2490/0.0026532049776942946,1505/0.0033246483771707477,2232/0.0028546886551766874,288/0.00296767355590885,496/0.00245960871669418,2832/0.0023344486810364952,1902/0.0030985434406031183,1005/0.0028530758375903526,,970/0.0025345909336435784,,,
2271/0.0026355952101432263,2625/0.003242121644404098,1747/0.0028375947111337133,1409/0.0029535417770711887,1635/0.00244634937051254,1708/0.002230695406323762,1510/0.0030741454607558496,2264/0.002840751535916096,,2943/0.0025138155981219096,,,
108/0.002617985442592158,780/0.0031949635113945837,2139/0.0028375947111337133,631/0.002875816993464052,244/0.00244634937051254,706/0.0021788187689673957,1260/0.0030253495010613123,2029/0.002834589385078968,,2049/0.002493040262600241,,,
2090/0.002617985442592158,614/0.0031831739781422053,2573/0.0028333212251229695,1475/0.002791026320438085,1651/0.00243971969742172,2978/0.0021788187689673957,2877/0.0030009515212140437,2509/0.0028161029325675835,,2265/0.0024099389205135663,,,
1866/0.002617985442592158,1268/0.003136015845132691,1887/0.0028247742531014824,687/0.002791026320438085,1564/0.0024330900243309003,2479/0.0021788187689673957,1230/0.0030009515212140437,1398/0.002809940781730455,,2865/0.0024099389205135663,,,
1606/0.0026121155200751352,1781/0.0030888577121231772,486/0.0028076803090585083,248/0.0027698286521815932,1943/0.0024198306781492603,2656/0.0019194355821855627,2833/0.002976553541366775,1851/0.0027914543292190705,,2150/0.0024099389205135663,,,
988/0.0026121155200751352,936/0.0030770681788707985,110/0.002803406823047765,329/0.0027344992050874406,477/0.0024065713319676206,1631/0.0017897439887946463,2592/0.0029521555615195064,426/0.0027113463683364042,,1603/0.0024099389205135663,,,
1142/0.002582765907490021,2894/0.0029473833130946345,1511/0.00277349242097256,146/0.0027203674262497794,1949/0.002393311985785981,301/0.001763805670116463,1901/0.0029277575816722377,2442/0.0026990220666621477,,2964/0.002368388249470229,,,
1219/0.002576895984972998,2464/0.0029473833130946345,63/0.0027478515049080988,180/0.0027203674262497794,2862/0.002393311985785981,2354/0.0017378673514382797,2669/0.002903359601824969,902/0.0026682113124765067,,2621/0.002368388249470229,,,
1700/0.002553416294904907,3012/0.002912014713337499,148/0.0027393045328866117,880/0.002656774421480304,2066/0.002380052639604341,1958/0.0016859907140819132,2562/0.0028057676824358945,1240/0.0026620491616393786,,1106/0.0023476129139485603,,,
1175/0.0025475463723878843,1074/0.0028766461135803635,2181/0.002726484074854381,1298/0.0025861155272919978,2361/0.002380052639604341,1184/0.0015822374393691802,1418/0.002781369702588626,2642/0.002649724859965122,,523/0.002306062242905223,,,
1530/0.0025416764498708616,2792/0.002805908914066092,947/0.0027136636168221505,1225/0.002550786080197845,2847/0.002373422966513521,1990/0.001478484164656447,1710/0.0026837777831995513,738/0.002643562709127994,,2488/0.002243736236340217,,,
1122/0.002535806527353839,2065/0.002758750781056578,1335/0.0026495613266609972,875/0.0025225225225225223,670/0.002373422966513521,74/0.0014266075273000804,49/0.0026837777831995513,1089/0.002643562709127994,,1792/0.0022021855652968794,,,
1386/0.002529936604836816,2012/0.0027469612478041995,406/0.0026452878406502535,602/0.0025225225225225223,1370/0.0023667932934227013,1907/0.001400669208621897,2811/0.002634981823505014,638/0.002575779049919584,,2899/0.002160634894253542,,,
2267/0.002506456914768725,1963/0.002652644981785171,782/0.0026452878406502535,2706/0.0024659954071718777,613/0.0023203855817869623,2182/0.0013487925712655307,1265/0.0025861858638104767,1205/0.0025511304465710713,,2813/0.002098308887688536,,,
179/0.002500586992251702,1058/0.0025819077822709,1158/0.002598279494532075,382/0.0024447977389153858,1077/0.002307126235605322,2850/0.0012709776152309807,525/0.0025373899041159394,1092/0.0025326439940596868,,1720/0.002098308887688536,,,
2268/0.0024947170697346794,2499/0.0024875915162518715,1872/0.002598279494532075,2932/0.0024377318494965554,2172/0.0022938668894236826,2382/0.0011672243405182476,1750/0.0025373899041159394,1549/0.0025203196923854303,,2720/0.002056758216645199,,,
935/0.0024888471472176567,723/0.0024875915162518715,503/0.0025897325225105877,1874/0.0024306659600777246,1011/0.0022872372163328628,2187/0.0010894093844836979,2147/0.002488593944421402,1935/0.0025079953907111738,,1238/0.001973656874558524,,,
2422/0.0024712373796665884,2084/0.0024050647834852217,2226/0.0025811855504891006,1834/0.002388270623564741,2338/0.002267348197060403,1517/0.001011594428449148,168/0.002415400004879596,1304/0.002489508938199789,,2559/0.0019321062035151867,,,
1285/0.0024653674571495656,2101/0.0023814857169804646,648/0.00256836509245687,864/0.002352941176470588,368/0.002260718523969583,1806/0.0007781495603454984,1110/0.0023178080854905215,2256/0.0024771846365255327,,991/0.0019113308679935181,,,
434/0.002459497534632543,64/0.0023579066504757075,659/0.002546997662403152,37/0.002275216392863452,1161/0.0022540888508787633,741/0.0004150130988509325,2497/0.002293410105643253,484/0.0024648603348512766,,2650/0.0018905555324718495,,,
1476/0.00245362761211552,1034/0.002346117117223329,363/0.0025299037183601778,2388/0.002275216392863452,2787/0.0022341998316063034,1284/0.00036313646149456594,2953/0.0022690121257959842,153/0.0024648603348512766,,2420/0.0018697801969501807,,,
1172/0.002430147922047429,2195/0.0023343275839709508,2160/0.0025213567463386907,1632/0.00225401872460696,2560/0.002214310812333844,555/0.00020750654942546624,1305/0.0022690121257959842,126/0.0023724280722943534,,2239/0.0018697801969501807,,,
2399/0.002400798309462315,2730/0.0022871694509614365,203/0.0025170832603279474,2292/0.0021974916092563153,857/0.0022076811392430238,,1625/0.0022446141459487156,1144/0.002353941619782969,,1959/0.0018074541903851746,,,
2931/0.0023597088518431558,664/0.0022635903844566794,424/0.0025128097743172036,392/0.0021692280515809926,1915/0.002194421793061384,,1331/0.0021714202064069097,1559/0.002347779468945841,,2627/0.0018074541903851746,,,
1984/0.0023420990842920875,1207/0.00209853691892338,231/0.0025042628022957166,1146/0.0021550962727433314,1596/0.002194421793061384,,2294/0.0021714202064069097,858/0.002341617318108713,,2411/0.001786678854863506,,,
923/0.0023420990842920875,847/0.0020631683191662444,911/0.002491442344263486,1890/0.00213389860448684,2962/0.0021877921199705643,,732/0.002147022226559641,1654/0.002341617318108713,,822/0.001786678854863506,,,
208/0.0023420990842920875,1734/0.0020513787859138656,2692/0.002482895372241999,2441/0.0021197668256491787,1313/0.0021811624468797445,,1722/0.0020982262668651037,1854/0.0023292930164344563,,2778/0.0017659035193418374,,,
1590/0.002324489316741019,2814/0.0020277997194091085,849/0.002465801428199025,348/0.0020632397102985337,1858/0.0021811624468797445,,433/0.0020250323273232978,759/0.0022984822622488152,,816/0.0017659035193418374,,,
1133/0.0023186193942239964,2511/0.0020277997194091085,481/0.002461527942188281,2080/0.002042042042042042,28/0.0021745327737889243,,2030/0.0019518383877814916,781/0.0022861579605745587,,798/0.0017451281838201686,,,
2646/0.0022716600140878142,2527/0.00201601018615673,2346/0.002448707484156051,1046/0.002042042042042042,2315/0.002148014081425645,,1226/0.001927440407934223,542/0.002267671508063174,,2503/0.0017451281838201686,,,
1945/0.0022716600140878142,2973/0.0020042206529043514,1692/0.00243588702612382,2331/0.002006712594947889,142/0.002134754735244005,,2580/0.001854246468392417,554/0.002255347206388918,,2564/0.0017451281838201686,,,
1641/0.0022716600140878142,808/0.0019806415863995942,1264/0.002427340054102333,1628/0.0019996467055290587,1066/0.0021214953890623654,,2501/0.0017078585893088051,2332/0.002255347206388918,,1699/0.0017243528482985,,,
2980/0.0022657900915707915,81/0.0018509567206234305,2543/0.002423066568091589,671/0.0019996467055290587,1235/0.0021016063697899055,,820/0.0017078585893088051,1693/0.0022368607538775336,,2822/0.0017035775127768314,,,
885/0.0022657900915707915,1785/0.0017330613880996452,2539/0.0024102461100593588,1980/0.001985514926691397,1084/0.0021016063697899055,,611/0.0016834606094615365,559/0.002230698603040405,,2557/0.0016204761706901567,,,
2156/0.0022657900915707915,2502/0.0016623241885853738,1027/0.002397425652027128,158/0.0019643172584349056,452/0.002088347023608266,,901/0.0016102666699197308,495/0.0022122121505290205,,1766/0.0016204761706901567,,,
1249/0.0022657900915707915,2140/0.001579797455818724,1262/0.0023461438198982055,2736/0.0019643172584349056,1769/0.002088347023608266,,1599/0.0013662868714470443,711/0.002193725698017636,,2428/0.001475048822038476,,,
161/0.0022599201690537683,2908/0.0015680079225663455,132/0.002341870333887462,633/0.0019643172584349056,192/0.002081717350517446,,2505/0.0013418888915997756,993/0.0021752392455062514,,1536/0.00141272281547347,,,
444/0.0022540502465367455,1139/0.0015208497895568315,2683/0.002311955931812257,677/0.0019501854795972444,693/0.002081717350517446,,2491/0.0013418888915997756,2770/0.0021690770946691234,,2044/0.0013088461378651264,,,
2379/0.0022423104015027,797/0.001509060256304453,1141/0.002311955931812257,491/0.0019501854795972444,94/0.0020750876774266263,,2448/0.0013418888915997756,1859/0.0021690770946691234,,2739/0.0011426434536917771,,,
701/0.0022305705564686544,616/0.0014736916565473172,775/0.002311955931812257,2299/0.0019501854795972444,2148/0.0020551986581541664,,1448/0.0012686949520579697,1343/0.002162914943831995,,2987/0.0011426434536917771,,,
2519/0.0022247006339516317,1608/0.0014501125900425603,445/0.002286315015747796,2102/0.0019289878113407525,777/0.002041939311972527,,2143/0.0011955010125161637,2856/0.002156752792994867,,1028/0.001080317447126771,,,
1789/0.0022247006339516317,2266/0.0014501125900425603,622/0.0022820415297370522,274/0.0019289878113407525,1365/0.0020353096388817066,,2469/0.0010735111132798205,347/0.0021444284913206104,,2391/0.0010595421116051025,,,
292/0.002218830711434609,1962/0.001402954457033046,1558/0.002277768043726309,2584/0.0019289878113407525,263/0.0020353096388817066,,1203/0.0009759191938907458,2430/0.0021444284913206104,,582/0.0010595421116051025,,,
26/0.0022012209438835406,1982/0.0012850591245092606,303/0.002264947585694078,1659/0.0018936583642465996,1514/0.0020286799657908867,,1876/0.0008783272745016712,587/0.0021382663404834823,,1065/0.0009972161050400964,,,
1886/0.0022012209438835406,1655/0.001226111458247368,2530/0.002256400613672591,2225/0.0018936583642465996,3019/0.002022050292700067,,354/0.0008783272745016712,2103/0.0021321041896463543,,1841/0.0009764407695184277,,,
2961/0.002195351021366518,1927/0.0012143219249949894,2555/0.002256400613672591,2133/0.001886592474827769,2433/0.002015420619609247,,2733/0.0007563373752653281,1930/0.002095131284623585,,2184/0.0009556654339967591,,,
423/0.0021836111763324723,1814/0.0011317951922283397,828/0.0022350331836188736,351/0.0018795265854089384,350/0.002015420619609247,,2742/0.0007075414155707908,174/0.0020889691337864567,,1565/0.0009556654339967591,,,
284/0.0021777412538154495,2436/0.0009903207931997971,1159/0.0022136657535651557,2028/0.0018583289171524465,913/0.002015420619609247,,2636/0.0006343474760289848,628/0.002064320530437944,,2913/0.0009141147629534217,,,
1759/0.0021777412538154495,2234/0.0009785312599474188,896/0.0022008452955329253,2504/0.001815933580639463,580/0.002002161273427607,,2370/0.0006343474760289848,1087/0.0020519962287636876,,1807/0.0008517887563884157,,,
2741/0.0021718713312984268,461/0.0009077940604331475,758/0.0022008452955329253,1383/0.0018088676912206324,2966/0.002002161273427607,,1001/0.0005123575767926416,30/0.0020458340779265596,,2661/0.0008102380853450784,,,
151/0.0021601314862643812,8/0.0008016882611617406,497/0.002136743005371772,2072/0.0017947359123829713,651/0.002002161273427607,,790/0.00041476565740356696,48/0.001990374720392406,,2882/0.0007271367432584036,,,
1707/0.0021483916412303357,2818/0.000613055729123684,1924/0.002128196033350285,1894/0.0017876700229641407,91/0.0019889019272459675,,2471/0.00039036767755629836,712/0.0019842125695552775,,1312/0.0007271367432584036,,,
1660/0.00213665179619629,2309/0.0005894766626189269,2705/0.002128196033350285,2352/0.00178060413354531,1961/0.0019822722541551476,,1135/0.0003659696977090297,2020/0.0019842125695552775,,577/0.0007271367432584036,,,
127/0.0021249119511622446,1803/0.0005541080628617913,645/0.002115375575318054,2043/0.0017594064652888181,848/0.0019822722541551476,,233/0.0002927757581672238,527/0.0019780504187181494,,2218/0.000706361407736735,,,
1341/0.002119042028645222,1742/0.0005069499298522771,2793/0.0020940081452643367,1857/0.0017523405758699876,2735/0.001975642581064328,,2579/0.00024397979847268645,1761/0.0019780504187181494,,2936/0.000706361407736735,,,
1193/0.0021073021836111763,1656/0.0003418964643189776,371/0.002089734659253593,397/0.001709945239357004,2060/0.001975642581064328,,2729/0.0002195818186254178,2183/0.001965726117043893,,2145/0.0006232600656500602,,,
1385/0.0021073021836111763,2969/0.00029473833130946343,1752/0.0020854611732428496,2047/0.0016534181240063592,1846/0.001969012907973508,,1229/0.00017078585893088053,768/0.001965726117043893,,2668/0.0006024847301283916,,,
103/0.0021014322610941535,2901/0.00011789533252378538,1941/0.002081187687232106,783/0.001639286345168698,2874/0.001969012907973508,,2697/0.00017078585893088053,87/0.001959563966206765,,2149/0.00045705738147671087,,,
656/0.0021014322610941535,2518/0.00010610579927140685,1594/0.0020769142012213625,521/0.0016322204557498675,2990/0.001962383234882688,,1956/0.00017078585893088053,443/0.001959563966206765,,636/0.0003324053683466988,,,
1072/0.0021014322610941535,,2508/0.0020726407152106188,1222/0.0015827592298180532,237/0.001955753561791868,,2372/0.00012198989923634323,2220/0.0019410775136953803,,2325/0.0002493040262600241,,,
599/0.0020955623385771308,,2731/0.0020640937431891317,1043/0.001568627450980392,1119/0.0019491238887010482,,246/9.759191938907459e-05,2900/0.0019410775136953803,,278/0.0002493040262600241,,,
1560/0.0020955623385771308,,1273/0.0020469997991461575,1055/0.0015332980038862392,1363/0.0019491238887010482,,,930/0.001934915362858252,,2752/0.00018697801969501808,,,
1053/0.0020779525710260625,,123/0.0020427263131354138,2719/0.0015332980038862392,1127/0.0019226051963377685,,,833/0.0019287532120211238,,2483/4.155067104333735e-05,,,
47/0.0020544728809579714,,2166/0.0020213588830816963,1776/0.0015121003356297475,1157/0.0019159755232469487,,,615/0.0019164289103468675,,,,,
1234/0.0020486029584409486,,899/0.0020170853970709526,2214/0.0014909026673732555,2805/0.0019159755232469487,,,704/0.001897942457835483,,,,,
1758/0.002042733035923926,,2581/0.001978624022974261,1136/0.0014767708885355944,2327/0.0019093458501561289,,,804/0.0018794560053240984,,,,,
861/0.002036863113406903,,310/0.001961530078931287,606/0.0014555732202791026,2558/0.001896086503974489,,,1882/0.001842483100301329,,,,,
1586/0.0020251232683728576,,774/0.001957256592920543,2011/0.0014555732202791026,143/0.001889456830883669,,,1768/0.0018301587986270728,,,,,
2215/0.0020075135008217893,,809/0.0019529831069097995,2126/0.001448507330860272,2606/0.0018828271577928492,,,1711/0.0018239966477899446,,,,,
2313/0.0019957736557877437,,1681/0.0019529831069097995,2493/0.0014343755520226109,1463/0.0018695678116112094,,,688/0.0018239966477899446,,,,,
187/0.001984033810753698,,2546/0.0019358891628668254,2121/0.0014273096626037803,2915/0.00184304911924793,,,773/0.0018178344969528165,,,,,
1878/0.0019722939657196526,,2810/0.0019187952188238512,1906/0.0014273096626037803,2237/0.00184304911924793,,,1417/0.00180551019527856,,,,,
2094/0.0019546841981685843,,2878/0.0018888808167486465,2626/0.0014061119943472886,1293/0.00183641944615711,,,2686/0.0017993480444414317,,,,,
164/0.0019253345855834703,,178/0.0018803338447271592,2628/0.0013919802155096272,2672/0.00183641944615711,,,2114/0.0017993480444414317,,,,,
2609/0.001907724818032402,,964/0.001854692928662698,1539/0.0013919802155096272,2466/0.00183641944615711,,,464/0.0017993480444414317,,,,,
2718/0.0018783752054472881,,447/0.001846145956641211,1076/0.0013707825472531355,1929/0.00182978977306629,,,1215/0.0017870237427671755,,,,,
2053/0.0018490255928621743,,1573/0.0018375989846197238,2392/0.0013637166578343049,1096/0.0018231600999754703,,,1489/0.0017870237427671755,,,,,
2869/0.0018431556703451515,,1891/0.0018247785265874932,962/0.0013495848789966437,842/0.0018231600999754703,,,1810/0.0017808615919300472,,,,,
2340/0.0018372857478281288,,1420/0.0018119580685552626,96/0.0013425189895778131,141/0.0018099007537938304,,,2688/0.0017746994410929192,,,,,
2449/0.001831415825311106,,2380/0.001790590638501545,1389/0.0013354531001589826,130/0.0018099007537938304,,,2246/0.0017623751394186626,,,,,
1325/0.0018138060577600375,,601/0.0017734966944585708,568/0.0013354531001589826,1231/0.0018099007537938304,,,2895/0.0017623751394186626,,,,,
2685/0.001802066212725992,,1251/0.0017692232084478272,1753/0.001328387210740152,468/0.0018032710807030106,,,830/0.0017562129885815344,,,,,
557/0.0017961962902089692,,421/0.0017692232084478272,2003/0.0013001236530648295,1791/0.0017966414076121906,,,344/0.0017377265360701498,,,,,
471/0.0017903263676919464,,1281/0.0017478557783941093,1004/0.0012859918742271683,1802/0.0017966414076121906,,,2283/0.001706915781884509,,,,,
1025/0.0017551068325898098,,1216/0.0017393088063726223,826/0.0012789259848083377,2128/0.0017900117345213708,,,1344/0.001706915781884509,,,,,
1148/0.001749236910072787,,2480/0.0017393088063726223,1456/0.0012435965377141848,612/0.0017900117345213708,,,771/0.0017007536310473807,,,,,
1620/0.0017316271425217187,,1218/0.0017393088063726223,707/0.0012153329800388623,1607/0.0017833820614305508,,,1811/0.0017007536310473807,,,,,
1730/0.001725757220004696,,997/0.0017393088063726223,65/0.00118706942236354,1123/0.0017833820614305508,,,1124/0.0016884293293731244,,,,,
2130/0.0017140173749706504,,1485/0.0017264883483403917,1966/0.0011800035329447094,1373/0.0017701227152489112,,,2206/0.001676105027698868,,,,,
812/0.0017081474524536277,,763/0.0017222148623296481,530/0.0011729376435258788,1903/0.0017568633690672713,,,1912/0.001676105027698868,,,,,
2374/0.0016905376849025593,,205/0.001713667890308161,1649/0.0011446740858505565,1441/0.0017369743497948117,,,1035/0.00166994287686174,,,,,
17/0.0016846677623855366,,1784/0.0017093944042974175,2753/0.0011305423070128951,1973/0.0017303446767039916,,,412/0.0016514564243503553,,,,,
1953/0.0016846677623855366,,1705/0.001705120918286674,2831/0.0011305423070128951,416/0.0017303446767039916,,,1128/0.0016391321226760988,,,,,
215/0.001672927917351491,,1221/0.0017008474322759305,388/0.0011093446387564034,938/0.0017303446767039916,,,1201/0.0016329699718389706,,,,,
2572/0.001672927917351491,,2597/0.0016880269742436998,1545/0.001081081081081081,632/0.0017303446767039916,,,78/0.0016268078210018425,,,,,
2727/0.001643578304766377,,713/0.0016623860581792386,2397/0.0010740151916622505,1675/0.0017237150036131718,,,419/0.001614483519327586,,,,,
2690/0.0016377083822493542,,1266/0.001649565600147008,212/0.00106694930224342,1381/0.0017237150036131718,,,2942/0.001608321368490458,,,,,
1528/0.0016259685372153087,,66/0.001649565600147008,425/0.0010598834128245894,957/0.001717085330522352,,,1013/0.001608321368490458,,,,,
270/0.0016142286921812631,,429/0.0016410186281255207,1609/0.0010245539657304363,2537/0.001710455657431532,,,206/0.001577510614304817,,,,,
1083/0.0016083587696642404,,547/0.0016281981700932901,863/0.0010174880763116057,312/0.0017038259843407122,,,796/0.0015713484634676887,,,,,
1991/0.0016024888471472176,,1592/0.001619651198071803,2673/0.001010422186892775,393/0.0017038259843407122,,,2710/0.0015651863126305606,,,,,
918/0.0016024888471472176,,1647/0.0016153777120610595,2100/0.0010033562974739445,534/0.0016971963112498922,,,862/0.001546699860119176,,,,,
2529/0.001590749002113172,,1263/0.001602557254028829,1307/0.0009609609609609609,1478/0.0016905666381590724,,,262/0.001546699860119176,,,,,
787/0.001590749002113172,,831/0.0015897367959965983,1477/0.0009538950715421304,973/0.0016905666381590724,,,635/0.0015405377092820478,,,,,
2314/0.0015790091570791265,,3022/0.0015854633099858548,2337/0.0009538950715421304,2243/0.0016839369650682526,,,959/0.0015343755584449196,,,,,
1502/0.0015790091570791265,,330/0.0015811898239751112,2879/0.0009468291821232998,2795/0.0016773072919774325,,,1261/0.0015282134076077913,,,,,
2155/0.0015555294670110355,,1626/0.0015811898239751112,1519/0.0009256315138668079,995/0.0016773072919774325,,,1088/0.001515889105933535,,,,,
1294/0.0015555294670110355,,431/0.0015726428519536241,2250/0.0008620385090973326,1698/0.0016773072919774325,,,0/0.0014727540500736377,,,,,
1319/0.0015496595444940127,,2649/0.0015683693659428806,2954/0.0008620385090973326,1934/0.0016773072919774325,,,2884/0.0014542675975622531,,,,,
217/0.0015496595444940127,,400/0.001564095879932137,93/0.0008337749514220102,1672/0.0016706776188866127,,,2823/0.0014481054467251249,,,,,
2746/0.00154378962197699,,182/0.001564095879932137,1471/0.0008055113937466879,2696/0.0016706776188866127,,,788/0.0014419432958879968,,,,,
643/0.0015085700868748533,,1391/0.0015384549638676759,2124/0.0007913796149090266,384/0.001664047945795793,,,1400/0.0014357811450508686,,,,,
341/0.0015085700868748533,,1130/0.0015213610198247015,2571/0.0007560501678148737,150/0.001664047945795793,,,1642/0.0014296189942137403,,,,,
673/0.0014968302418408078,,1349/0.0015213610198247015,2955/0.0007419183889772125,2708/0.001650788599614153,,,2136/0.0013988082400280995,,,,,
3009/0.0014968302418408078,,1495/0.001517087533813958,2582/0.0007136548313018902,983/0.001650788599614153,,,1154/0.001386483938353843,,,,,
2603/0.001490960319323785,,2478/0.0015042670757817274,2487/0.0007065889418830596,1422/0.001644158926523333,,,2406/0.001386483938353843,,,,,
1629/0.0014792204742897393,,131/0.0014999935897709838,2677/0.0006995230524642289,1101/0.0016308995803416934,,,2781/0.001380321787516715,,,,,
1960/0.0014792204742897393,,1064/0.0014957201037602403,2785/0.0006006006006006006,2713/0.0016308995803416934,,,1765/0.0013741596366795867,,,,,
2393/0.0014733505517727165,,793/0.0014914466177494967,1233/0.0005794029323441088,1884/0.0016308995803416934,,,1169/0.0013556731841682021,,,,,
2610/0.0014733505517727165,,720/0.0014914466177494967,853/0.0005794029323441088,1650/0.0016176402341600536,,,891/0.0013495110333310739,,,,,
888/0.001461610706738671,,1827/0.0014786261597172661,1870/0.0005158099275746334,1652/0.0016043808879784138,,,856/0.0013310245808196893,,,,,
1355/0.0014498708617046254,,177/0.0014743526737065226,1200/0.0005087440381558028,2111/0.0016043808879784138,,,1931/0.0013125381283083048,,,,,
537/0.0014263911716365344,,1094/0.001470079187695779,2647/0.0004946122593181417,2131/0.001597751214887594,,,2788/0.0012755652232855357,,,,,
945/0.0014205212491195116,,2062/0.0014658057016850355,2310/0.0004663487016428193,2423/0.001591121541796774,,,1160/0.0012570787707741511,,,,,
1715/0.0013970415590514205,,1566/0.001461532215674292,2163/0.0004592828122239887,2789/0.0015844918687059541,,,2541/0.0012385923182627663,,,,,
2249/0.0013911716365343977,,32/0.0014358912996098308,747/0.0004451510333863275,726/0.0015712325225243143,,,1287/0.0012385923182627663,,,,,
2484/0.001385301714017375,,827/0.001414523869556113,2233/0.0004310192545486663,346/0.0015646028494334945,,,1115/0.0012324301674256383,,,,,
1896/0.001385301714017375,,2087/0.001414523869556113,2761/0.00038862391803568273,1419/0.0015579731763426744,,,2050/0.0012201058657513818,,,,,
2359/0.001385301714017375,,1073/0.0014102503835453696,2272/0.00036742624977919094,665/0.0015447138301610348,,,2887/0.0012201058657513818,,,,,
1595/0.0013794317915003522,,386/0.0014017034115238825,2707/0.00036742624977919094,334/0.0015447138301610348,,,2416/0.0012139437149142538,,,,,
967/0.0013794317915003522,,630/0.0013974299255131387,3001/0.0003532944709415298,733/0.0015380841570702148,,,1697/0.0012077815640771255,,,,,
2455/0.0013676919464663067,,2073/0.0013974299255131387,2261/0.0003391626921038686,1633/0.001531454483979395,,,2231/0.001195457262402869,,,,,
2912/0.0013559521014322611,,493/0.0013931564395023952,2081/0.0002543720190779014,1830/0.001531454483979395,,,50/0.001195457262402869,,,,,
800/0.0013500821789152384,,897/0.0013846094674809081,1426/0.00024730612965907084,1336/0.001531454483979395,,,1481/0.001189295111565741,,,,,
2838/0.0013500821789152384,,699/0.0013846094674809081,669/0.00024024024024024023,54/0.001531454483979395,,,776/0.0011831329607286127,,,,,
1214/0.0013500821789152384,,2113/0.0013803359814701646,2666/0.00023317435082140966,1739/0.0015248248108885752,,,157/0.0011831329607286127,,,,,
1996/0.0013442122563982156,,1714/0.001376062495459421,1786/0.00021904257198374845,886/0.0015181951377977552,,,1393/0.0011708086590543564,,,,,
1388/0.0013442122563982156,,841/0.0013504215793949598,955/0.00020491079314608726,1016/0.0015181951377977552,,,1357/0.0011646465082172282,,,,,
22/0.0013383423338811928,,218/0.0013504215793949598,2064/0.0001695813460519343,791/0.0015049357916161153,,,1403/0.0011584843573801,,,,,
3023/0.0013383423338811928,,249/0.0013504215793949598,1371/5.652711535064476e-05,1678/0.0015049357916161153,,,483/0.001127673603194459,,,,,
1182/0.0013207325663301245,,900/0.0013247806633304986,2577/3.532944709415297e-05,1049/0.0015049357916161153,,,1737/0.0011091871506830745,,,,,
