Topic 1,Topic 2
2258/0.0008942335708420523,293/0.0013657763233301376
1353/0.0008910550154954573,840/0.0013604203377484507
13/0.0008899954970465923,2886/0.0013497083665850772
579/0.0008868169416999974,2745/0.0013389963954217035
2724/0.0008868169416999974,381/0.0013389963954217035
2827/0.0008857574232511323,2412/0.0013336404098400166
1782/0.0008857574232511323,2364/0.0013336404098400166
562/0.0008846979048022673,2157/0.00132828442425833
2046/0.0008846979048022673,2749/0.00132828442425833
1429/0.0008836383863534024,291/0.00132828442425833
1671/0.0008815193494556724,2598/0.0013175724530949562
1407/0.0008794003125579424,2038/0.0013175724530949562
427/0.0008783407941090775,1515/0.0013122164675132694
915/0.0008751622387624824,467/0.0013122164675132694
166/0.0008751622387624824,1451/0.0013122164675132694
383/0.0008751622387624824,2302/0.0013068604819315827
170/0.0008741027203136174,1895/0.0013068604819315827
1170/0.0008719836834158875,492/0.001296148510768209
563/0.0008719836834158875,2018/0.0012907925251865221
1968/0.0008709241649670225,21/0.0012854365396048355
1384/0.0008688051280692925,285/0.0012800805540231486
549/0.0008677456096204276,2734/0.0012800805540231486
1469/0.0008656265727226975,409/0.0012747245684414617
1757/0.0008645670542738325,2096/0.0012747245684414617
1920/0.0008560909066829127,422/0.0012693685828597749
650/0.0008518528328874526,739/0.0012586566116964014
101/0.0008518528328874526,2008/0.0012586566116964014
147/0.0008507933144385877,505/0.0012533006261147145
314/0.0008507933144385877,2709/0.0012479446405330276
2844/0.0008497337959897227,1914/0.001242588654951341
1339/0.0008454957221942628,2798/0.001242588654951341
552/0.0008370195746033428,953/0.0012318766837879672
592/0.0008349005377056127,3016/0.0012318766837879672
2200/0.0008338410192567478,1372/0.0012265206982062804
2534/0.0008338410192567478,2001/0.0012265206982062804
271/0.0008317219823590178,2648/0.0012265206982062804
2957/0.0008317219823590178,1007/0.0012265206982062804
1840/0.0008296029454612878,2965/0.0012211647126245935
360/0.0008296029454612878,105/0.0012211647126245935
2260/0.0008296029454612878,1970/0.0012158087270429069
1322/0.0008296029454612878,2159/0.0012158087270429069
2255/0.0008296029454612878,2242/0.0012158087270429069
1800/0.0008296029454612878,662/0.00121045274146122
1582/0.0008274839085635579,2852/0.00121045274146122
366/0.0008274839085635579,2308/0.0012050967558795331
242/0.0008274839085635579,2350/0.0012050967558795331
2437/0.0008243053532169628,620/0.0011997407702978463
1301/0.0008243053532169628,1954/0.0011997407702978463
624/0.0008243053532169628,337/0.0011943847847161596
499/0.0008243053532169628,2067/0.0011943847847161596
1114/0.0008232458347680979,389/0.0011943847847161596
80/0.0008190077609726379,2782/0.0011890287991344727
90/0.000814769687177178,379/0.0011890287991344727
435/0.0008137101687283129,1317/0.0011890287991344727
1503/0.000810531613381718,2993/0.0011836728135527859
113/0.000808412576483988,2300/0.0011836728135527859
1/0.000808412576483988,1108/0.0011836728135527859
1202/0.000808412576483988,2276/0.0011729608423894124
623/0.0008073530580351231,998/0.0011729608423894124
696/0.0008062935395862581,234/0.0011676048568077255
380/0.0008062935395862581,835/0.0011622488712260386
2191/0.000804174502688528,1180/0.0011622488712260386
31/0.000804174502688528,1855/0.0011622488712260386
1488/0.000803114984239663,1622/0.0011622488712260386
250/0.000803114984239663,2164/0.0011568928856443518
538/0.000803114984239663,742/0.0011461809144809783
228/0.000802055465790798,173/0.0011461809144809783
1396/0.0007999364288930681,674/0.0011461809144809783
2036/0.0007988769104442031,2223/0.0011408249288992914
1513/0.0007967578735464732,2631/0.0011408249288992914
524/0.0007956983550976082,454/0.0011408249288992914
2095/0.0007946388366487432,385/0.0011408249288992914
949/0.0007935793181998781,2132/0.0011354689433176045
1042/0.0007935793181998781,1909/0.0011301129577359179
171/0.0007904007628532832,1015/0.0011194009865725441
573/0.0007904007628532832,769/0.0011194009865725441
1406/0.0007882817259555532,1805/0.0011140450009908573
235/0.0007851031706089583,276/0.0011086890154091706
2982/0.0007851031706089583,1137/0.0011086890154091706
814/0.0007829841337112282,2920/0.0011086890154091706
1394/0.0007808650968134982,3015/0.0011033330298274838
1577/0.0007798055783646333,1913/0.0011033330298274838
71/0.0007766270230180383,1673/0.00109262105866411
1459/0.0007766270230180383,2394/0.0010819090875007365
2390/0.0007745079861203084,2944/0.0010819090875007365
102/0.0007723889492225783,1156/0.0010819090875007365
417/0.0007649723200805234,1664/0.0010711971163373628
1198/0.0007639128016316585,903/0.001065841130755676
2342/0.0007628532831827934,304/0.001065841130755676
2222/0.0007617937647339284,3020/0.001065841130755676
51/0.0007607342462850634,2477/0.0010604851451739893
154/0.0007575556909384685,1486/0.0010551291595923024
1358/0.0007575556909384685,1359/0.0010497731740106155
225/0.0007543771355918735,933/0.0010444171884289287
2277/0.0007522580986941435,2587/0.0010444171884289287
432/0.0007522580986941435,2514/0.001039061202847242
1105/0.0007522580986941435,603/0.0010337052172655552
1296/0.0007511985802452785,526/0.0010337052172655552
2694/0.0007501390617964135,531/0.0010283492316838683
2112/0.0007501390617964135,1845/0.0010229932461021814
2027/0.0007501390617964135,2576/0.001012281274938808
535/0.0007490795433475485,1348/0.001012281274938808
2548/0.0007480200248986835,2197/0.001012281274938808
18/0.0007469605064498186,634/0.001006925289357121
116/0.0007437819511032236,1544/0.0010015693037754342
1509/0.0007427224326543585,642/0.0010015693037754342
39/0.0007406033957566286,1950/0.0009962133181937475
709/0.0007406033957566286,188/0.0009962133181937475
2972/0.0007395438773077636,591/0.0009962133181937475
1208/0.0007374248404100336,2701/0.0009908573326120607
1178/0.0007363653219611687,2554/0.0009908573326120607
133/0.0007353058035123037,2194/0.0009855013470303738
290/0.0007342462850634387,585/0.0009855013470303738
1210/0.0007331867666145737,817/0.0009587214191219397
753/0.0007310677297168437,1764/0.0009587214191219397
1569/0.0007310677297168437,1952/0.0009533654335402529
2426/0.0007310677297168437,2117/0.0009533654335402529
779/0.0007300082112679787,1447/0.0009533654335402529
2652/0.0007289486928191137,560/0.0009533654335402529
1434/0.0007289486928191137,2807/0.0009480094479585661
1326/0.0007278891743702487,2604/0.0009480094479585661
805/0.0007236511005747888,1018/0.0009319414912135057
2089/0.0007225915821259238,456/0.0009319414912135057
627/0.0007225915821259238,745/0.000921229520050132
136/0.0007215320636770587,686/0.0009105175488867584
1790/0.0007172939898815988,1333/0.0009105175488867584
583/0.0007162344714327338,2343/0.0009105175488867584
2088/0.0007162344714327338,2459/0.0009051615633050716
472/0.0007162344714327338,516/0.0008998055777233848
815/0.0007151749529838689,1446/0.0008890936065600112
92/0.0007151749529838689,45/0.0008890936065600112
2859/0.0007151749529838689,2799/0.0008890936065600112
33/0.0007151749529838689,2611/0.0008837376209783243
2928/0.0007141154345350039,844/0.0008783816353966376
2473/0.0007130559160861389,2470/0.0008730256498149507
510/0.0007130559160861389,1525/0.0008676696642332639
2614/0.0007130559160861389,2016/0.0008623136786515771
268/0.0007109368791884088,2413/0.0008623136786515771
2618/0.0007088178422906789,230/0.0008516017074882034
1404/0.0007077583238418139,1377/0.0008462457219065166
2232/0.0007077583238418139,1951/0.0008462457219065166
2716/0.0007056392869440839,2995/0.000835533750743143
458/0.0007056392869440839,1823/0.000835533750743143
2139/0.000703520250046354,2472/0.0008301777651614562
1747/0.000703520250046354,1716/0.0008301777651614562
2573/0.000702460731597489,1091/0.0008301777651614562
428/0.000702460731597489,3003/0.0008301777651614562
1274/0.000702460731597489,838/0.0008248217795797693
1887/0.0007003416946997589,1939/0.0008248217795797693
369/0.0006992821762508939,1069/0.0008248217795797693
843/0.0006992821762508939,2297/0.0008248217795797693
10/0.000698222657802029,728/0.0008248217795797693
2532/0.000698222657802029,2775/0.0008194657939980826
517/0.000696103620904299,267/0.0008141098084163957
486/0.000696103620904299,921/0.0008141098084163957
110/0.000695044102455434,266/0.000808753822834709
2434/0.000695044102455434,2378/0.0008033978372530221
1121/0.0006929250655577041,2808/0.0008033978372530221
1725/0.000690806028659974,3008/0.0007980418516713353
457/0.000690806028659974,2885/0.0007926858660896485
1038/0.000690806028659974,2732/0.0007873298805079617
2335/0.000689746510211109,2154/0.0007873298805079617
97/0.000689746510211109,138/0.0007873298805079617
2291/0.000688686991762244,2270/0.0007819738949262748
981/0.000688686991762244,1050/0.0007712619237629012
1511/0.0006876274733133791,1774/0.0007712619237629012
715/0.0006876274733133791,2909/0.0007712619237629012
3004/0.0006865679548645141,924/0.0007712619237629012
596/0.0006865679548645141,906/0.0007605499525995276
1272/0.0006855084364156491,1039/0.0007605499525995276
269/0.0006823298810690542,1491/0.0007551939670178408
2203/0.0006823298810690542,1000/0.0007551939670178408
63/0.0006812703626201891,2075/0.0007551939670178408
2533/0.0006812703626201891,1437/0.000749837981436154
904/0.0006802108441713241,2608/0.0007337700246910935
148/0.0006791513257224591,748/0.0007337700246910935
811/0.0006791513257224591,1683/0.0007337700246910935
719/0.0006770322888247292,1380/0.0007284140391094067
2365/0.0006759727703758642,2198/0.0007230580535277199
2535/0.0006759727703758642,2881/0.0007230580535277199
2181/0.0006759727703758642,1067/0.0007177020679460331
947/0.0006727942150292692,925/0.0007177020679460331
794/0.0006727942150292692,1701/0.0007177020679460331
152/0.0006727942150292692,2715/0.0007177020679460331
736/0.0006717346965804043,2967/0.0007069900967826595
2722/0.0006706751781315392,374/0.0007069900967826595
1254/0.0006706751781315392,767/0.0007016341112009726
1617/0.0006696156596826742,1179/0.0007016341112009726
1340/0.0006696156596826742,2756/0.0006962781256192859
2691/0.0006685561412338092,1412/0.000690922140037599
1957/0.0006685561412338092,708/0.000690922140037599
1334/0.0006664371043360792,852/0.000690922140037599
1030/0.0006653775858872143,1597/0.000690922140037599
2263/0.0006653775858872143,1151/0.0006855661544559122
1129/0.0006590204751940243,1902/0.0006802101688742254
207/0.0006569014382962943,2892/0.0006802101688742254
1335/0.0006569014382962943,1510/0.0006748541832925386
910/0.0006558419198474293,1337/0.000664142212129165
782/0.0006558419198474293,1260/0.000664142212129165
1534/0.0006558419198474293,1230/0.0006587862265474781
406/0.0006558419198474293,2877/0.0006587862265474781
2515/0.0006558419198474293,2975/0.0006587862265474781
1283/0.0006547824013985644,970/0.0006534302409657914
960/0.0006505443276031043,2833/0.0006534302409657914
313/0.0006494848091542394,2592/0.0006480742553841045
2317/0.0006494848091542394,2943/0.0006480742553841045
2091/0.0006494848091542394,1901/0.0006427182698024177
2512/0.0006494848091542394,2049/0.0006427182698024177
362/0.0006484252907053744,2687/0.0006373622842207309
2809/0.0006452467353587794,2669/0.0006373622842207309
2771/0.0006452467353587794,2150/0.0006212943274756705
2339/0.0006441872169099145,1603/0.0006212943274756705
1872/0.0006441872169099145,2865/0.0006212943274756705
1158/0.0006441872169099145,2265/0.0006212943274756705
932/0.0006431276984610495,2562/0.0006159383418939836
943/0.0006431276984610495,1936/0.0006159383418939836
894/0.0006431276984610495,2621/0.0006105823563122968
503/0.0006420681800121845,223/0.0006105823563122968
202/0.0006410086615633195,2964/0.0006105823563122968
2226/0.0006399491431144544,1418/0.0006105823563122968
1992/0.0006399491431144544,1106/0.00060522637073061
1543/0.0006399491431144544,523/0.0005945143995672364
648/0.0006367705877678595,1710/0.0005891584139855495
343/0.0006367705877678595,1575/0.0005891584139855495
2453/0.0006335920324212646,49/0.0005891584139855495
659/0.0006314729955235346,2488/0.0005784464428221759
298/0.0006304134770746696,2811/0.0005784464428221759
2991/0.0006293539586258045,1772/0.0005784464428221759
2893/0.0006282944401769395,1224/0.0005784464428221759
2355/0.0006272349217280746,2489/0.0005730904572404891
363/0.0006272349217280746,1792/0.0005677344716588023
2358/0.0006261754032792096,1265/0.0005677344716588023
322/0.0006261754032792096,525/0.0005570225004954286
939/0.0006251158848303446,2899/0.0005570225004954286
1461/0.0006251158848303446,1750/0.0005570225004954286
2160/0.0006251158848303446,2500/0.0005516665149137419
1689/0.0006240563663814796,2147/0.000546310529332055
1825/0.0006240563663814796,2813/0.0005409545437503683
203/0.0006240563663814796,1720/0.0005409545437503683
860/0.0006240563663814796,1624/0.0005355985581686814
424/0.0006229968479326146,191/0.0005302425725869946
2561/0.0006229968479326146,168/0.0005302425725869946
231/0.0006208778110348847,2720/0.0005302425725869946
2042/0.0006198182925860196,24/0.000519530601423621
911/0.0006176992556882896,1238/0.0005088186302602474
837/0.0006176992556882896,1110/0.0005088186302602474
2063/0.0006176992556882896,2497/0.0005034626446785605
1585/0.0006176992556882896,1998/0.0005034626446785605
185/0.0006166397372394247,2230/0.0005034626446785605
2692/0.0006155802187905597,2953/0.0004981066590968738
2495/0.0006145207003416947,1770/0.0004981066590968738
260/0.0006134611818928297,1305/0.0004981066590968738
415/0.0006134611818928297,2559/0.0004981066590968738
1719/0.0006124016634439647,1625/0.0004927506735151869
849/0.0006113421449950998,1356/0.0004927506735151869
1646/0.0006113421449950998,991/0.0004927506735151869
691/0.0006113421449950998,2650/0.0004873946879335001
140/0.0006102826265462348,2832/0.0004820387023518133
462/0.0006102826265462348,2420/0.0004820387023518133
481/0.0006102826265462348,2239/0.0004820387023518133
2346/0.0006071040711996397,2904/0.0004820387023518133
299/0.0006071040711996397,1331/0.00047668271677012646
1062/0.0006071040711996397,2294/0.00047668271677012646
1645/0.0006049850343019098,732/0.00047132673118843965
1168/0.0006049850343019098,1959/0.00046597074560675284
2357/0.0006039255158530448,2627/0.00046597074560675284
1692/0.0006039255158530448,1618/0.00046597074560675284
1264/0.0006018064789553148,2411/0.000460614760025066
1494/0.0006018064789553148,1722/0.000460614760025066
476/0.0006007469605064499,822/0.000460614760025066
2543/0.0006007469605064499,1708/0.000460614760025066
1079/0.0005996874420575849,999/0.0004552587744433792
786/0.0005986279236087198,2318/0.0004552587744433792
2539/0.0005975684051598548,2778/0.0004552587744433792
1600/0.0005965088867109898,816/0.0004552587744433792
1027/0.0005943898498132599,2479/0.0004499027888616924
2445/0.0005933303313643949,798/0.0004499027888616924
255/0.0005922708129155299,2503/0.0004499027888616924
916/0.0005901517760178,706/0.0004499027888616924
1760/0.0005901517760178,2564/0.0004499027888616924
2306/0.0005890922575689349,1444/0.0004499027888616924
2695/0.0005880327391200699,2978/0.0004499027888616924
1679/0.0005880327391200699,1699/0.0004445468032800056
832/0.0005880327391200699,433/0.0004445468032800056
668/0.000584854183773475,2924/0.0004391908176983188
1375/0.000584854183773475,2896/0.0004391908176983188
1345/0.000584854183773475,2822/0.0004391908176983188
1745/0.000584854183773475,482/0.00043383483211663197
76/0.00058379466532461,2948/0.0004284788465349451
2173/0.000582735146875745,2030/0.0004284788465349451
1262/0.00058167562842688,1226/0.0004231228609532583
132/0.000580616109978015,2557/0.0004177668753715715
565/0.000580616109978015,1766/0.0004177668753715715
1427/0.000580616109978015,2841/0.00041241088978988467
2033/0.00057955659152915,2580/0.00040705490420819785
1979/0.000578497073080285,1847/0.00040169891862651104
1098/0.000578497073080285,2656/0.00039634293304482423
