Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
1/0.0030773749752375486,832/0.003012125516639426,680/0.006021124619033782,984/0.008053612368467463,522/0.007960856500055066,,1927/0.009213128708409483
516/0.003070543954204835,626/0.003003568341876246,180/0.0059400320315720475,639/0.007847863147375228,1375/0.007874325451141423,,357/0.008687379515810029
1571/0.0030261423174921956,491/0.002999289754494656,345/0.005885970306597558,1093/0.00775968490976427,1478/0.007488868960526108,,1734/0.00833688005407706
869/0.0029646631281977716,12/0.002952225293297165,1434/0.005852181728488502,2300/0.007700899418023632,2650/0.007402337911612467,,2516/0.008311844378238991
118/0.002954416596648701,243/0.0028966036573364936,1467/0.005771089141026768,1631/0.007495150196931397,1781/0.007386604993628168,,2400/0.00796134491650602
2324/0.0029373390440669165,247/0.002862374958283773,1775/0.0056764811223214105,2164/0.00740697195932044,1976/0.007363005616651721,,2340/0.007936309240667952
2616/0.0029134304704524186,2209/0.0028452606087574126,450/0.005649450259834166,2339/0.0069660807712656515,555/0.007323673321690974,,1135/0.007510702751420775
2114/0.0029134304704524186,1831/0.0027939175601783316,1179/0.005554842241128809,2273/0.006936688025395332,745/0.007197809977816586,,2292/0.007435595723906567
1497/0.0028792753652888497,1133/0.002781081798033561,614/0.005548084525506997,364/0.006848509787784375,2605/0.0071742106008401375,,2651/0.007260345993040082
2388/0.002869028833739779,527/0.0027554102737440207,183/0.005534569094263375,550/0.006848509787784375,2473/0.007166344141847989,,892/0.007185238965525875
789/0.002841704749608924,14/0.0027511316863624304,181/0.005453476506801641,1169/0.006583975074951502,664/0.007134878305879391,,1595/0.007160203289687805
558/0.0028041341339289983,5/0.0027425745115992506,476/0.005419687928692585,975/0.006554582329081183,1759/0.007095546010918645,,298/0.007110131938011667
2054/0.0027973031128962845,1697/0.0027340173368360704,426/0.005338595341230851,2290/0.006554582329081183,432/0.007056213715957898,,2444/0.007110131938011667
1275/0.002790472091863571,1073/0.0027126243999281196,355/0.005298049047499983,777/0.006407618599729587,1444/0.007032614338981451,,1809/0.006959917882983251
1908/0.0027768100497981433,857/0.0027126243999281196,194/0.00528453361625636,2492/0.006319440362118629,1635/0.006977549126036406,,1534/0.0067095611246025585
62/0.002763148007732716,2667/0.002682674288256989,65/0.005250745038147305,1462/0.00629004761624831,2503/0.006946083290067809,,2087/0.006258918959517312
587/0.0027529014761836453,749/0.0026612813513490386,1074/0.00522371417566006,560/0.006172476632767033,407/0.006859552241154167,,1474/0.006258918959517312
90/0.0027426549446345747,349/0.0026484455892042684,981/0.005189925597551004,2372/0.005996120157545118,739/0.006788754110224823,,1540/0.006058633552812758
938/0.0027392394341182176,1747/0.0026484455892042684,781/0.005142621588198325,761/0.005819763682323203,1496/0.006765154733248376,,307/0.005733169766917858
580/0.002735823923601861,1582/0.0026142168901515475,44/0.005014224991383913,2076/0.005702192698841926,9/0.006749421815264077,,1271/0.005457777332699096
1961/0.0027255773920527903,855/0.002597102540625187,1371/0.004838524385216821,1157/0.005584621715360649,820/0.006694356602319032,,1300/0.005382670305184889
634/0.002722161881536433,93/0.002597102540625187,1182/0.004818251238351388,57/0.005584621715360649,2534/0.006655024307358285,,948/0.005282527601832611
744/0.0027050843289546486,461/0.002588545365862007,1754/0.004710127788402408,1793/0.005525836223620011,1821/0.006615692012397539,,443/0.005107277870966127
1971/0.002694837797405578,97/0.0025628738415724665,1412/0.00466282377904973,1591/0.005525836223620011,2020/0.00660782555340539,,870/0.005107277870966127
998/0.002674344734307437,85/0.002541480904664516,1588/0.0046222774853188625,136/0.0054964434777496915,813/0.006560626799452495,,441/0.005032170843451919
1315/0.002650436160692939,544/0.0025372023172829257,127/0.004568215760344373,2162/0.005467050731879372,2672/0.006253834898758673,,2478/0.005032170843451919
1014/0.002643605139660225,543/0.0025158093803749754,736/0.00454794261347894,1216/0.005437657986009053,2065/0.006183036767829329,,1113/0.00500713516761385
1019/0.0026333586081111545,371/0.0025115307929933855,2319/0.00449388088850445,240/0.005437657986009053,1247/0.006183036767829329,,1659/0.00498209949177578
2118/0.002623112076562084,39/0.002507252205611795,1580/0.004426303732286338,1504/0.005378872494268414,128/0.006120105095892135,,1913/0.0041559221891194955
101/0.002588956971398515,1417/0.0025029736182302052,1236/0.0044060305854209045,2595/0.005378872494268414,1353/0.006088639259923538,,1783/0.004055779485767218
1955/0.002582125950365801,423/0.002494416443467025,1824/0.004399272869799093,547/0.005320087002527776,231/0.0060571734239549405,,1394/0.003905565430738803
1772/0.002565048397784017,782/0.0024901378560854347,53/0.004304664851093736,1228/0.005290694256657457,2037/0.0060099746700020456,,899/0.003830458403224595
451/0.002558217376751303,1897/0.0024901378560854347,1857/0.004243845410497435,668/0.005290694256657457,2279/0.00596277591604915,,1987/0.0038054227273865257
2121/0.002558217376751303,1506/0.0024730235065590746,2368/0.004162752823035701,348/0.0052025160190464995,2009/0.005868378408143358,,1043/0.0037553513757103874
2555/0.002524062271587734,834/0.0024730235065590746,2274/0.004149237391792079,1237/0.0052025160190464995,2641/0.00585264549015906,,1510/0.0036802443481961794
665/0.0025138157400386636,1563/0.0024687449191774843,466/0.004149237391792079,1699/0.005114337781435541,1086/0.005750381523261119,,1710/0.0035801016448439027
658/0.002503569208489593,221/0.002460187744414304,1039/0.004000567648112232,921/0.0049085885603433075,73/0.005726782146284672,,2327/0.0034799589414916256
926/0.0024796606348750946,553/0.002451630569651124,2591/0.003960021354381365,1834/0.004879195814472988,2664/0.0055065212945044914,,131/0.0032796735347870717
2096/0.002476245124358738,1415/0.002447351982269534,730/0.0039059596294068752,1630/0.004820410322732349,2517/0.005451456081559447,,955/0.003129459479758656
1424/0.002472829613842381,499/0.0024387948075063537,196/0.003824867041945141,1715/0.0046146611016401155,75/0.005301993360708611,,1336/0.003029316776406379
533/0.0024659985928096673,327/0.002421680457979993,23/0.0037572898857270286,1709/0.004526482864029157,507/0.005286260442724312,,2661/0.0029792454247302407
340/0.0024625830822933106,213/0.0024174018705984033,135/0.0037370167388615953,2306/0.004232555405325965,1221/0.004885071034124699,,2181/0.0028540670455398944
2163/0.0024523365507442395,867/0.0023788945841640924,317/0.0036559241513998606,1594/0.004173769913585327,120/0.0047749406082346095,,1717/0.0024785319079688554
58/0.002384026340417102,589/0.0023788945841640924,1890/0.0036559241513998606,2186/0.004173769913585327,195/0.0046412108053680715,,1024/0.0024534962321307863
468/0.0023806108299007454,295/0.0023446658851113715,2154/0.0036356510045344272,40/0.0039974134383634116,728/0.004617611428391624,,1626/0.0023783892046165787
396/0.002377195319384388,1096/0.0023403872977297816,1570/0.003622135573290805,2384/0.0039680206924930924,2445/0.004578279133430878,,2499/0.002203139473750094
2460/0.0023737798088680315,1061/0.002323272948203421,151/0.0036086201420471825,2192/0.003879842454882135,2224/0.004562546215446579,,1680/0.002128032446235886
471/0.0023225471511226785,887/0.002318994360821831,1608/0.0036086201420471825,1459/0.003821056963141497,1636/0.004531080379477982,,1745/0.0019277470395313323
1468/0.002305469598540894,190/0.002314715773440241,889/0.0035815892795599377,2522/0.003821056963141497,1191/0.004531080379477982,,684/0.0016523546053125704
1013/0.002302054088024537,1261/0.0022676513122427498,1573/0.0035748315639381263,827/0.003821056963141497,786/0.004373751199634996,,1598/0.0015772475777983627
2225/0.0022918075564754663,707/0.0022505369627163897,276/0.003527527554585448,2439/0.0037916642172711773,230/0.0043580182816506975,,2247/0.0015271762261222241
11/0.002284976535442753,904/0.0022462583753347994,277/0.0035140121233418254,1242/0.0037916642172711773,1004/0.0043422853636663995,,1416/0.0014270335227699472
1634/0.0022576524513118978,412/0.0022462583753347994,293/0.0035072544077200144,1547/0.00370348597966022,1206/0.004318685986689951,,503/0.0010765340610369776
1288/0.0022405748987301133,328/0.002220586851045259,942/0.003500496692098203,1814/0.0036447004879195813,1932/0.004232154937776309,,2619/0.0008512129784943545
1343/0.002237159388213756,1010/0.0021991939141373083,958/0.003500496692098203,919/0.003556522250308624,2129/0.004177089724831265,,
55/0.002216666325115615,528/0.0021949153267557184,1225/0.003399130957771035,1160/0.0035271295044383044,2056/0.004169223265839115,,
2386/0.002192757751501117,1065/0.002173522389847768,1060/0.003392373242149224,1405/0.0035271295044383044,2660/0.004051226380956876,,
574/0.002151771625304834,215/0.0021435722781766374,2401/0.0033856155265274126,2113/0.0034977367585679853,1122/0.0039568288730510845,,
