Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
2468/0.0013491266539609676,1592/0.0014033766611615509,2482/0.0009393224714317572,,,,
778/0.0013422956329282537,2084/0.0014033766611615509,1791/0.0009393224714317572,,,,
1036/0.001338880122411897,700/0.0013948194863983706,584/0.0009258070401881348,,,,
279/0.001338880122411897,1123/0.0013948194863983706,229/0.0009190493245663236,,,,
463/0.001338880122411897,1452/0.0013948194863983706,121/0.0009122916089445124,,,,
1322/0.001338880122411897,2399/0.0013948194863983706,1294/0.0009055338933227012,,,,
1351/0.0013252180803464695,1658/0.0013948194863983706,208/0.0009055338933227012,,,,
1601/0.0013183870593137556,1750/0.0013905408990167805,2278/0.0009055338933227012,,,,
1175/0.0013149715487973986,356/0.0013862623116351906,1320/0.00089877617770089,,,,
193/0.001311556038281042,643/0.0013862623116351906,573/0.00089877617770089,,,,
165/0.001311556038281042,2635/0.0013734265494904203,253/0.0008920184620790788,,,,
390/0.001311556038281042,562/0.0013734265494904203,1780/0.0008920184620790788,,,,
1051/0.001308140527764685,171/0.0013691479621088301,2148/0.0008852607464572675,,,,
385/0.001304725017248328,185/0.0013691479621088301,1723/0.0008785030308354564,,,,
76/0.001304725017248328,158/0.00136059078734565,662/0.0008785030308354564,,,,
137/0.0012978939962156144,513/0.0013563121999640598,1910/0.0008717453152136452,,,,
1678/0.0012910629751829005,1551/0.0013563121999640598,2161/0.000864987599591834,,,,
459/0.0012876474646665438,2543/0.0013477550252008798,952/0.000864987599591834,,,,
988/0.0012876474646665438,66/0.0013477550252008798,1323/0.0008447144527264004,,,,
2461/0.0012876474646665438,2133/0.0013434764378192896,457/0.0008311990214827779,,,,
788/0.0012842319541501869,321/0.0013349192630561094,1067/0.0008109258746173444,,,,
572/0.0012842319541501869,2624/0.0013349192630561094,1870/0.000797410443373722,,,,
2081/0.0012842319541501869,2176/0.0013306406756745193,2238/0.000797410443373722,,,,
996/0.0012842319541501869,2601/0.001322083500911339,2596/0.000797410443373722,,,,
399/0.00128081644363383,941/0.001313526326148159,2112/0.000797410443373722,,,,
2000/0.00128081644363383,81/0.001313526326148159,2126/0.000797410443373722,,,,
2645/0.001277400933117473,549/0.001309247738766569,2201/0.0007906527277519108,,,,
249/0.0012739854226011163,638/0.001309247738766569,2222/0.0007838950121300995,,,,
24/0.0012637388910520454,1628/0.001309247738766569,646/0.0007838950121300995,,,,
773/0.0012637388910520454,1585/0.0013049691513849788,2488/0.0007838950121300995,,,,
1803/0.0012603233805356887,1686/0.0013006905640033887,2006/0.0007771372965082883,,,,
818/0.0012534923595029748,598/0.0013006905640033887,2303/0.0007771372965082883,,,,
445/0.0012534923595029748,1764/0.0012964119766217985,1145/0.0007501064340210436,,,,
1356/0.0012534923595029748,166/0.0012921333892402084,1576/0.0007501064340210436,,,,
37/0.0012500768489866181,126/0.0012921333892402084,564/0.0007433487183992324,,,,
1609/0.0012500768489866181,2328/0.0012921333892402084,285/0.0007433487183992324,,,,
1082/0.0012432458279539042,308/0.0012878548018586183,2024/0.0007365910027774211,,,,
2044/0.0012432458279539042,353/0.0012878548018586183,632/0.0007298332871556099,,,,
2631/0.0012432458279539042,41/0.0012878548018586183,2175/0.0007298332871556099,,,,
265/0.0012398303174375473,693/0.0012750190397138482,2476/0.0007298332871556099,,,,
2207/0.0012398303174375473,234/0.001270740452332258,2152/0.0007298332871556099,,,,
458/0.0012398303174375473,712/0.001270740452332258,109/0.0007095601402901763,,,,
246/0.0012329992964048337,2027/0.0012579046901874877,1776/0.0007028024246683651,,,,
1286/0.001222752764855763,2214/0.0012536261028058976,1813/0.0007028024246683651,,,,
1651/0.0012193372543394061,2316/0.0012536261028058976,653/0.0007028024246683651,,,,
1056/0.0012125062333066925,1861/0.0012536261028058976,1428/0.0007028024246683651,,,,
1832/0.0012090907227903355,1342/0.0012493475154243074,2563/0.0006892869934247428,,,,
1862/0.0012022597017576216,1473/0.0012450689280427173,1130/0.0006892869934247428,,,,
299/0.001198844191241265,1008/0.0012407903406611274,2011/0.0006825292778029315,,,,
1708/0.001195428680724908,858/0.0012407903406611274,1979/0.0006825292778029315,,,,
2504/0.001195428680724908,2370/0.0012407903406611274,1666/0.0006554984153156867,,,,
1040/0.001195428680724908,71/0.0012407903406611274,1092/0.0006554984153156867,,,,
1190/0.001188597659692194,303/0.0012365117532795373,2558/0.0006419829840720643,,,,
338/0.0011817666386594804,1466/0.0012322331658979472,50/0.000635225268450253,,,,
197/0.0011783511281431235,829/0.0012322331658979472,1155/0.0006284675528284418,,,,
220/0.0011749356176267666,2403/0.001227954578516357,1240/0.0006284675528284418,,,,
4/0.0011715201071104098,940/0.001227954578516357,2338/0.0006284675528284418,,,,
1183/0.001168104596594053,339/0.001227954578516357,8/0.0006284675528284418,,,,
838/0.001168104596594053,125/0.001223675991134767,1952/0.0006217098372066306,,,,
346/0.001164689086077696,218/0.0012151188163715867,1683/0.0006149521215848195,,,,
260/0.001164689086077696,119/0.0012151188163715867,1818/0.0006149521215848195,,,,
368/0.0011612735755613392,1740/0.0012151188163715867,1729/0.0006014366903411971,,,,
2391/0.0011612735755613392,69/0.0012151188163715867,962/0.0005946789747193859,,,,
2659/0.0011544425545286254,145/0.0012108402289899966,1084/0.0005946789747193859,,,,
431/0.0011441960229795548,1192/0.0012108402289899966,629/0.0005879212590975747,,,,
1492/0.001137365001946841,905/0.0012108402289899966,986/0.0005879212590975747,,,,
1078/0.0011305339809141272,830/0.0012022830542268166,1522/0.0005879212590975747,,,,
2597/0.0011134564283323428,483/0.0012022830542268166,2153/0.0005811635434757634,,,,
456/0.0011134564283323428,2007/0.0011980044668452264,1757/0.000567648112232141,,,,
159/0.001110040917815986,63/0.0011980044668452264,590/0.000567648112232141,,,,
1050/0.001110040917815986,2507/0.0011980044668452264,1574/0.000567648112232141,,,,
860/0.0011032098967832722,1398/0.0011980044668452264,1498/0.000567648112232141,,,,
2144/0.0011032098967832722,979/0.0011980044668452264,1951/0.0005608903966103298,,,,
1410/0.0010963788757505585,1989/0.0011894472920820462,1810/0.0005473749653667075,,,,
56/0.0010929633652342016,771/0.0011894472920820462,2371/0.0005473749653667075,,,,
369/0.0010861323442014877,733/0.0011894472920820462,2598/0.0005473749653667075,,,,
422/0.001082716833685131,149/0.0011894472920820462,1200/0.000533859534123085,,,,
1583/0.001079301323168774,2216/0.001185168704700456,2544/0.000533859534123085,,,,
255/0.001075885812652417,542/0.001180890117318866,1188/0.0005203441028794626,,,,
262/0.001075885812652417,132/0.0011766115299372759,2229/0.0005203441028794626,,,,
306/0.0010724703021360604,13/0.0011766115299372759,2628/0.0005203441028794626,,,,
1792/0.0010690547916197034,1064/0.0011723329425556857,949/0.0005135863872576514,,,,
510/0.0010588082600706328,1756/0.0011680543551740956,2419/0.0005068286716358402,,,,
935/0.001055392749554276,2538/0.0011637757677925057,2632/0.000500070956014029,,,,
2365/0.001051977239037919,1020/0.0011637757677925057,2171/0.000500070956014029,,,,
868/0.001048561728521562,1924/0.0011594971804109156,1055/0.000500070956014029,,,,
814/0.0010451462180052053,530/0.0011594971804109156,1245/0.000500070956014029,,,,
2146/0.0010417307074888484,1491/0.0011552185930293255,2454/0.000500070956014029,,,,
1007/0.0010383151969724914,310/0.0011552185930293255,1045/0.0004865555247704066,,,,
686/0.0010348996864561347,2440/0.0011552185930293255,254/0.0004865555247704066,,,,
1727/0.0010348996864561347,864/0.0011509400056477354,1855/0.0004865555247704066,,,,
944/0.0010348996864561347,104/0.0011509400056477354,763/0.0004865555247704066,,,,
1069/0.0010314841759397778,784/0.0011466614182661452,1945/0.0004865555247704066,,,,
156/0.0010246531549070639,449/0.001138104243502965,383/0.0004797978091485954,,,,
1260/0.0010212376443907072,2480/0.0011338256561213749,1201/0.0004797978091485954,,,,
2268/0.0010178221338743502,1003/0.001129547068739785,1103/0.0004797978091485954,,,,
808/0.0010178221338743502,678/0.0011252684813581949,2263/0.0004797978091485954,,,,
505/0.0010144066233579933,1649/0.0011252684813581949,354/0.0004797978091485954,,,,
2382/0.0010075756023252796,792/0.0011209898939766047,2057/0.0004797978091485954,,,,
2367/0.0010075756023252796,2132/0.0011209898939766047,1874/0.00047304009352678423,,,,
796/0.0010075756023252796,1617/0.0011209898939766047,2609/0.000466282377904973,,,,
1138/0.0010007445812925658,2375/0.0011167113065950146,309/0.000466282377904973,,,,
1681/0.0010007445812925658,1610/0.0011124327192134245,1484/0.000466282377904973,,,,
1928/0.0010007445812925658,1802/0.0011081541318318344,2109/0.000466282377904973,,,,
241/0.0009973290707762088,1035/0.0011081541318318344,2141/0.000466282377904973,,,,
238/0.0009973290707762088,453/0.0011038755444502443,1437/0.000466282377904973,,,,
1689/0.0009973290707762088,1774/0.0011038755444502443,831/0.0004595246622831618,,,,
1318/0.0009973290707762088,384/0.001095318369687064,2332/0.0004595246622831618,,,,
1388/0.000993913560259852,320/0.001095318369687064,2275/0.0004527669466613506,,,,
1624/0.0009904980497434952,951/0.0010910397823054741,1174/0.0004527669466613506,,,,
625/0.0009904980497434952,1268/0.001086761194923884,2381/0.0004460092310395394,,,,
757/0.0009870825392271382,251/0.0010824826075422939,1132/0.0004392515154177282,,,,
2158/0.0009870825392271382,2529/0.0010782040201607038,1383/0.0004392515154177282,,,,
1116/0.0009836670287107815,2657/0.0010739254327791136,1742/0.0004392515154177282,,,,
2447/0.0009836670287107815,1873/0.0010739254327791136,659/0.000432493799795917,,,,
258/0.0009836670287107815,2294/0.0010739254327791136,2502/0.000432493799795917,,,,
2351/0.0009836670287107815,1495/0.0010696468453975235,2004/0.000432493799795917,,,,
687/0.0009802515181944246,722/0.0010696468453975235,1344/0.0004257360841741058,,,,
1212/0.0009768360076780676,1005/0.0010696468453975235,460/0.0004257360841741058,,,,
2309/0.0009768360076780676,16/0.0010696468453975235,1638/0.0004257360841741058,,,,
1828/0.0009768360076780676,2424/0.0010653682580159334,1730/0.0004257360841741058,,,,
29/0.0009768360076780676,222/0.0010653682580159334,1789/0.00041897836855229456,,,,
2193/0.0009768360076780676,141/0.0010610896706343433,1195/0.00041897836855229456,,,,
1391/0.0009734204971617108,428/0.0010610896706343433,1677/0.00041897836855229456,,,,
1597/0.0009700049866453539,2436/0.0010610896706343433,1246/0.00041222065293048337,,,,
480/0.0009700049866453539,1514/0.0010568110832527532,2376/0.00041222065293048337,,,,
379/0.000966589476128997,650/0.0010568110832527532,2059/0.00041222065293048337,,,,
43/0.0009631739656126401,2638/0.0010525324958711633,1827/0.0004054629373086722,,,,
1436/0.0009631739656126401,1131/0.0010482539084895731,874/0.000398705221686861,,,,
604/0.0009631739656126401,1149/0.0010482539084895731,1674/0.00038518979044323856,,,,
1778/0.0009631739656126401,176/0.0010482539084895731,2041/0.00037843207482142737,,,,
1102/0.0009597584550962833,1799/0.001043975321107983,953/0.0003716743591996162,,,,
594/0.0009597584550962833,1223/0.001043975321107983,1553/0.0003716743591996162,,,,
876/0.0009529274340635695,1720/0.001039696733726393,442/0.00036491664357780494,,,,
1912/0.0009460964130308557,502/0.001039696733726393,880/0.00036491664357780494,,,,
798/0.0009426809025144989,2511/0.0010354181463448028,1882/0.00036491664357780494,,,,
924/0.0009426809025144989,2446/0.0010354181463448028,1521/0.00036491664357780494,,,,
406/0.000939265391998142,1867/0.0010354181463448028,518/0.00036491664357780494,,,,
401/0.0009358498814817851,825/0.0010183037968184425,1633/0.00035815892795599375,,,,
2572/0.0009358498814817851,1021/0.0010140252094368524,1234/0.00035815892795599375,,,,
273/0.0009324343709654282,1607/0.0010054680346736722,1550/0.00035815892795599375,,,,
367/0.0009324343709654282,816/0.001001189447292082,100/0.00035140121233418256,,,,
884/0.0009324343709654282,2102/0.001001189447292082,1849/0.00035140121233418256,,,,
495/0.0009290188604490714,1362/0.000996910859910492,1409/0.00035140121233418256,,,,
311/0.0009256033499327144,521/0.0009926322725289018,2063/0.0003446434967123714,,,,
552/0.0009221878394163576,2173/0.0009926322725289018,2281/0.0003446434967123714,,,,
911/0.0009187723289000007,713/0.0009926322725289018,2477/0.00033112806546874894,,,,
566/0.0009119413078672869,1877/0.0009883536851473117,1464/0.00033112806546874894,,,,
769/0.00090852579735093,2582/0.0009883536851473117,2576/0.00033112806546874894,,,,
2/0.0009016947763182163,47/0.0009883536851473117,2410/0.00032437034984693776,,,,
1031/0.0009016947763182163,106/0.0009883536851473117,2430/0.00032437034984693776,,,,
633/0.0008982792658018595,1266/0.0009797965103841317,1992/0.00032437034984693776,,,,
2361/0.0008982792658018595,1627/0.0009755179230025414,844/0.0003176126342251265,,,,
795/0.0008982792658018595,656/0.0009669607482393613,1359/0.0003176126342251265,,,,
1751/0.0008982792658018595,1062/0.0009626821608577712,2318/0.0003108549186033153,,,,
1604/0.0008948637552855025,1269/0.0009584035734761811,2177/0.00030409720298150414,,,,
1647/0.0008914482447691457,2058/0.0009584035734761811,170/0.00030409720298150414,,,,
2165/0.0008914482447691457,1985/0.0009584035734761811,1386/0.00030409720298150414,,,,
1807/0.0008914482447691457,2259/0.0009541249860945911,2033/0.00030409720298150414,,,,
1602/0.0008880327342527887,1892/0.0009541249860945911,1656/0.00030409720298150414,,,,
1578/0.0008880327342527887,1352/0.0009498463987130009,1806/0.00030409720298150414,,,,
51/0.0008846172237364319,2408/0.0009498463987130009,1798/0.00029733948735969295,,,,
593/0.0008777862027037182,2671/0.0009498463987130009,1564/0.0002905817717378817,,,,
2495/0.0008777862027037182,347/0.0009455678113314108,2330/0.0002838240561160705,,,,
2438/0.0008777862027037182,2542/0.0009455678113314108,2666/0.0002838240561160705,,,,
1707/0.0008743706921873612,416/0.0009455678113314108,2451/0.0002838240561160705,,,,
740/0.0008743706921873612,787/0.0009455678113314108,2610/0.0002770663404942593,,,,
723/0.0008709551816710044,1118/0.0009455678113314108,233/0.0002770663404942593,,,,
1449/0.0008709551816710044,332/0.0009412892239498207,2481/0.00027030862487244814,,,,
35/0.0008709551816710044,1317/0.0009412892239498207,2349/0.0002635509092506369,,,,
2072/0.0008675396711546474,805/0.0009370106365682306,2498/0.0002635509092506369,,,,
2197/0.0008675396711546474,1886/0.0009327320491866406,1761/0.0002635509092506369,,,,
603/0.0008675396711546474,1023/0.0009284534618050505,1308/0.0002567931936288257,,,,
569/0.0008641241606382906,174/0.0009284534618050505,2169/0.0002567931936288257,,,,
1982/0.0008641241606382906,2032/0.0009284534618050505,2317/0.0002500354780070145,,,,
1483/0.0008607086501219337,414/0.0009284534618050505,1027/0.0002432777623852033,,,,
87/0.0008572931396055768,1120/0.0009284534618050505,2298/0.0002432777623852033,,,,
2622/0.0008504621185728631,34/0.0009241748744234603,1958/0.0002432777623852033,,,,
2237/0.0008504621185728631,2450/0.0009241748744234603,467/0.00023652004676339211,,,,
563/0.0008470466080565062,1526/0.0009198962870418702,888/0.00023652004676339211,,,,
404/0.0008470466080565062,648/0.0009198962870418702,2296/0.0002297623311415809,,,,
601/0.0008436310975401493,2383/0.0009156176996602802,1397/0.0002297623311415809,,,,
2568/0.0008436310975401493,1044/0.0009156176996602802,1025/0.0002297623311415809,,,,
1419/0.0008436310975401493,133/0.0009156176996602802,2483/0.0002230046155197697,,,,
697/0.0008436310975401493,2119/0.0009156176996602802,1253/0.0002230046155197697,,,,
2145/0.0008402155870237925,934/0.0009113391122786901,1029/0.0002230046155197697,,,,
1361/0.0008402155870237925,142/0.0009113391122786901,2083/0.0002230046155197697,,,,
1618/0.0008333845659910787,977/0.0009113391122786901,1095/0.0002162468998979585,,,,
212/0.0008299690554747218,2586/0.0009113391122786901,2506/0.0002162468998979585,,,,
2055/0.000826553544958365,2307/0.0009027819375155098,2314/0.00020948918427614728,,,,
1905/0.000826553544958365,1933/0.0009027819375155098,1331/0.00020948918427614728,,,,
936/0.000826553544958365,1949/0.0008985033501339198,2565/0.00020948918427614728,,,,
1083/0.0008197225239256512,1048/0.0008985033501339198,1847/0.0002027314686543361,,,,
429/0.0008163070134092942,1787/0.0008985033501339198,2261/0.0002027314686543361,,,,
84/0.0008163070134092942,894/0.0008985033501339198,1373/0.0002027314686543361,,,,
1284/0.0008128915028929374,138/0.0008942247627523297,323/0.00018921603741071369,,,,
2127/0.0008128915028929374,551/0.0008942247627523297,877/0.00018921603741071369,,,,
2448/0.0008094759923765806,2098/0.0008899461753707396,2117/0.00016218517492346888,,,,
1943/0.0008060604818602236,1543/0.0008899461753707396,1965/0.00016218517492346888,,,,
33/0.0008060604818602236,750/0.0008899461753707396,1938/0.00016218517492346888,,,,
1844/0.0008026449713438668,488/0.0008856675879891495,1768/0.00015542745930165766,,,,
2231/0.0008026449713438668,2456/0.0008856675879891495,2385/0.00014866974367984647,,,,
2067/0.0007992294608275099,644/0.0008856675879891495,2530/0.00014866974367984647,,,,
64/0.000795813950311153,1127/0.0008813890006075594,2373/0.00014866974367984647,,,,
1151/0.0007923984397947961,1909/0.0008813890006075594,2469/0.00014866974367984647,,,,
1731/0.0007923984397947961,718/0.0008771104132259693,2322/0.00014866974367984647,,,,
2550/0.0007923984397947961,192/0.0008771104132259693,2398/0.00014866974367984647,,,,
415/0.0007889829292784393,1962/0.0008728318258443792,1811/0.00014866974367984647,,,,
1166/0.0007889829292784393,1203/0.0008728318258443792,2422/0.00013515431243622407,,,,
1364/0.0007889829292784393,2002/0.0008685532384627891,2663/0.00013515431243622407,,,,
1726/0.0007855674187620823,1124/0.0008685532384627891,2571/0.00013515431243622407,,,,
2634/0.0007821519082457255,402/0.000864274651081199,1872/0.00013515431243622407,,,,
647/0.0007821519082457255,2203/0.000864274651081199,1438/0.00013515431243622407,,,,
871/0.0007787363977293686,1499/0.000859996063699609,1612/0.00013515431243622407,,,,
27/0.0007719053766966548,1109/0.000859996063699609,2580/0.00012163888119260165,,,,
1387/0.0007719053766966548,859/0.000859996063699609,1994/0.00011488116557079045,,,,
2431/0.0007719053766966548,19/0.0008557174763180189,2304/0.00011488116557079045,,,,
83/0.0007719053766966548,291/0.0008557174763180189,2397/0.00010812344994897925,,,,
2142/0.000768489866180298,2562/0.0008557174763180189,1694/0.00010812344994897925,,,,
2228/0.000768489866180298,2047/0.0008514388889364287,1304/0.00010136573432716805,,,,
2432/0.0007650743556639411,2552/0.0008471603015548386,2528/0.00010136573432716805,,,,
203/0.0007650743556639411,1140/0.0008471603015548386,1552/0.00010136573432716805,,,,
187/0.0007650743556639411,1919/0.0008386031267916585,1990/0.00010136573432716805,,,,
186/0.0007582433346312274,1944/0.0008386031267916585,2039/0.00010136573432716805,,,,
1079/0.0007582433346312274,2239/0.0008386031267916585,1018/9.460801870535684e-05,,,,
960/0.0007548278241148704,797/0.0008386031267916585,2584/9.460801870535684e-05,,,,
2512/0.0007548278241148704,611/0.0008343245394100684,1766/8.109258746173444e-05,,,,
1370/0.0007548278241148704,2345/0.0008343245394100684,1915/7.433487183992324e-05,,,,
1325/0.0007514123135985136,2496/0.0008343245394100684,2212/5.4061724974489624e-05,,,,
425/0.0007479968030821567,1838/0.0008300459520284783,2252/4.730400935267842e-05,,,,
447/0.0007479968030821567,2269/0.0008300459520284783,2357/4.054629373086722e-05,,,,
2068/0.0007479968030821567,1032/0.0008300459520284783,2434/4.054629373086722e-05,,,,
785/0.0007479968030821567,1418/0.0008300459520284783,2266/4.054629373086722e-05,,,,
1878/0.0007445812925657998,628/0.0008257673646468881,2547/3.378857810905602e-05,,,,
1177/0.0007445812925657998,2566/0.0008214887772652981,1645/2.027314686543361e-05,,,,
1904/0.0007445812925657998,727/0.0008214887772652981,2640/2.027314686543361e-05,,,,
96/0.0007445812925657998,1822/0.000817210189883708,1700/1.3515431243622406e-05,,,,
61/0.0007445812925657998,1819/0.000817210189883708,2288/1.3515431243622406e-05,,,,
1984/0.0007377502715330861,1229/0.000817210189883708,,,,,
1057/0.0007343347610167291,972/0.000817210189883708,,,,,
1823/0.0007343347610167291,741/0.0008129316025021179,,,,,
392/0.0007343347610167291,1991/0.0008129316025021179,,,,,
15/0.0007309192505003723,2016/0.0008129316025021179,,,,,
2160/0.0007275037399840154,1724/0.0008129316025021179,,,,,
651/0.0007240882294676585,1854/0.0008129316025021179,,,,,
1104/0.0007240882294676585,2030/0.0008129316025021179,,,,,
200/0.0007240882294676585,494/0.0008043744277389378,,,,,
1441/0.0007206727189513016,1280/0.0008043744277389378,,,,,
1456/0.0007206727189513016,971/0.0008043744277389378,,,,,
1561/0.0007172572084349448,1110/0.0008043744277389378,,,,,
1794/0.0007172572084349448,1455/0.0008000958403573476,,,,,
2178/0.0007172572084349448,1848/0.0008000958403573476,,,,,
2166/0.0007172572084349448,674/0.0008000958403573476,,,,,
32/0.000710426187402231,1546/0.0008000958403573476,,,,,
1009/0.0007070106768858742,1207/0.0008000958403573476,,,,,
479/0.0007070106768858742,1539/0.0007958172529757575,,,,,
2449/0.0007070106768858742,1641/0.0007958172529757575,,,,,
272/0.0007070106768858742,751/0.0007915386655941674,,,,,
2519/0.0007035951663695172,492/0.0007915386655941674,,,,,
2211/0.0007035951663695172,1199/0.0007915386655941674,,,,,
793/0.0007035951663695172,872/0.0007872600782125774,,,,,
454/0.0007001796558531604,2423/0.0007872600782125774,,,,,
1900/0.0006967641453368035,913/0.0007829814908309873,,,,,
906/0.0006899331243040897,1739/0.0007829814908309873,,,,,
28/0.0006899331243040897,1946/0.0007829814908309873,,,,,
1614/0.0006899331243040897,1141/0.0007787029034493971,,,,,
554/0.0006865176137877329,843/0.0007787029034493971,,,,,
376/0.0006831021032713759,1544/0.0007787029034493971,,,,,
2241/0.0006796865927550191,2023/0.000774424316067807,,,,,
1973/0.0006796865927550191,1349/0.0007701457286862169,,,,,
2548/0.0006762710822386622,42/0.0007701457286862169,,,,,
2086/0.0006762710822386622,1995/0.0007658671413046269,,,,,
666/0.0006762710822386622,2407/0.0007658671413046269,,,,,
2066/0.0006762710822386622,2602/0.0007658671413046269,,,,,
2213/0.0006762710822386622,2289/0.0007658671413046269,,,,,
1164/0.0006762710822386622,1698/0.0007615885539230368,,,,,
1600/0.0006728555717223053,967/0.0007615885539230368,,,,,
462/0.0006728555717223053,1290/0.0007573099665414467,,,,,
1112/0.0006728555717223053,2226/0.0007573099665414467,,,,,
411/0.0006694400612059485,1037/0.0007573099665414467,,,,,
2051/0.0006694400612059485,1249/0.0007530313791598565,,,,,
833/0.0006694400612059485,546/0.0007530313791598565,,,,,
2623/0.0006660245506895916,1369/0.0007530313791598565,,,,,
252/0.0006660245506895916,1196/0.0007487527917782665,,,,,
2350/0.0006660245506895916,501/0.0007487527917782665,,,,,
883/0.0006660245506895916,1482/0.0007487527917782665,,,,,
667/0.000655778019140521,436/0.0007444742043966764,,,,,
1194/0.000652362508624164,2138/0.0007444742043966764,,,,,
1930/0.0006455314875914503,1691/0.0007401956170150863,,,,,
1559/0.0006455314875914503,1301/0.0007401956170150863,,,,,
296/0.0006421159770750934,2135/0.0007401956170150863,,,,,
2015/0.0006421159770750934,108/0.0007359170296334962,,,,,
2589/0.0006421159770750934,2022/0.0007316384422519062,,,,,
2017/0.0006421159770750934,2110/0.000727359854870316,,,,,
2179/0.0006421159770750934,2463/0.000727359854870316,,,,,
1372/0.0006387004665587365,908/0.0007230812674887259,,,,,
983/0.0006352849560423797,2491/0.0007188026801071358,,,,,
2523/0.0006352849560423797,1520/0.0007188026801071358,,,,,
541/0.0006352849560423797,652/0.0007188026801071358,,,,,
485/0.0006352849560423797,2557/0.0007188026801071358,,,,,
25/0.0006318694455260227,1654/0.0007145240927255457,,,,,
1108/0.0006318694455260227,1816/0.0007145240927255457,,,,,
1906/0.0006318694455260227,2662/0.0007102455053439557,,,,,
1980/0.0006318694455260227,2417/0.0007059669179623656,,,,,
1650/0.0006284539350096659,2103/0.0007016883305807754,,,,,
1969/0.0006216229139769521,2606/0.0007016883305807754,,,,,
2359/0.0006182074034605953,1227/0.0007016883305807754,,,,,
1966/0.0006113763824278815,2537/0.0006974097431991853,,,,,
2396/0.0006113763824278815,1613/0.0006974097431991853,,,,,
1471/0.0006113763824278815,130/0.0006974097431991853,,,,,
2471/0.0006113763824278815,1401/0.0006931311558175953,,,,,
1427/0.0006113763824278815,18/0.0006845739810544151,,,,,
1752/0.0006079608719115246,1339/0.000680295393672825,,,,,
1500/0.0006079608719115246,250/0.000680295393672825,,,,,
1150/0.0006079608719115246,1463/0.000680295393672825,,,,,
978/0.0006045453613951678,2415/0.000680295393672825,,,,,
204/0.0006011298508788108,143/0.000680295393672825,,,,,
1042/0.0006011298508788108,675/0.000680295393672825,,,,,
2180/0.0006011298508788108,1355/0.0006760168062912349,,,,,
2128/0.000597714340362454,1741/0.0006760168062912349,,,,,
685/0.000597714340362454,1701/0.0006760168062912349,,,,,
2005/0.000597714340362454,841/0.0006760168062912349,,,,,
2156/0.000594298829846097,1480/0.0006760168062912349,,,,,
1977/0.0005908833193297402,1531/0.0006760168062912349,,,,,
1049/0.0005908833193297402,1940/0.0006760168062912349,,,,,
945/0.0005908833193297402,539/0.0006760168062912349,,,,,
1670/0.0005908833193297402,2593/0.0006760168062912349,,,,,
720/0.0005806367877806696,1028/0.0006717382189096448,,,,,
2120/0.0005806367877806696,1128/0.0006717382189096448,,,,,
1357/0.0005806367877806696,635/0.0006717382189096448,,,,,
2490/0.0005772212772643127,1380/0.0006717382189096448,,,,,
474/0.0005738057667479559,2539/0.0006674596315280547,,,,,
2249/0.0005738057667479559,1737/0.0006589024567648745,,,,,
1661/0.0005669747457152421,1718/0.0006589024567648745,,,,,
1859/0.0005635592351988852,1105/0.0006589024567648745,,,,,
377/0.0005635592351988852,1528/0.0006546238693832844,,,,,
2673/0.0005635592351988852,398/0.0006503452820016943,,,,,
175/0.0005635592351988852,1488/0.0006460666946201042,,,,,
2393/0.0005635592351988852,1950/0.0006460666946201042,,,,,
2045/0.0005601437246825283,679/0.0006460666946201042,,,,,
1129/0.0005601437246825283,1917/0.0006417881072385141,,,,,
1389/0.0005567282141661714,799/0.0006375095198569241,,,,,
1000/0.0005567282141661714,400/0.0006375095198569241,,,,,
325/0.0005498971931334576,766/0.000633230932475334,,,,,
1076/0.0005498971931334576,280/0.000633230932475334,,,,,
2493/0.0005498971931334576,266/0.0006289523450937438,,,,,
160/0.0005464816826171008,2494/0.0006246737577121537,,,,,
2286/0.0005464816826171008,2521/0.0006203951703305637,,,,,
2308/0.0005464816826171008,2642/0.0006203951703305637,,,,,
1840/0.0005430661721007438,2198/0.0006203951703305637,,,,,
2256/0.0005430661721007438,182/0.0006161165829489736,,,,,
1440/0.0005430661721007438,602/0.0006161165829489736,,,,,
2416/0.000539650661584387,1804/0.0006118379955673835,,,,,
1688/0.000539650661584387,1403/0.0006118379955673835,,,,,
2487/0.0005362351510680302,1001/0.0006075594081857934,,,,,
2342/0.0005328196405516732,209/0.0006032808208042032,,,,,
2050/0.0005328196405516732,2079/0.0006032808208042032,,,,,
1411/0.0005294041300353164,1208/0.0006032808208042032,,,,,
2035/0.0005294041300353164,1894/0.0006032808208042032,,,,,
1902/0.0005294041300353164,1435/0.0006032808208042032,,,,,
965/0.0005259886195189595,92/0.0005990022334226132,,,,,
2036/0.0005259886195189595,2352/0.0005990022334226132,,,,,
804/0.0005259886195189595,1777/0.0005990022334226132,,,,,
1569/0.0005225731090026027,2353/0.0005947236460410231,,,,,
1920/0.0005191575984862457,1178/0.000590445058659433,,,,,
1903/0.0005191575984862457,2101/0.000590445058659433,,,,,
2185/0.0005157420879698889,1143/0.000590445058659433,,,,,
1687/0.0005157420879698889,2607/0.000590445058659433,,,,,
2573/0.0005157420879698889,1114/0.0005861664712778429,,,,,
1408/0.0005123265774535319,729/0.0005861664712778429,,,,,
1381/0.0005123265774535319,703/0.0005861664712778429,,,,,
1244/0.0005123265774535319,1054/0.0005861664712778429,,,,,
