Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160
345/0.02084008206457186,,,,,,1974/0.014691284494738933,,,,1966/0.017726356013162085,1110/0.01654475792406827,,,,1566/0.019701595714038827,746/0.017088251826869027,2493/0.017116357504215852,,,,727/0.017693228681654915,,2978/0.015822188736108495,,,2074/0.018377971523552656,,55/0.017760862670472565,,,,,,513/0.015362371227182361,,,2833/0.018515707998178782,641/0.011797851734460293,,2293/0.009428866080636448,,795/0.017980067810541456,2462/0.013365509560051976,,,,,22/0.019527235354573486,,,,,,1099/0.01683937823834197,,,,,,1519/0.012884823448411527,,741/0.002315149761250181,2786/0.01430173864273696,,2507/0.012226329257890247,,,,,,1779/0.013151018986239332,,,,,,,,,,1861/0.014712438698172091,,2448/0.012895662368112544,,,,,1338/0.01517782979687382,,,,,,,,,,1856/0.019650655021834062,,,2660/0.019712099597976915,,1346/0.013017618673549546,,,,,,600/0.01652813604662272,2309/0.006871907641561297,,,,,,,1318/0.02059394120280555,,,,,,,,,,,,,594/0.018504966021955043,,,1923/0.010541920606160434,,2538/0.0030211480362537764,,,,,,,1017/0.009790029627721242,2650/0.017621998450813324,,,,,,,,,,,2503/0.017294626312538603,,,,,
320/0.02084008206457186,,,,,,2664/0.014492753623188406,,,,530/0.017620210168771893,2497/0.01637060257749913,,,,32/0.01935595368396797,533/0.01669477234401349,1906/0.01703204047217538,,,,2468/0.0174271650924571,,2479/0.015822188736108495,,,971/0.01825252461895503,,2654/0.0172058357120203,,,,,,1220/0.015181637448039038,,,1418/0.017301563211412962,,,2547/0.009085105338113245,,2846/0.01746635158738313,2085/0.0077037312047521815,,,,,2857/0.017300445357999315,,,,,,2902/0.016191709844559584,,,,,,2124/0.011016032261237336,,,2429/0.014161525518788558,,2052/0.010804663065112312,,,,,,989/0.012105904894617662,,,,,,,,,,1826/0.014712438698172091,,2505/0.012895662368112544,,,,,1147/0.014573737068640036,,,,,,,,,,770/0.015568634896525536,,,2296/0.019063675269096095,,,,,,,,2201/0.01538167574281074,,,,,,,,2367/0.01954932099686614,,,,,,,,,,,,,2678/0.017773131207527444,,,1223/0.01021248558721792,,2549/0.0023497818059751594,,,,,,,1288/0.00966121344840912,2411/0.016653756777691712,,,,,,,,,,,1766/0.01605929586164299,,,,,
2402/0.02062412266493899,,,,,,1278/0.014393488187413143,,,,1649/0.017195626791211123,1226/0.013758272378962034,,,,699/0.018664669623826256,714/0.0164699269252389,1076/0.016357504215851602,,,,2578/0.01716110150325928,,706/0.015822188736108495,,,1518/0.018127077714357398,,2801/0.01665080875356803,,,,,,500/0.015000903668895716,,,49/0.01669449081803005,,,,,375/0.01674714887496147,,,,,,2574/0.01670092497430627,,,,,,2952/0.01575993091537133,,,,,,2955/0.010327530244910003,,,2602/0.011357263039820526,,1644/0.010662496445834517,,,,,,803/0.009754398188468908,,,,,,,,,,2740/0.013672165254866994,,1448/0.012192262602579133,,,,,2286/0.01419617911349392,,,,,,,,,,82/0.014809189291816974,,,872/0.016599662819348982,,,,,,,,1116/0.01413967708034776,,,,,,,,1674/0.018057006416952695,,,,,,,,,,,,,104/0.01651855723993727,,,1466/0.008400592983034097,,,,,,,,,2344/0.009274764910472756,816/0.01646010844306739,,,,,,,,,,,2044/0.012970969734403953,,,,,
1946/0.019652305366591082,,,,,,2192/0.014194957315862617,,,,2831/0.01698333510243074,820/0.012190874259839777,,,,897/0.018664669623826256,2565/0.016020236087689713,1389/0.015935919055649242,,,,1416/0.01702806970866037,,2656/0.013938594838952722,,,584/0.01787618390516214,,1367/0.016254360926102124,,,,,,1822/0.014910536779324055,,,1265/0.01608741842464714,,,,,139/0.015822459673276484,,,,,,2004/0.01618705035971223,,,,,,3024/0.015112262521588947,,,,,,1233/0.008065309334120193,,,1688/0.010936623667975322,,1120/0.010235996588001138,,,,,,834/0.008535098414910295,,,,,,,,,,2217/0.009213850497845148,,1876/0.008440797186400938,,,,,1580/0.01366759797628936,,,,,,,,,,289/0.012056198974748434,,,2922/0.014784074698482688,,,,,,,,734/0.01413967708034776,,,,,,,,1940/0.016863154753021938,,,,,,,,,,,,,2417/0.016309461578672243,,,1584/0.008071157964091583,,,,,,,,,2170/0.007600154579415174,1699/0.016072811773818745,,,,,,,,,,,2739/0.011323862466543133,,,,,
1561/0.018140589569160998,,,,,,1574/0.013897161008536827,,,,2753/0.01698333510243074,2143/0.008533611981887844,,,,1837/0.016994066478483782,1410/0.015907813378302417,1753/0.01585160202360877,,,,685/0.01702806970866037,,1631/0.012996797890374836,,,61/0.01787618390516214,,617/0.01601649222962258,,,,,,2659/0.014639436110609073,,,1305/0.01411443314615268,,,,,2146/0.015719716428644816,,,,,,1546/0.015330592668722165,,,,,,1828/0.015112262521588947,,,,,,1200/0.007081735025081145,,,2303/0.010936623667975322,,1551/0.008103497298834235,,,,,,1994/0.003483713638738896,,,,,,,,,,2776/0.004755535740823302,,354/0.008440797186400938,,,,,710/0.013516574794230914,,,,,,,,,,1166/0.010157584962977027,,,2288/0.014265335235378032,,,,,,,,1413/0.013757523645743766,,,,,,,,1237/0.015146992986121474,,,,,,,,,,,,,518/0.015891270256142186,,,2848/0.007082852907264042,,,,,,,,,,2822/0.015879163439194422,,,,,,,,,,,1028/0.010706197241095327,,,,,
2363/0.016628873771730914,,,,,,1196/0.013897161008536827,,,,425/0.01592187665852882,2469/0.007662835249042145,,,,460/0.016936459473471974,365/0.015626756604834178,2003/0.01551433389544688,,,,1445/0.01556471996807237,,301/0.012808438500659257,,,1630/0.01756256664366807,,2762/0.015620044402156676,,,,,,690/0.014458702331465751,,,2953/0.01411443314615268,,,,,391/0.015103256960854823,,,,,,571/0.014645426515930112,,,,,,1164/0.0143566493955095,,,,,,747/0.006196518146946002,,,1527/0.009534492428491307,,408/0.00796133067955644,,,,,,,,,,,,,,,,,,2742/0.006799531066822978,,,,,2531/0.012836970474967908,,,,,,,,,,2921/0.010062654262388457,,,2415/0.014135650369601868,,,,,,,,265/0.013279831852488775,,,,,,,,1748/0.013505446948216685,,,,,,,,,,,,,730/0.015891270256142186,,,1897/0.006588700378850272,,,,,,,,,,2557/0.015104570100697134,,,,,,,,,,,1565/0.009470866790199713,,,,,
1012/0.015549076773566569,,,,,,1364/0.013400833829660513,,,,2673/0.015178855747797473,2636/0.004528039010797631,,,,1717/0.01641799642836569,2494/0.01551433389544688,1004/0.015345699831365935,,,,1852/0.014367433816682188,,1907/0.010171407044641175,,,2005/0.017437119739070438,,829/0.014272121788772598,,,,,,2698/0.014458702331465751,,,2294/0.013507360752769768,,,,,407/0.014384054248433165,,,,,,2712/0.01276121959575197,,,,,,1735/0.01273747841105354,,,,,,1426/0.0034425100816366677,,,2381/0.008553000560852496,,479/0.002985499004833665,,,,,,,,,,,,,,,,,,2579/0.0023446658851113715,,,,,2837/0.012761458883938684,,,,,,,,,,1081/0.008543763052971332,,,309/0.014005965503825704,,,,,,,,2891/0.012897678417884782,,,,,,,,62/0.010222354872407103,,,,,,,,,,,,,34/0.015682174594877155,,,2385/0.005435677812551474,,,,,,,,,,2428/0.013749031758326879,,,,,,,,,,,1807/0.0084414247477867,,,,,
2663/0.014685239175035093,,,,,,1423/0.013400833829660513,,,,1307/0.014435834837066128,2729/0.001567398119122257,,,,1289/0.01618756840831845,1149/0.015458122540753232,826/0.015261382799325464,,,,2544/0.01383530663828655,,,,,1008/0.016433544502289406,,1694/0.014113542657786235,,,,,,506/0.01337429965660582,,,732/0.01335559265442404,,,,,703/0.013253878557484845,,,,,,2970/0.010705721137375813,,,,,,2188/0.012305699481865285,,,,,,2666/0.003245795219828858,,,1523/0.006309590577678071,,1818/0.0017059994313335229,,,,,,,,,,,,,,,,,,1229/0.0016412661195779601,,,,,2714/0.012459412519821793,,,,,,,,,,2726/0.008069109550028479,,,2356/0.014005965503825704,,,,,,,,2451/0.012802140059233783,,,,,,,,247/0.00977466049843307,,,,,,,,,,,,,1808/0.015577626764244642,,,1499/0.004447372755723934,,,,,,,,,,1536/0.013168086754453912,,,,,,,,,,,2882/0.007206094296891085,,,,,
1484/0.014577259475218658,,,,,,1794/0.013301568393885249,,,,2879/0.014223543148285745,246/0.0006966213862765587,,,,954/0.015438677343164928,1605/0.015233277121978639,1456/0.014839797639123103,,,,2092/0.013436211254489823,,,,,1797/0.014865458194819043,,294/0.013479226133840786,,,,,,2674/0.013103198987890837,,,433/0.012596752162695402,,,,,2040/0.013253878557484845,,,,,,2617/0.010020554984583761,,,,,,1031/0.011873920552677029,,,,,,955/0.002852365496213239,,,1815/0.005468311833987661,,,,,,,,,,,,,,,,,,,,1956/0.0016412661195779601,,,,,2179/0.012232877746734124,,,,,,,,,,3018/0.007784317448262768,,,1986/0.012968486577616392,,,,,,,,878/0.012133371548676794,,,,,,,,2000/0.008058498731532608,,,,,,,,,,,,,2703/0.015473078933612128,,,2048/0.0037885027178389064,,,,,,,,,,582/0.009876065065840434,,,,,,,,,,,2218/0.007000205888408483,,,,,
2463/0.012741604578339272,,,,,,2963/0.012904506650784197,,,,1471/0.012100626260481901,,,,,1967/0.014977821303070453,884/0.014502529510961214,707/0.014502529510961214,,,,2189/0.013303179459890914,,,,,2836/0.01442639402872734,,2460/0.013320647002854425,,,,,,1873/0.012651364540032533,,,2030/0.012141447867658217,,,,,2510/0.013048392068221514,,,,,,1470/0.009421034600890716,,,,,,2492/0.011765975820379965,,,,,,2064/0.002360578341693715,,,2816/0.00448681996634885,,,,,,,,,,,,,,,,,,,,2697/0.0016412661195779601,,,,,227/0.012232877746734124,,,,,,,,,,2619/0.007594456047085627,,,1507/0.0125794319802879,,,,,,,,1351/0.011082449603515811,,,,,,,,1415/0.007760035815549918,,,,,,,,,,,,,683/0.015473078933612128,,,2864/0.0034590676988963927,,,,,,,,,,2391/0.009876065065840434,,,,,,,,,,,2936/0.007000205888408483,,,,,
