Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131
1107/0.21306620209059232,241/0.12945014873812494,1676/0.1901081916537867,749/0.09911864406779661,159/0.3507474682526925,1704/0.1343488404007136,892/0.06205214209483153,476/0.276195219123506,621/0.1920863309352518,313/0.17754702527874713,2024/0.05065942591155935,475/0.08995342648037259,2171/0.14386740331491712,1718/0.04787764601573756,598/0.1397790055248619,1440/0.08540822235089751,2496/0.16329883357976013,2623/0.050120395968964594,1917/0.07255374351371387,468/0.2710951526032316,850/0.17467110477096212,1030/0.060983771122636775,914/0.10894510366410223,31/0.11370446301845134,667/0.22380484610347084,2193/0.04360257326661901,1411/0.29540481400437635,2572/0.02708403644954438,851/0.11141855746172293,2019/0.21803921568627452,425/0.17204813535088764,2912/0.14675880223757815,427/0.034074639686933285,648/0.04756637168141593,1368/0.10098522167487685,1595/0.13943798449612402,437/0.060358408822371014,1112/0.09177820267686425,328/0.19576816927322907,357/0.11395741092135779,79/0.19665778638895617,891/0.12304707444092719,479/0.3829862336745499,125/0.11591220850480109,757/0.17573320719016083,581/0.3673864330820941,147/0.08480111979470431,2048/0.14464083022539323,324/0.14508022424125266,573/0.055967343431088196,2507/0.09009462452184418,811/0.05327477563490548,176/0.34413702239789196,1731/0.9205260948649783,1327/0.06069035276267543,2224/0.11343385880740232,577/0.873641304347826,1466/0.19571839566762567,1797/0.19147562156926057,2042/0.1839769728951787,508/0.3680276020701553,2481/0.12628759785743718,1098/0.11769537667214269,977/0.2891874600127959,390/0.15289256198347106,175/0.14398334077048935,1822/0.06272646750946131,169/0.13019914292916562,281/0.1939978563772776,951/0.2279383796120198,1499/0.34279395503133064,1727/0.08871695680206318,2252/0.27476179924662086,1129/0.059314748864055016,832/0.11057042443903758,956/0.29726205997392435,2307/0.21212121212121213,2846/0.21498019445444724,2325/0.11803928635790233,1428/0.2504432624113475,2551/0.404740665222378,85/0.18503118503118504,1467/0.2573099415204678,43/0.09565217391304348,2063/0.13593907170570485,186/0.21515326778484672,1150/0.22286661143330572,669/0.09229367352252017,843/0.28288596992194937,514/0.10609236106092361,2902/0.18023787740164685,1430/0.24142550911039656,1313/0.48691418137553255,402/0.22547683923705722,237/0.0681912681912682,117/0.0723846653671215,1763/0.8572961373390557,1469/0.06783395176252319,616/0.04824986537425956,444/0.1570463951208887,1584/0.23442345644206372,2864/0.34382767191383595,172/0.16071428571428573,1501/0.12735974474873704,1498/0.10465116279069768,874/0.15732003235373415,1507/0.911965811965812,410/0.11429678419217358,2798/1.0,1764/0.09790861862261889,2361/0.23326199938856618,997/0.0650593866335756,1947/0.2856618995232857,909/0.15328390936618982,1651/0.13732876712328768,682/0.0711318795430945,1814/0.5049382716049383,792/0.20492644543277455,910/0.4079696394686907,516/0.13521496553987528,2263/0.13664940828402367,2077/0.12905244711478284,2471/0.8013803680981595,494/0.06365538890826648,277/0.7005012531328321,67/0.07069745298738396,373/0.23848238482384823,680/0.12230715774843641,944/0.48830811554332876,44/0.286918869644485,837/0.20287958115183247
1125/0.15749128919860628,98/0.1268592265617503,588/0.16449547361448444,1003/0.07810169491525423,562/0.2520495097251246,1713/0.12405653904212982,490/0.0612898307668852,2398/0.25926294820717133,1332/0.14431654676258993,1203/0.11005191931228189,446/0.04817688130333592,2255/0.07744510978043913,112/0.12,201/0.04566108832982378,160/0.1302025782688766,552/0.07894228913337194,1600/0.11237062592410055,1295/0.04512619281191474,696/0.058191252779836916,653/0.15008976660682227,1786/0.12030432715168807,1729/0.056801070771289944,893/0.10431607771547789,38/0.08547547705409242,168/0.14734774066797643,2190/0.03772535938368676,948/0.2567469000729395,2827/0.023287208909888626,362/0.10902047592695074,2213/0.2164705882352941,2431/0.16597164303586323,1617/0.13589996709443897,2960/0.025866183067672043,1132/0.03926991150442478,1522/0.09964173757277206,370/0.11540697674418604,952/0.05179204411185506,97/0.0850444758500291,2039/0.15032198712051517,2329/0.10773771874341134,92/0.1191571809154759,124/0.10242009598692944,487/0.3000352982703848,522/0.10653863740283494,3010/0.17242194891201515,1576/0.30932980240374824,383/0.06940394261052141,1126/0.14431652343116588,2351/0.14488691281654745,77/0.042324632076485125,1582/0.08475941211999195,1142/0.05079243841894214,1895/0.3227931488801054,2766/0.023506366307541625,1924/0.05702364394993046,2935/0.11017820424948595,2702/0.09963768115942029,1548/0.16204095447622271,731/0.17307071359380044,1244/0.16958503238186615,1596/0.1932144910868315,637/0.11454470539761022,210/0.07862004224360479,2289/0.2504158669225848,558/0.1182453909726637,227/0.11334225792057118,880/0.06055237941863274,1610/0.12188051424250063,155/0.1302250803858521,1271/0.19807911753518448,700/0.24364172502764467,70/0.07388781431334623,2772/0.21338355860846445,541/0.05415694461500675,1756/0.10408218437415517,474/0.21199478487614082,3005/0.20065520065520065,1552/0.2099387828592006,2829/0.08686249774734187,1571/0.14583333333333334,2/0.2329552695297566,864/0.1346153846153846,1310/0.23770209838321293,579/0.07434782608695652,1923/0.10590602098002587,14/0.21249277038750722,2168/0.2060204363435515,146/0.06443634470190054,868/0.26270702455739575,323/0.09272241092722411,698/0.11779505946935041,1452/0.18944265809217578,1521/0.2678027997565429,606/0.17257039055404177,305/0.06652806652806653,145/0.06848602988953865,640/0.1427038626609442,235/0.06644248608534323,2858/0.04372644049542272,1032/0.1370071879764757,221/0.20059204961939667,1164/0.2597348798674399,1138/0.1167184265010352,2412/0.09678277053975007,534/0.09663733500942803,705/0.09975734699379887,934/0.08803418803418804,1119/0.11061604029445951,,291/0.09417876648461436,1399/0.1793029654539896,502/0.057791171778053534,243/0.23157315731573158,1384/0.08823222303435314,1336/0.11541095890410959,2313/0.05261336102457598,2863/0.24074074074074073,1516/0.16524119055764624,35/0.23592662871600253,2075/0.11913357400722022,101/0.10928254437869822,2639/0.1194141945174615,723/0.1901840490797546,255/0.061737007324729684,2901/0.24185463659147868,1606/0.04570340395144013,2284/0.15509693558474047,372/0.10799166087560806,13/0.32324621733149933,1439/0.19758432087511393,60/0.16230366492146597
1487/0.1489547038327526,194/0.11918242011323289,590/0.16096268491940827,396/0.07389830508474576,499/0.2059154476772223,39/0.1158226979552628,1241/0.05061747217563653,1212/0.12788844621513945,721/0.13568345323741007,286/0.08758192186569069,1848/0.03840186190845617,225/0.07238855622089155,801/0.10784530386740332,1202/0.042890391222431566,695/0.12430939226519337,254/0.06581740976645435,519/0.08854936750451782,16/0.04405600642111834,398/0.05707931801334322,2549/0.08061041292639139,1287/0.10492946584244729,2653/0.04935586414589259,1308/0.09362367974964142,1385/0.07427850496767072,395/0.13867059593975115,702/0.036295766817568104,2831/0.25054704595185995,694/0.019996625042186973,432/0.09186496956281129,1899/0.12803921568627452,1670/0.1588228285475992,99/0.1326094109904574,1887/0.02386179249785244,1788/0.03761061946902655,143/0.08553515450067174,1468/0.11501937984496124,1671/0.051496652225285544,1780/0.08471194613018539,224/0.12842686292548297,2123/0.09065991988193127,1165/0.1060789537418261,1059/0.09741652200551414,689/0.28415107659724675,113/0.0852766346593507,1941/0.09011352885525072,2907/0.2736809940924832,740/0.06403825965239707,166/0.0995621858277931,1248/0.13879760293833365,3004/0.04189494038027715,74/0.0841554258103483,786/0.04716440710330342,2518/0.1865612648221344,515/0.01846928781306842,556/0.05601213807055253,2929/0.07111034955448937,1839/0.026721014492753624,638/0.14790996784565916,2333/0.14401033257991605,1326/0.15567282321899736,404/0.19091431857389304,326/0.11145447053976103,109/0.05902370335601971,644/0.12488803582853487,91/0.08041958041958042,32/0.0999553770638108,2708/0.05813672598437877,727/0.12162843458532896,2747/0.0897642015005359,2585/0.18400532521871435,673/0.1267969037965352,566/0.07259832366215345,1000/0.20319078218479947,80/0.05317450571042613,2612/0.09705325763719924,433/0.19126466753585397,2664/0.11711711711711711,259/0.16492617933021245,2262/0.07911335375743377,2126/0.1201241134751773,2588/0.15674780170765898,1579/0.10966735966735967,869/0.21861025111799107,672/0.05315217391304348,1371/0.097140393734732,46/0.20913823019086178,1362/0.1587959127312897,1636/0.0580577974485811,55/0.12716542927850752,960/0.061646310616463106,654/0.11539341262580055,266/0.15541264737406216,553/0.12659768715763847,543/0.1262488646684832,1/0.06223146223146223,641/0.060948667966211824,,86/0.06435528756957329,943/0.0345718901453958,2327/0.1062949248529732,1926/0.12588102621934028,1618/0.25766362883181443,244/0.10507246376811594,12/0.08960382876894443,580/0.09192331866750471,2528/0.08169317875438123,,2079/0.10906625339015885,,2159/0.0923138404156121,1884/0.17884439009477224,2237/0.05406842758376174,1115/0.22258892555922258,4/0.07518011903518847,1446/0.08698630136986302,2302/0.05157493942540672,2467/0.09588477366255144,21/0.12863496407800204,24/0.16350411132194814,804/0.1171644240236298,2453/0.07340976331360946,359/0.1182876455125798,2345/0.00843558282208589,10/0.0565050575514475,1023/0.05764411027568922,1051/0.04427517257795763,1031/0.1440483635605587,1943/0.09478804725503823,2851/0.18844566712517194,1881/0.13422971741112125,2142/0.1043848167539267
1898/0.09616724738675958,200/0.09960656366951348,1199/0.09803488628836388,2349/0.0703728813559322,2525/0.1912875743449606,883/0.09537532592287636,331/0.04909284951974386,300/0.1256972111553785,2157/0.10589928057553957,2350/0.08000680909013533,2219/0.036850271528316526,2118/0.06679973386560213,1547/0.09613259668508287,2191/0.036573201817577304,1392/0.10515653775322284,2534/0.05471916618413434,1320/0.07573517332019057,302/0.0353161508962811,2434/0.051334321719792436,211/0.07684021543985638,2782/0.09779679822475829,2127/0.048519324075623226,20/0.09147216064675968,1062/0.05976975240498344,1533/0.11280288146692861,2579/0.03399253434993249,2082/0.19730123997082422,164/0.019996625042186973,1161/0.08061243313041874,1920/0.11509803921568627,578/0.14392946503038245,1972/0.1039815728858177,149/0.02357545098787821,2245/0.028097345132743364,2204/0.08486341244961934,1081/0.10358527131782946,220/0.046770382040173294,1816/0.06209992518081304,368/0.1046918123275069,722/0.08022348724436011,1145/0.09469605231290869,1455/0.08393750638210967,836/0.032827391457818565,1732/0.07681755829903979,197/0.08230842005676443,191/0.04960277042167448,1799/0.05808935028578094,1554/0.09275174314901898,1493/0.10303498936787164,23/0.04157267160812117,715/0.05184215824441313,624/0.04582776398701547,916/0.14650856389986824,2353/0.014691478942213516,2405/0.04829940574029586,2017/0.06459904043865661,,1851/0.14680995092232188,265/0.07168227316758154,922/0.14655792756056607,163/0.13341000575043127,2268/0.0665430572723527,2796/0.05327387937103966,2638/0.09865642994241842,2962/0.07660521296884933,2582/0.0871634686895731,795/0.04726628553023593,2212/0.09667254852533401,94/0.08011789924973205,2385/0.151293267402054,1834/0.11389605602653889,623/0.07208252740167634,1104/0.16729448260580546,134/0.04740267714601498,356/0.07110029737766964,1672/0.16988265971316818,965/0.10933660933660934,687/0.16204537270435723,1520/0.07100378446566949,1366/0.11591312056737589,1105/0.1167325092391997,2292/0.0893970893970894,29/0.16632266941864465,1987/0.05271739130434783,602/0.07860324759304498,509/0.17709658762290342,1071/0.11212372272852802,280/0.05089820359281437,1453/0.12050256996002284,71/0.059189130591891306,384/0.10338517840805124,2940/0.12808145766345122,703/0.11868533171028606,2286/0.11580381471389646,1858/0.050311850311850315,1197/0.05523066926575698,,2041/0.0575139146567718,279/0.03327948303715671,726/0.101938575473753,195/0.10459543276007895,2023/0.06669428334714167,229/0.10403726708074534,975/0.07551183195958522,1902/0.08233815210559396,1049/0.07832299811269884,,477/0.08950019372336304,,1075/0.08685227121353403,1735/0.16890859064506267,1886/0.051054777521716006,619/0.18995232856618996,1243/0.07507570220319515,1793/0.075,2306/0.05036344755970924,1724/0.08518518518518518,2297/0.12521382141635307,285/0.12681846932321317,1701/0.10239579914670167,1089/0.06379437869822485,2370/0.10940042558517962,,691/0.054935472619462855,,1700/0.042132825517733875,2862/0.1432145090681676,1303/0.08436414176511467,,2791/0.12807657247037374,2223/0.09784031413612565
1171/0.08641114982578398,1361/0.09701564149313885,2793/0.0865533230293663,1668/0.06345762711864407,,818/0.07739810621655002,1667/0.04650099100472633,1897/0.11045816733067729,183/0.09453237410071942,1624/0.07396374159502936,1097/0.03630721489526765,1026/0.05801729873586161,678/0.09226519337016574,6/0.0355757508589161,1637/0.10257826887661142,2227/0.046998648909476935,1509/0.07557088877936587,69/0.035137786497815036,1406/0.04846182357301705,1539/0.06337522441651705,96/0.06577904580757647,529/0.041325079471306675,1041/0.08306167688094927,966/0.05361930294906166,1853/0.08005893909626718,1798/0.03375426892224605,,2724/0.01965912926088424,848/0.08042796532005166,1010/0.08784313725490196,1540/0.1327296556654355,165/0.08292201382033564,310/0.02214374343800706,2866/0.02588495575221239,620/0.07859381997313032,1217/0.08575581395348837,2181/0.04598267034265459,1524/0.061268600881203755,2509/0.0984360625574977,272/0.07136833227914822,480/0.08694599176556067,1004/0.0631063004186664,,2914/0.07281664380429813,65/0.07639545884578997,,486/0.04642482211594541,296/0.09096805578076861,2320/0.09800889232553645,503/0.03426791277258567,2339/0.051540165089591305,284/0.04468206988734008,,1131/0.012452777389114314,308/0.04501201163231761,1462/0.05740233036326251,,1935/0.13521746488407513,1228/0.06005812076202777,58/0.14319980810745983,2537/0.06009200690051754,1623/0.05624227441285538,271/0.048932175545646564,789/0.08432501599488164,633/0.07342657342657342,2504/0.08195745946749963,430/0.04154923906916821,665/0.09112679606755734,1123/0.07261521972132905,1870/0.07626473944465577,2272/0.10099520825654257,1825/0.05351386202450032,2592/0.14136937735430977,1760/0.04470097015841827,27/0.07015409570154096,2172/0.07040417209908735,1614/0.08353808353808354,2952/0.15052214620093626,1826/0.0556857091367814,829/0.10970744680851063,1127/0.08882375430100675,54/0.08056133056133057,1591/0.12005503955968352,1513/0.042608695652173914,1758/0.06437706567035494,1261/0.1381145170618855,1515/0.07953603976801989,33/0.05063785472533194,1163/0.11840852845992766,753/0.05759919057599191,1099/0.10121225983531565,1076/0.08788853161843516,,2872/0.08832879200726612,1085/0.047401247401247404,560/0.054450942170240414,,2281/0.04997680890538033,2342/0.03327948303715671,1511/0.09649313874972773,587/0.10290386241894559,1504/0.0347970173985087,192/0.07763975155279502,239/0.07152353097580431,2376/0.07746700188560654,2305/0.07751415475869507,,742/0.0602479659046881,,2060/0.08538697215931797,3024/0.12350963008254356,670/0.050877503988654496,2064/0.05427209387605427,1037/0.07371828338728204,2562/0.07397260273972603,902/0.047248182762201454,2833/0.07325102880658436,531/0.12384536435169347,2208/0.06578115117014548,138/0.09451919921234,2807/0.06342455621301775,1708/0.0758542996620353,,1021/0.05458667596791071,,1859/0.041180671268745535,452/0.0969355847404628,2536/0.07533009034051424,,3019/0.11212397447584321,387/0.09195026178010471
2161/0.07804878048780488,2853/0.07772766529123884,2196/0.08346213292117466,318/0.05905084745762712,,1340/0.05338273637985454,1353/0.041164811709101995,1992/0.07818725099601594,1068/0.06820143884892087,1599/0.071495446420972,184/0.03320403413498836,915/0.0552228875582169,2435/0.09049723756906078,1258/0.033470021057298016,1080/0.1007366482504604,2037/0.046902142443543716,1459/0.07327090520781994,1186/0.03290823151698921,339/0.041882876204596,2132/0.06014362657091562,488/0.05864637818988746,135/0.03923372929563326,129/0.07230408136654062,1616/0.049676707143983596,540/0.07760314341846758,1643/0.026765149710110396,,2432/0.018984137698278773,1564/0.06843755764619074,1757/0.08784313725490196,1817/0.06648397474085548,2928/0.08259295820993748,785/0.022048296268015653,15/0.025,1418/0.05463502015226153,2299/0.08401162790697675,1189/0.045490350531705394,2089/0.05353728489483748,178/0.07709291628334866,2918/0.06198608475648324,780/0.08597723419714216,59/0.055243541305013785,,1113/0.06801554641060814,2573/0.07190160832544938,,1111/0.04385862591858159,316/0.07556348305497,1205/0.09539918809201624,1002/0.03297883768396176,809/0.039561103281658946,1427/0.037998854305900324,,528/0.010353994683083812,1345/0.040713111644961435,1146/0.046264564770390676,,2162/0.10230157387036723,351/0.049079754601226995,1957/0.052050851523147035,1219/0.054341575618171364,2779/0.05315203955500618,140/0.04764139873269185,19/0.07907869481765835,306/0.06611570247933884,882/0.06336456938866578,593/0.039777759884048636,2816/0.09049659692462818,2654/0.0597534833869239,1118/0.07265119817421073,1529/0.07187615186140804,2437/0.053255963894261765,,1170/0.04322731180154734,2016/0.05798864557988646,1949/0.059191655801825296,2994/0.05855855855855856,1445/0.0662585523946705,2397/0.050459542259866645,995/0.10749113475177305,,2096/0.07432432432432433,,719/0.04184782608695652,2472/0.055755137232360974,1074/0.04800462695199537,2995/0.048053024026512015,860/0.04803436605050768,1750/0.08833047782219684,435/0.0541302305413023,890/0.09492223238792315,1656/0.0860128617363344,,471/0.08651226158038147,1401/0.04698544698544699,974/0.04808317089018843,,1270/0.045338589981447124,1443/0.03284868066774367,1442/0.07884992376388586,2628/0.10205807724837891,1070/0.026512013256006627,334/0.06858178053830227,1096/0.05902685455995746,2069/0.06411062225015714,1871/0.07036937179832839,,2492/0.057535838822161955,,1168/0.0839216731051019,1268/0.09416080709263222,764/0.049991136323346924,2474/0.01595159515951595,805/0.06849744178761616,2897/0.06438356164383562,454/0.04672897196261682,,354/0.11973999315771468,,1155/0.09025270758122744,2781/0.05232988165680473,3003/0.06346226060833646,,442/0.05127310777816533,,174/0.03832420852178053,1862/0.0873462580779654,1463/0.07491313412091731,,1597/0.09708295350957157,344/0.0775523560209424
298/0.06689895470383275,1782/0.07446502255061895,557/0.0763965555310223,2516/0.05247457627118644,,1178/0.04899135446685879,3000/0.039335264522030795,847/0.022310756972111555,2716/0.06719424460431654,393/0.06579283343263256,240/0.032583397982932506,1274/0.049234863606121095,854/0.08397790055248619,185/0.03324836528870664,604/0.08360957642725599,36/0.04622659718201119,2260/0.06916379168720223,2059/0.03157049852849371,512/0.04160489251297257,1725/0.05942549371633752,426/0.05341575527024885,1989/0.033712564831855446,2015/0.06571912896075108,1662/0.044945592177889925,2120/0.06827111984282908,3022/0.026368040663966325,,1587/0.01839352008099899,517/0.06271905552481093,2972/0.0815686274509804,542/0.058501131895627306,1969/0.06975978940440934,367/0.021666507588050013,51/0.02157079646017699,676/0.04746977160770264,564/0.07151162790697674,1042/0.04470263883418669,2652/0.05328788760495469,458/0.07543698252069918,583/0.058823529411764705,252/0.048437878420925166,1638/0.05075053609721229,,95/0.061042524005486966,1827/0.06788079470198675,,635/0.04385862591858159,1573/0.07475271606940165,414/0.07577807848443843,90/0.03115264797507788,287/0.037749144352728005,2359/0.037998854305900324,,,1008/0.03666708812744974,1087/0.046093214530500345,,1311/0.05170079539685226,2311/0.048111075234097515,2380/0.04653394099304389,,496/0.05109188298310672,896/0.03884064773527341,2013/0.07344849648112604,1879/0.06357279084551812,2930/0.04849025732559869,338/0.03937515097833964,1541/0.06906982606503655,1370/0.05921757770632369,1342/0.0700836820083682,,718/0.05067698259187621,,102/0.04322731180154734,1157/0.05771830224384969,,1222/0.0561015561015561,3006/0.03132877205617573,823/0.045593800684808075,751/0.0990691489361702,,1307/0.06340956340956341,,2203/0.03967391304347826,1979/0.05532404081046127,,2812/0.047500690417011875,3007/0.04178599323092944,,814/0.051167160511671604,1252/0.07513723696248856,2967/0.05894962486602358,,1253/0.06630336058128973,1475/0.038808038808038806,1673/0.042884990253411304,,911/0.040236549165120594,668/0.03274098007539041,2824/0.0653452406883032,794/0.08161826895968424,2852/0.006213753106876553,2622/0.06806418219461698,1188/0.05610210050518479,1324/0.05782526712759271,921/0.06834726341331895,,141/0.05734211545912437,,1277/0.07379778873051818,2669/0.022011617242433508,1360/0.04573657152987059,,1562/0.058055758588284434,1153/0.06095890410958904,1302/0.04534440983039114,,1622/0.06158056790968183,,1722/0.077125041023958,1791/0.04419378698224852,1356/0.05883089247715609,,187/0.047959539588419954,,988/0.03832420852178053,983/0.06816760475297061,350/0.07116052814454482,,1245/0.04033728350045579,1538/0.06380890052356021
2957/0.06045296167247387,802/0.0671720564245274,2358/0.06005740781629499,1267/0.05220338983050848,,1632/0.047344586249485385,2575/0.03323677389846013,,766/0.055827338129496404,1001/0.05677078900331943,507/0.031186966640806828,438/0.04856952761144378,681/0.05535911602209945,68/0.0315859470242713,299/0.08342541436464089,114/0.04497201312487937,100/0.06850665352390341,2725/0.031481316329260677,2599/0.04095626389918458,941/0.05798922800718133,1601/0.052464732921223646,1602/0.033210640789693824,984/0.05437475550919285,317/0.04415707301687431,887/0.05992141453831041,1407/0.02366769915018664,,1082/0.017549780627742154,532/0.060136506179671645,222/0.06509803921568627,1978/0.054569283927082095,2926/0.05725567620927937,415/0.021666507588050013,2513/0.02157079646017699,1738/0.047021943573667714,1880/0.059689922480620154,1019/0.04440724694761717,981/0.04447585002909635,907/0.057589696412143516,116/0.05703141471642421,1985/0.045047226931460405,447/0.050648422342489535,,1114/0.05589849108367627,2173/0.0640964995269631,,268/0.04362533535518488,234/0.07150964812712826,756/0.07345834138797602,2317/0.026426039316790204,439/0.0364405073485001,1251/0.037426007256062634,,,75/0.03439119989884941,716/0.04386566141192598,,821/0.03596209172448807,2568/0.044559250887956085,3012/0.04629407531782202,,2679/0.05026782035434693,1705/0.03743252757568646,,1260/0.040686586141131596,861/0.040309385690911796,1084/0.03937515097833964,2195/0.06554071086463323,1102/0.04501607717041801,2976/0.019684290604792695,,61/0.04809800128949065,,574/0.036350239469482994,1685/0.047850770478507706,,1556/0.042997542997543,,374/0.04325103622274284,2084/0.051418439716312055,,2757/0.061850311850311854,,1645/0.03815217391304348,2442/0.05431814915936198,,844/0.04584368958851146,1583/0.03514709711012757,,1461/0.040904820409048206,1938/0.06953339432753888,1229/0.05278670953912112,,1865/0.04700272479564033,1565/0.03853083853083853,754/0.040805717998700454,,2217/0.03710575139146568,1314/0.031879375336564354,2826/0.06425615334349814,717/0.036509726529461516,245/0.002071251035625518,1855/0.06392339544513458,2210/0.052645572985908,2389/0.05122564424890006,1619/0.06470746832030197,,1581/0.0515304145679969,,2875/0.06846942853336886,,938/0.044850203864563024,,538/0.054087918972538375,992/0.056164383561643834,105/0.044825199030806506,,2372/0.05302771125555936,,1970/0.07515589104036757,1518/0.04363905325443787,282/0.053072975341094,,1038/0.044122776421346356,,1272/0.03808616995953344,2021/0.06670835939128622,416/0.06476719944405837,,107/0.0036463081130355514,2362/0.05170157068062827
2695/0.047386759581881537,440/0.06218213223299108,131/0.04084786928681828,232/0.04935593220338983,,381/0.0466584328255798,551/0.03140722671138893,,353/0.04762589928057554,662/0.04911056260107243,2476/0.03048875096974399,1995/0.03992015968063872,242/0.05303867403314917,1063/0.030920979718497173,520/0.05543278084714549,1047/0.04226983207874928,333/0.06752094627895515,592/0.02773566396147329,226/0.03836174944403262,2446/0.04290843806104129,506/0.04977016959898558,2394/0.03262506274050527,2425/0.04629025948624332,595/0.04415707301687431,1517/0.054027504911591355,462/0.023350011913271386,,947/0.017043536955788054,1167/0.04980630879911455,,428/0.04694388180626713,329/0.04870023033892728,663/0.020902930228118736,106/0.0206858407079646,2672/0.040304523063143756,2445/0.05281007751937984,2522/0.04155179204411186,2618/0.04148308255050295,2093/0.048390064397424104,1983/0.051760489141893316,985/0.0431097117946234,1101/0.04983151230470744,,1915/0.04698216735253772,913/0.06244087038789026,,1269/0.041642365566312844,1909/0.05578076860710232,1813/0.06253624589213222,828/0.02470727253195832,342/0.03543386349909402,364/0.033988924957036475,,,376/0.032873941079782525,1140/0.04283755997258396,,288/0.015738703672364192,712/0.03648692282854375,1174/0.029983209402734468,,1422/0.049443757725587144,441/0.03614175076273175,,1794/0.0371900826446281,330/0.03733452327829838,2670/0.03647636685723488,2587/0.04360978069069826,2423/0.04448017148981779,,,535/0.04719535783365571,,2025/0.03585902001719268,1843/0.047039740470397405,,1416/0.03562653562653563,,213/0.040728059109749505,,,750/0.061330561330561334,,544/0.03815217391304348,26/0.05359965512286248,,1018/0.04418668876001105,1393/0.03358500390523301,,1869/0.0401821204018212,2811/0.047918572735590116,,,5/0.042461398728428704,2189/0.03686763686763687,1053/0.0405458089668616,,1073/0.0364100185528757,322/0.030586968228325257,2074/0.0531474624264866,1152/0.011418099802650126,2452/0.0016570008285004142,1367/0.04813664596273292,1510/0.048391385269875034,1419/0.049654305468258955,2115/0.05810191426260448,,219/0.05036807438977141,,877/0.06327427734114827,,2560/0.04343201560007091,,990/0.05116424767672549,1276/0.054452054794520546,994/0.043786777431637246,,1184/0.017789941840574752,,1265/0.05776173285198556,1952/0.041605029585798814,642/0.05031918888471649,,1666/0.0413324032089292,,1296/0.03665793858605094,,2737/0.056011118832522584,,,1973/0.05006544502617801
