Topic 1,Topic 2
316/0.0013543047127479017,1287/0.001255061956834969
452/0.001351398479458743,789/0.0012493743648855657
163/0.0013484922461695845,1252/0.0012455826369192969
1750/0.0013484922461695845,183/0.0012455826369192969
477/0.0013426797795912672,805/0.0012436867729361625
1320/0.0013397735463021089,2024/0.0012379991809867593
1573/0.0013397735463021089,1075/0.0012361033170036249
1509/0.0013368673130129502,440/0.0012285198610710872
259/0.001331054846434633,1813/0.0012266239970879528
604/0.0013194299132779986,972/0.0012228322691216842
299/0.00131652367998884,2089/0.0012209364051385498
1138/0.001310711213410523,2652/0.0012152488131891466
1368/0.001310711213410523,2060/0.0012152488131891466
687/0.0013078049801213644,2914/0.001207665357256609
2549/0.0013048987468322058,1168/0.0011943943093746681
1757/0.0013019925135430471,696/0.0011906025814083995
2161/0.0013019925135430471,446/0.0011773315335264587
1010/0.0013019925135430471,1004/0.0011716439415770555
751/0.0012990862802538885,760/0.0011716439415770555
1459/0.00129618004696473,19/0.0011716439415770555
2912/0.00129618004696473,2782/0.001169748077593921
2333/0.00129618004696473,398/0.0011678522136107867
1522/0.0012932738136755713,1880/0.0011678522136107867
1199/0.0012903675803864127,437/0.0011621646216613834
1511/0.001287461347097254,1048/0.0011583728936951148
541/0.001281648880518937,1311/0.0011583728936951148
234/0.001281648880518937,1938/0.0011526853017457116
1521/0.0012787426472297785,1708/0.0011488935737794428
2262/0.0012758364139406199,170/0.0011375183898806364
1165/0.0012729301806514613,383/0.0011280390699649643
1161/0.0012700239473623027,1113/0.0011280390699649643
1026/0.001267117714073144,2653/0.0011185597500492925
848/0.001267117714073144,2918/0.0011147680220830237
80/0.0012583990142056682,795/0.0011128721580998893
1718/0.0012554927809165098,2582/0.0011109762941167549
2115/0.0012525865476273512,1469/0.0011090804301336205
648/0.0012496803143381926,2323/0.0011052887021673517
211/0.0012438678477598754,2127/0.0010996011102179484
1597/0.0012380553811815582,794/0.001097705246234814
2260/0.0012235242147357653,662/0.0010939135182685454
178/0.0012177117481574481,2013/0.0010882259263191422
1862/0.0012177117481574481,235/0.0010863300623360078
2952/0.0012148055148682895,70/0.0010863300623360078
2120/0.001211899281579131,2512/0.0010806424703866046
100/0.001211899281579131,2534/0.0010749548784372014
2972/0.0012089930482899723,1461/0.001073059014454067
915/0.0012060868150008137,818/0.0010692672864877982
2929/0.0012060868150008137,566/0.0010673714225046638
1617/0.0012002743484224967,623/0.0010597879665721263
201/0.001197368115133338,583/0.001057892102588992
516/0.001197368115133338,1817/0.001057892102588992
2851/0.0011944618818441795,117/0.0010559962386058575
682/0.0011944618818441795,1869/0.0010541003746227231
333/0.0011944618818441795,1562/0.0010541003746227231
458/0.0011915556485550208,86/0.0010522045106395887
2069/0.0011857431819767036,1277/0.0010503086466564543
892/0.001182836948687545,2434/0.0010503086466564543
244/0.0011799307153983864,1194/0.001044621054707051
1071/0.0011799307153983864,2504/0.001044621054707051
2737/0.0011712120155309108,2749/0.0010427251907239167
99/0.0011712120155309108,740/0.0010408293267407823
490/0.0011683057822417522,2193/0.0010408293267407823
229/0.0011683057822417522,1541/0.0010389334627576479
285/0.0011653995489525936,602/0.0010370375987745135
1651/0.0011653995489525936,2445/0.0010332458708082447
2453/0.0011537746157959591,59/0.0010256624148757072
302/0.0011508683825068005,116/0.0010256624148757072
1520/0.0011450559159284833,2172/0.0010237665508925728
69/0.0011450559159284833,981/0.0010142872309769008
2793/0.0011392434493501663,325/0.0010123913669937664
1145/0.0011363372160610077,95/0.0010123913669937664
608/0.0011305247494826905,145/0.0009991203191118255
2872/0.0011305247494826905,356/0.0009972244551286911
1408/0.0011276185161935319,952/0.0009972244551286911
1202/0.0011247122829043733,1406/0.0009915368631792881
134/0.0011218060496152146,1671/0.0009915368631792881
298/0.0011159935830368976,1500/0.0009896409991961537
143/0.0011101811164585804,573/0.0009877451352130193
471/0.0011072748831694218,2195/0.000985849271229885
1941/0.0011072748831694218,27/0.0009839534072467505
1062/0.0011014624165911046,538/0.000982057543263616
2204/0.0011014624165911046,430/0.0009782658152973473
2196/0.001098556183301946,715/0.0009763699513142129
2017/0.0010956499500127874,2875/0.0009744740873310785
21/0.0010927437167236288,2339/0.0009706823593648098
558/0.0010811187835669945,3003/0.0009612030394491377
1564/0.001078212550277836,109/0.0009536195835166002
1274/0.0010753063169886773,2258/0.0009517237195334658
1186/0.0010724000836995187,681/0.0009498278555503314
1324/0.00106949385041036,2618/0.0009460361275840626
997/0.0010665876171212015,1799/0.0009441402636009282
887/0.0010636813838320429,1638/0.0009422443996177938
2297/0.0010636813838320429,2041/0.0009403485356346594
494/0.0010607751505428843,447/0.0009403485356346594
438/0.0010607751505428843,1848/0.0009384526716515251
2412/0.0010578689172537259,146/0.0009384526716515251
1760/0.0010578689172537259,593/0.0009365568076683907
2075/0.0010549626839645673,529/0.0009365568076683907
1442/0.0010520564506754087,237/0.0009327650797021219
531/0.0010520564506754087,1983/0.0009308692157189875
1986/0.0010520564506754087,542/0.0009308692157189875
480/0.0010433377508079328,990/0.000928973351735853
804/0.0010375252842296156,338/0.0009270774877527186
85/0.001034619050940457,1114/0.0009270774877527186
780/0.0010317128176512984,672/0.0009270774877527186
1132/0.0010317128176512984,1084/0.0009270774877527186
2059/0.00102880658436214,1101/0.0009251816237695842
255/0.00102880658436214,627/0.0009251816237695842
1539/0.0010259003510729814,1358/0.0009232857597864498
2725/0.0010259003510729814,2227/0.0009232857597864498
102/0.0010229941177838228,191/0.0009232857597864498
1170/0.0010229941177838228,2037/0.0009213898958033155
620/0.0010200878844946642,1987/0.0009194940318201811
354/0.0010171816512055056,319/0.0009157023038539123
197/0.0010113691846271883,73/0.0009119105758876435
2957/0.0010084629513380297,1790/0.0009119105758876435
557/0.0010055567180488711,1327/0.0009100147119045091
1089/0.0010026504847597127,242/0.0009100147119045091
1909/0.0009997442514705541,305/0.0009100147119045091
673/0.0009997442514705541,36/0.0009081188479213747
2807/0.0009968380181813955,596/0.0009062229839382404
1788/0.0009881193183139197,335/0.000904327119955106
966/0.0009881193183139197,2036/0.0009024312559719716
517/0.0009881193183139197,2219/0.0009005353919888372
1336/0.0009794006184464439,220/0.0009005353919888372
12/0.0009794006184464439,877/0.0009005353919888372
1462/0.0009735881518681267,2190/0.0009005353919888372
2747/0.0009735881518681267,1068/0.0008986395280057028
2132/0.0009735881518681267,2277/0.0008967436640225684
2768/0.0009677756852898096,2660/0.0008948478000394339
222/0.000964869452000651,2758/0.0008929519360562995
1241/0.000964869452000651,1356/0.0008910560720731651
1725/0.0009619632187114924,641/0.0008891602080900308
375/0.0009619632187114924,1117/0.0008891602080900308
1517/0.0009590569854223338,135/0.0008891602080900308
2191/0.0009590569854223338,1097/0.0008872643441068964
1076/0.0009532445188440167,2181/0.000885368480123762
983/0.0009503382855548581,2716/0.000885368480123762
502/0.0009474320522656995,2328/0.0008834726161406276
2389/0.0009474320522656995,114/0.0008834726161406276
532/0.0009474320522656995,1189/0.00087588916020809
10/0.0009416195856873823,1978/0.0008683057042755525
2444/0.0009416195856873823,702/0.0008664098402924181
2268/0.0009387133523982238,2222/0.0008645139763092837
941/0.0009387133523982238,2796/0.0008607222483430148
65/0.0009387133523982238,898/0.0008607222483430148
331/0.0009358071191090651,1949/0.0008607222483430148
6/0.0009329008858199065,1042/0.0008607222483430148
1656/0.0009329008858199065,2670/0.0008588263843598804
2021/0.0009299946525307479,2765/0.0008588263843598804
2142/0.0009270884192415893,339/0.0008569305203767461
1972/0.0009183697193741136,1924/0.0008550346563936117
1419/0.0009183697193741136,1019/0.0008550346563936117
691/0.000915463486084955,2167/0.0008512429284273429
1616/0.000915463486084955,1/0.0008512429284273429
907/0.0009096510195066379,512/0.0008512429284273429
1021/0.0009096510195066379,250/0.0008493470644442085
1701/0.0009067447862174793,1758/0.0008493470644442085
592/0.0009038385529283207,616/0.0008493470644442085
742/0.0009038385529283207,1636/0.0008455553364779397
1834/0.0008980260863500034,1503/0.0008417636085116709
1826/0.0008980260863500034,556/0.0008398677445285366
865/0.0008951198530608449,1175/0.0008398677445285366
1652/0.0008922136197716863,2599/0.0008379718805454022
2237/0.0008864011531933691,1047/0.0008303884246128646
1667/0.0008864011531933691,2281/0.0008171173767309238
2573/0.0008834949199042105,2016/0.000813325648764655
2313/0.0008834949199042105,2579/0.0008114297847815206
267/0.000880588686615052,184/0.0008114297847815206
1258/0.0008776824533258934,842/0.0008095339207983862
520/0.0008747762200367348,1157/0.0008095339207983862
1995/0.0008718699867475762,882/0.0008076380568152519
192/0.0008718699867475762,1197/0.0008057421928321175
2824/0.0008718699867475762,821/0.0008057421928321175
185/0.0008718699867475762,1798/0.0008057421928321175
94/0.0008689637534584177,2593/0.0008038463288489831
2223/0.0008689637534584177,282/0.0008038463288489831
2302/0.0008660575201692591,196/0.0008019504648658487
2492/0.0008631512868801004,2522/0.0008000546008827143
67/0.0008631512868801004,240/0.0007962628729164455
574/0.0008602450535909418,560/0.000794367008933311
141/0.0008602450535909418,2811/0.000794367008933311
2064/0.0008602450535909418,1079/0.0007905752809670423
2826/0.0008573388203017832,271/0.0007905752809670423
442/0.0008544325870126247,1074/0.0007867835530007735
1253/0.0008486201204343075,1796/0.0007867835530007735
2025/0.0008486201204343075,96/0.0007867835530007735
2460/0.0008457138871451489,1825/0.0007867835530007735
2306/0.0008457138871451489,1555/0.0007848876890176391
138/0.0008369951872776732,226/0.0007848876890176391
1886/0.0008369951872776732,2437/0.0007829918250345047
2845/0.0008369951872776732,1915/0.0007792000970682359
1877/0.0008369951872776732,1534/0.0007792000970682359
1515/0.0008369951872776732,214/0.0007773042330851015
670/0.0008340889539885146,2433/0.0007773042330851015
1827/0.0008340889539885146,2408/0.0007716166411356984
2664/0.000831182720699356,140/0.000769720777152564
1662/0.0008282764874101973,2858/0.000769720777152564
68/0.0008282764874101973,1989/0.0007640331852031608
975/0.0008253702541210388,642/0.0007621373212200264
2781/0.0008224640208318802,507/0.0007621373212200264
764/0.0008195577875427216,2762/0.0007621373212200264
845/0.000816651554253563,203/0.0007602414572368919
387/0.000816651554253563,486/0.0007545538652874888
317/0.0008137453209644044,1602/0.0007526580013043544
2397/0.0008137453209644044,1240/0.0007488662733380856
595/0.0008137453209644044,586/0.0007488662733380856
297/0.0008137453209644044,77/0.0007469704093549512
1063/0.0008108390876752459,428/0.0007469704093549512
167/0.0008108390876752459,2476/0.0007450745453718168
811/0.0008108390876752459,718/0.0007450745453718168
187/0.0007992141545186115,809/0.0007450745453718168
1155/0.0007992141545186115,1513/0.0007431786813886825
2272/0.000796307921229453,1011/0.0007431786813886825
1745/0.000796307921229453,280/0.0007412828174055481
1623/0.0007934016879402944,1270/0.0007412828174055481
902/0.0007934016879402944,3004/0.0007393869534224137
2695/0.0007904954546511357,1078/0.0007393869534224137
1349/0.0007904954546511357,2394/0.0007393869534224137
1568/0.0007904954546511357,33/0.0007374910894392793
2358/0.0007904954546511357,1340/0.0007374910894392793
2173/0.0007875892213619771,766/0.0007355952254561449
1123/0.0007875892213619771,2472/0.0007355952254561449
1901/0.0007875892213619771,23/0.0007336993614730105
2722/0.0007846829880728185,1429/0.0007318034974898761
1146/0.0007846829880728185,301/0.0007318034974898761
1353/0.0007846829880728185,2540/0.0007318034974898761
454/0.0007846829880728185,1979/0.0007299076335067417
1167/0.0007846829880728185,719/0.0007299076335067417
84/0.00078177675478366,1121/0.0007280117695236072
239/0.00078177675478366,1726/0.0007280117695236072
1087/0.00078177675478366,2405/0.0007242200415573385
2470/0.0007788705214945014,2545/0.0007223241775742041
965/0.0007759642882053428,536/0.0007204283135910697
640/0.0007730580549161842,1334/0.0007204283135910697
1581/0.0007730580549161842,253/0.0007185324496079353
1142/0.0007730580549161842,1527/0.0007166365856248009
334/0.0007701518216270256,264/0.0007166365856248009
2485/0.0007701518216270256,1525/0.0007166365856248009
913/0.0007672455883378671,208/0.0007166365856248009
2622/0.0007643393550487085,2442/0.0007166365856248009
2290/0.0007643393550487085,1866/0.0007147407216416665
2093/0.0007643393550487085,1235/0.0007147407216416665
2490/0.0007643393550487085,1111/0.0007128448576585321
41/0.0007643393550487085,635/0.0007128448576585321
1302/0.0007614331217595499,287/0.0007109489936753977
219/0.0007556206551812328,2764/0.0007109489936753977
105/0.0007527144218920741,1838/0.0007109489936753977
2855/0.0007527144218920741,2990/0.0007090531296922634
864/0.0007527144218920741,268/0.0007090531296922634
935/0.0007527144218920741,1033/0.0007090531296922634
3000/0.0007498081886029155,26/0.000707157265709129
1360/0.0007498081886029155,61/0.000707157265709129
2779/0.0007498081886029155,488/0.0007014696737597258
716/0.0007439957220245983,974/0.0007014696737597258
1436/0.0007439957220245983,860/0.0006995738097765914
431/0.0007381832554462812,535/0.0006938862178271883
1446/0.0007381832554462812,2681/0.0006919903538440539
369/0.0007381832554462812,2203/0.0006919903538440539
2245/0.0007381832554462812,423/0.0006919903538440539
823/0.0007352770221571226,1961/0.0006900944898609194
1038/0.0007352770221571226,819/0.000688198625877785
938/0.0007352770221571226,1858/0.000688198625877785
91/0.0007352770221571226,1572/0.000688198625877785
994/0.0007352770221571226,1339/0.0006863027618946506
418/0.000732370788867964,1607/0.0006863027618946506
2632/0.000732370788867964,439/0.0006863027618946506
165/0.000732370788867964,1027/0.0006844068979115162
2928/0.0007294645555788054,459/0.0006825110339283818
2949/0.0007294645555788054,1905/0.0006806151699452474
1140/0.0007265583222896469,652/0.000678719305962113
1365/0.0007236520890004883,1434/0.000678719305962113
1280/0.0007236520890004883,427/0.0006768234419789787
496/0.0007207458557113297,1269/0.0006768234419789787
2271/0.0007207458557113297,755/0.0006768234419789787
817/0.0007207458557113297,1178/0.0006768234419789787
2539/0.000717839622422171,1512/0.0006768234419789787
786/0.000717839622422171,308/0.0006749275779958443
1855/0.000717839622422171,1035/0.0006749275779958443
2560/0.0007120271558438539,2061/0.0006749275779958443
2074/0.0007091209225546953,332/0.0006730317140127099
1418/0.0007091209225546953,1425/0.0006730317140127099
2679/0.0007091209225546953,269/0.0006711358500295755
2390/0.0007062146892655367,1685/0.0006711358500295755
2694/0.0007033084559763781,342/0.0006673441220633067
3013/0.0007004022226872195,1968/0.0006673441220633067
2962/0.0007004022226872195,1645/0.0006654482580801723
1570/0.000697495989398061,544/0.0006654482580801723
374/0.000697495989398061,121/0.0006616565301139036
624/0.000697495989398061,1843/0.0006597606661307692
1422/0.000697495989398061,1322/0.0006578648021476347
1486/0.0006945897561089024,911/0.0006578648021476347
2446/0.0006945897561089024,2587/0.0006559689381645003
1840/0.0006945897561089024,2088/0.0006559689381645003
1791/0.0006945897561089024,1396/0.0006540730741813659
2111/0.0006887772895305852,1632/0.0006540730741813659
344/0.0006887772895305852,18/0.0006521772101982315
1666/0.0006887772895305852,290/0.0006502813462150971
1759/0.0006858710562414266,647/0.0006502813462150971
1518/0.0006858710562414266,1085/0.0006483854822319627
840/0.0006858710562414266,2200/0.0006464896182488283
1722/0.0006829648229522681,381/0.000644593754265694
2164/0.0006800585896631095,304/0.0006426978902825596
867/0.0006800585896631095,2966/0.0006426978902825596
284/0.0006800585896631095,1401/0.0006426978902825596
2866/0.0006800585896631095,1397/0.0006426978902825596
1783/0.0006800585896631095,469/0.0006408020262994252
2467/0.0006771523563739508,263/0.0006389061623162908
2084/0.0006742461230847922,426/0.0006389061623162908
633/0.0006713398897956336,554/0.0006389061623162908
1970/0.0006655274232173165,1643/0.0006389061623162908
666/0.0006655274232173165,2847/0.000635114434350022
1646/0.0006597149566389993,725/0.0006332185703668876
1485/0.0006597149566389993,1934/0.0006294268424006188
231/0.0006597149566389993,1301/0.0006294268424006188
855/0.0006568087233498408,1281/0.0006294268424006188
905/0.0006568087233498408,3022/0.0006294268424006188
15/0.0006568087233498408,1601/0.0006275309784174845
213/0.0006568087233498408,896/0.0006275309784174845
1952/0.0006539024900606822,353/0.0006275309784174845
2654/0.000648090023482365,2090/0.00062563511443435
3002/0.000648090023482365,2630/0.00062563511443435
1096/0.0006451837901932064,2691/0.00062563511443435
265/0.0006451837901932064,349/0.00062563511443435
1370/0.0006422775569040479,1673/0.00062563511443435
609/0.0006422775569040479,1137/0.0006237392504512156
28/0.0006393713236148892,1444/0.0006218433864680812
2098/0.0006393713236148892,1052/0.0006199475224849468
2967/0.0006393713236148892,2066/0.0006180516585018124
2702/0.0006393713236148892,779/0.0006180516585018124
1793/0.0006364650903257306,2930/0.0006180516585018124
655/0.0006364650903257306,1449/0.0006180516585018124
2542/0.0006364650903257306,2635/0.000616155794518678
1172/0.0006364650903257306,2946/0.0006142599305355436
2575/0.000633558857036572,154/0.0006142599305355436
701/0.000633558857036572,2800/0.0006123640665524093
389/0.0006306526237474134,770/0.0006123640665524093
2053/0.0006306526237474134,1345/0.0006104682025692749
1091/0.0006306526237474134,927/0.0006085723385861405
1957/0.0006306526237474134,613/0.0006085723385861405
2562/0.0006277463904582549,2572/0.0006085723385861405
1405/0.0006277463904582549,943/0.0006085723385861405
11/0.0006277463904582549,1488/0.0006085723385861405
289/0.0006248401571690963,3007/0.0006085723385861405
1210/0.0006219339238799377,37/0.0006066764746030061
886/0.0006219339238799377,2217/0.0006066764746030061
2080/0.0006190276905907791,260/0.0006047806106198717
676/0.0006161214573016205,503/0.0006047806106198717
2535/0.0006161214573016205,1705/0.0006047806106198717
1969/0.0006161214573016205,584/0.0005990930186704685
1857/0.000613215224012462,631/0.0005990930186704685
1188/0.000613215224012462,784/0.0005971971546873341
9/0.000613215224012462,2304/0.0005971971546873341
1579/0.000613215224012462,1634/0.0005971971546873341
2368/0.000613215224012462,1460/0.0005953012907041998
377/0.0006103089907233034,754/0.0005953012907041998
1738/0.0006103089907233034,1073/0.0005953012907041998
614/0.0006103089907233034,506/0.0005953012907041998
2537/0.0006074027574341448,1134/0.0005934054267210654
762/0.0006074027574341448,142/0.0005934054267210654
2208/0.0006044965241449861,1053/0.000591509562737931
306/0.0006044965241449861,939/0.0005896136987547965
553/0.0006044965241449861,1398/0.0005877178347716621
1865/0.0006015902908558275,181/0.0005877178347716621
