Topic 1,Topic 2
315/0.000828123110188506,2231/0.0010203783293863111
687/0.0008268889475801774,241/0.0010174546092448031
421/0.0008268889475801774,1828/0.0010174546092448031
425/0.000818249809321877,2079/0.001005759728678771
1108/0.000818249809321877,189/0.0009911411279712307
2315/0.0008157814841052198,1419/0.0009852936876882145
541/0.0008157814841052198,20/0.0009765225272636903
1224/0.0008133131588885625,328/0.0009735988071221822
377/0.0008120789962802339,683/0.0009706750869806742
1699/0.0008120789962802339,685/0.0009677513668391661
1202/0.0008096106710635767,1150/0.0009677513668391661
761/0.000808376508455248,1543/0.0009677513668391661
1320/0.0008059081832385908,1821/0.0009648276466976581
1066/0.0008059081832385908,2648/0.000958980206414642
596/0.0008046740206302622,1378/0.000958980206414642
64/0.0008046740206302622,530/0.000958980206414642
2382/0.0008034398580219335,326/0.0009560564862731339
715/0.0008034398580219335,1491/0.0009560564862731339
505/0.0008022056954136049,2243/0.0009531327661316259
2193/0.0008009715328052763,2515/0.0009531327661316259
623/0.0007997373701969477,120/0.0009531327661316259
1286/0.000798503207588619,2423/0.0009502090459901178
1501/0.0007972690449802904,2012/0.0009443616057071017
2185/0.0007972690449802904,772/0.0009443616057071017
2173/0.0007972690449802904,1661/0.0009414378855655937
1692/0.0007960348823719618,1759/0.0009385141654240856
2064/0.0007935665571553045,676/0.0009385141654240856
1603/0.0007861615815053328,1746/0.0009355904452825776
2449/0.0007849274188970041,1569/0.0009355904452825776
112/0.0007836932562886755,222/0.0009355904452825776
905/0.0007824590936803469,741/0.0009326667251410696
1291/0.0007824590936803469,1334/0.0009326667251410696
720/0.0007824590936803469,785/0.0009326667251410696
597/0.0007824590936803469,619/0.0009326667251410696
738/0.0007762882806387039,1657/0.0009297430049995614
936/0.0007750541180303753,242/0.0009297430049995614
2384/0.0007738199554220466,2551/0.0009180481244335292
1333/0.0007738199554220466,152/0.0009151244042920212
70/0.0007738199554220466,722/0.0009122006841505131
105/0.0007738199554220466,536/0.0009092769640090051
2351/0.000772585792813718,2129/0.000906353243867497
2003/0.0007701174675970607,2043/0.000903429523725989
139/0.0007688833049887321,2320/0.0009005058035844809
17/0.0007688833049887321,864/0.0008975820834429729
1793/0.0007676491423804035,2265/0.0008946583633014648
958/0.000762712491947089,784/0.0008946583633014648
176/0.000762712491947089,484/0.0008917346431599568
1381/0.0007602441667304317,1237/0.0008888109230184486
793/0.0007590100041221031,900/0.0008858872028769406
32/0.0007590100041221031,1884/0.0008858872028769406
1473/0.0007577758415137745,1456/0.0008800397625939245
1192/0.0007577758415137745,344/0.0008800397625939245
182/0.0007553075162971172,2505/0.0008771160424524164
243/0.0007553075162971172,71/0.0008771160424524164
288/0.0007540733536887886,2396/0.0008741923223109084
1110/0.00075283919108046,1971/0.0008741923223109084
1238/0.0007516050284721314,2665/0.0008654211618863842
1337/0.0007516050284721314,2516/0.0008654211618863842
1808/0.0007503708658638027,1481/0.0008654211618863842
584/0.0007491367032554741,391/0.0008654211618863842
527/0.0007491367032554741,1436/0.0008595737216033681
611/0.0007479025406471455,2378/0.0008595737216033681
406/0.0007479025406471455,881/0.0008595737216033681
975/0.0007466683780388169,1714/0.0008595737216033681
2626/0.0007466683780388169,2339/0.0008566500014618601
827/0.0007454342154304882,1756/0.0008566500014618601
801/0.0007454342154304882,2399/0.0008537262813203521
749/0.0007454342154304882,435/0.000850802561178844
832/0.0007442000528221596,1098/0.000850802561178844
446/0.000742965890213831,1122/0.000847878841037336
1400/0.000742965890213831,1300/0.000847878841037336
2074/0.0007392634023888451,1600/0.0008391076806128117
261/0.0007380292397805165,1474/0.0008391076806128117
2343/0.0007380292397805165,85/0.0008391076806128117
1547/0.0007367950771721879,175/0.0008361839604713037
211/0.0007355609145638592,2605/0.0008361839604713037
2121/0.0007355609145638592,786/0.0008361839604713037
373/0.0007343267519555306,733/0.0008332602403297956
823/0.0007330925893472021,1525/0.0008332602403297956
1462/0.0007330925893472021,904/0.0008303365201882876
504/0.0007318584267388735,1318/0.0008303365201882876
415/0.000726921776305559,1803/0.0008274128000467795
1689/0.0007256876136972303,1720/0.0008274128000467795
869/0.0007244534510889017,2637/0.0008244890799052715
66/0.0007232192884805731,2426/0.0008244890799052715
2192/0.0007232192884805731,2566/0.0008244890799052715
2174/0.0007232192884805731,2604/0.0008244890799052715
868/0.0007232192884805731,1003/0.0008215653597637634
707/0.0007219851258722445,1881/0.0008215653597637634
1688/0.0007195168006555872,184/0.0008215653597637634
565/0.0007182826380472586,1914/0.0008186416396222554
102/0.0007182826380472586,1494/0.0008157179194807473
2375/0.00071704847543893,1666/0.0008127941993392393
379/0.00071704847543893,1327/0.0008098704791977312
1441/0.0007158143128306013,1631/0.0008098704791977312
944/0.0007145801502222727,2662/0.0008098704791977312
1183/0.0007133459876139441,2548/0.0008098704791977312
255/0.0007133459876139441,1014/0.0008098704791977312
147/0.0007133459876139441,2201/0.0008098704791977312
1985/0.0007121118250056154,1303/0.0008069467590562232
1036/0.0007096434997889582,544/0.0008069467590562232
57/0.0007084093371806296,2562/0.000804023038914715
158/0.0007071751745723009,1786/0.000804023038914715
800/0.0007059410119639723,1788/0.0007981755986316989
279/0.0007059410119639723,533/0.0007952518784901909
1051/0.0007059410119639723,198/0.0007952518784901909
369/0.0007059410119639723,609/0.0007952518784901909
464/0.0007034726867473151,2316/0.0007952518784901909
193/0.0007022385241389864,1228/0.0007923281583486828
436/0.0007010043615306578,190/0.0007923281583486828
470/0.0007010043615306578,1177/0.0007923281583486828
1040/0.0006997701989223292,1315/0.0007923281583486828
2513/0.0006997701989223292,2453/0.0007894044382071748
2286/0.0006985360363140006,2233/0.0007864807180656667
2180/0.0006973018737056719,2359/0.0007864807180656667
1646/0.0006973018737056719,76/0.0007864807180656667
138/0.0006973018737056719,618/0.0007806332777826506
1459/0.0006973018737056719,2282/0.0007777095576411426
166/0.0006960677110973433,1037/0.0007777095576411426
1575/0.0006948335484890147,573/0.0007777095576411426
652/0.0006948335484890147,1649/0.0007777095576411426
149/0.0006935993858806861,1847/0.0007747858374996346
2611/0.0006935993858806861,453/0.0007718621173581265
850/0.0006911310606640288,1252/0.0007660146770751104
949/0.0006898968980557002,680/0.0007660146770751104
2264/0.0006898968980557002,1946/0.0007660146770751104
1463/0.0006898968980557002,2166/0.0007630909569336024
0/0.0006861944102307143,1949/0.0007630909569336024
133/0.0006849602476223858,700/0.0007601672367920942
179/0.0006849602476223858,367/0.0007601672367920942
431/0.0006849602476223858,1087/0.0007572435166505862
1022/0.0006849602476223858,911/0.0007572435166505862
515/0.0006837260850140572,2533/0.0007572435166505862
1933/0.0006837260850140572,2236/0.0007572435166505862
2091/0.0006812577597973999,2502/0.0007543197965090781
282/0.0006800235971890713,2400/0.0007513960763675701
2641/0.0006800235971890713,710/0.0007513960763675701
1086/0.0006787894345807427,1516/0.000748472356226062
605/0.0006763211093640854,1734/0.000748472356226062
361/0.0006763211093640854,2024/0.000745548636084554
130/0.0006750869467557568,930/0.000745548636084554
641/0.0006738527841474282,872/0.000745548636084554
1198/0.0006726186215390995,1440/0.0007426249159430459
566/0.0006726186215390995,81/0.0007426249159430459
790/0.0006713844589307709,1992/0.0007426249159430459
1573/0.0006701502963224423,1781/0.0007426249159430459
1243/0.0006689161337141137,1969/0.0007397011958015379
1038/0.000667681971105785,340/0.0007338537555185218
2635/0.0006664478084974564,2202/0.0007338537555185218
1655/0.0006652136458891278,2188/0.0007309300353770137
1583/0.0006639794832807991,743/0.0007309300353770137
2654/0.0006639794832807991,1254/0.0007280063152355057
277/0.0006627453206724705,577/0.0007250825950939976
1021/0.0006627453206724705,2226/0.0007221588749524896
1113/0.0006627453206724705,1856/0.0007221588749524896
384/0.0006627453206724705,2194/0.0007221588749524896
1064/0.0006627453206724705,1490/0.0007221588749524896
2597/0.0006627453206724705,780/0.0007163114346694734
46/0.0006602769954558133,694/0.0007163114346694734
560/0.0006602769954558133,452/0.0007163114346694734
1887/0.0006590428328474846,2442/0.0007133877145279653
298/0.000657808670239156,372/0.0007104639943864573
1298/0.000657808670239156,2664/0.0007104639943864573
1891/0.000657808670239156,2588/0.0007075402742449492
48/0.000657808670239156,818/0.0007075402742449492
520/0.0006565745076308274,291/0.0007075402742449492
2438/0.0006565745076308274,2198/0.0007046165541034412
748/0.0006565745076308274,1065/0.0007046165541034412
2636/0.0006553403450224988,1241/0.0007016928339619331
1190/0.0006541061824141701,1470/0.0007016928339619331
283/0.0006541061824141701,1353/0.0007016928339619331
735/0.0006504036945891843,1010/0.000689997953395901
2071/0.000647935369372527,185/0.000689997953395901
817/0.0006467012067641984,628/0.000689997953395901
639/0.0006467012067641984,1231/0.000689997953395901
2274/0.0006442328815475411,569/0.0006841505131128849
1863/0.0006429987189392125,1902/0.0006841505131128849
422/0.0006429987189392125,675/0.0006841505131128849
1551/0.0006417645563308839,1212/0.0006841505131128849
1989/0.0006417645563308839,591/0.0006812267929713768
171/0.0006417645563308839,1382/0.0006812267929713768
1405/0.0006417645563308839,2051/0.0006812267929713768
568/0.0006405303937225553,1519/0.0006812267929713768
2495/0.0006392962311142266,862/0.0006783030728298688
173/0.0006380620685058981,2568/0.0006783030728298688
1723/0.0006380620685058981,13/0.0006753793526883607
1570/0.0006380620685058981,1071/0.0006753793526883607
1118/0.0006368279058975695,359/0.0006753793526883607
2624/0.0006368279058975695,121/0.0006753793526883607
1652/0.0006368279058975695,1157/0.0006724556325468527
1751/0.0006355937432892409,332/0.0006724556325468527
334/0.0006355937432892409,1466/0.0006724556325468527
821/0.0006355937432892409,2291/0.0006724556325468527
2125/0.0006343595806809122,1771/0.0006695319124053445
2011/0.0006331254180725836,1727/0.0006695319124053445
1708/0.000631891255464255,2142/0.0006695319124053445
2148/0.0006306570928559264,1540/0.0006666081922638365
543/0.0006294229302475977,511/0.0006666081922638365
537/0.0006281887676392691,931/0.0006636844721223284
601/0.0006281887676392691,1809/0.0006636844721223284
1703/0.0006269546050309405,1251/0.0006636844721223284
2084/0.0006257204424226119,1514/0.0006636844721223284
1851/0.0006244862798142832,1648/0.0006636844721223284
357/0.0006232521172059546,1802/0.0006607607519808204
773/0.0006232521172059546,107/0.0006578370318393123
554/0.0006232521172059546,2213/0.0006578370318393123
