i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
0,doctorwho,0.1440536013400335,0.3789782244556114,0.46273031825795646,0.01423785594639866
1,thesimpsons,0.16097766540244415,0.37926675094816686,0.44795617361989043,0.011799410029498525
2,mylittleponyfriendshipismagic,0.14035895075931892,0.39254486884491485,0.45375057524160145,0.013345605154164749
3,buffythevampireslayer,0.13562753036437247,0.4008097165991903,0.4498987854251012,0.013663967611336033
4,futurama,0.15022994379151763,0.3924374041900869,0.4460909555442003,0.011241696474195196
5,familyguy,0.15229257641921398,0.4143013100436681,0.42740174672489084,0.006004366812227074
6,naruto,0.12342135476463835,0.4081515499425947,0.4535017221584386,0.014925373134328358
7,avatarthelastairbender,0.12408347433728144,0.4184997179921038,0.4450084602368866,0.012408347433728144
8,startrekthenextgeneration,0.1281905842314237,0.41917186613726604,0.4401588201928531,0.012478729438457176
9,supernatural,0.1354044548651817,0.42028135990621335,0.43259085580304807,0.011723329425556858
10,southpark,0.14730878186968838,0.41756373937677055,0.42549575070821527,0.009631728045325779
11,gameofthrones,0.12531172069825436,0.4295511221945137,0.428927680798005,0.016209476309226933
12,bleach,0.1106020942408377,0.418848167539267,0.456151832460733,0.014397905759162303
13,startrekdeepspacenine,0.12809131261889664,0.42358909321496513,0.43880786303107167,0.009511731135066582
14,fullmetalalchemist,0.10495049504950495,0.4303630363036304,0.4495049504950495,0.015181518151815182
15,startrekvoyager,0.12982005141388175,0.4106683804627249,0.44922879177377895,0.010282776349614395
16,startrektheoriginalseries,0.12379110251450677,0.4300451321727917,0.4345583494519665,0.01160541586073501
17,stevenuniverse,0.1205901218729955,0.40987812700449006,0.4541372674791533,0.015394483643361129
18,angel,0.11788345612860013,0.4306764902880107,0.44005358338914935,0.011386470194239785
19,stargatesg1,0.11986301369863013,0.42191780821917807,0.4458904109589041,0.012328767123287671
20,babylonfive,0.1265365148228489,0.41431670281995664,0.4417932031814895,0.01735357917570499
21,neongenesisevangelion,0.10758122743682311,0.42671480144404333,0.451985559566787,0.013718411552346571
22,deathnote,0.0979498861047836,0.4715261958997722,0.42065299924069854,0.009870918754745633
23,dragonballz,0.11394302848575712,0.41829085457271364,0.4527736131934033,0.014992503748125937
24,phineasandferb,0.13901345291479822,0.4304932735426009,0.42750373692077726,0.0029895366218236174
25,codegeass,0.09669992325402917,0.44896392939370683,0.4397544128933231,0.014581734458940905
26,firefly,0.11409395973154363,0.46607009694258017,0.41014168530947054,0.009694258016405667
27,sailormoon,0.10522331566994701,0.4110522331566995,0.4693414080242241,0.014383043149129448
28,teentitans,0.12274096385542169,0.4352409638554217,0.43448795180722893,0.007530120481927711
