Topic 1,Topic 2
2037/0.0009530878674658966,1899/0.0007408558079510557
781/0.0009493453758397215,2247/0.0007289065207260387
2279/0.0009456028842135466,1332/0.0007289065207260387
101/0.0009456028842135466,1721/0.0006930586590509876
1955/0.0009431078897960966,1416/0.0006811093718259706
1772/0.0009368704037524716,1935/0.0006452615101509195
2121/0.0009343754093350216,1782/0.0006333122229259025
451/0.0009343754093350216,490/0.0006333122229259025
2009/0.0009306329177088467,1258/0.0006213629357008855
2641/0.0009281379232913967,1421/0.0006213629357008855
44/0.0009256429288739467,2475/0.0006094136484758684
1648/0.0009243954316652216,1451/0.0005974643612508514
2555/0.0009219004372477716,1148/0.0005496672123507833
448/0.0009194054428303217,503/0.0005138193506757322
665/0.0009181579456215967,567/0.0005018700634507151
658/0.0009144154539954217,1477/0.00046602220177566407
1086/0.0009119204595779717,2619/0.00040627576565057896
73/0.0009081779679517968,2018/0.0003584786167505108
926/0.0009056829735343467,1281/0.0003584786167505108
2096/0.0009044354763256217,2223/0.00031068146785044273
1087/0.0009031879791168967,2364/0.0002867828934004087
1424/0.0009031879791168967,1058/0.00027483360617539166
533/0.0009006929846994467,1713/0.0002628843189503746
340/0.0008994454874907217,452/0.00025093503172535757
2570/0.0008969504930732718,2581/0.00022703645727532352
2163/0.0008957029958645467,2276/0.00014339144670020434
897/0.0008957029958645467,
1371/0.0008932080014470967,
282/0.0008907130070296467,
1182/0.0008894655098209218,
701/0.0008844755209860218,
2272/0.0008782380349423968,
832/0.0008782380349423968,
626/0.0008757430405249468,
491/0.0008744955433162219,
2664/0.0008732480461074968,
58/0.0008707530516900468,
468/0.0008695055544813219,
1754/0.0008695055544813219,
396/0.0008682580572725968,
2460/0.0008670105600638719,
2517/0.0008645155656464219,
12/0.0008607730740202469,
1412/0.0008607730740202469,
1588/0.0008532880907678969,
471/0.0008482981019329969,
243/0.000844555610306822,
127/0.0008433081130980969,
1468/0.000842060615889372,
1013/0.000840813118680647,
75/0.000840813118680647,
736/0.000839565621471922,
507/0.000838318124263197,
2225/0.0008370706270544719,
11/0.0008345756326370219,
247/0.0008345756326370219,
2319/0.0008295856438021219,
2209/0.0008295856438021219,
1634/0.000824595654967222,
1288/0.000818358168923597,
1580/0.000817110671714872,
1343/0.000817110671714872,
1831/0.000814615677297422,
1236/0.0008133681800886971,
1824/0.000812120682879972,
1133/0.0008108731856712471,
55/0.000809625688462522,
527/0.0008033882024188971,
14/0.0008021407052101721,
2386/0.0008008932080014471,
5/0.0007996457107927221,
1697/0.0007971507163752721,
53/0.0007946557219578221,
1073/0.0007909132303316472,
857/0.0007909132303316472,
574/0.0007859232414967472,
1857/0.0007834282470792972,
2667/0.0007821807498705722,
901/0.0007784382582443972,
749/0.0007759432638269472,
2612/0.0007759432638269472,
1221/0.0007746957666182222,
731/0.0007746957666182222,
349/0.0007722007722007722,
1747/0.0007722007722007722,
430/0.0007709532749920473,
224/0.0007697057777833222,
2368/0.0007684582805745973,
1354/0.0007684582805745973,
466/0.0007659632861571472,
2274/0.0007659632861571472,
1812/0.0007659632861571472,
1582/0.0007622207945309722,
1186/0.0007609732973222472,
855/0.0007572308056960723,
93/0.0007572308056960723,
120/0.0007572308056960723,
461/0.0007547358112786223,
1022/0.0007484983252349972,
97/0.0007472508280262723,
85/0.0007410133419826473,
374/0.0007397658447739223,
544/0.0007397658447739223,
270/0.0007385183475651973,
1039/0.0007385183475651973,
195/0.0007360233531477473,
852/0.0007347758559390224,
419/0.0007347758559390224,
661/0.0007335283587302973,
543/0.0007335283587302973,
36/0.0007322808615215724,
371/0.0007322808615215724,
728/0.0007322808615215724,
1931/0.0007310333643128473,
39/0.0007310333643128473,
2591/0.0007310333643128473,
1417/0.0007297858671041224,
423/0.0007272908726866724,
1139/0.0007272908726866724,
782/0.0007260433754779473,
1897/0.0007260433754779473,
2445/0.0007260433754779473,
2545/0.0007247958782692224,
2224/0.0007235483810604974,
716/0.0007223008838517724,
730/0.0007210533866430474,
1506/0.0007210533866430474,
834/0.0007210533866430474,
1152/0.0007210533866430474,
2554/0.0007198058894343224,
1563/0.0007198058894343224,
807/0.0007198058894343224,
1191/0.0007185583922255974,
1636/0.0007185583922255974,
221/0.0007173108950168724,
553/0.0007148159005994224,
1616/0.0007135684033906974,
1415/0.0007135684033906974,
499/0.0007110734089732474,
943/0.0007110734089732474,
228/0.0007098259117645225,
990/0.0007098259117645225,
1136/0.0007060834201383474,
1263/0.0007060834201383474,
327/0.0007060834201383474,
196/0.0007060834201383474,
213/0.0007048359229296225,
1312/0.0007035884257208974,
2578/0.0007035884257208974,
281/0.0006998459340947225,
370/0.0006973509396772724,
803/0.0006973509396772724,
654/0.0006948559452598224,
734/0.0006948559452598224,
867/0.0006936084480510975,
786/0.0006936084480510975,
589/0.0006936084480510975,
23/0.0006936084480510975,
230/0.0006911134536336475,
135/0.0006898659564249225,
1004/0.0006886184592161975,
2205/0.0006861234647987475,
2093/0.0006848759675900225,
1206/0.0006848759675900225,
295/0.0006836284703812975,
964/0.0006823809731725725,
1096/0.0006823809731725725,
1743/0.0006823809731725725,
1749/0.0006798859787551225,
711/0.0006786384815463976,
1061/0.0006773909843376725,
887/0.0006761434871289476,
317/0.0006748959899202225,
1890/0.0006748959899202225,
645/0.0006748959899202225,
190/0.0006748959899202225,
110/0.0006724009955027725,
886/0.0006724009955027725,
1932/0.0006711534982940476,
2154/0.0006711534982940476,
1570/0.0006686585038765976,
556/0.0006674110066678726,
1220/0.0006674110066678726,
151/0.0006661635094591476,
1608/0.0006661635094591476,
2129/0.0006624210178329726,
889/0.0006611735206242476,
1261/0.0006611735206242476,
2056/0.0006611735206242476,
504/0.0006599260234155226,
2465/0.0006599260234155226,
1573/0.0006599260234155226,
2271/0.0006574310289980726,
1289/0.0006561835317893477,
707/0.0006561835317893477,
412/0.0006549360345806226,
904/0.0006549360345806226,
2257/0.0006524410401631726,
276/0.0006511935429544477,
540/0.0006486985485369977,
277/0.0006486985485369977,
328/0.0006474510513282726,
293/0.0006474510513282726,
942/0.0006462035541195477,
958/0.0006462035541195477,
2660/0.0006424610624933727,
1010/0.0006412135652846477,
1017/0.0006412135652846477,
528/0.0006399660680759227,
939/0.0006349760792410227,
1065/0.0006337285820322978,
225/0.0006312335876148478,
2061/0.0006299860904061227,
1225/0.0006274910959886727,
1122/0.0006274910959886727,
1060/0.0006262435987799477,
215/0.0006249961015712227,
2401/0.0006249961015712227,
1075/0.0006249961015712227,
2325/0.0006237486043624977,
330/0.0006237486043624977,
682/0.0006225011071537727,
2078/0.0006225011071537727,
1662/0.0006212536099450477,
1817/0.0006212536099450477,
1429/0.0006187586155275977,
663/0.0006187586155275977,
477/0.0006162636211101477,
2323/0.0006162636211101477,
1921/0.0006150161239014228,
759/0.0006150161239014228,
302/0.0006150161239014228,
74/0.0006137686266926977,
30/0.0006125211294839728,
1538/0.0006125211294839728,
288/0.0006125211294839728,
2265/0.0006112736322752477,
748/0.0006112736322752477,
1066/0.0006112736322752477,
835/0.0006100261350665228,
2369/0.0006075311406490728,
2561/0.0006075311406490728,
815/0.0006062836434403478,
88/0.0006037886490228978,
2611/0.0006037886490228978,
536/0.0006037886490228978,
694/0.0006025411518141728,
1012/0.0006025411518141728,
1146/0.0006025411518141728,
1080/0.0006012936546054478,
2443/0.0006012936546054478,
2629/0.0006000461573967228,
487/0.0006000461573967228,
583/0.0005987986601879978,
169/0.0005975511629792729,
1703/0.0005975511629792729,
1911/0.0005963036657705478,
585/0.0005963036657705478,
360/0.0005950561685618229,
2553/0.0005925611741443729,
1527/0.0005925611741443729,
597/0.0005925611741443729,
2172/0.0005913136769356478,
1881/0.0005900661797269229,
72/0.0005900661797269229,
1189/0.0005888186825181978,
1586/0.0005875711853094729,
696/0.0005875711853094729,
1068/0.0005875711853094729,
2472/0.0005875711853094729,
202/0.0005863236881007479,
1307/0.0005850761908920229,
2217/0.0005850761908920229,
1536/0.0005838286936832979,
862/0.0005838286936832979,
1998/0.0005838286936832979,
1937/0.0005838286936832979,
382/0.0005825811964745729,
366/0.0005825811964745729,
1099/0.0005813336992658479,
689/0.0005800862020571229,
1224/0.0005788387048483979,
380/0.0005788387048483979,
800/0.0005775912076396729,
822/0.0005775912076396729,
610/0.000575096213222223,
1501/0.000575096213222223,
113/0.0005713537215960479,
2302/0.000570106224387323,
227/0.000570106224387323,
2464/0.000570106224387323,
2053/0.0005688587271785979,
1517/0.000567611229969873,
22/0.000567611229969873,
1785/0.000567611229969873,
79/0.000567611229969873,
269/0.0005663637327611479,
2392/0.0005663637327611479,
1402/0.000563868738343698,
1333/0.000563868738343698,
1523/0.000563868738343698,
163/0.000562621241134973,
692/0.000558878749508798,
954/0.000558878749508798,
2652/0.000556383755091348,
1047/0.000556383755091348,
895/0.0005551362578826229,
839/0.000553888760673898,
91/0.000553888760673898,
933/0.000552641263465173,
2125/0.000552641263465173,
900/0.000551393766256448,
373/0.000550146269047723,
557/0.000547651274630273,
925/0.000547651274630273,
1302/0.000547651274630273,
1603/0.000546403777421548,
1187/0.000546403777421548,
1034/0.000543908783004098,
1334/0.000543908783004098,
70/0.000542661285795373,
1181/0.000542661285795373,
571/0.000542661285795373,
1305/0.000541413788586648,
705/0.000541413788586648,
2412/0.000541413788586648,
403/0.000541413788586648,
672/0.000540166291377923,
1489/0.000540166291377923,
1059/0.0005389187941691981,
1719/0.0005389187941691981,
1898/0.0005389187941691981,
1465/0.000537671296960473,
1241/0.0005364237997517481,
290/0.000535176302543023,
845/0.000535176302543023,
1755/0.000535176302543023,
2149/0.0005339288053342981,
2334/0.0005339288053342981,
1306/0.0005339288053342981,
1238/0.0005339288053342981,
245/0.000532681308125573,
2360/0.000532681308125573,
717/0.000530186313708123,
706/0.0005276913192906731,
758/0.0005276913192906731,
2295/0.0005264438220819481,
1368/0.0005264438220819481,
2335/0.0005264438220819481,
301/0.0005239488276644981,
1767/0.0005239488276644981,
2458/0.0005239488276644981,
1623/0.0005227013304557731,
1026/0.0005227013304557731,
393/0.0005227013304557731,
248/0.0005214538332470481,
1487/0.0005202063360383231,
715/0.0005202063360383231,
623/0.0005189588388295981,
1326/0.0005189588388295981,
387/0.0005152163472034231,
122/0.0005127213527859731,
129/0.0005127213527859731,
316/0.0005114738555772482,
1808/0.0005114738555772482,
608/0.0005114738555772482,
961/0.0005114738555772482,
2174/0.0005089788611597982,
1575/0.0005089788611597982,
287/0.0005077313639510731,
26/0.0005077313639510731,
1222/0.0005077313639510731,
2414/0.0005064838667423482,
144/0.0005064838667423482,
846/0.0005064838667423482,
1210/0.0005064838667423482,
915/0.0005052363695336232,
155/0.0005052363695336232,
1213/0.0005027413751161732,
388/0.0005027413751161732,
17/0.0005027413751161732,
191/0.0005027413751161732,
2062/0.0005014938779074482,
688/0.0005014938779074482,
801/0.0005014938779074482,
1046/0.0005002463806987232,
982/0.0005002463806987232,
1795/0.0004989988834899982,
809/0.0004977513862812732,
2137/0.0004965038890725482,
257/0.0004965038890725482,
242/0.0004952563918638232,
82/0.0004952563918638232,
1159/0.0004952563918638232,
2080/0.0004952563918638232,
2042/0.0004940088946550983,
767/0.0004940088946550983,
0/0.0004940088946550983,
1825/0.0004927613974463732,
1981/0.0004927613974463732,
2468/0.0004927613974463732,
778/0.0004902664030289232,
1532/0.0004902664030289232,
2242/0.0004890189058201983,
1986/0.0004890189058201983,
279/0.0004890189058201983,
463/0.0004890189058201983,
1322/0.0004890189058201983,
1036/0.0004890189058201983,
929/0.00048652391140274824,
1963/0.00048652391140274824,
1382/0.00048527641419402324,
570/0.00048402891698529825,
2089/0.00048402891698529825,
1351/0.00048402891698529825,
482/0.00048402891698529825,
1601/0.00048153392256784826,
2621/0.00048153392256784826,
1175/0.00048028642535912327,
2608/0.00048028642535912327,
165/0.00047903892815039827,
390/0.00047903892815039827,
193/0.00047903892815039827,
2136/0.00047903892815039827,
139/0.00047903892815039827,
1895/0.00047903892815039827,
2075/0.0004777914309416733,
909/0.0004777914309416733,
1051/0.0004777914309416733,
1283/0.0004777914309416733,
289/0.0004777914309416733,
1335/0.0004777914309416733,
205/0.0004777914309416733,
385/0.0004765439337329483,
76/0.0004765439337329483,
344/0.0004752964365242233,
1233/0.0004752964365242233,
2206/0.0004740489393154983,
137/0.0004740489393154983,
375/0.0004740489393154983,
473/0.0004728014421067733,
1276/0.0004728014421067733,
2343/0.0004728014421067733,
189/0.0004728014421067733,
1678/0.0004715539448980483,
2461/0.0004703064476893233,
988/0.0004703064476893233,
459/0.0004703064476893233,
956/0.0004690589504805983,
572/0.0004690589504805983,
519/0.0004690589504805983,
788/0.0004690589504805983,
1642/0.0004690589504805983,
2081/0.0004690589504805983,
2514/0.0004690589504805983,
996/0.0004690589504805983,
2394/0.0004678114532718733,
399/0.0004678114532718733,
2000/0.0004678114532718733,
372/0.0004665639560631483,
2645/0.0004665639560631483,
249/0.00046531645885442333,
2195/0.00046406896164569834,
655/0.00046406896164569834,
484/0.00046282146443697334,
509/0.00046282146443697334,
1646/0.00046157396722824835,
24/0.00046157396722824835,
773/0.00046157396722824835,
1803/0.00046032647001952335,
2378/0.00045907897281079836,
421/0.00045907897281079836,
359/0.00045907897281079836,
818/0.00045783147560207336,
445/0.00045783147560207336,
1356/0.00045783147560207336,
2452/0.00045783147560207336,
37/0.00045658397839334837,
184/0.00045658397839334837,
1609/0.00045658397839334837,
1685/0.00045658397839334837,
1226/0.0004553364811846234,
2044/0.0004540889839758984,
336/0.0004540889839758984,
2631/0.0004540889839758984,
1082/0.0004540889839758984,
265/0.00045284148676717333,
2207/0.00045284148676717333,
458/0.00045284148676717333,
1446/0.00045284148676717333,
2420/0.00045159398955844834,
742/0.00045159398955844834,
1378/0.00045034649234972334,
246/0.00045034649234972334,
1926/0.00044909899514099835,
1285/0.00044909899514099835,
932/0.00044785149793227335,
1286/0.00044660400072354836,
627/0.00044660400072354836,
837/0.00044535650351482336,
1651/0.00044535650351482336,
1056/0.0004428615090973734,
1832/0.0004416140118886484,
1876/0.0004403665146799234,
1862/0.0004391190174711984,
334/0.0004378715202624734,
299/0.0004378715202624734,
314/0.0004378715202624734,
1516/0.0004378715202624734,
1430/0.0004366240230537484,
1040/0.0004366240230537484,
1708/0.0004366240230537484,
2504/0.0004366240230537484,
1525/0.0004341290286362984,
1209/0.0004341290286362984,
1190/0.0004341290286362984,
338/0.0004316340342188484,
197/0.00043038653701012343,
95/0.00043038653701012343,
2069/0.00042913903980139844,
220/0.00042913903980139844,
630/0.00042789154259267344,
4/0.00042789154259267344,
838/0.00042664404538394845,
152/0.00042664404538394845,
1183/0.00042664404538394845,
1896/0.00042664404538394845,
260/0.00042539654817522345,
346/0.00042539654817522345,
1765/0.00042539654817522345,
762/0.00042539654817522345,
891/0.00042414905096649846,
1611/0.00042414905096649846,
1887/0.00042414905096649846,
368/0.00042414905096649846,
2391/0.00042414905096649846,
999/0.00042165405654904847,
2441/0.00042165405654904847,
365/0.00042165405654904847,
2659/0.00042165405654904847,
609/0.0004204065593403235,
2515/0.0004204065593403235,
1972/0.0004191590621315985,
283/0.0004191590621315985,
849/0.0004191590621315985,
431/0.0004179115649228735,
848/0.0004179115649228735,
1901/0.0004166640677141485,
199/0.0004166640677141485,
2219/0.0004166640677141485,
1492/0.0004154165705054235,
1098/0.0004154165705054235,
1891/0.0004154165705054235,
1078/0.0004129215760879735,
147/0.0004129215760879735,
1469/0.0004129215760879735,
1265/0.0004129215760879735,
2262/0.0004091790844617985,
520/0.0004091790844617985,
1490/0.0004091790844617985,
1592/0.0004091790844617985,
2084/0.0004091790844617985,
2597/0.00040668409004434854,
2399/0.00040668409004434854,
700/0.00040668409004434854,
1452/0.00040668409004434854,
1658/0.00040668409004434854,
1123/0.00040668409004434854,
456/0.00040668409004434854,
1750/0.00040543659283562354,
159/0.00040543659283562354,
1050/0.00040543659283562354,
1161/0.00040543659283562354,
356/0.00040418909562689855,
643/0.00040418909562689855,
2144/0.00040294159841817355,
860/0.00040294159841817355,
1410/0.00040044660400072356,
2505/0.00040044660400072356,
562/0.00040044660400072356,
2635/0.00040044660400072356,
56/0.00039919910679199857,
171/0.00039919910679199857,
185/0.00039919910679199857,
369/0.0003967041123745486,
158/0.0003967041123745486,
1551/0.0003954566151658236,
513/0.0003954566151658236,
422/0.0003954566151658236,
1771/0.0003954566151658236,
1583/0.0003942091179570986,
959/0.0003942091179570986,
