Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
1757/0.00790007473043664,403/0.012152010605391074,1025/0.007513841286580543,2358/0.012071535022354694,221/0.006944444444444444,553/0.009994807892004154,1345/0.0065841040915503996,2851/0.012787504291108823,326/0.008971668415529906,2215/0.009490667510281556,2194/0.009728473936401917,2286/0.012439453985028623,2108/0.009823377654296488,2111/0.011258660508083142,688/0.007653061224489796,1282/0.009240542881894312,2393/0.01193274272283493,2185/0.009865280577065875,2610/0.0073461891643709825,748/0.008488964346349746,,561/0.010380094642039383,970/0.011565468814539447,1901/0.011748909029875798,729/0.011023622047244094,248/0.011,1375/0.008884357704631517,,1177/0.009563886763580718,
1189/0.00790007473043664,2595/0.011268228015908087,2810/0.007513841286580543,1950/0.011773472429210135,323/0.006923076923076923,717/0.009994807892004154,1667/0.0065841040915503996,410/0.012615859938208032,689/0.008289611752360966,161/0.008383422967415375,,1475/0.011448701012769706,666/0.009724151617384401,2949/0.011258660508083142,630/0.007288629737609329,860/0.009240542881894312,2094/0.01193274272283493,2768/0.009865280577065875,2927/0.0073461891643709825,2210/0.008488964346349746,,3012/0.009922149290184704,2229/0.010326311441553077,703/0.011413225914736489,1086/0.010826771653543307,429/0.010833333333333334,2033/0.00873871249635887,,1998/0.008798775822494262,
1129/0.007793316963809117,2950/0.009279717189571365,2217/0.00738201950962299,152/0.011773472429210135,749/0.006923076923076923,1095/0.009865005192107996,1339/0.0065841040915503996,627/0.012272571232406455,604/0.0080797481636936,2366/0.007434356216387219,,222/0.011228533685601057,2535/0.008632665211351458,371/0.011114318706697459,457/0.007288629737609329,1328/0.009144287226874579,2378/0.011209546194178268,2542/0.009759202291290972,2774/0.0073461891643709825,1359/0.008227765443385137,,1879/0.009464203938330026,3001/0.009913258983890954,2786/0.011245384357166835,157/0.010433070866141732,1538/0.010333333333333333,2232/0.008593067288086223,,643/0.008416220351951033,
201/0.0076331803138678335,1484/0.009279717189571365,1635/0.00738201950962299,2359/0.011624441132637855,843/0.006901709401709402,964/0.009735202492211837,1569/0.0064795945027956315,887/0.01184346035015448,2161/0.0080797481636936,2322/0.004903511546978804,,1278/0.010457948040510789,1746/0.008632665211351458,2084/0.010969976905311778,1683/0.007288629737609329,1076/0.009144287226874579,1479/0.011209546194178268,1061/0.009653124005516071,491/0.007116620752984389,1914/0.008097165991902834,,2977/0.008548313234620668,2009/0.009913258983890954,1153/0.011077542799597181,1977/0.010039370078740157,2952/0.009833333333333333,1316/0.008301776871540927,,2259/0.008416220351951033,
2572/0.0076331803138678335,1734/0.008174988952717632,303/0.007118375955707883,701/0.011326378539493294,241/0.006837606837606838,2537/0.009735202492211837,1905/0.0064795945027956315,59/0.01184346035015448,1552/0.0080797481636936,,,2922/0.009026860413914576,1210/0.008632665211351458,2467/0.010825635103926097,879/0.007288629737609329,330/0.009048031571854846,1913/0.01030555053335744,2630/0.009653124005516071,1160/0.007116620752984389,1180/0.008097165991902834,,1400/0.008395664784002442,1792/0.009913258983890954,2969/0.010909701242027526,2309/0.010039370078740157,496/0.0095,646/0.00815613166326828,,2602/0.0072685539403213465,
2118/0.0076331803138678335,2373/0.007954043305346884,1228/0.007118375955707883,1973/0.011028315946348734,2171/0.006837606837606838,1633/0.00960539979231568,574/0.0064795945027956315,2747/0.011757638173704085,1137/0.007974816369359917,,,,2694/0.008434213137527288,1242/0.010536951501154735,419/0.007106413994169096,1777/0.008951775916835113,1730/0.01030555053335744,2338/0.009653124005516071,1480/0.006887052341597796,2995/0.007835967088938226,,1478/0.00809036788276599,2503/0.00784799669558034,118/0.010574018126888218,2719/0.009645669291338583,547/0.009166666666666667,295/0.00815613166326828,,2387/0.0072685539403213465,
898/0.007526422547240312,2729/0.0077330976579761375,1476/0.007118375955707883,2996/0.011028315946348734,1468/0.006816239316239316,1865/0.00960539979231568,896/0.0064795945027956315,1750/0.011156882938551322,1170/0.007869884575026232,,,,2390/0.008434213137527288,5/0.009382217090069284,712/0.007106413994169096,1520/0.008951775916835113,270/0.009943952269029109,1039/0.009547045719741168,212/0.006657483930211203,1069/0.007835967088938226,,3017/0.00809036788276599,2607/0.00784799669558034,1029/0.010070493454179255,1181/0.009645669291338583,936/0.009166666666666667,314/0.00801048645499563,,1806/0.00306044376434583,
23/0.00747304366392655,2684/0.0077330976579761375,930/0.007118375955707883,1341/0.010879284649776453,638/0.0067735042735042736,1354/0.00960539979231568,1983/0.0064795945027956315,1454/0.010727772056299347,818/0.007817418677859391,,,,524/0.008334987100615202,82/0.009093533487297922,1875/0.007106413994169096,3016/0.008855520261815382,686/0.009220755740372446,181/0.00901665429086666,2273/0.006427915518824609,1260/0.007574768185973619,,2216/0.007479774080293085,2482/0.00784799669558034,1658/0.009902651896609601,1860/0.008858267716535433,2062/0.009166666666666667,2103/0.007864841246722983,,816/0.00306044376434583,
432/0.00747304366392655,2871/0.007070260715863898,2869/0.007118375955707883,3020/0.010581222056631893,1384/0.006752136752136752,530/0.009475597092419522,1434/0.0064795945027956315,1486/0.010212838997596979,287/0.007660020986358867,,,,2140/0.008037308989878944,2045/0.009093533487297922,2414/0.007106413994169096,704/0.00875926460679565,537/0.00903995660820828,340/0.00901665429086666,30/0.006427915518824609,1149/0.007574768185973619,,1716/0.007021828728438407,1910/0.007434944237918215,2727/0.009566968781470292,1077/0.008858267716535433,2457/0.008666666666666666,1273/0.007864841246722983,,2711/0.0026778882938026014,
1019/0.00747304366392655,571/0.0061864781263809105,111/0.0069865541787503295,565/0.010134128166915052,1411/0.006752136752136752,451/0.009345794392523364,442/0.0063750849140408634,1616/0.0098695502917954,723/0.007397691500524659,,,,1405/0.008037308989878944,1337/0.00880484988452656,422/0.007106413994169096,1514/0.008470497641736453,2963/0.00867835834387995,1885/0.00901665429086666,2884/0.006427915518824609,1579/0.007444168734491315,,131/0.006563883376583727,2753/0.007434944237918215,252/0.009399127223900638,2754/0.008661417322834646,1045/0.0085,563/0.007864841246722983,,,
2191/0.00741966478061279,,2532/0.0069865541787503295,2823/0.009985096870342772,129/0.006730769230769231,309/0.009086188992731049,2540/0.0063750849140408634,742/0.009612083762444216,1825/0.007292759706190976,,,,1506/0.008037308989878944,139/0.008660508083140877,841/0.007106413994169096,1776/0.008470497641736453,2022/0.006870367022238293,293/0.00901665429086666,2301/0.006427915518824609,1096/0.007313569283009011,,1589/0.006563883376583727,1348/0.00660883932259397,2040/0.007720711648204095,388/0.008464566929133858,1891/0.008333333333333333,908/0.007719196038450335,,,
2758/0.007312907013985267,,2756/0.0069865541787503295,673/0.009388971684053652,1081/0.006730769230769231,1367/0.00895638629283489,1531/0.0063750849140408634,2635/0.009182972880192241,1507/0.007240293809024134,,,,609/0.008037308989878944,2989/0.008516166281755196,1304/0.006924198250728863,864/0.00837424198671672,420/0.006147170493581631,1280/0.00901665429086666,191/0.005968778696051423,45/0.007182969831526708,,88/0.004579453518546787,482/0.00660883932259397,1739/0.007049345417925478,2400/0.0076771653543307086,884/0.008166666666666666,1747/0.007573550830177687,,,
90/0.007206149247357746,,341/0.0069865541787503295,2728/0.009388971684053652,562/0.0067094017094017095,1389/0.008826583592938734,317/0.006322830119663479,857/0.008925506350841057,2268/0.007240293809024134,,,,1967/0.007938082952966859,1837/0.008371824480369515,1471/0.006924198250728863,1656/0.008277986331696987,2174/0.005604773097089134,1581/0.008910576005091759,50/0.005968778696051423,1307/0.007182969831526708,,78/0.004121508166692108,1224/0.006195786864931847,1755/0.006042296072507553,1868/0.007480314960629921,2993/0.007833333333333333,1642/0.007573550830177687,,,
250/0.007206149247357746,,1266/0.006722910624835223,900/0.009239940387481372,1670/0.006666666666666667,1783/0.008566978193146417,1572/0.006322830119663479,2632/0.008839684174390662,2352/0.007030430220356768,,,,899/0.007938082952966859,1939/0.008083140877598153,1629/0.006924198250728863,289/0.008277986331696987,1110/0.005243174832760803,617/0.008910576005091759,2417/0.005968778696051423,1510/0.0069217709285621,,1775/0.0036635628148374293,1022/0.006195786864931847,2491/0.005370929842228936,2547/0.006496062992125984,1329/0.007666666666666666,645/0.007573550830177687,,,
819/0.007099391480730223,,1878/0.006722910624835223,1984/0.009239940387481372,176/0.0066452991452991455,2510/0.008307372793354102,939/0.006270575325286095,1373/0.008496395468589083,211/0.007030430220356768,,,,772/0.007640404842230601,1106/0.007938799076212472,2757/0.006924198250728863,1143/0.00798921936663779,1116/0.005243174832760803,52/0.008698419433541955,730/0.005968778696051423,1166/0.0069217709285621,,,411/0.006195786864931847,223/0.004867405169519974,1815/0.003543307086614173,2686/0.0075,2480/0.007427905621905039,,,
1726/0.007099391480730223,,1183/0.006459267070920116,2461/0.008792846497764531,2496/0.006623931623931624,1733/0.008047767393561786,2164/0.0062183205309087105,2223/0.008324751115688294,1068/0.006925498426023085,,,,2926/0.007541178805318516,2125/0.007938799076212472,1981/0.00674198250728863,96/0.00798921936663779,708/0.005062375700596637,2490/0.008592341147767052,1711/0.005968778696051423,1364/0.006791171477079796,,,2107/0.006195786864931847,743/0.004531722054380665,1060/0.001968503937007874,2953/0.0075,329/0.007427905621905039,,,
544/0.007099391480730223,,1130/0.006459267070920116,971/0.00849478390461997,578/0.006602564102564102,394/0.007139148494288681,2144/0.006061556147776558,2315/0.007981462409886715,136/0.006925498426023085,,,,982/0.00744195276840643,2199/0.007361431870669746,2665/0.00674198250728863,738/0.007892963711618057,2780/0.003796781775447478,83/0.008486262861992151,2430/0.00573921028466483,2292/0.006791171477079796,,,2820/0.0057827344072697235,2429/0.0038603558241020477,2381/0.0015748031496062992,2010/0.0075,3000/0.007427905621905039,,,
1443/0.007099391480730223,,493/0.006459267070920116,189/0.00819672131147541,1493/0.006581196581196581,2696/0.006879543094496366,441/0.006061556147776558,1843/0.00789564023343632,280/0.006873032528856244,,,,867/0.00744195276840643,2235/0.007361431870669746,2236/0.00674198250728863,1227/0.007796708056598325,1184/0.0036159826432833123,2357/0.008486262861992151,464/0.00573921028466483,1457/0.006660572025597493,,,2538/0.0057827344072697235,2645/0.003356831151393085,2879/0.0015748031496062992,2550/0.007166666666666667,2548/0.007427905621905039,,,
681/0.007046012597416462,,2735/0.006459267070920116,48/0.007749627421758569,98/0.006581196581196581,2994/0.00661993769470405,260/0.006061556147776558,1652/0.007809818056985925,3022/0.006873032528856244,,,,713/0.00744195276840643,2070/0.0066397228637413395,2614/0.00674198250728863,1055/0.007700452401578592,2187/0.00289278611462665,42/0.008061949718892543,1225/0.005509641873278237,1574/0.006529972574115189,,,1927/0.0057827344072697235,2881/0.0023497818059751594,,1812/0.006833333333333334,2530/0.007282260413632392,,,
1568/0.006779118180847657,,1344/0.006459267070920116,288/0.007302533532041729,357/0.006581196581196581,238/0.006490134994807892,2946/0.006009301353399174,1465/0.007209062821833162,912/0.006873032528856244,,,,2928/0.007342726731494344,2678/0.006351039260969977,405/0.006559766763848397,1015/0.007411685436519396,1347/0.002711986982462484,2738/0.008061949718892543,2667/0.005280073461891644,2967/0.006529972574115189,,,1754/0.0057827344072697235,,,1315/0.006833333333333334,1198/0.007282260413632392,,,
1643/0.006779118180847657,,1221/0.006195623517005009,800/0.007302533532041729,1041/0.006517094017094017,2427/0.006490134994807892,2281/0.005904791764644406,1441/0.006436663233779609,1322/0.00676810073452256,,,,2447/0.007144274657670173,2733/0.006206697459584296,763/0.006377551020408163,1229/0.007411685436519396,1431/0.0018079913216416561,1201/0.008061949718892543,1432/0.005280073461891644,1230/0.006529972574115189,,,336/0.0057827344072697235,,,853/0.006666666666666667,2247/0.007282260413632392,,,
1002/0.006779118180847657,,993/0.006063801740047456,2615/0.006855439642324888,2213/0.006517094017094017,1690/0.006490134994807892,1705/0.005852536970267022,1828/0.00592173017507724,2549/0.00676810073452256,,,,1646/0.007045048620758087,2440/0.006206697459584296,1649/0.00619533527696793,2469/0.007411685436519396,,2468/0.008061949718892543,34/0.005280073461891644,274/0.006399373122632885,,,1933/0.0057827344072697235,,,1958/0.006666666666666667,2555/0.007136615205359744,,,
828/0.006779118180847657,,177/0.0059319799630899025,2898/0.005961251862891207,1261/0.006495726495726496,2064/0.006360332294911735,1360/0.005852536970267022,2499/0.004548575351870923,37/0.0067156348373557185,,,,64/0.006648144473109744,2377/0.005340646651270208,1712/0.00619533527696793,2348/0.007315429781499663,,355/0.00784979314734274,628/0.005280073461891644,2288/0.006399373122632885,,,2924/0.0053696819496076,,,735/0.006666666666666667,2597/0.007136615205359744,,,
2847/0.006779118180847657,,218/0.005800158186132349,2693/0.005663189269746647,2588/0.006431623931623932,2976/0.006360332294911735,1038/0.005852536970267022,2085/0.0032612427051150017,766/0.006663168940188877,,,,1918/0.006548918436197659,1556/0.005196304849884526,2416/0.00619533527696793,1100/0.007026662816440466,,973/0.007531558290018034,834/0.005280073461891644,976/0.006138174219668277,,,2945/0.004956629491945477,,,409/0.006666666666666667,1291/0.007136615205359744,,,
459/0.006672360414220134,,2220/0.005800158186132349,2249/0.005514157973174367,522/0.006324786324786325,2889/0.006230529595015576,164/0.005800282175889638,,612/0.006663168940188877,,,,2840/0.006350466362373487,1416/0.005051963048498845,1919/0.006013119533527697,1213/0.006641640196361536,,1102/0.00731940171846823,1154/0.005280073461891644,2648/0.006138174219668277,,,2253/0.004956629491945477,,,81/0.0065,2932/0.007136615205359744,,,
2858/0.006672360414220134,,1508/0.005800158186132349,671/0.005514157973174367,508/0.006217948717948718,1299/0.006100726895119419,72/0.005800282175889638,,1164/0.0065057712486883525,,,,937/0.0061520142885493154,2285/0.004907621247113164,89/0.006013119533527697,2272/0.006545384541341803,,759/0.007213323432693328,2726/0.005280073461891644,2703/0.006138174219668277,,,2318/0.004543577034283354,,,3006/0.006,830/0.007136615205359744,,,
1407/0.006672360414220134,,1849/0.005800158186132349,2617/0.005067064083457526,194/0.006196581196581196,2296/0.006100726895119419,919/0.005695772587134869,,1396/0.006453305351521511,,,,931/0.005953562214725144,1953/0.004907621247113164,156/0.006013119533527697,2119/0.006545384541341803,,2654/0.007107245146918426,1319/0.005280073461891644,1050/0.006138174219668277,,,1312/0.004130524576621231,,,836/0.005833333333333334,481/0.006990969997087096,,,
427/0.006672360414220134,,2771/0.005800158186132349,483/0.005067064083457526,396/0.006196581196581196,2028/0.005451713395638629,380/0.005695772587134869,,182/0.0062959076600209865,,,,228/0.005953562214725144,2487/0.004763279445727482,1382/0.0058309037900874635,2821/0.006352873231302339,,198/0.006895088575368622,2239/0.005280073461891644,1321/0.006138174219668277,,,1179/0.004130524576621231,,,162/0.005333333333333333,249/0.006845324788814448,,,
2573/0.006618981530906373,,594/0.005668336409174796,2788/0.004470938897168405,2299/0.006196581196581196,448/0.005192107995846314,1887/0.005643517792757485,,2957/0.006243441762854145,,,,1888/0.0058543361778130585,568/0.004763279445727482,661/0.0058309037900874635,2098/0.006256617576282607,,2423/0.00678901028959372,2269/0.005280073461891644,1423/0.006007574768185974,,,2973/0.0028913672036348617,,,597/0.005166666666666667,417/0.0066996795805418004,,,
557/0.006618981530906373,,1549/0.005668336409174796,2644/0.004172876304023845,948/0.0061752136752136755,93/0.005192107995846314,2982/0.005643517792757485,,94/0.006243441762854145,,,,2760/0.0058543361778130585,1557/0.0043302540415704385,2620/0.0058309037900874635,2080/0.006256617576282607,,358/0.006470775432269015,2465/0.005280073461891644,1188/0.00587697531670367,,,2567/0.0028913672036348617,,,2571/0.005,1785/0.006262743955723856,,,
1488/0.006618981530906373,,2979/0.005536514632217242,1937/0.0035767511177347243,2329/0.006111111111111111,750/0.0050623052959501555,1141/0.005591262998380101,,1104/0.006243441762854145,,,,2508/0.005755110140900972,2634/0.0041859122401847575,2713/0.00564868804664723,548/0.006064106266243142,,2056/0.006470775432269015,787/0.005280073461891644,2923/0.00587697531670367,,,2134/0.0024783147459727386,,,382/0.005,1289/0.006262743955723856,,,
154/0.006618981530906373,,2291/0.005536514632217242,2032/0.002533532041728763,97/0.006111111111111111,2868/0.0050623052959501555,1844/0.005539008204002717,,1725/0.0061909758656873036,,,,1566/0.005755110140900972,1603/0.0041859122401847575,707/0.00564868804664723,1162/0.006064106266243142,,807/0.006364697146494113,1749/0.005050505050505051,2675/0.00587697531670367,,,2428/0.0020652622883106154,,,2921/0.005,2073/0.006117098747451209,,,
1033/0.006565602647592613,,1810/0.005536514632217242,2238/0.002533532041728763,125/0.006025641025641026,1974/0.004932502596053998,1309/0.005434498615247949,,1752/0.006138509968520462,,,,1058/0.005755110140900972,2818/0.0037528868360277136,2047/0.00564868804664723,2228/0.00596785061122341,,2371/0.006258618860719211,2984/0.005050505050505051,1265/0.00587697531670367,,,2776/0.0016522098306484924,,,940/0.005,1009/0.006117098747451209,,,
264/0.006565602647592613,,2379/0.005536514632217242,1990/0.0020864381520119225,1440/0.006004273504273504,826/0.004543094496365524,758/0.005434498615247949,,335/0.006138509968520462,,,,2692/0.005755110140900972,1688/0.003608545034642032,1472/0.005466472303206997,875/0.00596785061122341,,2954/0.006258618860719211,2049/0.005050505050505051,677/0.005615776413739062,,,2720/0.0016522098306484924,,,2527/0.004666666666666667,1692/0.006117098747451209,,,
197/0.006512223764278851,,714/0.005536514632217242,2988/0.0019374068554396423,2349/0.005982905982905983,1222/0.004543094496365524,2025/0.005382243820870565,,927/0.006033578174186778,,,,150/0.005755110140900972,2153/0.003464203233256351,2241/0.00510204081632653,2130/0.00596785061122341,,1793/0.006152540574944309,2890/0.005050505050505051,2030/0.005223978059292151,,,1403/0.0016522098306484924,,,2395/0.004166666666666667,484/0.005971453539178561,,,
2088/0.00645884488096509,,2746/0.005404692855259689,,1003/0.005982905982905983,1863/0.004023883696780893,2827/0.005382243820870565,,2132/0.005981112277019937,,,,2279/0.005755110140900972,1226/0.003464203233256351,2673/0.004919825072886298,2369/0.005679083646164212,,2449/0.006152540574944309,236/0.0048209366391184574,2372/0.005223978059292151,,,2556/0.0008261049153242462,,,500/0.004166666666666667,110/0.005825808330905913,,,
1063/0.00645884488096509,,2311/0.005404692855259689,,1780/0.005961538461538462,470/0.004023883696780893,1723/0.005120969848983644,,1539/0.005981112277019937,,,,1553/0.005159753919428458,2939/0.0033198614318706698,2856/0.004919825072886298,1753/0.005679083646164212,,2183/0.005940384003394505,501/0.0048209366391184574,1772/0.005223978059292151,,,2852/0.0008261049153242462,,,158/0.003833333333333333,1005/0.005534517914360618,,,
2200/0.006298708231023807,,1717/0.005404692855259689,,328/0.005961538461538462,1648/0.003894080996884735,2403/0.005120969848983644,,700/0.005928646379853095,,,,171/0.005159753919428458,2647/0.002886836027713626,2250/0.0047376093294460644,2335/0.005679083646164212,,122/0.005940384003394505,1896/0.004591368227731864,2834/0.0050933786078098476,,,589/0.0008261049153242462,,,2502/0.003,2226/0.00538887270608797,,,
462/0.006298708231023807,,2519/0.005404692855259689,,2431/0.00594017094017094,233/0.0035046728971962616,2091/0.005120969848983644,,428/0.005928646379853095,,,,1681/0.005159753919428458,2948/0.0027424942263279445,2493/0.0047376093294460644,1245/0.005390316681105015,,1231/0.005834305717619603,783/0.004591368227731864,1586/0.004832179704845239,,,2145/0.0008261049153242462,,,413/0.0028333333333333335,1417/0.00538887270608797,,,
1365/0.006138571581082524,,1627/0.005404692855259689,,112/0.00594017094017094,1770/0.0033748701973001036,2245/0.00506871505460626,,2929/0.005928646379853095,,,,1784/0.005159753919428458,950/0.0021651270207852192,1088/0.0047376093294460644,1477/0.005005294061026086,,2801/0.005834305717619603,2974/0.004591368227731864,2375/0.004832179704845239,,,2586/0.0008261049153242462,,,2661/0.0018333333333333333,511/0.0052432274978153216,,,
1254/0.006138571581082524,,412/0.005404692855259689,,1399/0.005918803418803418,2917/0.003245067497403946,2575/0.004964205465851492,,1686/0.005876180482686254,,,,1613/0.005159753919428458,2031/0.0020207852193995382,2663/0.0047376093294460644,2214/0.004812782750986621,,1090/0.005834305717619603,2943/0.004591368227731864,2835/0.004832179704845239,,,636/0.0008261049153242462,,,8/0.0016666666666666668,3009/0.0052432274978153216,,,
946/0.006031813814455001,,2410/0.005404692855259689,,1897/0.005918803418803418,625/0.0019470404984423676,2271/0.004964205465851492,,793/0.005876180482686254,,,,311/0.005159753919428458,2978/0.0018764434180138568,881/0.0047376093294460644,773/0.004716527095966888,,664/0.005834305717619603,797/0.004591368227731864,57/0.004701580253362936,,,245/0.0004130524576621231,,,1247/0.0016666666666666668,1779/0.005097582289542674,,,
2722/0.0057649193978861965,,1657/0.005404692855259689,,1212/0.005811965811965812,1699/0.0016874350986500518,694/0.004964205465851492,,2142/0.005876180482686254,,,,1256/0.004961301845604287,1233/0.0018764434180138568,2176/0.0047376093294460644,1174/0.004524015785927423,,2113/0.005728227431844701,2182/0.004591368227731864,1305/0.004701580253362936,,,,,,2345/0.0013333333333333333,2745/0.004951937081270026,,,
2248/0.0057649193978861965,,1526/0.005404692855259689,,621/0.005726495726495726,1751/0.0016874350986500518,2095/0.004911950671474108,,637/0.005666316894018888,,,,1867/0.004961301845604287,1965/0.0004330254041570439,1845/0.004555393586005831,1912/0.004524015785927423,,2606/0.005728227431844701,2566/0.004591368227731864,2601/0.004701580253362936,,,,,,2909/0.0013333333333333333,2642/0.004951937081270026,,,
2046/0.005658161631258674,,959/0.005272871078302136,,579/0.005683760683760684,2740/0.0014278296988577363,2287/0.004911950671474108,,1961/0.005613850996852046,,,,2300/0.00466362373486803,,987/0.004555393586005831,1207/0.004524015785927423,,466/0.0055160708602948975,2942/0.004591368227731864,2790/0.004701580253362936,,,,,,1720/0.0013333333333333333,386/0.004951937081270026,,,
1827/0.005604782747944913,,2355/0.005009227524387028,,721/0.0055769230769230765,2406/0.0014278296988577363,1264/0.004911950671474108,,941/0.005613850996852046,,,,2331/0.00466362373486803,,2955/0.004373177842565598,180/0.004427760130907691,,1728/0.00509175771719529,2531/0.004591368227731864,925/0.004701580253362936,,,,,,2240/0.001,2421/0.004806291872997378,,,
3/0.005551403864631152,,2873/0.0048774057474294755,,300/0.0055769230769230765,1551/0.0011682242990654205,76/0.004859695877096724,,1872/0.005561385099685205,,,,2276/0.0045643976979559435,,2154/0.004373177842565598,1821/0.004427760130907691,,2833/0.00509175771719529,2594/0.004591368227731864,3027/0.004570980801880632,,,,,,,1991/0.004806291872997378,,,
2426/0.005498024981317391,,2096/0.0048774057474294755,,1668/0.005555555555555556,2456/0.0006490134994807892,1072/0.004807441082719339,,1929/0.005456453305351522,,,,307/0.0045643976979559435,,2211/0.004373177842565598,2117/0.004427760130907691,,2526/0.00456136628832078,2450/0.004361799816345271,2147/0.004179182447433721,,,,,,,465/0.004806291872997378,,,
693/0.005498024981317391,,2568/0.0048774057474294755,,71/0.005534188034188034,2761/0.0006490134994807892,151/0.004807441082719339,,1317/0.00540398740818468,,,,761/0.0045643976979559435,,2552/0.0041909620991253645,1136/0.004331504475887958,,294/0.00456136628832078,2246/0.004361799816345271,3025/0.004048582995951417,,,,,,,2581/0.00466064666472473,,,
2267/0.005498024981317391,,2166/0.0048774057474294755,,2320/0.0054487179487179484,2489/0.0006490134994807892,849/0.004807441082719339,,1438/0.005351521511017838,,,,2321/0.004465171661043858,,825/0.0041909620991253645,2459/0.004331504475887958,,2188/0.00392489657367137,1238/0.004132231404958678,1338/0.003917983544469113,,,,,,,858/0.00466064666472473,,,
845/0.005391267214689869,,1626/0.0048774057474294755,,1098/0.005427350427350428,741/0.0006490134994807892,1218/0.004702931493964571,,360/0.0052990556138509965,,,,1781/0.004365945624131772,,2941/0.0041909620991253645,1450/0.004331504475887958,,1721/0.003606661716346664,1519/0.004132231404958678,1794/0.003917983544469113,,,,,,,1046/0.00466064666472473,,,
1158/0.005231130564748585,,2484/0.004745583970471922,,801/0.0052991452991453,958/0.0006490134994807892,257/0.004650676699587187,,65/0.0052990556138509965,,,,2018/0.004365945624131772,,0/0.0036443148688046646,2867/0.004331504475887958,,2396/0.0029701920016972526,2105/0.004132231404958678,1710/0.003917983544469113,,,,,,,1654/0.00466064666472473,,,
392/0.005231130564748585,,2700/0.004745583970471922,,1205/0.005277777777777778,2744/0.0005192107995846313,1167/0.004650676699587187,,1123/0.0052990556138509965,,,,1594/0.004365945624131772,,190/0.0036443148688046646,2005/0.004235248820868226,,2131/0.0029701920016972526,209/0.004132231404958678,901/0.0036567846415045055,,,,,,,2783/0.004515001456452083,,,
2960/0.005231130564748585,,2280/0.004745583970471922,,1816/0.005277777777777778,528/0.0005192107995846313,1394/0.004650676699587187,,1117/0.005246589716684155,,,,2991/0.004167493550307601,,776/0.0036443148688046646,1232/0.004235248820868226,,692/0.0027580354301474487,1535/0.004132231404958678,1331/0.003526185190022202,,,,,,,1290/0.004515001456452083,,,
497/0.005177751681434825,,1930/0.004613762193514368,,1361/0.005235042735042735,1131/0.00012980269989615784,2128/0.004546167110832419,,488/0.005141657922350472,,,,1173/0.004068267513395515,,2078/0.0036443148688046646,1257/0.0040427375108287615,,2498/0.002651957144372547,523/0.004132231404958678,2580/0.003526185190022202,,,,,,,1395/0.004369356248179435,,,
1640/0.005177751681434825,,2655/0.004613762193514368,,2082/0.005192307692307692,1665/0.00012980269989615784,815/0.004493912316455035,,2401/0.0050891920251836305,,,,2374/0.004068267513395515,,1680/0.0036443148688046646,1473/0.0040427375108287615,,1012/0.002545878858597645,533/0.0039026629935720843,889/0.003526185190022202,,,,,,,401/0.004369356248179435,,,
2264/0.005177751681434825,,1346/0.004613762193514368,,805/0.005170940170940171,2152/0.00012980269989615784,1279/0.004493912316455035,,1583/0.005036726128016789,,,,871/0.004068267513395515,,1536/0.0034620991253644317,2478/0.0040427375108287615,,2051/0.002333722287047841,2038/0.0039026629935720843,525/0.003526185190022202,,,,,,,2803/0.004369356248179435,,,
520/0.005177751681434825,,62/0.004613762193514368,,1547/0.005170940170940171,618/0.00012980269989615784,2683/0.004441657522077651,,1040/0.004826862539349423,,,,1655/0.0038698154395713437,,585/0.0032798833819241984,955/0.003850226200789296,,1740/0.002333722287047841,1696/0.0039026629935720843,2495/0.003395585738539898,,,,,,,2649/0.0037867754150888435,,,
18/0.005177751681434825,,2314/0.004613762193514368,,552/0.005170940170940171,1223/0.00012980269989615784,1709/0.004441657522077651,,1408/0.004826862539349423,,,,3014/0.003770589402659258,,2086/0.003097667638483965,2179/0.003850226200789296,,2474/0.002333722287047841,2343/0.0039026629935720843,2052/0.003395585738539898,,,,,,,275/0.003641130206816196,,,
2903/0.00496423614817978,,1940/0.004613762193514368,,113/0.00514957264957265,2641/0.00012980269989615784,1664/0.004389402727700266,,3023/0.004774396642182582,,,,2175/0.003770589402659258,,2326/0.003097667638483965,1841/0.003753970545769564,,7/0.0022276440012729396,2413/0.0039026629935720843,2294/0.0032649862870575944,,,,,,,443/0.003641130206816196,,,
199/0.00496423614817978,,1474/0.004613762193514368,,2525/0.005128205128205128,2563/0.00012980269989615784,2905/0.004389402727700266,,1972/0.00472193074501574,,,,361/0.0033736852550109147,,2848/0.003097667638483965,961/0.003368947925690634,,2794/0.002015487429723136,1605/0.0036730945821854912,2500/0.0032649862870575944,,,,,,,1357/0.003495484998543548,,,
1736/0.004910857264866019,,144/0.004481940416556815,,598/0.005128205128205128,1109/0.00012980269989615784,343/0.004389402727700266,,1087/0.004669464847848899,,,,808/0.0030760071442746577,,2956/0.003097667638483965,1383/0.003368947925690634,,1907/0.002015487429723136,2334/0.0036730945821854912,1975/0.0031343868355752907,,,,,,,862/0.0033498397902709002,,,
